Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Transport layer
b. Session layer
c. Data link layer
d. Presentation layer
",,b,b,,"The session layer of the OSI model is responsible for establishing, managing, and terminating connections between devices. It provides services such as authentication, authorization, and session restoration. The session layer creates a dialogue between the source and destination devices and manages their communication.","['Forouzan, B. A. (2013). Data Communications and Networking (5th ed.). McGraw-Hill Education.', 'https://www.comptia.org/content/guides/what-is-the-osi-model', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,Which model defines seven layers of networking protocols? Choose only one.,"a. OSI model
b. DoD model
c. TCP/IP model
d. Ethernet model
",,a,a,,"The OSI (Open Systems Interconnection) model defines seven layers of networking protocols. It was developed by the International Organization for Standardization (ISO) as a conceptual framework for understanding the functions of a networking or telecommunication system. The seven layers, from top to bottom, are: Application, Presentation, Session, Transport, Network, Data Link, and Physical. The DoD model and TCP/IP model have fewer layers, while the Ethernet model focuses specifically on the Ethernet protocol.","['ISO/IEC 7498-1: Information technology - Open Systems Interconnection - Basic Reference Model: The Basic Model', 'Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'https://www.iso.org/ics/35.100/x/']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,d,d,,"A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It establishes a barrier between a trusted internal network and untrusted external networks, such as the Internet. Firewalls are designed to prevent unauthorized access to or from private networks by enforcing security policies.","['NIST Special Publication 800-41 Revision 1: Guidelines on Firewalls and Firewall Policy, https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-41r1.pdf', 'Cisco Networking Academy: Introduction to Networks v7.0 (ITN), Chapter 9: Network Security Concepts, https://www.ciscopress.com/store/introduction-to-networks-v7-0-itn-companion-guide-9780136634454']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,A router is the device responsible for determining the best path for data packets to travel across multiple networks. Routers operate at the network layer (Layer 3) of the OSI model and use routing tables and protocols to make decisions on how to forward packets between different networks based on the destination IP address.,"['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Odom, W. (2020). CCNA 200-301 Official Cert Guide, Volume 1. Cisco Press.']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,a,a,,"A bus topology consists of a single cable, called the bus or backbone, that connects all devices in a network in a single line. All nodes (devices) are connected to this central cable. This topology is cost-effective and easy to install for small networks. However, it is not as robust as other topologies, as a failure in the main cable can bring down the entire network.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'Network Topology: Types, Diagrams, and Definition - Study.com (https://study.com/academy/lesson/network-topology-types-diagrams-definition.html)', 'Bus Topology: Advantages and Disadvantages - GeeksforGeeks (https://www.geeksforgeeks.org/bus-topology-advantages-and-disadvantages/)']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"The star topology requires the least amount of cabling and is easy to set up compared to other network topologies. In a star topology, all devices are connected to a central device, such as a switch or hub. This simplifies cabling and makes it easy to add or remove devices. However, the central device is a single point of failure; if it fails, the entire network becomes inaccessible because all communication must pass through this central node.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'Network Topology: Star, Mesh, Bus, Ring, Hybrid - Study.com, https://study.com/academy/lesson/network-topology-star-mesh-bus-ring-hybrid.html']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Repeater
",,a,b,,"A router is a device that can be used to create logical network segments and improve network performance by reducing network congestion. Routers operate at the network layer (Layer 3) of the OSI model and use IP addresses to make forwarding decisions. By dividing a network into multiple subnets or segments, routers can isolate traffic and reduce the overall network traffic, thereby improving performance and reducing congestion.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross']",0,Computer_Networking,0.95,1,1,1,1,3,"While many routers provide the functionality that switches do, they actually have different purposes. VLANs are created at layer 2",1,1,1,1,0,1,1,Wrong Facts/Concept,Incorrect information/concept,,,0,2,"book, book",2,,1,1,misinformation,0,Routers,misinformation,Minor,1,3,3,3,3,0
9,The DoD model is commonly known as the:,"a. Four-layer model
b. Five-layer model
c. Six-layer model
d. Seven-layer model
",,a,d,,"The DoD model, which stands for the Department of Defense model, is commonly known as the seven-layer model. It is a reference model that defines a networking framework for implementing protocols in seven layers. The seven layers, from top to bottom, are: Application, Presentation, Session, Transport, Network, Data Link, and Physical.","['Forouzan, B. A. (2013). Data Communications and Networking (5th ed.). McGraw-Hill Education.', 'https://www.webopedia.com/definitions/dod-model/']",0,Computer_Networking,0.95,1,1,1,1,3,DoD had four layers - just wrong info,1,1,1,1,0,1,1,Wrong Facts/Concept,Incorrect information/concept,,,0,1,book,1,,1,1,misinformation,0,Network Architecture,misinformation,Minor,1,3,2,3,2,0
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Network layer
b. Data link layer
c. Transport layer
d. Physical layer
",,a,a,,The network layer (layer 3) of the OSI model is responsible for addressing and routing packets between different networks. It provides logical addressing using IP addresses and determines the best path for data packets to reach their destination based on factors like network conditions and routing protocols.,"['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Forouzan, B. A. (2017). Data Communications and Networking (5th Edition). McGraw-Hill Education.', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,The presentation layer of the OSI model is responsible for encrypting and decrypting data to provide secure communication between the application layer and the session layer. It ensures that the data is in a format that the receiving application can understand by translating between application and network formats. Encryption at this layer protects the confidentiality of the data as it travels over the network.,"['https://www.imperva.com/learn/application-security/osi-model/', 'https://www.comptia.org/content/guides/what-is-the-osi-model', 'https://www.fortinet.com/resources/cyberglossary/osi-model']",1,Computer_Networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
