Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),SM - Misunderstanding Reasons,AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,b",,"In a spoofing attack, the two most commonly spoofed parameters are:a. Source IP address: Attackers can forge the source IP address in the packet header to make it appear as if the packets are coming from a trusted or legitimate source. This is known as IP spoofing.b. MAC address: Attackers can change the MAC address of their device to impersonate another device on the network. This is called MAC spoofing.The other choices, such as ARP address, routing table, destination IP address, and ARP table, are not typically spoofed in a spoofing attack.","['CCNA Security 210-260 Official Cert Guide by Omar Santos and John Stuppi, Cisco Press, 2015', 'https://www.cisco.com/c/en/us/about/security-center/spoofing.html']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,"RADIUS (Remote Authentication Dial-In User Service) is the other protocol commonly supported by AAA servers alongside TACACS+ for communicating with enterprise resources. RADIUS is an IETF standard protocol used for secure authentication, authorization, and accounting.","['CCNA 200-301 Official Cert Guide, Volume 2, by Wendell Odom', 'RFC 2865 - Remote Authentication Dial In User Service (RADIUS)', 'Cisco Documentation - AAA Overview: https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/configuration/15-mt/sec-usr-aaa-15-mt-book/sec-aaa-overview.html']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222",,d,d,,"Option d is the correct set of commands to configure port security on interface FastEthernet0/1 of SW-examsD to only accept frames from the MAC address 0200.1111.2222. The commands enter configuration mode, select the correct interface fa0/1, set it as an access port, enable port security, and define the specific allowed MAC address.","['Cisco CCNA 200-301 Official Cert Guide, Chapter 11: Implementing Ethernet Virtual LANs', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960/software/release/15-2_2_e/configuration/guide/b_1522e_2960_2960c_2960s_2960sf_2960p_cg/b_1522e_2960_2960c_2960s_2960sf_2960p_cg_chapter_01001.html']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"Denial-of-Service (DoS) attacks aim to make a system or network resource unavailable to its intended users by overwhelming it with a flood of traffic or requests. The attack consumes the target's available bandwidth or other resources, disrupting normal traffic and preventing legitimate requests from being fulfilled. Spoofing, phishing, and SQL injection are different types of attacks not directly related to flooding a system with requests.","['CISCO Press CCNA Cyber Ops SECFND #210-250 Official Cert Guide, Chapter 3: Understanding Common Network Security Threats', 'NIST Special Publication 800-61 Rev.2: Computer Security Incident Handling Guide, Section 4.2.2 Denial-of-Service Incidents']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"A Trojan, short for Trojan horse, is a type of malware that disguises itself as legitimate software. It tricks users into installing it on their systems, and once activated, it can carry out various malicious activities, such as deleting files, stealing data, or creating a backdoor for attackers to access the system. Unlike viruses and worms, Trojans do not typically self-replicate.","['CISCO Networking Academy: Introduction to Cybersecurity', 'Symantec Security Center: Trojan Horse', 'Malwarebytes Labs: Trojans']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users",,"b,d","b,d",,"DHCP snooping is a security feature that can be implemented on Layer 2 switches and Layer 3 switches. It monitors DHCP messages between DHCP clients and DHCP servers to filter out forged DHCP messages and builds a DHCP snooping binding table to track the IP addresses assigned to each port. Routers, hubs, access points, and end-user devices cannot implement DHCP snooping.","['Cisco Press CCNA 200-301 Official Cert Guide, Volume 2', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750x_3560x/software/release/12-2_55_se/configuration/guide/3750xscg/swdhcp82.html']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"Contextual awareness provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in the network with real-time visibility. It allows the Cisco Firepower NGIPS to understand the context of network traffic, including user identity, device type, application, and potential threats, enabling more granular and effective security policies.","['Cisco Firepower Next-Generation IPS (NGIPS) Data Sheet: https://www.cisco.com/c/en/us/products/collateral/security/firepower-ngips/datasheet-c78-736775.html', 'Cisco Firepower NGIPS Features and Capabilities: https://www.cisco.com/c/en/us/products/security/firepower-ngips/features.html']",1,chapter8_security_fundamentals,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,"A brute-force attack is a method of guessing a user's password by systematically trying every possible combination of letters, numbers, and symbols until the correct password is found. It does not directly make a server unavailable, spoof IP addresses, or alter routing tables.","['CISCO Press CCNA Cyber Ops SECFND #210-250 Official Cert Guide, Chapter 8: Brute-Force Attacks', 'https://www.cisco.com/c/en/us/products/security/what-is-a-brute-force-attack.html']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,"The statement is true. Social engineering attacks exploit human psychology and interactions to manipulate individuals into revealing sensitive information or making security mistakes. These attacks rely on deception, persuasion, and taking advantage of human trust rather than technical hacking methods. Examples include phishing emails that trick users into revealing passwords, or impersonation to gain unauthorized access.","['NIST Special Publication 800-63B Digital Identity Guidelines: Authentication and Lifecycle Management', 'CISCO Networking Academy: Introduction to Cybersecurity', 'SANS Institute InfoSec Reading Room: Social Engineering Threats']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"Whaling is a type of spear phishing attack that specifically targets high-profile employees, such as C-level executives (CEO, CFO, etc.), in order to steal sensitive information from a company. The attacker crafts a highly customized phishing email or message, often impersonating a trusted entity, to trick the high-value target into revealing confidential data or transferring funds.","['CISCO Press: CCNA Cyber Ops SECFND #210-250 Official Cert Guide', 'https://www.cisco.com/c/en/us/products/security/email-security/what-is-phishing.html', 'https://www.trendmicro.com/vinfo/us/security/definition/whaling']",1,chapter8_security_fundamentals,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
