Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"IP (Internet Protocol) is a network layer (layer 3) protocol in the five-layer TCP/IP model. It is responsible for addressing, routing, and delivering packets between hosts across network boundaries. Ethernet (b) is a data link layer (layer 2) protocol, while UDP (c) and TCP (d) are transport layer (layer 4) protocols.","['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer Networks (5th Edition). Pearson.']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,"A browser, such as Google Chrome, Mozilla Firefox, or Microsoft Edge, operates at the application layer (layer 5) of the five-layer TCP/IP model. The application layer is where user-facing software interacts with the network, allowing users to access network services. Browsers are applications that enable users to interact with web servers and access web pages.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'TCP/IP Protocol Suite, 4th Edition by Behrouz A. Forouzan']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The physical layer of the five layer TCP/IP model deals with the physical transmission media, including cabling and connectors. It defines the electrical and physical specifications for devices, and the relationship between a device and a physical medium. The physical layer is responsible for transmitting raw bits over a communication channel.","['Forouzan, B. A. (2013). Data Communications and Networking (5th ed.). McGraw-Hill.', 'Kurose, J. F., & Ross, K. W. (2017). Computer Networking: A Top-Down Approach (7th ed.). Pearson.']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,"A router operates at the network layer of the TCP/IP five-layer model. The network layer is responsible for addressing, routing, and delivering packets between different networks. Routers use IP addresses to make decisions about where to forward packets to reach their destination network.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,d,,"Ethernet standards and some wireless technologies operate on the data link layer. The data link layer is responsible for node-to-node communication and includes protocols that operate on a link between two directly connected nodes. It handles issues like physical addressing, network topology, error notification, ordered delivery of frames, and flow control. Ethernet and Wi-Fi are examples of data link layer technologies.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch allows connections from many devices and inspects the contents of Ethernet protocol data. Unlike a hub, which simply rebroadcasts incoming data to all connected devices, a switch intelligently directs data only to the intended recipient device by examining the Ethernet frame headers. This allows a switch to create separate collision domains for each port, improving network efficiency. A cable is just a physical connection medium, and a collision domain refers to a network segment where packet collisions can occur, which is not directly relevant to the question.","['CCNA 200-301 Official Cert Guide, Volume 1, by Wendell Odom (Cisco Press)', 'Computer Networking: A Top-Down Approach, by James Kurose and Keith Ross (Pearson)']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network. It refers to a computer network that interconnects computers within a limited area such as a home, school, computer laboratory, office building or group of nearby buildings.","['Forouzan, B. A. (2013). Data communications and networking (5th ed.). McGraw-Hill.', 'https://www.cisco.com/c/en/us/products/switches/what-is-a-lan-local-area-network.html']",1,1_basics_computer_networking,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,"A router is a network device that operates at the network layer (Layer 3) of the OSI model. Its primary function is to forward data packets between different networks based on the IP addresses in the packet headers. Routers use routing tables and protocols to determine the best path for forwarding packets to their destination networks. Unlike switches, which operate within a single network, routers enable communication between independent networks.","['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer Networks (5th Edition). Pearson.']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,d,,"A server is a device or program that provides data or services to other devices or programs, known as clients, upon request. It operates on a client-server model where the server provides resources and the client consumes those resources. Therefore, option d, 'Something providing data to something requesting the data', best describes a server.","['https://www.cloudflare.com/learning/network-layer/what-is-a-server/', 'https://www.techtarget.com/whatis/definition/server']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,"Copper wiring is used in cables that communicate in voltage changes, which are received by the receiving device as ones and zeros. Copper is an excellent conductor of electricity and is commonly used in network cables like Ethernet. The voltage changes in the copper wire represent the binary data being transmitted.","['https://www.webopedia.com/definitions/copper-cable/', 'https://www.techtarget.com/searchnetworking/definition/copper-cable']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,What modulation type is used for computer networks?,"a. RJ45
b. Simplex communication
c. Line coding
d. Line crimping",,c,c,,Line coding is the modulation technique used in computer networks to convert digital data into a format suitable for transmission over a communication channel. It involves representing the digital signal with an analog waveform that can be transmitted over the network medium. Line coding helps ensure reliable transmission by providing synchronization and facilitating clock recovery.,"['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'Data and Computer Communications, 10th Edition by William Stallings']",1,1_basics_computer_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
