Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,"POTS, or Plain Old Telephone Service, is another term for the Public Switched Telephone Network (PSTN). The PSTN is the traditional circuit-switched telephone network that has been in use for many decades. It is a global network that enables telephone communication by establishing a dedicated circuit between two points for the duration of a call.","['https://en.wikipedia.org/wiki/Plain_old_telephone_service', 'https://www.techopedia.com/definition/9008/public-switched-telephone-network-pstn']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,"Baud rate is a measure of the number of signal or symbol changes that occur per second. In digital systems, a symbol change typically corresponds to a bit (binary digit). Therefore, baud rate measures the number of bits that can be transmitted per second over a communication channel like a telephone line.","['https://en.wikipedia.org/wiki/Baud', 'https://www.techopedia.com/definition/5418/baud-rate', 'https://www.geeksforgeeks.org/difference-between-baud-rate-and-bit-rate/']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"USENET, a worldwide distributed discussion system, was created by Duke University graduate students Tom Truscott and Jim Ellis in 1979. It allowed users to read and post messages (called articles or posts) to one or more categories, known as newsgroups. USENET was one of the core Internet systems in widespread use before the World Wide Web. While its usage has declined since then, USENET newsgroups are still used today for discussion on a wide range of topics.","['https://en.wikipedia.org/wiki/Usenet', 'https://www.britannica.com/technology/USENET', 'Kurose, J. F., & Ross, K. W. (2017). Computer networking: a top-down approach. Pearson.']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,A modem (modulator-demodulator) is used to transfer data across a dial-up connection. It converts digital signals from a computer into analog signals that can be transmitted over telephone lines and then converts the analog signals back into digital signals at the receiving end.,"['https://www.britannica.com/technology/modem', 'https://en.wikipedia.org/wiki/Modem']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,a,,Modems convert digital data from computers into audible wavelengths or analog signals that can be transmitted over plain old telephone service (POTS) lines. The modem modulates the digital data into these audible tones for transmission and demodulates the tones back into digital data on the receiving end.,"['https://www.techopedia.com/definition/2410/modem', 'https://computer.howstuffworks.com/modem.htm']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1",,c,a,,T1 is short for Transmission 1. It refers to a digital transmission system that carries data at 1.544 Mbps. T1 lines are commonly used for business-grade internet access and connecting remote sites.,"['https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/1-port-t1-e1-network-interface-modules/datasheet_c78-610692.html', 'https://www.techtarget.com/searchnetworking/definition/T1']",0,5_connecting_to_the_internet,0.95,1,1,1,1,3,"It’s actually transmission system 1, not just transmission 1",1,1,1,1,0,1,1,Wrong Facts/Concept,Incorrect information/concept,,,0,0,,,,1,1,Terminology issues,0,terminology,misinformation,Minor,1,3,2,3,2,0
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec",,b,b,,"A T1 line is a digital transmission link with a capacity of 1.544 megabits per second (Mb/sec). It is a dedicated, point-to-point connection often used by businesses for high-speed data transmission and internet access.","['https://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/prod_brochure0900aecd8016fa68.html', 'https://www.ibm.com/docs/en/zos/2.4.0?topic=lines-t1']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"Cable internet connections are broadband connections that provide high-speed internet access using the same coaxial cables that deliver cable television. They are not wireless or dial-up connections. Cable internet is a shared bandwidth connection, meaning that the available bandwidth is shared among multiple users in a neighborhood or area, which can lead to slower speeds during peak usage times.","['https://www.fcc.gov/consumers/guides/getting-broadband', 'https://www.highspeedinternet.com/resources/cable-vs-dsl-vs-fiber', 'https://www.explainthatstuff.com/cablemodems.html']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,d",,"The two main subprotocols of PPP are:b. LCP (Link Control Protocol) - establishes, configures, and tests the data-link connection.  d. NCP (Network Control Protocol) - configures different network-layer protocols, like IPCP for IP.FCS (Frame Check Sequence) is a field in the PPP frame for error checking, not a subprotocol. Compression can be negotiated by LCP but is not itself a subprotocol.","['https://en.wikipedia.org/wiki/Point-to-Point_Protocol#PPP_components', 'https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/10241-ppp-callin-hostname.html']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,The demarcation point for fiber technologies is called an Optical Network Terminal (ONT). The ONT is the device installed at the customer's premises that terminates the fiber optic line from the service provider and converts the optical signal into electrical signals for connection to the customer's network devices.,"['Fiber Broadband Association. (2021). Fiber-to-the-Home Primer. https://www.fiberbroadband.org/page/ftth-primer', 'Keiser, G. (2006). FTTX Concepts and Applications. John Wiley & Sons.']",1,5_connecting_to_the_internet,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
