Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
90,The protocol used to communicate network errors is known as __________.,"a. ICMP
b. Traceroute
c. TCP
d. UDP
",,a,a,,"ICMP (Internet Control Message Protocol) is used to communicate network errors and operational information between network devices. It is not used for end-to-end data transfer like TCP or UDP, but rather for sending control messages, such as reporting errors (e.g., destination unreachable), performing diagnostics (e.g., ping), or providing routing information.","['Kurose, J. F., & Ross, K. W. (2017). Computer networking: a top-down approach. Pearson.', 'RFC 792 - Internet Control Message Protocol. https://tools.ietf.org/html/rfc792']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,The ping utility sends what message type?,"a. Echo Request
b. Echo Reply
c. Destination Network Unknown
d. Destination Network Unreachable
",,a,a,,The ping utility sends ICMP Echo Request messages to the target host and expects ICMP Echo Reply messages in return. This is used to test the reachability of a host on an IP network and measure the round-trip time for the messages.,"['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 16: IP Services', 'RFC 792 - Internet Control Message Protocol (ICMP)', 'https://en.wikipedia.org/wiki/Ping_(networking_utility)']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,What is one of the tools you can use to verify connectivity to a specific port on Windows OS?,"a. nc (netcat)
b. Ping
c. Test-NetConnection
d. Tracert
",,c,c,,"Test-NetConnection is a PowerShell cmdlet in Windows that can be used to test TCP connectivity to a remote host and port. It allows you to specify the destination host and port to verify if a connection can be established. Ping and Tracert are useful for testing general connectivity and routing, but they do not test specific ports. Netcat (nc) is a versatile tool that can be used for port testing, but it is not built into Windows by default.","['https://docs.microsoft.com/en-us/powershell/module/nettcpip/test-netconnection', 'https://www.varonis.com/blog/powershell-test-netconnection/']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
93,Traceroute uses UDP packets on which of the following operating systems? Select all that apply.,"a. Mac Os
b. Windows 10
c. Windows 7
d. Linux",,"a,d","a,d",,"Traceroute uses UDP packets by default on Mac OS and Linux operating systems. On Windows operating systems including Windows 7 and Windows 10, traceroute uses ICMP echo request packets instead of UDP packets.","['https://www.juniper.net/documentation/en_US/junos/topics/concept/traceroute-icmp-udp-packet-os-differences.html', 'https://en.wikipedia.org/wiki/Traceroute']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,"During a traceroute, which action does a router perform to the value in the Time To Live (TTL) field?","a. Multiplication
b. Division
c. Subtraction
d. Addition
",,c,c,,"During a traceroute, each router that receives the packet subtracts one from the Time To Live (TTL) value before forwarding the packet to the next hop. When a router receives a packet with a TTL value of 1, it discards the packet and sends an ICMP Time Exceeded message back to the source, indicating that the packet's TTL has expired. This process allows traceroute to map the route and measure transit delays of packets across an IP network.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'https://en.wikipedia.org/wiki/Traceroute']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
95,One of Level 3's public DNS servers is ____________.,"a. 4.2.2.3
b. 8.8.8.8
c. 127.0.0.1
d. 192.168.1.1",,a,a,,"Level 3 Communications operates a public DNS server at the IP address 4.2.2.3. This is one of several well-known public DNS servers, along with Google's 8.8.8.8 and Cloudflare's 1.1.1.1. The other options are not public DNS servers - 127.0.0.1 is the loopback address, and 192.168.1.1 is a common default gateway address for home routers.","['https://www.lifewire.com/free-and-public-dns-servers-2626062', 'https://developers.google.com/speed/public-dns', 'https://www.cloudflare.com/learning/dns/what-is-1.1.1.1/']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,A DNS resolver tool available on all major desktop operating systems is __________.,"a. Nslookup
b. Host
c. Tracert
d. Ping
",,a,a,,"Nslookup (Name Server Lookup) is a command-line DNS resolver tool available on all major desktop operating systems, including Windows, macOS, and Linux. It allows users to query DNS servers to obtain domain name or IP address mapping and other DNS records.","['https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/nslookup', 'https://en.wikipedia.org/wiki/Nslookup']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
97,Which top-level organization manages the global DNS (Domain Name System)?,"a. RFC
b. IANA
c. ICANN
d. Google
",,c,c,,"ICANN (Internet Corporation for Assigned Names and Numbers) is the top-level organization that manages the global DNS (Domain Name System). ICANN is responsible for coordinating the management of the technical elements of the DNS to ensure universal resolvability so that all users of the Internet can find all valid addresses. It oversees the distribution of unique IP addresses and domain names, and ensures the stable and secure operation of the Internet's unique identifier systems.","['https://www.icann.org/resources/pages/what-2012-02-25-en', 'https://www.cloudflare.com/learning/dns/glossary/what-is-icann/']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
98,Which of the following commands displays the current network configuration information?,"a. Winver
b. Pathping
c. Net user
d. Ipconfig
",,d,d,,"The 'ipconfig' command is used to display the current network configuration information on a Windows system. It shows details such as the IP address, subnet mask, default gateway, and DNS server settings for all network adapters. The other commands listed have different functions: 'winver' displays the Windows version, 'pathping' is a route tracing tool, and 'net user' is used to manage user accounts.","['Microsoft Documentation: Ipconfig (https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/ipconfig)', 'CompTIA A+ Certification All-in-One Exam Guide, Tenth Edition (Exams 220-1001 & 220-1002) by Mike Meyers']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
99,An organization responsible for assigning individual domain names to other organizations or individuals is known as a(n) ______.,"a. DNS registrar
b. Autonomous system
c. Internet authority
d. Government
",,a,a,,A DNS registrar is an organization or commercial entity that manages the reservation of Internet domain names. They are accredited by generic top-level domain (gTLD) registries and country code top-level domain (ccTLD) registries to sell domain name registrations to the public. Registrars operate in accordance with the guidelines of the designated domain name registries and offer domain registration services to end-users.,"['ICANN - Domain Name Registration Process: https://www.icann.org/resources/pages/register-domain-name-2017-06-20-en', 'Verisign - What Is a Domain Name Registrar?: https://www.verisign.com/en_US/domain-names/what-is-a-domain-name-registrar/index.xhtml']",1,6_troubleshooting_and_future_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
