Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which form of NAT enables a firewall to selectively perform translations based on the destination address? Select one choice.,"a. static NAT
b. dynamic PAT
c. static PAT
d. policy NAT
e. dynamic NAT
",,d,d,,,[],1,NetSec,1,1
2,Which form of NAT uses port addresses to distinguish between translated sessions? Select one choice.,"a. static NAT
b. policy NAT
c. dynamic PAT
d. dynamic NAT
",,c,c,,,[],1,NetSec,1,1
3,"In an ACL, if a traffic flow is not explicitly permitted, once it has expired testing all the user-configured control entries in the list, the result will be:","a. The traffic will be implicitly permitted.
b. The traffic will be explicitly permitted.
c. The traffic will be explicitly denied.
d. The traffic will be implicitly denied.
",,d,d,,,[],1,NetSec,1,1
4,Which TCP flag must be set in a packet in order for the packet to match an ACL entry that contains the established keyword? Select one choice.,"a. SYN only
b. ACK only
c. RST only
d. SYN or ACK
e. ACK or RST
",,e,d,,,[],0,NetSec,1,1
5,Which one of the following best describes the limitations of local AAA databases? Select one choice.,"a. Usernames, passwords, and credentials must be synchronized with a TACACS+/RADIUS server.
b. Scalability issues force network administrators to enter username credentials into each network device.
c. While they support accounting, they do not meet the requirements for large persistent storage.
d. Authorization policies that are created with local AAA databases cannot be synchronized and made available to all the devices across the network.
",,b,a,,,[],0,NetSec,1,1
6,"What benefit does a web application firewall provide, in addition to the benefits provided by a traditional load balancer? Select one choice.","a. Protects any Layer 7 applications from malware
b. Protects web applications from common vulnerabilities and DDoS attacks
c. Protects the back-end database by acting as a reverse proxy between the web server and the back-end database
d. Protects the servers behind the WAF from attacks using Layer 3 and 4 firewall rules
",,b,b,,,[],1,NetSec,1,1
7,What are four common algorithms that typical load balancers use to load balance the traffic? (Choose four.),"a. Round robin
b. Fewest connections
c. Least time
d. Weighted early random detection
e. Anomaly based
f. Hash
",,"a,b,c,f","a,b,c,f",,,[],1,NetSec,1,1
8,What three elements can be configured in firewall policies to detect network-based malware? (Choose three.),"a. Commonly used protocols
b. SHA-256 hashes
c. Metadata stored that is within the files
d. Commonly used rainbow hash tables
e. Access control lists (ACLs)
",,"a,b,c","a,c,e",,,[],0,NetSec,1,1
9,What is the first step in centralized syslog management? Select one choice.,"a. Receive syslog messages from syslog clients that are distributed across the network and store those messages in a flat log file.
b. Present syslog data in the form of automated reports, dashboards, and real-time query responses.
c. Move messages from the flat log file to a high-performance relational database.
d. Process low-level data in the relational database to produce higher-level information constructs.
",,a,a,,,[],1,NetSec,1,1
10,What must a host on an Ethernet network know about a destination to send an Ethernet frame to that destination? Select one choice.,"a. Receiving port number
b. IP address
c. MAC address
d. Window size
",,c,c,,,[],1,NetSec,1,1
11,On which OSI layer or layers does ARP operate? Select one choice.,"a. Between Layer 2 and Layer 3
b. At Layer 2
c. At Layer 3
d. Between Layer 1 and Layer 2
",,a,b,,,[],0,NetSec,1,1
12,ARP messages are sent using which Ethertype designation in the frame header? Select one choice.,"a. 0x2100
b. 0x0800
c. 0x8100
d. 0x0806
",,d,d,,,[],1,NetSec,1,1
13,Which two higher-level protocols rely on TCP/IP and are susceptible to attacks such as session hijacking? (Choose two.),"a. ARP
b. HTTP
c. UDP
d. Telnet
e. ICMP
",,"b,d","b,d",,,[],1,NetSec,1,1
15,"Which type of IP attack features a simultaneous, coordinated attack from multiple source machines? Select one choice.","a. Rogue DHCP attack
b. DDoS attack
c. MITM attack
d. MAC address flooding attack
",,b,b,,,[],1,NetSec,1,1
16,What is the key to the success of an MITM attack? Select one choice.,"a. The hacked machine becomes overwhelmed with responses.
b. TCP/IP bugs make it easy to crash older operating systems.
c. The attacker waits until after a communication session is established.
d. Packet flooding consumes resources.
",,c,c,,,[],1,NetSec,1,1
17,What information can an attacker use within ICMP to determine what type of OS the device is running? Select one choice.,"a. Total length
b. TTL value
c. Version
d. Checksum
",,b,b,,,[],1,NetSec,1,1
18,Why is it important for security analysts to understand how ICMP works and what normal ICMP activity looks like? Select one choice.,"a. To determine when ICMP is broken
b. To spot misuses of TCP discovery packets and rogue devices
c. To spot Denial of Service attacks
d. To spot ARP Poisoning attacks
",,c,c,,,[],1,NetSec,1,1
19,"Regarding TCP attacks, which statement is true? Select one choice.","a. A TCP reset attack is designed to disrupt the TCP 3-way handshake.
b. A TCP reset attack terminates TCP communications between two hosts.
c. A malicious attack is always indicated when the RST bit is set to 1 in a TCP packet header.
d. In a TCP reset attack, the RST bit in the TCP packet header must be set to 1; settings for other fields in the TCP header are irrelevant.
",,b,b,,,[],1,NetSec,1,1
20,Which TCP flag is used to initiate a graceful termination of a TCP connection? Select one choice.,"a. RST
b. FIN
c. ACK
d. SYN
e. URG
f. PSH
",,b,b,,,[],1,NetSec,1,1
21,Which application-layer protocol that uses UDP to manage and monitor devices on the network could be exploited if it is not secured on devices? Select one choice.,"a. TFTP
b. SNMP
c. HTTPS
d. FTP
e. SMTP
",,b,b,,,[],1,NetSec,1,1
22,Which two of the following might be considered attack surfaces in the network environment? (Choose two.),"a. Open ports
b. Privacy settings
c. Use of SSH
d. Use of Telnet
",,"a,d","a,d",,,[],1,NetSec,1,1
23,Which type of common security threat can be solved by patching the operating system or hardware device? Select one choice.,"a. Phishing
b. SQL injection
c. Malware
d. Known vulnerabilities
",,d,d,,,[],1,NetSec,1,1
24,Which three methods are used by an attacker while gathering network data? (Choose three.),"a. Unplug network devices
b. Packet sniffer
c. Ping sweeps
d. Port scans
",,"b,c,d","b,c,d",,,[],1,NetSec,1,1
25,Which utility allows an attacker to scan the network in stealth mode? Select one choice.,"a. Wireshark
b. whois
c. Nmap
d. Cain & Abel
e. UDP Unicorn
",,c,c,,,[],1,NetSec,1,1
26,"Which type of malware masquerades as a legitimate software, but is actually malicious when launched? Select one choice.","a. Brute-force
b. DoS
c. Trojan
d. Smurf
",,c,c,,,[],1,NetSec,1,1
27,The type of access attack that allows an attacker to take over a session or spoof a session is done using which technique? Select one choice.,"a. Brute-force
b. Password attack
c. Man-in-the-middle
d. Malware insertion
",,c,c,,,[],1,NetSec,1,1
28,Which option best describes an MITM attack? Select one choice.,"a. Easily detected and not a threat
b. A system that has the ability to view the communication between two systems and imposes itself in the communication path between those other systems
c. A device that connects to a switch and issues an enormous amount of DHCP requests until the DHCP server runs out of IP addresses
d. A device that issues an extremely large amount of SYN requests to a server, preventing all other devices from making a connection
",,b,b,,,[],1,NetSec,1,1
29,Which two techniques would an attacker apply so that a client sends packets to the wrong gateway? (Choose two.),"a. Reflection
b. ICMP redirect
c. DNS spoofing
d. ARP poisoning
",,"b,d","b,d",,,[],1,NetSec,1,1
30,"Which three types of traffic must a security analyst be aware of, because the traffic might be botnet CnC traffic? (Choose three.)","a. P2P
b. DNS
c. SNMP
d. RCMP
e. IRC
f. RTMP
",,"a,b,e","a,e,f",,,[],0,NetSec,1,1
31,What do attackers use to launch an attack on a location without the attack coming directly from the attacker’s location? Select one choice.,"a. Spear phishing
b. Malware that is controlled through CnC
c. Direct SYN flood attack
d. Ping of death
",,b,b,,,[],1,NetSec,1,1
32,Which TCP/IP application protocol can be used in an amplification attack by exploiting the protocol weakness in recursive lookup? Select one choice.,"a. HTTPS
b. LDAP
c. HTTP
d. DNS
e. SMTP
",,d,d,,,[],1,NetSec,1,1
33,Which type of attack forces a machine to respond to a SYN message by sending a packet to itself on the same port it received the SYN? Select one choice.,"a. Smurf
b. Land attack
c. Amplification attack
d. Reflection attack
",,b,b,,,[],1,NetSec,1,1
34,A Layer 2 redirect or spoofing attack can be referred to as what type of attack? Select one choice.,"a. ARP attack
b. DHCP attack
c. NetBios attack
d. SSID attack
",,a,a,,,[],1,NetSec,1,1
35,Which one of the following options is the illegitimate DHCP server that is referred to in the context of a DHCP server-based attack? Select one choice.,"a. A sitting duck server
b. A rogue DHCP server
c. A target server
d. An erroneous server
",,b,b,,,[],1,NetSec,1,1
36,What is one way of mitigating DHCP attacks by using a Cisco switch? Select one choice.,"a. VLAN segmentation
b. MAC address security
c. DHCP snooping
d. DHCP authentication""
",,c,c,,,[],1,NetSec,1,1
