Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,e",,,[],0,chapter8_security_fundamentals,1,1
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,,[],1,chapter8_security_fundamentals,1,1
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,d,,,[],1,chapter8_security_fundamentals,1,1
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,,[],1,chapter8_security_fundamentals,1,1
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,,[],1,chapter8_security_fundamentals,1,1
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users
",,"b,d","b,d",,,[],1,chapter8_security_fundamentals,1,1
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,,[],1,chapter8_security_fundamentals,1,1
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,,[],1,chapter8_security_fundamentals,1,1
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,,[],1,chapter8_security_fundamentals,1,1
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,,[],1,chapter8_security_fundamentals,1,1
147,Which of the following human security vulnerabilities attacks is the attempt to obtain sensitive information such as passwords and credit card details by disguising oneself as a trustworthy entity?,"a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,b,b,,,[],1,chapter8_security_fundamentals,1,1
149,Which of the following security features rejects invalid and malicious ARP packets and prevents a class of man-in-the-middle attacks?,"a. DoS
b. DAI
c. Packet secure
d. ARP protect
",,b,b,,,[],1,chapter8_security_fundamentals,1,1
150,"In a reflection attack, the source IP address in the attack packets is spoofed so that it contains the address of the victim.","a. TRUE
b. FALSE
",,a,a,,,[],1,chapter8_security_fundamentals,1,1
151,"Type the command that needs to be configured on a switch to automatically recover from the err-disabled state, when caused by port security.","a. recovery cause psecure-violation
b. errdisable recovery psecure-violation
c. errdisable recovery
d. errdisable recovery cause psecure-violation
",,d,b,,,[],0,chapter8_security_fundamentals,1,1
152,A next-generation firewall sits at the edge of a company’s connection to the Internet. A network engineer has been configured to prevent Telnet clients residing on the Internet from accessing Telnet servers inside the company. Which of the following might a next-generation firewall use that a traditional firewall would not?,"a. Match message destination well-known port 23
b. Match message application data
c. Match message IP protocol 23
d. Match message source TCP ports lower than 5400
",,b,a,,,[],0,chapter8_security_fundamentals,1,1
153,"Your PC connects to a LAN and uses DHCP to lease an IP address for the first time. Of the usual four DHCP messages that flow between the PC (DHCP client) and the DHCP server, which ones do the server send? (Choose two answers)","a. Acknowledgment
b. Request
c. Offer
d. Discover
",,"a,c","c,d",,,[],0,chapter8_security_fundamentals,1,1
