Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
46,What transport layer protocol does DNS normally use?,"a. TCP
b. IP
c. UDP
d. ICMP
",,c,c,,DNS (Domain Name System) normally uses UDP (User Datagram Protocol) as its transport layer protocol. UDP is preferred over TCP for DNS due to its lower overhead and faster performance for simple query/response transactions.,['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,4_networking_serices,0.9,0.999991819775458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many DNS resolutions can take place before the IP has to change.
c. How many steps there are in the resolution process.
d. How long a DNS entry is allowed to be cached.
",,d,d,,The correct option is d. DNS TTL (Time to Live) determines how long a DNS entry is allowed to be cached. It specifies the amount of time that a DNS record is allowed to be stored or cached by resolving name servers and other devices before it expires and needs to be re-fetched from the authoritative DNS servers. This value is set by the owner of the DNS record and helps in controlling how long incorrect or outdated information is used by clients.,['https://www.cloudflare.com/learning/dns/dns-records/dns-ttl/'],1,4_networking_serices,0.9,0.999999448776502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
48,How many root servers are there?,"a. 16
b. 8
c. 13
d. 17",,c,c,,"There are 13 root DNS servers worldwide. These servers are a crucial part of the Domain Name System (DNS) infrastructure, helping to direct traffic on the internet.",['https://www.iana.org/domains/root/servers'],1,4_networking_serices,0.9,0.909025120384531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Easier for humans to remember website names.
b. Easy for the node to find the network ID.
c. Allows administrative changes to happen seamlessly.
d. Small routing tables.
",,"a,c","a,c",,"a. Easier for humans to remember website names: DNS provides a way to map domain names to IP addresses, making it easier for humans to remember and use website names instead of numerical IP addresses. c. Allows administrative changes to happen seamlessly: DNS allows for centralized management of domain names and IP addresses, making administrative changes seamless and efficient.",[],1,4_networking_serices,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. IP addresses
b. DNS server
c. name resolution
d. ARP table lookup
",,c,c,,The correct term for the process of using DNS to turn a domain name into an IP address is name resolution. DNS (Domain Name System) is responsible for translating domain names into IP addresses to locate resources on the internet.,[],1,4_networking_serices,0.9,0.999997303114037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
51,An A Record contains what?,"a. An SOA
b. An IPv4 address
c. An IPv6 address
d. A CNAME",,b,b,,An A Record in DNS (Domain Name System) contains an IPv4 address. It maps a domain name to the corresponding IPv4 address of the server hosting that domain.,['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/'],1,4_networking_serices,0.9,0.999999567980093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
52,MX stands for ________.,"a. Mail exchange
b. Meta exchange
c. Micro exchange
d. Micro extreme
",,a,a,,"MX stands for Mail Exchange. In the context of computer networking, MX records are DNS (Domain Name System) records that specify the mail servers responsible for receiving email on behalf of a domain. These servers are used to route emails to their correct destination.",[],1,4_networking_serices,0.9,0.999855826094057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
53,A fully qualified domain name can contain how many characters?,"a. 255
b. 127
c. 64
d. 63",,a,a,,A fully qualified domain name (FQDN) can contain up to 255 characters. This limit includes the total length of the domain name labels (each label separated by a dot) and the dots between them. The domain name system (DNS) allows for this maximum length to accommodate complex naming schemes and hierarchical structures.,['https://tools.ietf.org/html/rfc1035'],1,4_networking_serices,0.9,0.99511116614047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Quad A record
b. CNAME
c. Cycling records
d. Round robin
",,d,d,,"The correct technique used to balance traffic across multiple IPs for the same domain is Round Robin. When multiple IP addresses are associated with a single domain name, the DNS server rotates the order in which IP addresses are handed out in the DNS response, thus distributing the traffic across those IPs.",['https://www.cloudflare.com/learning/dns/glossary/round-robin-load-balancing/'],1,4_networking_serices,0.9,0.999900514682992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. NS record
c. FQDN
d. SOA
",,"a,b,d","a,b,d",,"A Zone File typically includes A Records (mapping hostnames to IP addresses), NS Records (indicating the authoritative name servers for the zone), and SOA (Start of Authority) record which contains administrative information about the zone such as the primary name server, the email of the domain administrator, the domain serial number, etc. FQDN (Fully Qualified Domain Name) is not part of a Zone File but rather a complete domain name that specifies its exact location in the DNS hierarchy.",[],1,4_networking_serices,0.9,0.999972121912571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
