Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Transport layer
b. Session layer
c. Data link layer
d. Presentation layer
",,b,b,,"The session layer (OSI layer 5) is responsible for establishing, managing (dialog control, synchronization, checkpoints) and terminating sessions (connections) between applications on different devices. The transport layer provides end-to-end data transfer and reliability but not the session management functions attributed to layer 5.","['https://en.wikipedia.org/wiki/Session_layer', 'https://www.cloudflare.com/learning/ddos/glossary/open-systems-interconnection-model-osi/', 'https://www.tutorialspoint.com/osi-model/osi-model-session-layer.htm']",1,Computer_Networking,0.99,1
2,Which model defines seven layers of networking protocols? Choose only one.,"a. OSI model
b. DoD model
c. TCP/IP model
d. Ethernet model
",,a,a,,"The OSI (Open Systems Interconnection) reference model defines seven distinct layers: Physical, Data Link, Network, Transport, Session, Presentation, and Application. The DoD/TCP‑IP models use fewer layers (commonly four), and Ethernet is a link-layer technology rather than a seven-layer reference model.","['https://en.wikipedia.org/wiki/OSI_model', 'https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-osi-model.html']",1,Computer_Networking,0.99,1
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,d,d,,"A firewall is the device specifically designed to enforce security policies by inspecting and allowing or blocking incoming and outgoing network traffic (can be packet-filtering, stateful, or application-layer). Routers forward between networks (and may have basic ACLs), switches operate at Layer 2 for LAN connectivity, and modems convert signals for WAN access but do not primarily enforce security policies.","['https://www.cisco.com/c/en/us/products/security/firewalls/what-is-a-firewall.html', 'https://www.cloudflare.com/learning/ddos/glossary/firewall/', 'https://csrc.nist.gov/publications/detail/sp/800-41/rev-1/final']",1,Computer_Networking,0.99,1
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"A router is the device that operates at the network layer (Layer 3) and uses routing tables and routing protocols (e.g., OSPF, BGP) to determine the best path for packets between different networks. Switches and bridges operate at Layer 2 (forwarding within a LAN), and a modem only converts signals between digital and analog domains.","['https://www.cisco.com/c/en/us/products/routers/what-is-a-router.html', 'https://datatracker.ietf.org/doc/html/rfc1812', 'https://en.wikipedia.org/wiki/Router_(computing)', 'https://www.cisco.com/c/en/us/products/switches/what-is-a-switch.html']",1,Computer_Networking,0.99,1
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,a,a,,"Bus topology uses a single shared communication line (backbone) to which all devices are attached (each device taps into the common bus). Other topologies use central hubs (star), closed loop links (ring), or multiple interconnections (mesh).","['https://en.wikipedia.org/wiki/Bus_network', 'https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/network-topologies.html', 'https://www.techtarget.com/searchnetworking/definition/network-topology']",1,Computer_Networking,0.98,1
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"Star topology uses a central hub/switch to which all nodes connect (point-to-point links). It is simple to install and manage, and troubleshooting is straightforward, but the central device is a single point of failure — if it fails the whole network becomes inaccessible. (Note: a pure bus uses even less cabling overall, but only the star matches the description of a central-device single point of failure.)","['https://en.wikipedia.org/wiki/Star_network', 'https://en.wikipedia.org/wiki/Network_topology#Star_topology', 'https://www.techtarget.com/searchnetworking/definition/star-topology', 'https://www.geeksforgeeks.org/network-topologies/']",1,Computer_Networking,0.85,1
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Repeater
",,a,a,,"A network switch (Layer 2) creates separate collision domains per port and, with VLAN support, can create logical network segments. By forwarding frames only to the destination port or VLAN, a switch reduces unnecessary traffic and network congestion. Routers separate broadcast domains between networks but are not typically used to create logical LAN segments within the same switch fabric; modems and repeaters do not provide segmentation or traffic isolation.","['https://www.cisco.com/c/en/us/products/switches/what-is-a-switch.html', 'https://en.wikipedia.org/wiki/Network_switch', 'https://en.wikipedia.org/wiki/Virtual_LAN']",1,Computer_Networking,0.95,1
9,The DoD model is commonly known as the:,"a. Four-layer model
b. Five-layer model
c. Six-layer model
d. Seven-layer model
",,a,a,,"The DoD model refers to the TCP/IP (Internet) protocol suite, commonly depicted as a four-layer model: Application, Transport, Internet, and Link (network access). Thus it is known as the four-layer model.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://tools.ietf.org/html/rfc1122', 'https://www.cisco.com/c/en/us/about/press/internet-protocol-journal/blogs/200404.html']",1,Computer_Networking,0.98,1
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Network layer
b. Data link layer
c. Transport layer
d. Physical layer
",,a,a,,"The Network layer (Layer 3) is responsible for logical addressing (e.g., IP addresses) and routing packets between different networks. The Data Link layer (Layer 2) handles MAC addressing and frame delivery on a single link, the Transport layer (Layer 4) provides end-to-end communication services, and the Physical layer (Layer 1) transmits raw bits over the medium.","['https://en.wikipedia.org/wiki/OSI_model', 'https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-the-osi-model.html', 'https://tools.ietf.org/html/rfc791']",1,Computer_Networking,0.99,1
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,"The Presentation layer (OSI Layer 6) is responsible for data representation functions such as translation, compression, and encryption/decryption to ensure that data sent by the application layer of one system can be read by the application layer of another.","['https://en.wikipedia.org/wiki/OSI_model#Presentation_layer', 'https://www.techtarget.com/searchnetworking/definition/OSI-model', 'https://www.cisco.com/c/en/us/about/press/internet-protocol-journal/blogs/2004/04/10/the-osi-model/']",1,Computer_Networking,0.95,1
