Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which form of NAT enables a firewall to selectively perform translations based on the destination address? Select one choice.,"a. static NAT
b. dynamic PAT
c. static PAT
d. policy NAT
e. dynamic NAT
",,d,d,,"Policy NAT (also called policy-based NAT or ""twice NAT"") allows the firewall to perform translations based on matching policy criteria such as destination address (and optionally source, ports, interfaces). Static NAT, dynamic NAT, and PAT perform fixed one-to-one or pool-based translations primarily based on source address/port and do not provide the same selective destination-based policy matching.","['https://www.cisco.com/c/en/us/td/docs/security/asa/asa90/configuration/guide/nat/intro_nat.html', 'https://www.cisco.com/c/en/us/support/docs/security-vpn/ip-network-address-translation-nat/14266-3.html', 'https://www.juniper.net/documentation/en_US/junos/topics/topic-map/nat-policy-overview.html']",1,NetSec,0.95,1
2,Which form of NAT uses port addresses to distinguish between translated sessions? Select one choice.,"a. static NAT
b. policy NAT
c. dynamic PAT
d. dynamic NAT
",,c,c,,"Dynamic PAT (also called NAT overload) uses source port numbers in addition to the translated IP address to distinguish and multiplex multiple internal sessions through a single (or limited) public IP address. Static NAT maps one-to-one IP addresses, dynamic NAT maps to addresses from a pool one-to-one, and policy NAT applies translations based on policy but does not inherently rely on port multiplexing the way PAT does.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_nat/configuration/15-sy/nat-15-sy-book/nat-overview.html', 'https://datatracker.ietf.org/doc/html/rfc3022', 'https://www.juniper.net/documentation/en_US/junos/topics/concept/nat-overview.html']",1,NetSec,0.99,1
3,"In an ACL, if a traffic flow is not explicitly permitted, once it has expired testing all the user-configured control entries in the list, the result will be:","a. The traffic will be implicitly permitted.
b. The traffic will be explicitly permitted.
c. The traffic will be explicitly denied.
d. The traffic will be implicitly denied.
",,d,d,,"Access control lists are processed top-to-bottom; if no user-configured ACE matches to permit the traffic, an implicit (default) deny at the end of the list drops the traffic. The deny is implicit, not an explicit ACE.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_conn_acl/configuration/15-s/sec-conn-acl-15-s-book/sec-acl-implicit-deny.html', 'https://learningnetwork.cisco.com/s/acl-implicit-deny', 'https://www.juniper.net/documentation/en_US/junos/topics/concept/firewall-filters-default-deny.html']",1,NetSec,0.99,1
4,Which TCP flag must be set in a packet in order for the packet to match an ACL entry that contains the established keyword? Select one choice.,"a. SYN only
b. ACK only
c. RST only
d. SYN or ACK
e. ACK or RST
",,e,e,,"On Cisco extended ACLs the established keyword matches TCP packets that have the ACK or RST bit set (i.e., packets that are part of an already-established TCP session). It does not match SYN-only packets (which are used to start a session).","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/command/sec-data-acl-cr-book/sec-access-lists.html', 'https://packetlife.net/blog/2008/sep/15/acls-tcp-established/', 'https://networklessons.com/cisco/ccna/extended-access-list/']",1,NetSec,0.95,1
5,Which one of the following best describes the limitations of local AAA databases? Select one choice.,"a. Usernames, passwords, and credentials must be synchronized with a TACACS+/RADIUS server.
b. Scalability issues force network administrators to enter username credentials into each network device.
c. While they support accounting, they do not meet the requirements for large persistent storage.
d. Authorization policies that are created with local AAA databases cannot be synchronized and made available to all the devices across the network.
",,b,b,,"Local AAA databases are stored on each individual device, so they do not scale well for networks with many devices. Administrators must create and maintain usernames/credentials on every device separately rather than centrally, which is the primary limitation compared with centralized TACACS+/RADIUS solutions.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/configuration/15-s/su-15-s-book/sec-aaa-overview.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/configuration/15-s/su-15-s-book/sec-local-authentication.html']",1,NetSec,0.95,1
6,"What benefit does a web application firewall provide, in addition to the benefits provided by a traditional load balancer? Select one choice.","a. Protects any Layer 7 applications from malware
b. Protects web applications from common vulnerabilities and DDoS attacks
c. Protects the back-end database by acting as a reverse proxy between the web server and the back-end database
d. Protects the servers behind the WAF from attacks using Layer 3 and 4 firewall rules
",,b,b,,"A Web Application Firewall inspects and filters HTTP/HTTPS (Layer 7) traffic to protect web applications against common vulnerabilities (e.g., OWASP Top Ten like SQL injection, XSS) and can provide application-layer (Layer 7) DDoS mitigation. A traditional load balancer mainly distributes traffic and performs health checks and does not provide the deep application-layer protections a WAF does, nor does it typically mitigate application-layer attacks by itself.","['https://owasp.org/www-community/Web_Application_Firewall', 'https://www.cloudflare.com/learning/ddos/what-is-a-web-application-firewall-waf/', 'https://aws.amazon.com/waf/', 'https://learn.microsoft.com/en-us/azure/web-application-firewall/overview']",1,NetSec,0.95,1
7,What are four common algorithms that typical load balancers use to load balance the traffic? (Choose four.),"a. Round robin
b. Fewest connections
c. Least time
d. Weighted early random detection
e. Anomaly based
f. Hash
",,"a,b,c,f","a,b,c,f",,"Common load‑balancing algorithms include: round‑robin (a simple sequential distribution), fewest/least connections (send to the server with the fewest active sessions), least time (aka least response time/least work — choose the server with the shortest expected completion/response time), and hash (use a hash of client IP, URL, or other key to map requests to servers, e.g., consistent hashing). Options d (Weighted Early Random Detection) is an AQM/congestion-avoidance technique used in routers, and e (anomaly‑based) refers to anomaly detection (IDS/IPS), not a standard LB distribution algorithm.","['https://en.wikipedia.org/wiki/Load_balancing_(computing)#Algorithms', 'https://docs.nginx.com/nginx/admin-guide/load-balancer/http-load-balancer/#load-balancing-methods', 'https://www.f5.com/services/resources/glossary/load-balancing-methods', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos/configuration/15-s/qos-15-s-book/qos_wred.html']",1,NetSec,0.95,1
8,What three elements can be configured in firewall policies to detect network-based malware? (Choose three.),"a. Commonly used protocols
b. SHA-256 hashes
c. Metadata stored that is within the files
d. Commonly used rainbow hash tables
e. Access control lists (ACLs)
",,"a,b,c","a,b,c",,"Modern next‑generation firewalls (NGFWs) and intrusion‑prevention systems detect network‑based malware by: 1) inspecting commonly used protocols and application behavior for suspicious/abusive protocol usage (a); 2) matching file hashes (e.g., SHA‑256) against threat intelligence/sandbox databases to identify known malicious files (b); and 3) examining file metadata (file type, headers, embedded metadata) to identify or block suspicious files (c). Choice e (ACLs) is for permit/deny access control, not a malware‑detection mechanism, and d (rainbow tables) is a hash‑reversal/cracking concept not a configurable detection element in firewall policies.","['https://docs.paloaltonetworks.com/pan-os/10-1/pan-os-admin/threat-prevention/antivirus-profiles', 'https://docs.paloaltonetworks.com/wildfire/10-1/wildfire-admin/wildfire-overview', 'https://snort.org/about/faq (Snort/IDS uses protocol and signature analysis)', 'https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.180-4.pdf (SHA-256 specification)']",1,NetSec,0.78,1
9,What is the first step in centralized syslog management? Select one choice.,"a. Receive syslog messages from syslog clients that are distributed across the network and store those messages in a flat log file.
b. Present syslog data in the form of automated reports, dashboards, and real-time query responses.
c. Move messages from the flat log file to a high-performance relational database.
d. Process low-level data in the relational database to produce higher-level information constructs.
",,a,a,,"The first step in centralized syslog management is collection/aggregation — receiving syslog messages from distributed clients and initially storing them (commonly in a flat log file). Subsequent steps (moving into a database, processing/normalizing data, and presenting dashboards/reports) occur after collection.","['https://datatracker.ietf.org/doc/html/rfc5424', 'https://www.rsyslog.com/doc/v8-stable/howto/centralized_logging.html', 'https://www.elastic.co/what-is/centralized-logging', 'https://www.syslog-ng.com/technical-documents/doc/syslog-ng-open-source-edition/3.31/administration-guide/what-is-syslog']",1,NetSec,0.95,1
10,What must a host on an Ethernet network know about a destination to send an Ethernet frame to that destination? Select one choice.,"a. Receiving port number
b. IP address
c. MAC address
d. Window size
",,c,c,,"Ethernet is a link‑layer technology that delivers frames based on destination MAC (hardware) addresses. To place a frame on an Ethernet segment the sender must know the destination MAC address. (If the sender only knows an IP address, it uses ARP to resolve the IP to a MAC; if the destination IP is off‑LAN the host instead uses the gateway’s MAC.)","['https://tools.ietf.org/html/rfc826', 'https://en.wikipedia.org/wiki/Ethernet_frame', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_arp/configuration/xe-3s/arp-xe-3s-book/arp.html', 'https://gaia.cs.umass.edu/kurose_ross/']",1,NetSec,0.95,1
