Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. TRUE
b. FALSE
",,a,a,,"True. In MPLS VPN architectures the Customer Edge (CE) device is the customer‑side router (or equivalent device) located at the customer site that connects to the Provider Edge (PE) router to exchange customer traffic with the provider network. (CE devices can also be switches or firewalls in some deployments, but are typically routers.)","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/mpls/what-is-mpls.html', 'https://tools.ietf.org/html/rfc4364', 'https://www.juniper.net/documentation/en_US/junos/topics/concept/mpls-vpn-customer-edge.html']",1,chapter12_network_design_architecture,0.95,1
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Full Mesh
b. Star
c. Hybrid
d. Partial Mesh
",,a,a,,"A full mesh topology (complete graph) has a dedicated link between every pair of nodes, providing direct point-to-point connectivity between all devices. Partial mesh has only some such links; star and hybrid do not connect every pair directly.","['https://en.wikipedia.org/wiki/Mesh_networking', 'https://www.techtarget.com/searchnetworking/definition/mesh-topology', 'https://learningnetwork.cisco.com/s/question/0D53i00000JX2iVCAQ/what-is-mesh-topology']",1,chapter12_network_design_architecture,0.98,1
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. TRUE
b. FALSE
",,a,a,,"True. In PoE (IEEE 802.3af/at/bt) terminology the device that provides power is called the Power Sourcing Equipment (PSE). A PoE-enabled LAN switch is a common form of PSE (also called an endspan), supplying DC power over the Ethernet cable to Powered Devices (PDs) such as IP phones, wireless access points, and cameras. (Alternatively a midspan injector can act as a PSE if the switch is not PoE-capable.)","['https://en.wikipedia.org/wiki/Power_over_Ethernet', 'https://www.cisco.com/c/en/us/solutions/collateral/enterprise-networks/power-over-ethernet/white-paper-c11-737991.html', 'https://www.techtarget.com/searchnetworking/definition/Power-over-Ethernet-PoE']",1,chapter12_network_design_architecture,0.98,1
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Access
b. Distribution
c. Core
d. Campus
",,a,a,,"The access layer is the layer of campus switching that provides direct connectivity to end-user devices (PCs, phones, wireless APs). The distribution layer aggregates access switches and enforces policies, while the core provides high-speed backbone switching between distribution blocks.","['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-campus-design.html', 'https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/campover.html', 'https://learningnetwork.cisco.com/s/what-is-access-layer']",1,chapter12_network_design_architecture,0.98,1
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Distribution
c. Core
d. Campus
",,b,b,,"In the three-layer campus (hierarchical) switching model, the distribution layer aggregates connections from multiple access switches and provides policy enforcement, routing between VLANs, and redundancy. The access layer connects end devices; the core layer provides high-speed backbone switching. Therefore the distribution role provides aggregation for access switches.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/enterprise-network-design/three-layer.html', 'https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-campus-design.html', 'https://learningnetwork.cisco.com/s/article/what-is-the-cisco-hierarchical-network-design']",1,chapter12_network_design_architecture,0.95,1
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,c,,"In the three-tier (hierarchical) campus LAN design, the core layer serves as the high‑speed backbone that aggregates multiple distribution layer switches in very large campus networks. The access layer connects end devices, the distribution layer enforces policy and aggregates access switches, and the core layer aggregates distribution switches and provides fast, reliable forwarding across the campus.","['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-campus-area-networking/index.html', 'https://networklessons.com/cisco/ccna/hierarchical-network-design/', 'https://www.techtarget.com/searchnetworking/definition/hierarchical-network-design']",1,chapter12_network_design_architecture,0.95,1
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using private WAN connections directly to the cloud provider
b. Using an Internet connection without VPN
c. Using an Internet connection with VPN
d. Using an intercloud exchange
",,"a,d","a,d",,"Private WAN connections (e.g., dedicated circuits, MPLS, or cloud provider direct links such as AWS Direct Connect/Azure ExpressRoute) provide private connectivity plus SLAs that enable predictable performance and QoS. Intercloud/cloud-exchange offerings (e.g., Equinix Cloud Exchange, cloud interconnect fabrics) also provide private, carrier-grade connectivity between enterprises and cloud providers with better performance guarantees than the public Internet. An Internet connection with VPN provides confidentiality but still traverses best-effort public Internet (no guaranteed QoS). Internet without VPN provides neither privacy nor QoS guarantees.","['https://aws.amazon.com/directconnect/', 'https://learn.microsoft.com/en-us/azure/expressroute/', 'https://www.equinix.com/products/connected-services/cloud-exchange-fabric/', 'https://www.cisco.com/c/en/us/solutions/enterprise-networks/sd-wan/what-is-cloud-on-ramp.html']",1,chapter12_network_design_architecture,0.92,1
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. TRUE
b. FALSE
",,b,b,,"FALSE. In public cloud models the cloud provider is responsible for managing, maintaining, and updating the physical data centers and underlying infrastructure. Customers are responsible for their own data, applications, and configuration depending on the service model (IaaS/PaaS/SaaS) under the shared-responsibility model.","['https://aws.amazon.com/compliance/shared-responsibility-model/', 'https://learn.microsoft.com/en-us/azure/security/fundamentals/shared-responsibility', 'https://csrc.nist.gov/publications/detail/sp/800-145/final']",1,chapter12_network_design_architecture,0.99,1
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses one IP subnet
b. The WAN uses 20 or more IP subnets
c. A remote site router would have one OSPF neighbor
d. A remote site router would have 20 OSPF neighbors
",,"a,d","a,d",,"An E-LAN Metro Ethernet service is a multipoint-to-multipoint (single broadcast/domain) Ethernet service that presents the provider network as one shared LAN segment to all CE devices. In that common LAN the provider typically uses a single IP subnet for the customer-facing segment, so (a) is true and (b) is not. With 21 routers attached (headquarters + 20 remotes) each remote router will see the other 20 routers on that multi-access segment as OSPF neighbors (OSPF elects a DR/BDR on multi-access networks and forms full adjacencies with DR/BDR, but the router still has neighbor relationships with the other routers), so (d) is true and (c) is not.","['https://en.wikipedia.org/wiki/Metro_Ethernet#Service_types', 'https://www.mef.net/what-is-carrier-ethernet/', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/iproute_ospf/configuration/15-s/iro-15-s-book/iro-ospf-overview.html', 'https://www.cisco.com/c/en/us/support/docs/ip/open-shortest-path-first-ospf/13684-12.html']",1,chapter12_network_design_architecture,0.95,1
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Isolation
c. Virtualization
d. Segmentation
",,c,c,,"This process is called server virtualization — a software (hypervisor) partitions a physical server into multiple isolated virtual servers (virtual machines), each running its own OS and applications.","['https://www.cisco.com/c/en/us/solutions/data-center-virtualization/what-is-virtualization.html', 'https://www.vmware.com/topics/glossary/content/virtualization.html', 'https://learn.microsoft.com/en-us/virtualization/virtualization-basics/what-is-virtualization']",1,chapter12_network_design_architecture,0.99,1
