Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
21,Which of the following commands checks the status of the interfaces?,"a. show interface
b. show status
c. show interface status
d. show status interface
",,c,c,,"The correct command is show interface status. On Cisco switches this command displays the status of switch ports (status: connected/notconnect/disabled), VLAN, duplex, speed and type. show interface(s) shows detailed per-interface statistics and counters (not the concise status table). show status and show status interface are not valid Cisco IOS commands for viewing interface status.","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst/2960/software/release/12-2_52_se/command/reference/crbook/show.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/command/reference/cr_book/cr_show.html']",1,chapter2_ethernet_lans,0.9,1
22,You are in console line configuration mode. Which of the following commands would place you in enable mode?,"a. end
b. back
c. enable
d. change
",,a,a,,"The 'end' command exits any configuration mode (including line configuration mode) and returns you to privileged EXEC (enable) mode. 'enable' is used from user EXEC to enter privileged EXEC, but is not used while in config mode; 'back' and 'change' are not valid IOS commands for this purpose.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/command/reference/command_ref/end.html', 'https://networklessons.com/cisco/ccna-200-301/ios-navigation-commands/']",1,chapter2_ethernet_lans,0.95,1
23,Which of the following commands copies the configuration from RAM into NVRAM,"a. copy running-config startup-config
b. copy startup-config running-config
c. copy ram nvram
d. copy nvram ram
",,a,a,,The running configuration (running-config) is stored in RAM; the startup configuration (startup-config) is stored in NVRAM. The IOS command copy running-config startup-config saves the current (running) configuration into NVRAM so it persists across reloads. Option b does the opposite (loads startup to running). Options c and d are not valid IOS commands for this purpose.,"['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fundamentals/command/fundamentals-cr-book/fund-fun-cmds.html', 'https://learningnetwork.cisco.com/s/question/0D53i00000J5s5nCAB/how-do-i-save-the-configuration-running-config-to-startup-config', 'https://networklessons.com/cisco/ccna-icnd1-100-105/save-configuration-on-cisco-router-and-switch/']",1,chapter2_ethernet_lans,0.99,1
24,"The command that configures the switch as a DHCP client to discover its IPv4 address, mask, and default gateway is ip address dhcp.","a. TRUE
b. FALSE
",,a,a,,"True. On Cisco IOS, entering ip address dhcp on an interface (for example an SVI on a switch) configures that interface as a DHCP client so it obtains an IPv4 address and subnet mask from a DHCP server; the DHCP reply can also supply the default gateway (DHCP option 3 / default-router). (Note: on purely L2-managed switches that do not run IP routing, you may instead see/use ip default-gateway for management, but ip address dhcp on an interface requests address, mask and default-router via DHCP.)","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_dhcp/command/ipaddr-dhcp-cr-book/ip_addr_dhcp.html', 'https://learningnetwork.cisco.com/s/question/0D53i00000K5b0VCAR/using-dhcp-on-routers-and-switches', 'https://networklessons.com/cisco/ccna-200-301/ip-address-dhcp-on-cisco-switch/']",1,chapter2_ethernet_lans,0.92,1
25,In which of the following modes of the CLI could you configure the duplex setting for interface Fast Ethernet 0/2?,"a. Global configuration mode
b. Enable mode
c. Interface configuration mode
d. VLAN mode
",,c,c,,"The duplex setting is configured on a specific physical interface, which is done in interface configuration mode. Example sequence: enable -> configure terminal -> interface FastEthernet0/2 -> duplex {auto | full | half}. You cannot set per-interface duplex from privileged EXEC (enable), global configuration (except by entering the interface sub-mode), or VLAN mode (used for SVIs, not physical port duplex).","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ifc-book/ifc-book.html', 'https://learningnetwork.cisco.com/s/article/duplex-and-speed-configuration-on-cisco-switches', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960/software/12-2_55_se/command/reference/cli_ref/cli_ref/d3.html']",1,chapter2_ethernet_lans,0.98,1
26,Which of the following commands administratively enables an interface,"a. shutdown
b. no shutdown
c. enable interface
d. interface enable
",,b,b,,In Cisco IOS the command to administratively enable an interface is no shutdown. The opposite (administratively disable) is shutdown. The other choices (enable interface and interface enable) are not valid IOS interface commands.,"['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-interfaces-cr-book/ir-no-shutdown.html', 'https://networklessons.com/cisco/ccna-200-301/configuring-interfaces-and-using-no-shutdown-command/']",1,chapter2_ethernet_lans,0.95,1
27,"Switches use STP to prevent loops by causing some interfaces to block, meaning that they do not send or receive frames.","a. TRUE
b. FALSE
",,a,b,,"False. STP’s blocking state prevents a port from forwarding user traffic and from learning MAC addresses, but the port still receives and processes STP BPDUs (control frames). Thus blocked ports do not forward data frames, but they can still receive control frames used by STP.","['https://www.cisco.com/c/en/us/support/docs/lan-switching/spanning-tree-protocol/24062-146.html', 'https://en.wikipedia.org/wiki/Spanning_Tree_Protocol']",0,chapter2_ethernet_lans,0.95,1
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip default-gateway 175.28.1.254 command in global configuration mode.
d. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
e. The ip default-gateway 175.28.1.150 command in global configuration mode.
",,"b,c","b,c",,"The switch is a Layer‑2 switch whose ports are in VLAN 2, so the management SVI must be created for VLAN 2 (interface VLAN 2) and assigned the address 175.28.1.150/24 (choice b). To allow management traffic (SSH) to reach other subnets, the switch needs a default gateway that points to the router on that VLAN (175.28.1.254) using the global ip default-gateway command (choice c). Other choices are incorrect: the switch can use an SVI for VLAN 2 (not forced to VLAN 1), the 172.16.2.250 address on VLAN 1 is irrelevant, and setting the default gateway to the switch’s own address is wrong.","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750/software/release/12-2_25_se/configuration/guide/3750cg/swmgmt.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/security/secure_shell/configuration/15-4mt/sec-ssh-15-4mt-book/secure-ssh.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/lan_vlan/configuration/15-sy/lan-vlan-15-sy-book/lan-vlan-svi.html']",1,chapter2_ethernet_lans,0.95,1
29,Which of the following commands lists the content of the startup-config (initial config) file.,"a. show startup-config
b. show initial-config
c. show content-config
d. show file-config
",,a,a,,"The Cisco IOS command to display the startup configuration stored in NVRAM (the initial configuration used at boot) is ""show startup-config"" (can be abbreviated as ""show start""). The other choices are not valid IOS commands.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fundamentals/command/fnd-cr-book/fnd-show-startup-config.html', 'https://learningnetwork.cisco.com/s/question/0D53i00000K0vGkCAL/how-to-display-startup-config']",1,chapter2_ethernet_lans,0.99,1
30,You want to configure the console password with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
b. Examsdigest#(config)# enable secret examsdigest
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
",,a,a,,"Option (a) uses the correct IOS commands to set a console-line password: enter the console line context with 'line console 0', set the password with 'password examsdigest', then enable password checking with 'login'. Options (b) sets the enable secret (privileged EXEC) not the console password; (c) is not a valid command; (d) attempts to configure VTY lines (and uses a misspelled keyword 'live' instead of 'line'), which affects remote Telnet/SSH, not the console.","['https://learningnetwork.cisco.com/s/article/console-vty-lines-and-passwords', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/command/sec-usr-aaa-cr-book/sec-configure-line.html', 'https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/19666-console-login.html']",1,chapter2_ethernet_lans,0.97,1
31,You want to configure the telnet password for all vty lines with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
b. Examsdigest#(config)# enable secret examsdigest
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
",,d,d,,"Option d is correct because to set the Telnet (VTY) password you enter the VTY line configuration (line vty 0 15), set the password with the password command, and enable password checking with the login command. Option a configures the console line (not VTY). Option b (enable secret) sets the privileged exec (enable) password, not the VTY/telnet password. Option c is not a valid IOS command. (Note: the choice shows 'live vty' but the correct IOS command is 'line vty 0 15'.)","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/line/command/line-cr-book/line-cr-book.html (line command reference)', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_conn/configuration/15-s/sec-conn-15-s-book/sec-vty.html (configuring VTY lines and passwords)', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/security/command/sec-cr-book/sec-enable.html (enable secret explanation)']",1,chapter2_ethernet_lans,0.92,1
32,Which of the following type of memory is used to store the configuration used by the switch when it is up and running?,"a. ROM
b. RAM
c. NVRAM
d. Flash
",,b,b,,The switch’s active (running) configuration is kept in RAM (volatile memory) while the device is up and running. NVRAM holds the startup-config that is read at boot; Flash stores the IOS image and other files; ROM contains boot/diagnostic code. Therefore the running configuration is stored in RAM.,"['https://learningnetwork.cisco.com/s/article/what-is-the-difference-between-ram-nvram-flash-and-rom', 'https://packetlife.net/blog/2008/nov/13/cisco-memory/', 'https://networklessons.com/cisco/ccna-icnd1-1-0/router-and-switch-memory/']",1,chapter2_ethernet_lans,0.95,1
33,"You have been tasked to configure the IPv4 address on the switch only on the VLAN 1 following the details below.
Configuration details:
IP address: 199.255.240.100
Subnet mask: 255.255.255.0
Default gateway: 199.255.240.1
Which of the following commands will you type to complete the task?","a. Examsdigest#(config)# interface vlan 1
Examsdigest#(config-line)# ip address 199.255.240.100 255.255.255.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
b. Examsdigest#(config)# interface vlan 1
Examsdigest#(config-line)# ip address 199.255.241.100 255.255.255.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
c. Examsdigest#(config)# interface vlan 1
Examsdigest#(config-line)# ip address 199.255.240.100 255.255.0.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
d. Examsdigest#(config)# interface vlan 11
Examsdigest#(config-line)# ip address 199.255.240.100 255.255.255.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
",,a,a,,"Option a correctly configures the switch management SVI on VLAN 1 with the required IPv4 address and /24 subnet mask (199.255.240.100 255.255.255.0), brings the SVI up with no shutdown, and sets the switch default gateway to 199.255.240.1. Options b, c, and d are incorrect because b uses the wrong IP (199.255.241.100), c uses the wrong subnet mask (/16 instead of /24), and d uses the wrong VLAN (vlan 11 instead of vlan 1).","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst/3750/software/release/12-2_52_se/configuration/guide/3750scg/swvlan.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_basic/command/ipaddr_basic_book/ip-defgw.html', 'https://networklessons.com/cisco/ccna-200-301/configure-switch-management-ip-address/']",1,chapter2_ethernet_lans,0.95,1
34,Which of the following configuration commands defines the password that all users must use to reach enable mode?,"a. enable secret “type password“
b. enable “type password“
c. secret “type password“
d. secret enable “type password“
",,a,a,,"The correct command is enable secret ""password"". The enable secret command sets the password required to enter privileged EXEC (enable) mode. It is stored in hashed form and takes precedence over the older enable password command, so it is the recommended way to configure the enable-mode password.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/security/command/security-cr-book/sec-priv-exec.html', 'https://learningnetwork.cisco.com/s/article/enable-secret-vs-enable-password', 'https://networklessons.com/cisco/ccna-icnd1-100-105/enable-secret-vs-enable-password/']",1,chapter2_ethernet_lans,0.95,1
