Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. https
b. courses
c. courses.examsdigest.com
d. examsdigest.com
e. examsdigest.com/ccna
",,c,c,,"In the URI https://courses.examsdigest.com/ccna the hostname is the domain portion that appears after the scheme and '//' and before the first '/' — i.e., 'courses.examsdigest.com' (includes the subdomain 'courses' and the domain 'examsdigest.com'). 'https' is the scheme, and '/ccna' is the path.","['https://tools.ietf.org/html/rfc3986', 'https://developer.mozilla.org/en-US/docs/Web/API/URL/URL']",1,chapter9_ip_acl,0.95,1
155,Which of the following protocols uses the port 443?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,a,a,,"HTTPS (HTTP over TLS/SSL) uses TCP port 443. By contrast, plain HTTP uses port 80, SSH uses port 22, and SMTP commonly uses port 25 (with 465/587 used for secure/submission variants).","['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'https://tools.ietf.org/html/rfc2818', 'https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview']",1,chapter9_ip_acl,0.99,1
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,b,b,,"HTTP (HyperText Transfer Protocol) uses TCP port 80 by default. HTTPS uses TCP port 443, SMTP typically uses TCP port 25, and SSH uses TCP port 22.","['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'https://developer.mozilla.org/en-US/docs/Web/HTTP', 'https://datatracker.ietf.org/doc/html/rfc7230']",1,chapter9_ip_acl,0.99,1
157,Which of the following protocols uses the port 25?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,c,c,,"SMTP (Simple Mail Transfer Protocol) uses TCP port 25 for mail transfer (MTA-to-MTA). The other choices use different ports: HTTP uses 80, HTTPS uses 443, and SSH uses 22.","['https://datatracker.ietf.org/doc/html/rfc5321', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers']",1,chapter9_ip_acl,0.99,1
158,Which of the following protocols uses the port 22?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,d,d,,"SSH (Secure Shell) uses TCP port 22 by default. (For reference: HTTPS uses 443, HTTP uses 80, and SMTP uses 25.)","['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'https://datatracker.ietf.org/doc/html/rfc4253', 'https://tools.ietf.org/html/rfc7230', 'https://tools.ietf.org/html/rfc5321']",1,chapter9_ip_acl,0.99,1
159,Which of the following port numbers the SNMP protocol uses?,"a. 20
b. 25
c. 160
d. 161
",,d,d,,"SNMP agents listen on UDP port 161 for standard SNMP messages. (SNMP traps are sent to UDP port 162.) The other listed ports are for different protocols (TCP/20 for FTP data, TCP/25 for SMTP).","['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml?search=snmp', 'https://datatracker.ietf.org/doc/html/rfc1157', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/snmp/configuration/15-s/snmp-15-s-book/snmp-overview.html']",1,chapter9_ip_acl,0.99,1
160,Which of the following port numbers the POP3 protocol uses?,"a. 100
b. 110
c. 120
d. 130
",,b,b,,POP3 (Post Office Protocol version 3) uses TCP well-known port 110 for standard (unencrypted) mail retrieval. (Note: POP3 over SSL/TLS commonly uses port 995.),"['https://www.rfc-editor.org/rfc/rfc1939', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml?search=pop3', 'https://tools.ietf.org/html/rfc2595']",1,chapter9_ip_acl,0.99,1
161,Which of the following port numbers the DNS protocol uses?,"a. 50
b. 51
c. 52
d. 53
",,d,d,,"DNS uses port 53 (both UDP and TCP). UDP/53 is used for normal queries; TCP/53 is used for zone transfers and for responses that exceed UDP size limits. None of the other listed ports (50, 51, 52) are assigned to DNS.","['https://tools.ietf.org/html/rfc1035', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml?search=dns']",1,chapter9_ip_acl,0.99,1
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,b",,"Standard IPv4 access lists (standard ACLs) match only the packet’s source IP address. You can match an exact source IP (using host or wildcard mask 0.0.0.0) and you can match an entire subnet with a single access-list entry using an appropriate wildcard mask (e.g., 192.168.1.0 0.0.0.255). You cannot match the destination IP with a standard ACL, and you cannot match an arbitrary non-contiguous or non power-of-two range such as 20.2.2.2–20.2.2.22 with a single standard ACL entry without also matching other addresses.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_acl/configuration/15-s/secure-acl-15-s-book/standard_ip_access_lists.html', 'https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13684-3.html', 'https://learningnetwork.cisco.com/s/article/understanding-ip-access-lists']",1,chapter9_ip_acl,0.95,1
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"True. Numbered ACLs are created using global configuration commands (e.g., access-list 100 permit ...). Named ACLs are entered with the ip access-list {standard|extended} NAME command and then use ACL subcommands (the ACL configuration submode) to define permit/deny lines and matching parameters.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-s/sec-data-acl-15-s-book/acl-named.html', 'https://learningnetwork.cisco.com/s/article/what-are-access-lists-acls']",1,chapter9_ip_acl,0.95,1
165,"Given the following fields, which of those cannot be compared on an extended IP ACL?","a. Application protocol
b. Destination IP address
c. Source IP address
d. URL
e. TOS Byte
",,d,"a,d",,"Extended IP access lists can match source and destination IP addresses and can match the TOS/precedence using the 'tos' (or precedence) match keywords. They do not perform application-layer content inspection — they cannot directly compare a URL, nor can they identify arbitrary application-layer protocol details beyond IP protocol number and port-based matches. URL filtering and deeper application-protocol inspection require an application-aware device (proxy, firewall with application inspection/NGFW, or NBAR), not a plain extended IP ACL.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_acl/configuration/15-s/ia-15-s-book/ia-extended-ip-acl.html', 'https://networklessons.com/cisco/ccna/extended-acl/', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_conn_acl/command/sec-conn-acl-cr-book/sec-acl.html']",0,chapter9_ip_acl,0.9,1
166,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #1: Permit packets from 186.33.2.3
ACL command #1: ______________________","a. access-list 1 permit 186.33.2.3
b. access-list 1 deny 186.33.2.3
c. access-list 1 permit 186.33.2.0
d. access-list 1 deny 186.33.0.0
",,a,a,,"Option (a) is the only choice that permits the single host 186.33.2.3 with access-list number 1. Standard ACLs match the source IP; the other options either deny or reference network addresses. (Note: in real IOS syntax you would typically include a wildcard mask or the keyword 'host' — e.g. 'access-list 1 permit 186.33.2.3 0.0.0.0' or 'access-list 1 permit host 186.33.2.3' — but given the provided choices, (a) matches the requirement.)","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-s/sacl-15-s-book/standard.html', 'https://learningnetwork.cisco.com/s/article/standard-access-list-configuration-examples']",1,chapter9_ip_acl,0.9,1
167,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #2: Permit packets from hosts with 56.57.2 as the first three octets
ACL command #2: ______________________","a. access-list 1 permit 56.57.2.0 0.0.0.255
b. access-list 1 permit 57.57.2.0 0.0.0.255
c. access-list 1 permit 56.57.2.0 0.0.255.255
d. access-list 1 deny 56.57.2.0 0.0.0.255
",,a,a,,"Option a uses a permit with the network 56.57.2.0 and wildcard mask 0.0.0.255, which matches any host whose first three octets are 56.57.2 (i.e., 56.57.2.x). Option b has the wrong first octet, c's wildcard (0.0.255.255) would match 56.57.*.*, and d denies instead of permitting.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-s/sec-data-acl-15-s-book/sec-acl-overview.html', 'https://community.cisco.com/t5/networking-documents/ip-access-lists-wildcard-mask-examples/ta-p/3112746']",1,chapter9_ip_acl,0.99,1
