Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
3,How many bits are used for the header checksum in IPv4 packets? Select one choice.,"a. 8 bits
b. 16 bits
c. 32 bits
d. None of the above
",,b,b,,The IPv4 header contains a 'Header Checksum' field that is 16 bits long; it covers only the IP header (not the payload). This is specified in RFC 791 and standard networking texts.,"['https://datatracker.ietf.org/doc/html/rfc791', 'https://en.wikipedia.org/wiki/IPv4#Header']",1,grad_TCP,0.99,1
4,What is the dotted notation of an IP address of 10000000 10000111 01000100 00000101? Select one choice.,"a. 128.135.65.5
b. 128.135.68.5
c. 128.135.65.5
d. 128.133.68.5
",,b,b,,"Split the 32-bit string into 4 octets and convert each binary octet to decimal: 10000000 = 128, 10000111 = 135, 01000100 = 68, 00000101 = 5. Therefore the dotted-decimal form is 128.135.68.5, which matches choice b.","['https://datatracker.ietf.org/doc/html/rfc791', 'https://en.wikipedia.org/wiki/IPv4_address', 'https://en.wikipedia.org/wiki/Binary_number']",1,grad_TCP,0.99,1
5,"Given a network address 128.100.0.0, what is its network class type? Select one choice.","a. Class A
b. Class B
c. Class C
d. None of the above
",,b,b,,"The first octet of 128.100.0.0 is 128. In classful IPv4 addressing, Class B addresses have first-octet values from 128 to 191 (default mask 255.255.0.0, /16), so 128.100.0.0 is Class B.","['https://en.wikipedia.org/wiki/Classful_network#IPv4_address_classes', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13714-3.html']",1,grad_TCP,0.98,1
6,Which of the following is provided at the IP layer? Select one choice.,"a. Connectionless
b. Best effort delivery service
c. Both of the above
d. None of the above
",,c,c,,"The IP protocol is a connectionless (datagram) protocol and provides best-effort delivery (no guaranteed reliability, ordering, or delivery). Therefore both statements apply to the IP layer.","['https://tools.ietf.org/html/rfc791', 'https://www.cisco.com/c/en/us/solutions/collateral/enterprise-networks/what-is-ip/white-paper-c11-741078.html', 'https://gaia.cs.umass.edu/kurose_ross/interactive/notes/contents.html (Kurose & Ross, Computer Networking textbook)']",1,grad_TCP,0.96,1
8,What is the subnetwork number of a host with an IP address of 172.16.66.0/21? Select one choice.,"a. 172.16.48.0
b. 172.16.64.0
c. 172.16.0.0
d. 172.16.36.0
",,b,b,,"A /21 mask = 255.255.248.0 so the block size in the third octet is 8. Subnet boundaries are 0,8,16,...,64,72,... The third octet value 66 falls in the 64–71 range, so the subnet (network) address is 172.16.64.0.","['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-networking/what-is-ip-subnetting.html', 'https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/calculate-ip-subnet', 'https://en.wikipedia.org/wiki/Subnetwork']",1,grad_TCP,0.95,1
9,What is the first valid host on the subnetwork that the node 172.30.190.198/24 belongs to? Select one choice.,"a. 172.30.190.0
b. 172.30.190.1
c. 172.30.190.100
d. None of the above
",,b,b,,With a /24 mask (255.255.255.0) the network address for 172.30.190.198/24 is 172.30.190.0. The first usable host address is the network address plus one: 172.30.190.1. (Broadcast would be 172.30.190.255.),"['https://tools.ietf.org/html/rfc950', 'https://en.wikipedia.org/wiki/IPv4', 'https://learn.microsoft.com/en-us/windows-server/networking/technologies/ipam/understanding-ip-addressing']",1,grad_TCP,0.98,1
10,"Based on 1.1.1.0/24, the IP address would be: Select one choice.","a. Class A
b. Class B
c. Class C
d. Class D
",,a,a,,"The first octet is 1, which falls in the Class A range (1–126). Classful classification depends on the first octet; although the notation /24 indicates a 255.255.255.0 mask (a subnet), the address 1.1.1.0 originates from a Class A block (1.0.0.0/8).","['https://en.wikipedia.org/wiki/IPv4_address', 'https://www.iana.org/assignments/ipv4-address-space/ipv4-address-space.xhtml', 'https://developers.cloudflare.com/networking/glossary/ip-address/']",1,grad_TCP,0.95,1
12,"Using CIDR notation, a prefix 205.100.0.0 of length 22 is written as 205.100.0.0/22. What network mask does the /22 notation indicate? Select one choice.","a. 205.255.255.0
b. 255.255.252.0
c. 255.255.22.0
d. None of the above
",,b,b,,"/22 means 22 leading 1 bits in the IPv4 mask: 11111111.11111111.11111100.00000000 which equals 255.255.252.0, so the correct network mask is 255.255.252.0.","['https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://datatracker.ietf.org/doc/html/rfc4632']",1,grad_TCP,1.0,1
13,"Perform CIDR aggregation on the following /24 IP addresses: 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, 128.58.27.0/24. What is the CIDR outcome? Select one choice.","a. 128.58.28.0/22
b. 128.58.24.0/22
c. 128.58.28.0/24
d. None of the above
",,b,b,,"The four contiguous /24 networks (.24, .25, .26, .27) form a block of 4 × /24 = one /22. A /22 has mask 255.255.252.0 and increments of 4 in the third octet; 24 is a multiple of 4, so the aggregate is 128.58.24.0/22 (covers .24–.27).","['https://tools.ietf.org/html/rfc4632', 'https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.cisco.com/c/en/us/support/docs/ip/open-shortest-path-first-ospf/13684-3.html']",1,grad_TCP,0.99,1
14,Which protocol provides conversion from an IP address to a physical address? Select one choice.,"a. ICMP
b. IGRP
c. ARP
d. DNS
",,c,c,,"ARP (Address Resolution Protocol) translates an IPv4 address to a physical (MAC) address on the local network. ICMP is for control/error messages, IGRP is a routing protocol, and DNS maps domain names to IP addresses (not to physical/MAC addresses).","['https://www.rfc-editor.org/rfc/rfc826.txt', 'https://www.cisco.com/c/en/us/support/docs/ip/address-resolution-protocol-arp/13788-3.html', 'https://www.rfc-editor.org/rfc/rfc1035.txt']",1,grad_TCP,0.98,1
15,Which protocol is used to assign temporary IP addresses to hosts? Select one choice.,"a. ICMP
b. DHCP
c. ARP
d. None of the above
",,b,b,,"DHCP (Dynamic Host Configuration Protocol) is used to automatically assign IP addresses to hosts, typically on a temporary lease basis. ICMP is for network control messages (e.g., ping), and ARP resolves IP addresses to MAC addresses, so they do not assign IP addresses.","['https://datatracker.ietf.org/doc/html/rfc2131', 'https://www.cisco.com/c/en/us/tech/ip/dynamic-host-configuration-protocol-dhcp/index.html', 'https://www.iana.org/assignments/icmp-parameters/icmp-parameters.xhtml']",1,grad_TCP,0.95,1
