Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
4,What is the dotted notation of an IP address of 10000000 10000111 01000100 00000101? Select one choice.,"a. 128.135.65.5
b. 128.135.68.5
c. 128.135.65.5
d. 128.133.68.5
",,b,b,,"Split the 32-bit string into 4 octets and convert each binary octet to decimal: 10000000 = 128, 10000111 = 135, 01000100 = 68, 00000101 = 5. Therefore the dotted-decimal form is 128.135.68.5, which matches choice b.","['https://datatracker.ietf.org/doc/html/rfc791', 'https://en.wikipedia.org/wiki/IPv4_address', 'https://en.wikipedia.org/wiki/Binary_number']",1,grad_TCP,0.99,1
5,"Given a network address 128.100.0.0, what is its network class type? Select one choice.","a. Class A
b. Class B
c. Class C
d. None of the above
",,b,b,,"The first octet of 128.100.0.0 is 128. In classful IPv4 addressing, Class B addresses have first-octet values from 128 to 191 (default mask 255.255.0.0, /16), so 128.100.0.0 is Class B.","['https://en.wikipedia.org/wiki/Classful_network#IPv4_address_classes', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13714-3.html']",1,grad_TCP,0.98,1
8,What is the subnetwork number of a host with an IP address of 172.16.66.0/21? Select one choice.,"a. 172.16.48.0
b. 172.16.64.0
c. 172.16.0.0
d. 172.16.36.0
",,b,b,,"A /21 mask = 255.255.248.0 so the block size in the third octet is 8. Subnet boundaries are 0,8,16,...,64,72,... The third octet value 66 falls in the 64–71 range, so the subnet (network) address is 172.16.64.0.","['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-networking/what-is-ip-subnetting.html', 'https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/calculate-ip-subnet', 'https://en.wikipedia.org/wiki/Subnetwork']",1,grad_TCP,0.95,1
9,What is the first valid host on the subnetwork that the node 172.30.190.198/24 belongs to? Select one choice.,"a. 172.30.190.0
b. 172.30.190.1
c. 172.30.190.100
d. None of the above
",,b,b,,With a /24 mask (255.255.255.0) the network address for 172.30.190.198/24 is 172.30.190.0. The first usable host address is the network address plus one: 172.30.190.1. (Broadcast would be 172.30.190.255.),"['https://tools.ietf.org/html/rfc950', 'https://en.wikipedia.org/wiki/IPv4', 'https://learn.microsoft.com/en-us/windows-server/networking/technologies/ipam/understanding-ip-addressing']",1,grad_TCP,0.98,1
10,"Based on 1.1.1.0/24, the IP address would be: Select one choice.","a. Class A
b. Class B
c. Class C
d. Class D
",,a,a,,"The first octet is 1, which falls in the Class A range (1–126). Classful classification depends on the first octet; although the notation /24 indicates a 255.255.255.0 mask (a subnet), the address 1.1.1.0 originates from a Class A block (1.0.0.0/8).","['https://en.wikipedia.org/wiki/IPv4_address', 'https://www.iana.org/assignments/ipv4-address-space/ipv4-address-space.xhtml', 'https://developers.cloudflare.com/networking/glossary/ip-address/']",1,grad_TCP,0.95,1
12,"Using CIDR notation, a prefix 205.100.0.0 of length 22 is written as 205.100.0.0/22. What network mask does the /22 notation indicate? Select one choice.","a. 205.255.255.0
b. 255.255.252.0
c. 255.255.22.0
d. None of the above
",,b,b,,"/22 means 22 leading 1 bits in the IPv4 mask: 11111111.11111111.11111100.00000000 which equals 255.255.252.0, so the correct network mask is 255.255.252.0.","['https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://datatracker.ietf.org/doc/html/rfc4632']",1,grad_TCP,1.0,1
13,"Perform CIDR aggregation on the following /24 IP addresses: 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, 128.58.27.0/24. What is the CIDR outcome? Select one choice.","a. 128.58.28.0/22
b. 128.58.24.0/22
c. 128.58.28.0/24
d. None of the above
",,b,b,,"The four contiguous /24 networks (.24, .25, .26, .27) form a block of 4 × /24 = one /22. A /22 has mask 255.255.252.0 and increments of 4 in the third octet; 24 is a multiple of 4, so the aggregate is 128.58.24.0/22 (covers .24–.27).","['https://tools.ietf.org/html/rfc4632', 'https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.cisco.com/c/en/us/support/docs/ip/open-shortest-path-first-ospf/13684-3.html']",1,grad_TCP,0.99,1
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,b",,"Standard IPv4 access lists (standard ACLs) match only the packet’s source IP address. You can match an exact source IP (using host or wildcard mask 0.0.0.0) and you can match an entire subnet with a single access-list entry using an appropriate wildcard mask (e.g., 192.168.1.0 0.0.0.255). You cannot match the destination IP with a standard ACL, and you cannot match an arbitrary non-contiguous or non power-of-two range such as 20.2.2.2–20.2.2.22 with a single standard ACL entry without also matching other addresses.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_acl/configuration/15-s/secure-acl-15-s-book/standard_ip_access_lists.html', 'https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13684-3.html', 'https://learningnetwork.cisco.com/s/article/understanding-ip-access-lists']",1,chapter9_ip_acl,0.95,1
166,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #1: Permit packets from 186.33.2.3
ACL command #1: ______________________","a. access-list 1 permit 186.33.2.3
b. access-list 1 deny 186.33.2.3
c. access-list 1 permit 186.33.2.0
d. access-list 1 deny 186.33.0.0
",,a,a,,"Option (a) is the only choice that permits the single host 186.33.2.3 with access-list number 1. Standard ACLs match the source IP; the other options either deny or reference network addresses. (Note: in real IOS syntax you would typically include a wildcard mask or the keyword 'host' — e.g. 'access-list 1 permit 186.33.2.3 0.0.0.0' or 'access-list 1 permit host 186.33.2.3' — but given the provided choices, (a) matches the requirement.)","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-s/sacl-15-s-book/standard.html', 'https://learningnetwork.cisco.com/s/article/standard-access-list-configuration-examples']",1,chapter9_ip_acl,0.9,1
167,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #2: Permit packets from hosts with 56.57.2 as the first three octets
ACL command #2: ______________________","a. access-list 1 permit 56.57.2.0 0.0.0.255
b. access-list 1 permit 57.57.2.0 0.0.0.255
c. access-list 1 permit 56.57.2.0 0.0.255.255
d. access-list 1 deny 56.57.2.0 0.0.0.255
",,a,a,,"Option a uses a permit with the network 56.57.2.0 and wildcard mask 0.0.0.255, which matches any host whose first three octets are 56.57.2 (i.e., 56.57.2.x). Option b has the wrong first octet, c's wildcard (0.0.255.255) would match 56.57.*.*, and d denies instead of permitting.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-s/sec-data-acl-15-s-book/sec-acl-overview.html', 'https://community.cisco.com/t5/networking-documents/ip-access-lists-wildcard-mask-examples/ta-p/3112746']",1,chapter9_ip_acl,0.99,1
