Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Broadcast address
b. Multicast address
c. IP address
d. MAC address
e. Unicast address
",,"a,b","a,b",,"Broadcast and multicast addresses are the two types of Ethernet addresses that can send a single frame that is delivered to multiple devices on a LAN. A broadcast address (FF-FF-FF-FF-FF-FF) sends the frame to all devices, while a multicast address sends the frame to a specific group of devices that have subscribed to that multicast group. The other options - IP address, MAC address, and unicast address - refer to addresses used for delivering frames to a single specific device.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 2: Fundamentals of Ethernet LANs', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CD
b. CSMA/CA
c. TCP/IP
d. TCP/UDP
",,a,a,,"CSMA/CD (Carrier Sense Multiple Access with Collision Detection) is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision. When a collision is detected, both devices stop transmitting, wait a random amount of time, and then retry the transmission.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/5241-csma-cd.html']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 100
b. 10
c. 1000
d. 1",,c,c,,The Ethernet standard that defines Gigabit Ethernet over UTP cabling is 1000BASE-T. The number 1000 represents the data transfer rate of 1000 Mbps or 1 Gbps. 10BASE-T and 100BASE-TX are older Ethernet standards that support 10 Mbps and 100 Mbps respectively over UTP cabling.,"['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'IEEE 802.3 Ethernet Working Group', 'https://en.wikipedia.org/wiki/Gigabit_Ethernet']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The preamble field in the Ethernet frame header allows devices to synchronize their receiver clocks. It consists of a 56-bit pattern of alternating 1s and 0s that enables the receiving devices to synchronize their clocks with the sender's clock, ensuring proper reception and interpretation of the frame.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'IEEE 802.3 Ethernet standard documentation']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Source
b. Destination
c. Unicast
d. Broadcast
",,b,b,,"The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. When a host needs to communicate with another device on a different network, it forwards the packets to its default gateway, which then routes the packets to the appropriate destination network.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 16: Fundamentals of IP Version 4 Addressing and Routing', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens, Chapter 2: Link Layer']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,a,a,,"SMTP (Simple Mail Transfer Protocol) is an application layer protocol in the TCP/IP model. It is used for sending and receiving email messages between servers. TCP (Transmission Control Protocol) and IP (Internet Protocol) reside in the transport and network layers, respectively, while Ethernet is a data link layer protocol.","['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html', 'https://www.geeksforgeeks.org/tcp-ip-model/']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,b,b,,"The Transport layer of the TCP/IP model is responsible for end-to-end communication between applications. The two main protocols in this layer are TCP (Transmission Control Protocol) and UDP (User Datagram Protocol). TCP provides reliable, connection-oriented transmission, while UDP offers a connectionless, best-effort service. SMTP (Simple Mail Transfer Protocol) is an Application layer protocol, Ethernet operates at the Data Link layer, and IP (Internet Protocol) is a Network layer protocol.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens', 'CISCO Official Cert Guide: CCNA 200-301 by Wendell Odom']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,d,d,,"The Internet Protocol (IP) resides in the Internet layer of the TCP/IP architecture model. IP is responsible for addressing hosts and routing datagrams (packets) from a source host to the destination host across one or more IP networks. The other choices reside in different layers: SMTP is an Application layer protocol, TCP is a Transport layer protocol, and Ethernet is a Network Access layer protocol.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 3: Fundamentals of TCP/IP Transport and Applications - Cisco Press', 'TCP/IP Overview - https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,"Ethernet is a protocol that resides in the Data Link and Physical layers of the TCP/IP architecture. SMTP (Simple Mail Transfer Protocol) is an application layer protocol, TCP (Transmission Control Protocol) is a transport layer protocol, and IP (Internet Protocol) is a network layer protocol.","['Cisco CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. ping
b. ARP
c. DHCP
d. DNS
",,b,b,,"ARP (Address Resolution Protocol) is used by a device to learn the MAC address associated with an IP address on the same network. When a device needs to communicate with another device on the local network, it uses ARP to broadcast a request to all devices, asking for the MAC address of the device with the specific IP address. The device with that IP address responds with its MAC address, allowing communication to occur.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 5: Fundamentals of IPv4 Addressing and Routing', 'https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/13718-5.html']",1,chapter1_intro_to_networking,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
