Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which form of NAT enables a firewall to selectively perform translations based on the destination address? Select one choice.,"a. static NAT
b. dynamic PAT
c. static PAT
d. policy NAT
e. dynamic NAT
",,d,d,,"Policy NAT enables a firewall to selectively perform address translations based on the destination address. It allows defining specific policies that determine which traffic should be translated and how, depending on the destination IP address or port. This provides more granular control compared to static or dynamic NAT/PAT.","['CCNA 200-301 Official Cert Guide, Volume 2, by Wendell Odom', 'https://www.cisco.com/c/en/us/td/docs/security/asa/asa96/configuration/firewall/asa-96-firewall-config/nat-basics.html']",1,NetSec,0.95,1
2,Which form of NAT uses port addresses to distinguish between translated sessions? Select one choice.,"a. static NAT
b. policy NAT
c. dynamic PAT
d. dynamic NAT
",,c,c,,"Dynamic PAT (Port Address Translation), also known as overloading, uses port numbers to distinguish between translated sessions. It allows multiple private IP addresses to be mapped to a single public IP address by using different port numbers for each session. This enables many devices to share a single public IP address.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'https://www.cisco.com/c/en/us/support/docs/ip/network-address-translation-nat/26704-nat-faq-00.html']",1,NetSec,0.95,1
3,"In an ACL, if a traffic flow is not explicitly permitted, once it has expired testing all the user-configured control entries in the list, the result will be:","a. The traffic will be implicitly permitted.
b. The traffic will be explicitly permitted.
c. The traffic will be explicitly denied.
d. The traffic will be implicitly denied.
",,d,d,,"In an Access Control List (ACL), if a traffic flow is not explicitly permitted by any of the user-configured control entries, it will be implicitly denied once it has been tested against all the entries in the list. This is because ACLs follow an implicit deny principle, where any traffic not explicitly allowed is denied by default. This provides a secure default stance, ensuring that only specifically permitted traffic is allowed through the ACL.","['CCNA 200-301 Official Cert Guide, Volume 1, by Wendell Odom', 'https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html']",1,NetSec,0.95,1
4,Which TCP flag must be set in a packet in order for the packet to match an ACL entry that contains the established keyword? Select one choice.,"a. SYN only
b. ACK only
c. RST only
d. SYN or ACK
e. ACK or RST
",,e,b,,"The 'established' keyword in an ACL entry matches packets that belong to an established TCP connection. For a TCP connection to be considered established, the ACK flag must be set in the packet. The ACK flag indicates that the packet is acknowledging previously received data, which only occurs in an established connection after the initial three-way handshake (SYN, SYN-ACK, ACK) is completed.","['Cisco Networking Academy: Introduction to Networks v7.0 - Chapter 7: Access Control Lists', ""Cisco IOS Security Command Reference: 'access-list (IP extended)' command description""]",0,NetSec,0.95,1
5,Which one of the following best describes the limitations of local AAA databases? Select one choice.,"a. Usernames, passwords, and credentials must be synchronized with a TACACS+/RADIUS server.
b. Scalability issues force network administrators to enter username credentials into each network device.
c. While they support accounting, they do not meet the requirements for large persistent storage.
d. Authorization policies that are created with local AAA databases cannot be synchronized and made available to all the devices across the network.
",,b,b,,Local AAA databases have scalability limitations because network administrators must manually enter and maintain username credentials on each individual network device. This becomes cumbersome and error-prone in larger networks with many devices. The other options are incorrect because:a) Local AAA databases do not require synchronization with TACACS+/RADIUS servers. c) Local databases typically do not support accounting features.d) Authorization policies are device-specific when using local AAA and cannot be synchronized across the network.,"['CCNA 200-301 Official Cert Guide, Volume 2, Chapter 14: AAA Services', 'Cisco Networking Academy: Introduction to Networks v7.0 (ITN), Module 3: Network Protocols and Services']",1,NetSec,0.95,1
6,"What benefit does a web application firewall provide, in addition to the benefits provided by a traditional load balancer? Select one choice.","a. Protects any Layer 7 applications from malware
b. Protects web applications from common vulnerabilities and DDoS attacks
c. Protects the back-end database by acting as a reverse proxy between the web server and the back-end database
d. Protects the servers behind the WAF from attacks using Layer 3 and 4 firewall rules
",,b,b,,"A web application firewall (WAF) provides protection for web applications against common vulnerabilities and attacks, such as SQL injection, cross-site scripting (XSS), and distributed denial-of-service (DDoS) attacks. It does this by inspecting HTTP traffic and blocking malicious requests based on predefined rules or learned behavior. This is in addition to the load balancing functionality provided by traditional load balancers.","['OWASP Web Application Firewall: https://owasp.org/www-community/Web_Application_Firewall', 'Cloudflare Web Application Firewall (WAF): https://www.cloudflare.com/learning/ddos/glossary/web-application-firewall-waf/', 'AWS Web Application Firewall (WAF): https://aws.amazon.com/waf/']",1,NetSec,0.95,1
7,What are four common algorithms that typical load balancers use to load balance the traffic? (Choose four.),"a. Round robin
b. Fewest connections
c. Least time
d. Weighted early random detection
e. Anomaly based
f. Hash
",,"a,b,c,f","a,b,c,f",,The four common algorithms that typical load balancers use are:a. Round robin: Distributes requests sequentially to each server in turn.  b. Fewest connections: Sends new connections to the server with the least number of active connections.c. Least time: Chooses the server with the fastest response time and least active connections.f. Hash: Uses a hash function on attributes like IP address or URL to deterministically choose a server for each request.Weighted early random detection and anomaly-based are not typical load balancing algorithms.,"['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'Load Balancing Algorithms - GeeksforGeeks (https://www.geeksforgeeks.org/load-balancing-algorithms/)']",1,NetSec,0.95,1
8,What three elements can be configured in firewall policies to detect network-based malware? (Choose three.),"a. Commonly used protocols
b. SHA-256 hashes
c. Metadata stored that is within the files
d. Commonly used rainbow hash tables
e. Access control lists (ACLs)
",,"a,b,c","a,b,c",,"Firewall policies can be configured to detect network-based malware using the following three elements:a. Commonly used protocols: Firewalls can inspect traffic using common protocols like HTTP, HTTPS, FTP to identify malicious patterns or behaviors indicative of malware.  b. SHA-256 hashes: Comparing file hashes against known malware signatures is an effective way to identify malicious files traversing the network.c. Metadata stored within files: Analyzing metadata embedded in files like creation date, author name, etc. can help flag suspicious files that may contain malware.Rainbow hash tables (d) are used for password cracking, not malware detection. Access control lists (e) define permitted/denied traffic but don't directly detect malware.","['https://www.cisco.com/c/en/us/products/security/firewalls/what-is-a-firewall.html', 'https://www.forcepoint.com/cyber-edu/firewall', 'https://www.checkpoint.com/cyber-hub/network-security/what-is-firewall/']",1,NetSec,0.95,1
9,What is the first step in centralized syslog management? Select one choice.,"a. Receive syslog messages from syslog clients that are distributed across the network and store those messages in a flat log file.
b. Present syslog data in the form of automated reports, dashboards, and real-time query responses.
c. Move messages from the flat log file to a high-performance relational database.
d. Process low-level data in the relational database to produce higher-level information constructs.
",,a,a,,The first step in centralized syslog management is to receive syslog messages from syslog clients distributed across the network and store those messages in a flat log file. This allows the centralized syslog server to collect all the log data in one place before further processing and analysis.,"['CCNA 200-301 Official Cert Guide, Volume 2, Chapter 19: Syslog and SNMP', 'Cisco Press: Network Management Fundamentals, Chapter 6: Syslog']",1,NetSec,0.95,1
10,What must a host on an Ethernet network know about a destination to send an Ethernet frame to that destination? Select one choice.,"a. Receiving port number
b. IP address
c. MAC address
d. Window size
",,c,c,,"To send an Ethernet frame to a destination host on an Ethernet network, the sending host must know the destination's MAC (Media Access Control) address. The MAC address uniquely identifies each device at the data link layer and is used for addressing frames between devices on the same network segment. IP addresses are used at the network layer for logical addressing between networks, while port numbers are used at the transport layer to identify specific processes or services. The window size is a TCP flow control parameter and is not relevant to Ethernet addressing.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross, Chapter 6: The Link Layer and LANs', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 3: Fundamentals of LANs']",1,NetSec,0.95,1
