Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
218,Which of the following configuration management tools uses agentless architecture for managing network devices?,"a. Ansible
b. Puppet
c. Chef
d. Ansible and Puppet
e. Puppet and Chef
",,a,a,,Ansible uses an agentless architecture for managing network devices. It connects to devices over SSH or API and does not require any agent software to be installed on the managed devices. Puppet and Chef both use an agent-based architecture where an agent is installed on each managed node.,"['https://www.ansible.com/overview/how-ansible-works', 'https://puppet.com/docs/puppet/7/architecture.html', 'https://docs.chef.io/architecture/']",1,chapter13_network_automation,0.95,1
220,CRUD is the acronym of the four primary actions performed by an application. What does CRUD stand for?,"a. Create, Read, Update, Delete
b. Create, Read, Update, Done
c. Create, Resolve, Update, Delete
d. Create, Resolve, Update, Done
",,a,a,,"CRUD stands for Create, Read, Update, Delete. These are the four basic functions of persistent storage and represent the fundamental operations performed on data in a database or data storage system. Create (or Insert) adds new data, Read (or Select) retrieves existing data, Update modifies existing data, and Delete removes data.","['https://en.wikipedia.org/wiki/Create,_read,_update_and_delete', 'https://www.sumologic.com/glossary/crud/']",1,chapter13_network_automation,1,1
221,A Layer 2 switch examines a frame’s destination MAC address and forwards that frame out of the port G0/2. That action occurs as part of which plane of the switch?,"a. Data plane
b. Management plane
c. Control Plane
d. None of the above
",,a,a,,Forwarding frames based on the destination MAC address is a function of the data plane (also known as forwarding plane) on a Layer 2 switch. The data plane is responsible for the actual forwarding of frames or packets and making decisions based on the information in the MAC address table or routing table.,"['Cisco CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 5: Fundamentals of Ethernet LANs', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9300/software/release/16-12/configuration_guide/sys_mgmt/b_1612_sys_mgmt_9300_cg/configuring_control_plane_policing.html']",1,chapter13_network_automation,0.95,1
223,Identify the hostname part from the given URI: https://cluster.cisco.com/dna/intent/api/v1/business/sda/fabric? ipaddress=10.1.2.3.,"a. https://
b. cluster.cisco
c. cluster.cisco.com
d. dna/intent/api/v1/business/sda/fabric
e. ?ipaddress=10.1.2.3
",,c,c,,"The hostname part of a URI is the domain name or IP address of the server hosting the resource. In this case, the hostname is 'cluster.cisco.com'. It comes after the scheme ('https://') and before the path ('/dna/intent/api/v1/business/sda/fabric') and query string ('?ipaddress=10.1.2.3').","['RFC 3986: Uniform Resource Identifier (URI): Generic Syntax - https://www.rfc-editor.org/rfc/rfc3986', 'Cisco DevNet: Cisco DNA Center Intent API v1 - https://developer.cisco.com/docs/dna-center/#!cisco-dna-center-intent-api-v1-overview']",1,chapter13_network_automation,0.95,1
224,Which of the following features of Cisco DNA Center discovers the actual path the packets will take from the source to the destination based on the current forwarding tables?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,d,d,,Path trace is the feature in Cisco DNA Center that discovers the actual path packets will take from source to destination based on the current forwarding tables. It allows network administrators to visualize and troubleshoot the exact route data will traverse through the network at a given point in time.,"['Cisco DNA Center User Guide, Release 2.2.3 - Path Trace: https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-2-3/user_guide/b_cisco_dna_center_ug_2_2_3/b_cisco_dna_center_ug_2_2_3_chapter_01001.html', 'Cisco Press CCNA 200-301 Official Cert Guide, Chapter 28: Network Management - Cisco DNA Center and Assurance']",1,chapter13_network_automation,0.95,1
225,Which of the following features of Cisco DNA Center shows past client performance in a timeline for comparison to current behavior?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,c,c,,Network time travel is a feature of Cisco DNA Center that allows viewing past client performance in a timeline for comparison to current behavior. It provides historical data and insights into client and network performance over time.,"['Cisco DNA Center User Guide, Release 2.2.3 - Network Time Travel: https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-2-3/user_guide/b_cisco_dna_center_ug_2_2_3/b_cisco_dna_center_ug_2_2_3_chapter_01001.html', 'Cisco DNA Center 2.2.3.x Online Help - Network Time Travel: https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-2-3/online-help/b_cisco_dna_center_online_help_2_2_3/b_cisco_dna_center_online_help_2_2_3_chapter_01000.html']",1,chapter13_network_automation,0.95,1
226,Which of the following features of Cisco DNA Center gives a comprehensive view of the health of the device?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,b,b,,"Device 360 and Client 360 in Cisco DNA Center provide a comprehensive view of the health and status of network devices and clients. These features offer detailed information about device performance, configuration, connected clients, and issues, enabling network administrators to quickly assess and troubleshoot device-related problems.","['Cisco DNA Center User Guide, Release 2.2.3 - Device 360: https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-2-3/user_guide/b_cisco_dna_center_ug_2_2_3/b_cisco_dna_center_ug_2_2_3_chapter_01001.html', 'Cisco DNA Center User Guide, Release 2.2.3 - Client 360: https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-2-3/user_guide/b_cisco_dna_center_ug_2_2_3/b_cisco_dna_center_ug_2_2_3_chapter_01000.html']",1,chapter13_network_automation,0.95,1
227,Which of the following features of Cisco DNA Center enables Cisco DNA to use algorithms to recognize security threats even in encrypted traffic?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,a,a,,"Encrypted Traffic Analytics (ETA) is a feature in Cisco DNA Center that uses advanced machine learning algorithms to identify malware communications in encrypted traffic, without the need for decryption. It can detect threats even when they are hidden in encrypted flows by analyzing traffic metadata and behavior. The other options - Device/Client 360, network time travel, and path trace - provide useful network visibility and troubleshooting capabilities in DNA Center, but do not specifically enable threat detection in encrypted traffic.","['Cisco DNA Center User Guide, Release 2.2.3 - Encrypted Traffic Analytics: https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-2-3/user_guide/b_cisco_dna_center_ug_2_2_3/b_cisco_dna_center_ug_2_2_3_chapter_01001.html', 'Cisco Blogs - Detecting Threats in Encrypted Traffic: https://blogs.cisco.com/security/detecting-threats-in-encrypted-traffic']",1,chapter13_network_automation,0.95,1
228,"Your company decides to move away from manual configuration methods, making changes by editing centralized configuration files. The issues you are facing with non-centralized configuration files are:
1) You don’t know who engineer made the changes in the configuration file.
2) You don’t know the changes in the configuration file over time.
Which tool your company will use in order to solve these issues?","a. Version Control System
b. Version Control Configuration
c. Version Control Change
d. Version Control Edit
",,a,a,,"A Version Control System (VCS) is a tool that helps manage changes to files over time. It keeps track of who made changes, what changes were made, and when they were made. This allows teams to collaborate on files, revert to previous versions if needed, and maintain a clear history of modifications. In the context of network configuration files, using a VCS would address the issues of not knowing who made changes and not having visibility into the changes made over time.","['https://en.wikipedia.org/wiki/Version_control', 'https://www.atlassian.com/git/tutorials/what-is-version-control', 'https://www.networkworld.com/article/3218728/what-is-version-control-and-why-is-it-important-for-network-admins.html']",1,chapter13_network_automation,0.95,1
229,"One of the benefits of controller-based networks over traditional networks is that the configuration on the devices have fewer errors, and you spent less time troubleshooting the network.","a. TRUE
b. FALSE
",,a,a,,"Controller-based networks centralize the control and management of network devices. This allows for more consistent configurations across devices, reducing the likelihood of configuration errors. It also provides a single point of management, making troubleshooting more efficient compared to traditional networks where each device is configured and managed independently.","['Cisco Press: Software-Defined Access by Srilatha Vemula, Jason Gooley, Roddie Hasan (2020)', 'Cisco White Paper: Cisco Digital Network Architecture (2019)', 'Cisco Learning Network: Understanding Cisco Software-Defined Access (2021)']",1,chapter13_network_automation,0.95,1
230,The ______________________ plane includes protocols that allow network engineers to manage the devices.,"a. Management
b. Data
c. Control
d. Network
",,a,a,,"The management plane includes protocols and tools that allow network engineers and administrators to configure, monitor, and maintain network devices. It involves tasks such as device configuration, software updates, performance monitoring, and troubleshooting. The management plane operates separately from the data and control planes, which handle data forwarding and routing decisions, respectively.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'https://www.cisco.com/c/en/us/about/press/internet-protocol-journal/back-issues/table-contents-52/144-network-management.html']",1,chapter13_network_automation,0.95,1
