Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"IP (Internet Protocol) is a network layer (layer 3) protocol in the five-layer TCP/IP model. It is responsible for addressing, routing, and delivering packets between hosts across network boundaries. Ethernet (b) is a data link layer (layer 2) protocol, while UDP (c) and TCP (d) are transport layer (layer 4) protocols.","['Kurose, J., & Ross, K. (2017). Computer networking: a top-down approach. Pearson.', 'Tanenbaum, A. S., & Wetherall, D. (2011). Computer networks. Pearson.']",1,google_1_basics_computer_networking,0.95,1
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,A browser is an example of an application that operates at the application layer (layer 5) of the five-layer TCP/IP model. Browsers interact with web servers using application layer protocols like HTTP to request and display web pages. Routers (a) work at the network layer to forward packets between networks. UDP (c) is a transport layer protocol. Ethernet cables (d) are physical layer components that transmit bits over wires.,"['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'TCP/IP Guide: A Comprehensive, Illustrated Internet Protocols Reference by Charles M. Kozierok']",1,google_1_basics_computer_networking,0.95,1
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The physical layer of the five layer TCP/IP model deals with the physical aspects of network communication, including cabling, connectors, and other hardware components. It defines the electrical and physical specifications for devices and the transmission medium. The physical layer is responsible for converting data into signals that can be transmitted over the network medium.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens', 'https://www.comptia.org/content/guides/what-is-the-tcp-ip-model']",1,google_1_basics_computer_networking,0.95,1
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,"A router operates at the network layer of the TCP/IP model. The network layer is responsible for addressing, routing, and delivering packets between different networks. Routers use IP addresses to make decisions about where to forward packets to reach their destination network.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'Cisco Networking Academy: Introduction to Networks v7.0']",1,google_1_basics_computer_networking,0.95,1
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,d,,Ethernet standards and some wireless technologies like Wi-Fi operate at the data link layer of the OSI model. The data link layer is responsible for node-to-node data transfer between two devices on the same LAN or WAN. It provides functional and procedural means to transfer data between network entities and might provide the means to detect and possibly correct errors that may occur in the physical layer.,"['https://en.wikipedia.org/wiki/Data_link_layer', 'https://www.comptia.org/content/guides/what-is-a-data-link-layer']",1,google_1_basics_computer_networking,0.95,1
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch allows connections from many devices and inspects the contents of Ethernet protocol data. Unlike a hub, which simply broadcasts data to all connected devices, a switch intelligently directs data only to the intended recipient device by examining the Ethernet frame headers. This allows a switch to create separate collision domains for each port, improving network performance. A cable is just a physical medium for data transmission, and a collision domain refers to a network segment where devices compete for bandwidth, which can occur in networks using hubs.","['CompTIA Network+ Certification Study Guide, Seventh Edition (Exam N10-007) by Todd Lammle, 2018', 'Cisco Networking Academy: Introduction to Networks v7.0 (ITN), 2020']",1,google_1_basics_computer_networking,0.95,1
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network. It refers to a computer network that interconnects computers within a limited area such as a home, school, computer laboratory, office building or group of nearby buildings.","['https://en.wikipedia.org/wiki/Local_area_network', 'https://www.cisco.com/c/en/us/products/switches/what-is-a-lan-local-area-network.html']",1,google_1_basics_computer_networking,1,1
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,"A router is a network device that forwards data packets between computer networks. Routers perform the traffic directing functions on the Internet and within enterprise networks. A router is connected to two or more data lines from different IP networks. When a data packet comes in on one of the lines, the router reads the network address information in the packet header to determine the ultimate destination. Then, using information in its routing table or routing policy, it directs the packet to the next network on its journey.","['https://en.wikipedia.org/wiki/Router_(computing)', 'https://www.cisco.com/c/en/us/products/routers/what-is-a-router.html']",1,google_1_basics_computer_networking,0.95,1
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,d,,"A server is a device, computer program or system that provides resources, data, services, or programs to other computers, known as clients, over a network. In this case, the server is described as 'something providing data to something requesting the data', which aligns with the definition of a server.","['https://en.wikipedia.org/wiki/Server_(computing)', 'https://www.cloudflare.com/learning/network-layer/what-is-a-server/']",1,google_1_basics_computer_networking,0.95,1
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,"Copper wiring is used in cables that communicate in voltage changes, which are received by the receiving device as ones and zeros. Copper is an excellent conductor of electricity and is commonly used in network cables like Ethernet. The voltage changes in the copper wire are interpreted as binary data (ones and zeros) by the receiving device.","['https://www.webopedia.com/definitions/copper-cable/', 'https://www.techtarget.com/searchnetworking/definition/Ethernet']",1,google_1_basics_computer_networking,0.95,1
11,What modulation type is used for computer networks?,"a. RJ45
b. Simplex communication
c. Line coding
d. Line crimping
",,c,c,,"Line coding is the modulation technique used in computer networks to convert digital data into signals suitable for transmission over a physical medium. It involves representing the digital signal with an analog waveform that can be transmitted over the network cable. The other choices are not types of modulation: RJ45 is a connector type, simplex communication refers to one-way data flow, and line crimping is the process of attaching connectors to a cable.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'https://en.wikipedia.org/wiki/Line_code']",1,google_1_basics_computer_networking,0.95,1
12,What is the difference between full duplex and half duplex?,"a. Half duplex occurs when hubs are in use; full duplex occurs when switches are in use.
b. Full duplex allows communications in two directions at the same time; half duplex means that only one side can communicate at a time.
c. Full duplex is a form of simplex communications.
d. Full duplex is slower than half duplex.
",,b,b,,"Full duplex communication allows data to be transmitted in both directions simultaneously, meaning both devices can send and receive data at the same time. In contrast, half duplex communication only allows data transmission in one direction at a time, so while one device is transmitting, the other can only receive, and vice versa. The choice of full duplex or half duplex is not directly related to the use of hubs or switches, and full duplex is generally faster than half duplex as it allows for simultaneous two-way communication.","['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/10563-full-half-duplex-csma-cd.html', 'https://www.comptia.org/content/guides/a-guide-to-network-troubleshooting/duplex-mismatch']",1,google_1_basics_computer_networking,0.95,1
13,The ____________ consists of devices and is responsible for sending signals between devices.,"a. network layer
b. data link layer
c. physical layer
d. modulation
",,c,c,,"The physical layer is responsible for sending signals between devices. It consists of the actual hardware and physical media used to transmit data, such as cables, connectors, and network interface cards. The physical layer defines the electrical, mechanical, and functional specifications for activating, maintaining, and deactivating the physical link between communicating devices.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom']",1,google_1_basics_computer_networking,0.95,1
14,What is the most common type of cabling used for connecting computing devices?,"a. Power Cable
b. Twisted Pair Cable
c. VGA Cable
d. SATA Cable
",,b,b,,"Twisted pair cable is the most common type of cabling used for connecting computing devices, especially in Ethernet networks. It consists of pairs of insulated copper wires twisted together to reduce electromagnetic interference and crosstalk. Twisted pair cables are widely used due to their low cost, flexibility, and suitability for high-speed data transmission over short to medium distances.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press, 2019)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Pearson, 2016)', 'https://www.cisco.com/c/en/us/products/switches/what-is-an-ethernet-cable.html']",1,google_1_basics_computer_networking,0.95,1
15,Which of the following are category types of Twisted Pair Ethernet cable? (Select all that apply),"a. Unshielded Twisted Pair (UTP).
b. Foiled Twisted Pair (FTP).
c. Shielded Twisted Pair (STP).
d. USB Cable
",,"a,b,c","a,b,c",,"The three main categories of Twisted Pair Ethernet cable are Unshielded Twisted Pair (UTP), Foiled Twisted Pair (FTP), and Shielded Twisted Pair (STP). UTP has no shielding, making it more susceptible to electromagnetic interference but also cheaper and easier to install. FTP has foil shielding around each pair of wires to reduce crosstalk. STP has a metallic braid or foil that encases each pair of wires, providing better protection against EMI and crosstalk compared to UTP and FTP. USB cable is not a type of Twisted Pair Ethernet cable.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'https://www.pearsonitcertification.com/articles/article.aspx?p=2202410', 'https://www.flukenetworks.com/blog/cabling-chronicles/copper-cable-utp-vs-stp-and-everything-between']",1,google_1_basics_computer_networking,0.95,1
