Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Broadcast address
b. Multicast address
c. IP address
d. MAC address
e. Unicast address
",,"a,b","a,b",,"Broadcast and multicast addresses are used in Ethernet to send a single frame that is delivered to multiple devices on a LAN. A broadcast address (FF-FF-FF-FF-FF-FF) sends the frame to all devices, while a multicast address sends the frame to a specific group of devices that have subscribed to that multicast group. The other options - IP address, MAC address, and unicast address - identify a single device and are used for one-to-one communication.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 2: Fundamentals of Ethernet LANs', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html']",1,chapter1_intro_to_networking,0.95,1
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CD
b. CSMA/CA
c. TCP/IP
d. TCP/UDP
",,a,a,,"CSMA/CD (Carrier Sense Multiple Access with Collision Detection) is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision. When a collision is detected, both devices stop transmitting, wait a random amount of time, and then retry the transmission.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/5241-csma-cd.html']",1,chapter1_intro_to_networking,0.95,1
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 100
b. 10
c. 1000
d. 1
",,c,c,,"The Ethernet standard that defines Gigabit Ethernet over UTP cabling is 1000BASE-T. The '1000' in the standard name indicates the data rate of 1000 Mbps, which is equivalent to 1 Gbps (Gigabit per second). 10BASE-T and 100BASE-T are standards for 10 Mbps and 100 Mbps Ethernet, respectively, while '1' is not a valid Ethernet standard designation.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'IEEE 802.3 Ethernet Working Group, http://www.ieee802.org/3/']",1,chapter1_intro_to_networking,0.95,1
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The preamble field in the IEEE 802.3 Ethernet frame allows devices on the network to easily synchronize their receiver clocks. It consists of a 56-bit pattern of alternating 1s and 0s that enables bit synchronization. The preamble is followed by the Start Frame Delimiter (SFD) field, which signals the start of the frame.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'IEEE 802.3-2018 - IEEE Standard for Ethernet']",1,chapter1_intro_to_networking,0.95,1
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Source
b. Destination
c. Unicast
d. Broadcast
",,b,b,,"The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. When a host needs to communicate with a device on a different network, it forwards the packets to its default gateway, which then routes the packets to the appropriate network.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 12: IP Addressing and Subnetting', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html']",1,chapter1_intro_to_networking,0.95,1
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,a,a,,"SMTP (Simple Mail Transfer Protocol) is an application layer protocol in the TCP/IP model. It is used for sending and receiving email messages between servers. TCP (Transmission Control Protocol) and IP (Internet Protocol) reside in the transport and network layers, respectively, while Ethernet is a data link layer protocol.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom']",1,chapter1_intro_to_networking,0.95,1
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,b,b,,"The Transport layer of the TCP/IP model is responsible for providing host-to-host communication services for applications. The two main protocols that reside in this layer are TCP (Transmission Control Protocol) and UDP (User Datagram Protocol). TCP provides reliable, connection-oriented transmission of data segments, while UDP provides a connectionless datagram service. SMTP (Simple Mail Transfer Protocol) is an application layer protocol, Ethernet is a data link layer protocol, and IP (Internet Protocol) resides in the Internet layer of the TCP/IP model.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Chapter 3: Fundamentals of TCP/IP Transport and Applications)', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross']",1,chapter1_intro_to_networking,1,1
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,d,d,,The Internet Protocol (IP) resides in the Internet layer of the TCP/IP architecture model. IP is responsible for addressing hosts and routing datagrams (packets) from a source host to the destination host across one or more IP networks.,"['Kurose, J. F., & Ross, K. W. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer Networks (5th Edition). Prentice Hall.', 'IETF RFC 791 - Internet Protocol (https://tools.ietf.org/html/rfc791)']",1,chapter1_intro_to_networking,0.95,1
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,"Ethernet is a protocol that resides in the Data Link and Physical layers of the TCP/IP architecture. SMTP (Simple Mail Transfer Protocol) is an application layer protocol, TCP (Transmission Control Protocol) is a transport layer protocol, and IP (Internet Protocol) is a network layer protocol.","['Cisco CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross']",1,chapter1_intro_to_networking,0.95,1
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. ping
b. ARP
c. DHCP
d. DNS
",,b,b,,"ARP (Address Resolution Protocol) is used by a device to learn the MAC address of another device on the same network when it knows the IP address of that device. When a PC needs to communicate with another device on the local network, it checks its ARP cache for the MAC address associated with the IP. If not found, it broadcasts an ARP request to all devices on the network asking 'Who has this IP address?'. The device with that IP responds with its MAC address, which the requesting PC then stores in its ARP cache for future use.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 5: Fundamentals of IPv4 Addressing and Routing', 'https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/13718-5.html']",1,chapter1_intro_to_networking,0.95,1
