Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,b",,"In a spoofing attack, the attacker typically falsifies or 'spoofs' the source IP address and/or the MAC address. By spoofing the source IP, the attacker can hide their true identity and location. Spoofing the MAC address allows the attacker to impersonate another device on the local network. The other choices - ARP address, routing table, destination IP, and ARP table - are not commonly spoofed in these types of attacks.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 6: Fundamentals of IP Security', 'https://www.cisco.com/c/en/us/products/security/what-is-spoofing.html']",1,chapter8_security_fundamentals,0.95,1
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,"AAA servers typically support the RADIUS (Remote Authentication Dial-In User Service) protocol in addition to TACACS+ for communicating with enterprise resources. RADIUS is a widely used protocol for centralized authentication, authorization, and accounting.","['Cisco CCNA 200-301 Official Cert Guide, Wendell Odom, 2020', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/configuration/15-mt/sec-usr-aaa-15-mt-book/sec-cfg-radius.html']",1,chapter8_security_fundamentals,0.95,1
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,d,,"Option d is the correct configuration to meet the given requirements. It configures interface FastEthernet0/1 as an access port, enables port security on that interface, and defines the allowed MAC address as 0200.1111.2222. Option a configures the wrong interface (fa0/2 instead of fa0/1). Option b enables port security but does not define the allowed MAC address. Option c defines the wrong MAC address (0200.2222.2222 instead of 0200.1111.2222).","['Cisco CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Chapter 11: Implementing Ethernet Virtual LANs)', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960/software/release/15-2_2_e/configuration/guide/b_1522e_2960_2960c_2960s_2960sf_2960p_cg/b_1522e_2960_2960c_2960s_2960sf_2960p_cg_chapter_01001.html']",1,chapter8_security_fundamentals,0.95,1
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"Denial-of-Service (DoS) attacks aim to make a system or network resource unavailable to its intended users by overwhelming the target with a flood of traffic or requests. The attack consumes the target's available bandwidth or resources, preventing it from processing legitimate requests. This matches the description provided in the question.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 14: Security Architectures', 'https://www.cisco.com/c/en/us/products/security/what-is-a-ddos-attack.html']",1,chapter8_security_fundamentals,0.95,1
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"A Trojan is a type of malicious software (malware) that is disguised as legitimate software. It is designed to trick users into installing and executing it on their systems. Once activated, a Trojan can enable unauthorized access to the system, allowing the attacker to steal sensitive data, install additional malware, modify files, monitor user activity, or use the compromised machine for other malicious activities. Unlike viruses and worms, Trojans do not typically self-replicate.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Cisco Press, 2020', 'https://www.cisco.com/c/en/us/products/security/advanced-malware-protection/what-is-malware.html', 'https://www.malwarebytes.com/trojan/']",1,chapter8_security_fundamentals,0.95,1
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users
",,"b,d","b,d",,"DHCP snooping is a security feature that can be implemented on Layer 2 switches and Layer 3 switches. It helps prevent unauthorized DHCP servers from assigning IP addresses to clients and mitigates DHCP starvation attacks. Routers, hubs, access points, and end-user devices cannot implement DHCP snooping as it is a switch-specific feature.","['Cisco Press CCNA 200-301 Official Cert Guide, Volume 2, Chapter 9: DHCP Snooping', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750x_3560x/software/release/12-2_55_se/configuration/guide/3750xscg/swdhcp82.html']",1,chapter8_security_fundamentals,0.95,1
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"Contextual awareness provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in the network with real-time visibility. It allows the Cisco Firepower NGIPS to understand the context of network traffic, including user identity, device type, application, and potential threats, enabling more granular security policies and better threat detection.","['Cisco Firepower Next-Generation IPS (NGIPS) Data Sheet: https://www.cisco.com/c/en/us/products/collateral/security/firepower-ngips/datasheet-c78-736775.html', 'Cisco Firepower NGIPS Features and Capabilities: https://www.cisco.com/c/en/us/products/security/firepower-ngips/features.html']",1,chapter8_security_fundamentals,0.9,1
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,"A brute-force attack involves systematically trying every possible password combination to gain unauthorized access to a user account. It attempts to 'guess' the correct password by exhaustively trying all possibilities. The other choices are not directly related to brute-force attacks. Making a server unavailable would be a denial-of-service attack, spoofing IP addresses is a separate technique, and altering routing tables is not a goal of brute-force password guessing.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 5: Security Fundamentals', 'https://www.cisco.com/c/en/us/products/security/what-is-a-brute-force-attack.html']",1,chapter8_security_fundamentals,0.95,1
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,"The statement is true. Social engineering attacks rely on human interaction and manipulating people into breaking normal security procedures, such as revealing sensitive information or granting unauthorized access. These attacks exploit human psychology rather than technical hacking techniques.","['NIST Special Publication 800-63B Digital Identity Guidelines: Authentication and Lifecycle Management', 'SANS Institute: Social Engineering Attacks: Common Techniques & How to Prevent an Attack', 'Cisco Networking Academy: Introduction to Cybersecurity']",1,chapter8_security_fundamentals,0.95,1
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"Whaling is a type of phishing attack that specifically targets high-profile employees, such as CEOs, CFOs, or other executives, in order to steal sensitive information from a company. The attackers craft highly personalized emails or messages to trick these high-value targets into revealing confidential data, transferring funds, or granting access to restricted systems.","['CCNA 200-301 Official Cert Guide, Volume 2, by Wendell Odom (Cisco Press, 2020)', 'https://www.cisco.com/c/en/us/products/security/email-security/what-is-phishing.html', 'https://www.kaspersky.com/resource-center/definitions/spear-phishing']",1,chapter8_security_fundamentals,0.95,1
