Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. https
b. courses
c. courses.examsdigest.com
d. examsdigest.com
e. examsdigest.com/ccna
",,c,c,,The hostname in the given URI is courses.examsdigest.com. The hostname is the part of the URI that identifies the host that is being accessed. It comes after the scheme (https://) and before the path (/ccna) if present.,"['IETF RFC 3986 - Uniform Resource Identifier (URI): Generic Syntax', 'Computer Networking: A Top-Down Approach, 7th Edition by Kurose and Ross']",1,chapter9_ip_acl,0.95,1
155,Which of the following protocols uses the port 443?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,a,a,,"HTTPS (Hypertext Transfer Protocol Secure) uses port 443 by default. It is the secure version of HTTP, which uses port 80. HTTPS encrypts the data transmitted between the client and server using SSL/TLS protocols, ensuring secure communication.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Cisco Press, 2020', 'https://en.wikipedia.org/wiki/HTTPS']",1,chapter9_ip_acl,0.99,1
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,b,b,,"HTTP (Hypertext Transfer Protocol) uses port 80 by default. It is the protocol used for transmitting web pages and other web content over the Internet. HTTPS uses port 443, SMTP uses port 25, and SSH uses port 22.","['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'Cisco Networking Academy: Introduction to Networks v7.0 (ITN) - Chapter 9: Transport Layer']",1,chapter9_ip_acl,0.99,1
157,Which of the following protocols uses the port 25?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,c,c,,"SMTP (Simple Mail Transfer Protocol) uses port 25 for sending email messages between servers. HTTPS uses port 443, HTTP uses port 80, and SSH uses port 22.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'RFC 821 - Simple Mail Transfer Protocol', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml']",1,chapter9_ip_acl,0.95,1
158,Which of the following protocols uses the port 22?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,d,d,,SSH (Secure Shell) uses port 22 by default. SSH is a secure protocol used for remote login and other secure network services over an unsecured network.,"['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'SSH.com: SSH Port - Port 22: https://www.ssh.com/academy/ssh/port']",1,chapter9_ip_acl,0.95,1
159,Which of the following port numbers the SNMP protocol uses?,"a. 20
b. 25
c. 160
d. 161
",,d,d,,SNMP (Simple Network Management Protocol) uses UDP port 161 for sending and receiving requests between managers and agents. Port 161 is the standard port for SNMP and is widely used for network management and monitoring purposes.,"['IETF RFC 1157 - A Simple Network Management Protocol (SNMP)', 'Cisco Press CCNA 200-301 Official Cert Guide, Chapter 28: SNMP and Syslog']",1,chapter9_ip_acl,0.95,1
160,Which of the following port numbers the POP3 protocol uses?,"a. 100
b. 110
c. 120
d. 130
",,b,b,,POP3 (Post Office Protocol version 3) is an application-layer Internet standard protocol used by e-mail clients to retrieve e-mail from a server. POP3 uses TCP port 110 as its well-known port.,"['IETF RFC 1939: Post Office Protocol - Version 3 (https://tools.ietf.org/html/rfc1939)', 'IANA Service Name and Transport Protocol Port Number Registry (https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml)']",1,chapter9_ip_acl,1,1
161,Which of the following port numbers the DNS protocol uses?,"a. 50
b. 51
c. 52
d. 53
",,d,d,,"The Domain Name System (DNS) protocol uses port 53 for its communication. DNS is used to translate domain names to IP addresses. When a DNS query is made by a client, it is sent to the DNS server using UDP or TCP on port 53.","['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'RFC 1035 - Domain Names - Implementation and Specification: https://tools.ietf.org/html/rfc1035']",1,chapter9_ip_acl,1,1
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,d",,"A standard IP access control list (ACL) can be configured to match the exact source IP address of packets, as well as match only the packet's destination IP address. Standard ACLs do not have the capability to match a range or subnet of IP addresses with a single command.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 16: Access Control Lists (ACLs)', 'Cisco Documentation: Configure IP Access Control Lists (https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html)']",0,chapter9_ip_acl,0.95,1
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. Named ACLs use ACL subcommands within the named ACL configuration mode to define the action (permit or deny) and matching parameters (source IP, destination IP, protocols, etc.). In contrast, numbered ACLs use global configuration commands to define the action and matching parameters directly under the global configuration mode.","['Cisco CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 25: Basic IPv4 Access Control Lists', 'Cisco Documentation: Configure IP Access Control Lists (https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html)']",1,chapter9_ip_acl,0.95,1
