Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Transport layer
b. Session layer
c. Data link layer
d. Presentation layer
",,b,b,,"The session layer of the OSI model is responsible for establishing, managing, and terminating connections between devices. It provides services such as authentication, authorization, and session restoration. The session layer creates checkpoints during data transfers, allowing devices to resume data transfer from the last checkpoint in case of a connection failure.","['Forouzan, B. A. (2013). Data Communications and Networking (5th ed.). McGraw-Hill Education.', 'Stallings, W. (2013). Data and Computer Communications (10th ed.). Pearson Education.', 'OSI model. (2021, April 27). In Wikipedia. https://en.wikipedia.org/wiki/OSI_model']",1,Computer_Networking,0.95,1
2,Which model defines seven layers of networking protocols? Choose only one.,"a. OSI model
b. DoD model
c. TCP/IP model
d. Ethernet model
",,a,a,,"The OSI (Open Systems Interconnection) model defines seven layers of networking protocols. It provides a standard for communication protocols and is a conceptual framework used to describe the functions of a networking system. The seven layers, from top to bottom, are: Application, Presentation, Session, Transport, Network, Data Link, and Physical.","['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Forouzan, B. A. (2017). Data Communications and Networking (5th Edition). McGraw-Hill Education.', 'https://www.cisco.com/c/en/us/support/docs/additional-legacy-protocols/ms-windows-networking/13516-osi.html']",1,Computer_Networking,0.95,1
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,d,d,,"A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on an organization's previously established security policies. It acts as a barrier between a trusted network and an untrusted network, such as the Internet. Firewalls can be hardware devices, software programs, or a combination of both. They analyze the data packets and determine whether they should be allowed through or blocked based on a defined set of security rules.","['NIST Special Publication 800-41 Revision 1: Guidelines on Firewalls and Firewall Policy', 'Cisco Networking Academy: Introduction to Networks v7.0 - Chapter 8: Network Security Concepts']",1,Computer_Networking,0.95,1
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"A router is a networking device responsible for determining the best path for data packets to travel across multiple networks. Routers operate at Layer 3 (Network Layer) of the OSI model and use routing tables and protocols to make decisions on how to forward packets based on their destination IP addresses. Switches operate within a single network at Layer 2 (Data Link Layer), while modems and bridges do not determine the best path for data across multiple networks.","['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'CISCO. (2021). What is a Router?. Cisco. https://www.cisco.com/c/en/us/products/routers/what-is-a-router.html']",1,Computer_Networking,0.95,1
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,a,a,,"A bus topology consists of a single cable, called the bus or backbone, that connects all devices on the network in a single line. All nodes (devices) are connected to this central cable. This topology is simple and easy to install but has some disadvantages. If the main cable fails, the entire network goes down. It can also be difficult to identify the problem if the network fails.","['Forouzan, B. A. (2012). Data Communications and Networking (5th ed.). McGraw-Hill.', 'Tanenbaum, A. S., & Wetherall, D. J. (2010). Computer Networks (5th ed.). Prentice Hall.', 'https://www.geeksforgeeks.org/types-of-network-topology/']",1,Computer_Networking,0.95,1
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"In a star topology, all devices are connected to a central node, typically a switch or hub. This requires the least amount of cabling compared to other topologies since each device only needs one cable to connect to the central node. It is also easy to set up and add new devices. However, the main drawback is that if the central node fails, the entire network becomes inaccessible since all communication must pass through that central point.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'Network Topology: Star, Mesh, Bus, Ring, Hybrid - Study.com, https://study.com/academy/lesson/network-topology-star-mesh-bus-ring-hybrid.html']",1,Computer_Networking,0.95,1
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Repeater
",,a,b,,"A router is a device that can be used to create logical network segments and improve network performance by reducing network congestion. Routers operate at the network layer (Layer 3) of the OSI model and are responsible for forwarding packets between different networks based on IP addresses. By segmenting a network into smaller logical subnets, routers can isolate network traffic and reduce congestion, thereby improving overall network performance.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press, 2019)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Pearson, 2016)']",0,Computer_Networking,0.95,1
9,The DoD model is commonly known as the:,"a. Four-layer model
b. Five-layer model
c. Six-layer model
d. Seven-layer model
",,a,d,,"The Department of Defense (DoD) model, also known as the TCP/IP model, is commonly referred to as the four-layer model. However, it is sometimes expanded to five or seven layers for additional granularity. The seven-layer model mentioned in the choices corresponds to the OSI (Open Systems Interconnection) model, not the DoD model.","['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Forouzan, B. A. (2017). TCP/IP Protocol Suite (4th Edition). McGraw-Hill Education.', 'https://www.geeksforgeeks.org/tcp-ip-model/']",0,Computer_Networking,0.95,1
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Network layer
b. Data link layer
c. Transport layer
d. Physical layer
",,a,a,,"The network layer (layer 3) of the OSI model is responsible for addressing and routing packets between different networks. It provides logical addressing (IP addresses) and determines the best path for data packets to reach their destination based on factors such as network conditions and priority. The data link layer (layer 2) is responsible for node-to-node data transfer and physical addressing (MAC addresses), while the transport layer (layer 4) provides end-to-end communication services and the physical layer (layer 1) defines the physical characteristics of the network medium.","['Kurose, J., & Ross, K. (2017). Computer networking: a top-down approach. Pearson.', 'Forouzan, B. A. (2017). Data communications and networking. McGraw-Hill Education.', 'Cisco. (n.d.). OSI Model. Cisco. https://www.cisco.com/c/en/us/support/docs/multilayer-switches/catalyst-5000-series-switches/10559-21.html']",1,Computer_Networking,0.95,1
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,The Presentation layer (layer 6) of the OSI model is responsible for encryption and decryption of data to provide secure communication between the Application layer (layer 7) and the Session layer (layer 5). It ensures that data is in a usable format and is where data encryption occurs.,"['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press, 2019)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Pearson, 2016)', 'ISO/IEC 7498-1:1994 - Information technology -- Open Systems Interconnection -- Basic Reference Model: The Basic Model']",1,Computer_Networking,0.95,1
12,Which device can be used to connect two or more network segments together and extend the reach of a network? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,d,b,,A router is a device that can be used to connect two or more network segments together and extend the reach of a network. Routers operate at the network layer (Layer 3) of the OSI model and are responsible for forwarding packets between different networks based on IP addressing. They maintain routing tables to determine the best path for data to travel from source to destination across multiple networks.,"['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Pearson)', 'https://www.cisco.com/c/en/us/products/routers/what-is-a-router.html']",0,Computer_Networking,0.95,1
13,Which device can perform Network Address Translation (NAT) to allow multiple devices on a private network to share a single public IP address? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"A router can perform Network Address Translation (NAT) to allow multiple devices on a private network to share a single public IP address. NAT translates the private IP addresses of devices on the internal network to the router's public IP address for outgoing traffic, and vice versa for incoming traffic. This allows multiple devices to access the Internet using a single public IP address, conserving the limited number of public IPv4 addresses.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press, 2019)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Pearson, 2021)']",1,Computer_Networking,0.95,1
