Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,e",,"In a spoofing attack, the source IP address and destination IP address are commonly spoofed. By manipulating these addresses, attackers can deceive systems into accepting malicious traffic or believing it is coming from a trusted source.",[],0,chapter8_security_fundamentals,0.9,0.997858386513607,1.0,1.0,1.0,3.0,Don’t know that destination address cannot really be used for spoofing,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Wrong Facts/Concept,Incorrect information/concept,,,0.0,,,,,1.0,1.0,Conceptual error about spoofing attack - not knowing that Mac address can be spoofed too,1.0,Spoofing,"debugging delay, security issues, misinformation",Median,4.0,3.0,3.0,1.0,1.0,0.3333333333333333
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,The correct option is 'c' - RADIUS. AAA servers commonly support the protocols TACACS+ and RADIUS for communication with enterprise resources. RADIUS (Remote Authentication Dial-In User Service) is a widely used protocol for network access control and authentication.,['https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/12433-32.html'],1,chapter8_security_fundamentals,0.9,0.999989435724802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222",,d,d,,"The correct commands to configure port security on interface FastEthernet0/1 of SW-examsD to accept frames only from the MAC address 0200.1111.2222 are: 
SW-examsD#configure terminal 
SW-examsD(config)#interface FastEthernet0/1 
SW-examsD(config-if)#switchport mode access 
SW-examsD(config-if)#switchport port-security 
SW-examsD(config-if)#switchport port-security mac-address 0200.1111.2222",[],1,chapter8_security_fundamentals,0.9,0.999758108960356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"The type of attack described in the question is a Denial-of-Service (DoS) attack. In a DoS attack, the targeted machine is flooded with a high volume of requests, making it unable to process normal traffic and denying service to legitimate users.",[],1,chapter8_security_fundamentals,0.9,0.99999861435166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"A Trojan is malicious software that is disguised as legitimate software to trick users into downloading and installing it. Once installed, Trojans can perform various harmful actions on the infected system.",[],1,chapter8_security_fundamentals,0.9,0.999996111081562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users",,"b,d","b,d",,"Layer 2 switches and Layer 3 switches can be used to implement DHCP Snooping. Layer 2 switches are commonly used for this purpose to prevent unauthorized DHCP servers from providing IP addresses to clients. Layer 3 switches, which operate at both Layer 2 and Layer 3 of the OSI model, can also support DHCP Snooping functionality.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960x/software/15-0_2_EX/security/configuration_guide/b_sec_152ex_2960-x_cg/b_sec_152ex_2960-x_cg_chapter_0100.pdf'],1,chapter8_security_fundamentals,0.9,0.999886375749394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"The correct option is 'c'. Contextual awareness in Cisco Firepower NGIPS provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility. It allows for a deeper understanding of the context in which network traffic occurs, enabling better threat detection, control, and response.",['https://www.cisco.com/c/en/us/products/security/firepower-ngips/index.html'],1,chapter8_security_fundamentals,0.9,0.993150479039237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,A brute-force attack is a trial-and-error method used to obtain information such as a user's password by systematically checking all possible combinations until the correct one is found. It is commonly used in password-cracking scenarios.,['https://en.wikipedia.org/wiki/Brute-force_attack'],1,chapter8_security_fundamentals,0.9,0.999878345254539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,The statement is true. Social engineering attacks rely on human interaction and psychological manipulation to deceive individuals into divulging confidential information or performing actions that compromise security.,[],1,chapter8_security_fundamentals,0.95,0.999999687183719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"The correct option is 'c. Whaling'. Whaling is a type of social engineering attack that specifically targets high-profile individuals within an organization, such as top executives like the CEO or CFO, to gain access to sensitive information or financial data.",[],1,chapter8_security_fundamentals,0.9,0.999998375944719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
