Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Broadcast address
b. Multicast address
c. IP address
d. MAC address
e. Unicast address
",,"a,b","a,b",,"Broadcast address is used to send a frame to all devices on the LAN, while multicast address is used to send a frame to a group of devices on the LAN. Both types of addresses can deliver one frame to multiple devices.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/19237-142.html'],1,chapter1_intro_to_networking,0.9,0.99999722870524
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CD
b. CSMA/CA
c. TCP/IP
d. TCP/UDP
",,a,a,,"The correct option is a: CSMA/CD. CSMA/CD (Carrier Sense Multiple Access with Collision Detection) is a set of rules used in Ethernet networks to manage how devices respond when they detect that two devices are trying to transmit data at the same time, resulting in a collision. It helps in handling such collisions by backing off and retransmitting data after a random time interval to avoid further collisions.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/10563-14.html'],1,chapter1_intro_to_networking,0.9,0.9999989719621284
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 100
b. 10
c. 1000
d. 1
",,c,c,,The Ethernet standard that defines Gigabit Ethernet over UTP cabling is 1000BASE-T. The '1000' in 1000BASE-T signifies Gigabit (1000 Mbps) speed over twisted-pair cabling.,['https://en.wikipedia.org/wiki/1000BASE-T'],1,chapter1_intro_to_networking,0.9,0.9978338900095781
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The Preamble field in the IEEE 802.3 Ethernet Header and Trailer is used to allow devices on the network to easily synchronize their receiver clocks. It consists of a 7-octet (56-bit) pattern of alternating 1s and 0s, which helps receivers in synchronizing their clocks with the incoming signal.",['https://en.wikipedia.org/wiki/Ethernet_frame#Preamble'],1,chapter1_intro_to_networking,0.9,0.9729385616564252
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Source
b. Destination
c. Unicast
d. Broadcast
",,b,b,,The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. The default gateway serves as the exit point from the host's subnet to reach destinations in other subnets.,['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html'],1,chapter1_intro_to_networking,0.9,0.9990203094104897
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,a,a,,SMTP (Simple Mail Transfer Protocol) resides in the Application layer of the TCP/IP model. It is responsible for sending and receiving email.,['https://www.cloudflare.com/learning/network-layer/what-is-smtp/'],1,chapter1_intro_to_networking,0.9,0.9999963494876631
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,b,b,,"TCP (Transmission Control Protocol) resides in the Transport layer of the TCP/IP model. It provides reliable, connection-oriented communication between devices.",['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html'],1,chapter1_intro_to_networking,0.9,0.9999958726752174
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,d,"b,d",,"TCP (Transmission Control Protocol) and IP (Internet Protocol) reside in the Internet TCP/IP Architecture layer. TCP is responsible for providing reliable, ordered, and error-checked delivery of data while IP is responsible for routing packets across networks.","['https://www.cloudflare.com/learning/network-layer/what-is-tcp/', 'https://www.cloudflare.com/learning/network-layer/what-is-ip/']",0,chapter1_intro_to_networking,0.95,0.9993703679861787
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,Ethernet protocol resides in the Data Link layer of the TCP/IP Architecture. The Data Link layer is responsible for the node-to-node delivery of data and deals with the protocols that govern communication over the physical network.,['https://www.cloudflare.com/learning/network-layer/what-is-the-data-link-layer/'],1,chapter1_intro_to_networking,0.9,0.9999980183344636
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. ping
b. ARP
c. DHCP
d. DNS
",,b,b,,The correct protocol used from PC1 to learn information from some other device on the same network is ARP (Address Resolution Protocol). ARP is used to map an IP address to a MAC address within the local network.,['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/19243-43.html'],1,chapter1_intro_to_networking,0.95,0.999996945503965
14,"If the devices below were connected with UTP Ethernet cables, which pairs of devices would require a straight-through cable? (Choose two answers.)","a. Router and PC
b. Switch and PC
c. Hub and switch
d. Router and hub
",,"b,d","a,c",,"Devices that are of different types (like router and PC, hub and switch) require a straight-through cable because they need to transmit on different pins to communicate effectively. Straight-through cables have the same pin configuration on both ends. In this case, a router and PC as well as a hub and switch are of different types, so they would require straight-through cables.",['https://www.computernetworkingnotes.com/ccna-study-guide/straight-through-crossover-rollover-cables.html'],0,chapter1_intro_to_networking,0.9,0.9069348097832404
15,Which of the following protocols are examples of TCP/IP data-link layer protocols? (Choose two answers.),"a. TCP
b. HTTP
c. Ethernet
d. PPP
e. SMTP
f. HTTPS
",,"c,d","c,d",,"The correct options for TCP/IP data-link layer protocols are Ethernet (option c) and PPP (Point-to-Point Protocol) (option d). TCP (option a), HTTP (option b), SMTP (option e), and HTTPS (option f) are protocols that operate at the higher layers of the TCP/IP model.",[],1,chapter1_intro_to_networking,0.9,0.9999998063873687
16,Which of the following statements are functions of a routing protocol? (Choose two answers.),"a. Learning routes and putting those routes into the routing table for routes advertised to the router by its neighboring routers
b. Advertising known routes to neighboring routers
c. Learning routes for subnets directly connected to the router
d. Forwarding IP packets based on a packet’s destination IP address
",,"a,b","a,b",,"A routing protocol is responsible for learning routes from neighboring routers and adding those routes to the routing table (option a). It also advertises known routes to neighboring routers so that they can learn about reachable networks (option b). Options c and d are not functions of a routing protocol as learning routes for directly connected subnets and forwarding IP packets based on destination IP address are tasks performed by the router's routing table and forwarding table, respectively.",[],1,chapter1_intro_to_networking,0.9,0.999990672543201
17,"When you open a web browser and type in the hostname www.examsdigest.com, your computer does not send an IP packet with a destination IP address www.examsdigest.com; it sends an IP packet to an IP address used by the web server for Examsdigest. TCP/IP needs a way to let a computer find the IP address used by the listed hostname. That method uses the Domain Name System (DNS).","a. TRUE
b. FALSE
",,a,a,,"The statement is true. When a user enters a hostname like www.examsdigest.com in a web browser, the computer needs to resolve this hostname to an IP address to communicate with the web server. This resolution is done through the Domain Name System (DNS), which maps hostnames to IP addresses.",['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,chapter1_intro_to_networking,0.9,0.9999987335551019
18,A __________________ address is an address that enables transmission to every node in a local network.,"a. Broadcast
b. Multicast
c. Unicast
d. MAC
",,a,a,,"A broadcast address is used to send data to all devices on a specific local network. When a device sends data to the broadcast address, it reaches all devices within that network segment.",['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html'],1,chapter1_intro_to_networking,0.9,0.9999992103693117
19,TCP and ______________ are the two most commonly used TCP/IP transport layer protocols.,"a. UDP
b. HTTP
c. DNS
d. SMTP
",,a,a,,"The two most commonly used TCP/IP transport layer protocols are TCP (Transmission Control Protocol) and UDP (User Datagram Protocol). While TCP provides reliable, connection-oriented communication, UDP offers faster but less reliable communication through connectionless datagrams.",['https://www.cloudflare.com/learning/ddos/glossary/tcp-ip/'],1,chapter1_intro_to_networking,0.95,0.9999996871837189
20,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields provides a method for the receiving NIC to determine whether the frame experienced transmission errors?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,a,a,,The Frame Check Sequence (FCS) field in the IEEE 802.3 Ethernet Header and Trailer Fields provides a method for the receiving NIC to determine whether the frame experienced transmission errors by allowing the NIC to perform a Cyclic Redundancy Check (CRC) on the frame data.,['https://learningnetwork.cisco.com/s/question/0D53i00000K8KmJCQ0/what-is-the-purpose-of-fcs-field-in-ethernet-frame'],1,chapter1_intro_to_networking,0.9,0.9999926541946805
