Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Transport layer
b. Session layer
c. Data link layer
d. Presentation layer
",,b,b,,"The correct layer responsible for establishing, managing, and terminating connections between devices in the OSI model is the Session layer. This layer handles session establishment, maintenance, and termination, allowing devices to communicate by setting up, managing, and tearing down sessions.",['https://www.geeksforgeeks.org/session-layer-osi-model/'],1,Computer_Networking,0.9,0.9999981375378344
2,Which model defines seven layers of networking protocols? Choose only one.,"a. OSI model
b. DoD model
c. TCP/IP model
d. Ethernet model
",,a,a,,The OSI (Open Systems Interconnection) model defines seven layers of networking protocols. These layers help in understanding the different functions that occur at each level of network communication.,['https://www.cloudflare.com/learning/network-layer/what-is-the-osi-model/'],1,Computer_Networking,0.95,0.999999091165773
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,d,d,,"The device used to enforce security policies by controlling the incoming and outgoing network traffic is a firewall. Firewalls act as a barrier between a trusted internal network and untrusted external networks, filtering the traffic based on a set of security rules.",['https://www.cloudflare.com/learning/security/glossary/what-is-a-firewall/'],1,Computer_Networking,0.95,0.9999995679800934
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"The correct device responsible for determining the best path for data packets to travel across multiple networks is a router. Routers use routing tables to make decisions about the best path for forwarding packets based on factors like network congestion, speed, and cost.",['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html'],1,Computer_Networking,0.95,0.9999973031140366
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,a,a,,"The network topology that consists of a single shared communication line to which all devices are connected is known as a bus topology. In this setup, all devices share the same communication medium.",[],1,Computer_Networking,0.9,0.9999980183344636
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"The correct option is b. Star topology. In a star topology, all devices are connected to a central hub, which minimizes the amount of cabling required and simplifies the network setup. However, if the central hub fails, the entire network becomes inaccessible as all communication passes through it.",[],1,Computer_Networking,0.9,0.9998769223246786
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Repeater
",,a,a,,"A network switch is the correct option. Network switches are used to create logical network segments by dividing a network into multiple collision domains, which helps in reducing network congestion and improving performance by allowing devices to communicate more efficiently within their own segments.",[],1,Computer_Networking,0.9,0.99999861435166
9,The DoD model is commonly known as the:,"a. Four-layer model
b. Five-layer model
c. Six-layer model
d. Seven-layer model
",,a,a,,"The DoD (Department of Defense) model is commonly known as the four-layer model. It consists of four layers: Process/Application, Host-to-Host, Internet, and Network Access. Each layer has specific functions and protocols associated with it.",['https://www.geeksforgeeks.org/difference-between-tcp-ip-and-osi-model/'],1,Computer_Networking,0.9,0.9213774780162266
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Network layer
b. Data link layer
c. Transport layer
d. Physical layer
",,a,a,,"The layer of the OSI model that is responsible for addressing and routing packets is the Network layer (Layer 3). This layer deals with logical addressing, routing, and forwarding of packets.",['https://www.cloudflare.com/learning/network-layer/what-is-the-network-layer/'],1,Computer_Networking,0.95,0.9999962302846054
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,"The correct layer of the OSI model that provides encryption and decryption of data for secure communication is the Presentation layer (a). This layer is responsible for data translation, encryption, and decryption, ensuring that information sent from the application layer of one system can be read by the application layer of another system.",['https://www.geeksforgeeks.org/layers-of-osi-model/'],1,Computer_Networking,0.9,0.9999942038320978
12,Which device can be used to connect two or more network segments together and extend the reach of a network? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,d,d,,A bridge is used to connect two or more network segments together and extend the reach of a network. Bridges operate at the data link layer of the OSI model and help in filtering and forwarding data between network segments based on MAC addresses.,[],1,Computer_Networking,0.9,0.9999949190499081
13,Which device can perform Network Address Translation (NAT) to allow multiple devices on a private network to share a single public IP address? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"The correct option is b. Router. A router is a device that can perform Network Address Translation (NAT) to allow multiple devices on a private network to share a single public IP address. NAT translates private IP addresses to a single public IP address when communicating over the internet, enabling multiple devices to access the internet using a single public IP address.",[],1,Computer_Networking,0.95,0.9999987335551019
14,"Which network topology provides redundant connections between devices, ensuring multiple paths for data transmission? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,d,d,,"The mesh topology provides redundant connections between devices, ensuring multiple paths for data transmission. In a mesh topology, each device is connected to every other device in the network, offering high reliability and fault tolerance.",['https://www.geeksforgeeks.org/mesh-topology/'],1,Computer_Networking,0.95,0.9999998063873687
15,Which network topology uses a central device that connects all devices in a star-like fashion? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"The network topology that uses a central device to connect all other devices in a star-like fashion is known as a star topology. In this setup, all network nodes are connected to a central hub, switch, or router.",['https://www.geeksforgeeks.org/network-topologies/'],1,Computer_Networking,0.95,0.9999965878943212
16,Which device is primarily used to connect multiple devices within a local area network (LAN)? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Hub
",,a,a,,A network switch is primarily used to connect multiple devices within a local area network (LAN). It operates at the data link layer (Layer 2) of the OSI model and can efficiently manage traffic between devices.,['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/network-switch.html'],1,Computer_Networking,0.95,0.9999978991308068
17,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,"The correct layer of the OSI model that provides encryption and decryption of data for secure communication is the Presentation layer. This layer is responsible for data translation, encryption, and decryption, ensuring that data is in a readable format for the application layer.",['https://www.geeksforgeeks.org/layers-of-osi-model/'],1,Computer_Networking,0.95,0.9999943230348141
