Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
21,Which of the following commands checks the status of the interfaces?,"a. show interface
b. show status
c. show interface status
d. show status interface
",,c,a,,"The correct command to check the status of the interfaces is 'show interface'. This command provides detailed information about all interfaces on the device, including their status, configuration, and statistics.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-cr-book/ios-interface-cr-commands.html'],0,chapter2_ethernet_lans,0.95,0.9803815336812606
22,You are in console line configuration mode. Which of the following commands would place you in enable mode?,"a. end
b. back
c. enable
d. change
",,a,c,,"The 'enable' command is used to move from console line configuration mode to enable mode in Cisco IOS. This command allows access to privileged EXEC mode, which provides access to all router commands.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fundamentals/command/Cisco_IOS_Software_Commands/fundamentals/S1.html'],0,chapter2_ethernet_lans,0.9,0.9986795609478273
23,Which of the following commands copies the configuration from RAM into NVRAM,"a. copy running-config startup-config
b. copy startup-config running-config
c. copy ram nvram
d. copy nvram ram
",,a,a,,"The correct command to copy the configuration from RAM into NVRAM is 'copy running-config startup-config'. This command saves the running configuration (in RAM) to the startup configuration (in NVRAM), ensuring that the configuration is saved and will be used on next boot.",['https://www.cisco.com/c/en/us/support/docs/routers/10000-series-routers/15095-backup-config.html'],1,chapter2_ethernet_lans,0.9,0.9999950382530095
24,"The command that configures the switch as a DHCP client to discover its IPv4 address, mask, and default gateway is ip address dhcp.","a. TRUE
b. FALSE
",,a,b,,"The correct command to configure a switch as a DHCP client to discover its IPv4 address, mask, and default gateway is 'ip address dhcp' in interface configuration mode, not 'ip address dhcp' alone.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_dhcp/configuration/15-mt/dhcp-15-mt-book/dhcp-cfg-clnt.html'],0,chapter2_ethernet_lans,0.95,0.999177604552655
25,In which of the following modes of the CLI could you configure the duplex setting for interface Fast Ethernet 0/2?,"a. Global configuration mode
b. Enable mode
c. Interface configuration mode
d. VLAN mode
",,c,c,,"You can configure the duplex setting for a specific interface in the Interface configuration mode. This mode allows you to make changes to individual interfaces, such as Fast Ethernet 0/2, including configuring duplex settings.",['https://www.cisco.com/c/en/us/support/docs/security-vpn/secure-socket-layer-ssl/117257-technote-ios-00.html'],1,chapter2_ethernet_lans,0.9,0.999983356420506
26,Which of the following commands administratively enables an interface,"a. shutdown
b. no shutdown
c. enable interface
d. interface enable
",,b,b,,The correct command to administratively enable an interface in Cisco IOS is 'no shutdown'. This command brings the interface up and allows traffic to pass through it.,['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-cr-book/ir-s1.html'],1,chapter2_ethernet_lans,0.95,0.9996766260266379
27,"Switches use STP to prevent loops by causing some interfaces to block, meaning that they do not send or receive frames.","a. TRUE
b. FALSE
",,a,a,,"Switches use Spanning Tree Protocol (STP) to prevent loops by blocking certain interfaces. When a loop is detected, STP will block redundant paths to avoid broadcast storms and ensure a loop-free topology.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/spanning-tree-protocol/5234-5.html'],1,chapter2_ethernet_lans,0.9,0.9999433054571963
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip default-gateway 175.28.1.254 command in global configuration mode.
d. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
e. The ip default-gateway 175.28.1.150 command in global configuration mode.
",,"b,c","b,c",,"The correct commands for this scenario are: 

b. The 'ip address 175.28.1.150 255.255.255.0' command in interface VLAN 2 configuration mode is required to assign the IP address to the switch for VLAN 2.

c. The 'ip default-gateway 175.28.1.254' command in global configuration mode is necessary to set the default gateway for the switch, allowing it to communicate with devices in other subnets, including for SSH connections.",[],1,chapter2_ethernet_lans,0.9,0.999974937930059
29,Which of the following commands lists the content of the startup-config (initial config) file.,"a. show startup-config
b. show initial-config
c. show content-config
d. show file-config
",,a,a,,The correct command to view the content of the startup-config file is 'show startup-config'. This command displays the configuration that is loaded when the device is booted up.,['https://www.cisco.com/c/en/us/td/docs/ios/fundamentals/command/reference/cf_book/cf_s1.html'],1,chapter2_ethernet_lans,0.95,0.9999764427474764
30,You want to configure the console password with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
b. Examsdigest#(config)# enable secret examsdigest
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
",,a,a,,"The correct command to configure the console password is by accessing the console line configuration mode using the 'line console 0' command, then setting the password using the 'password examsdigest' command. Finally, 'login' command enables password checking. Exiting the configuration mode is done by 'exit' command.",[],1,chapter2_ethernet_lans,0.9,0.9999958726752174
31,You want to configure the telnet password for all vty lines with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
b. Examsdigest#(config)# enable secret examsdigest
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
",,d,d,,"The correct command to configure the telnet password for all vty lines with 'examsdigest' is to enter the global configuration mode and then use the 'line vty 0 15' command to access the virtual terminal lines. After that, you set the password using the 'password examsdigest' command.",[],1,chapter2_ethernet_lans,0.9,0.9999605891586276
32,Which of the following type of memory is used to store the configuration used by the switch when it is up and running?,"a. ROM
b. RAM
c. NVRAM
d. Flash
",,b,c,,"NVRAM (Non-Volatile Random Access Memory) is used to store the configuration used by the switch when it is up and running. Unlike RAM (Random Access Memory) which loses its data when the device is powered off, NVRAM retains the configuration even when the switch is rebooted.",['https://www.cisco.com/c/en/us/support/docs/switches/catalyst-6000-series-switches/24024-112.html'],0,chapter2_ethernet_lans,0.9,0.9999231613822378
