Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,e",,"In a spoofing attack, the two commonly spoofed parameters are the Source IP address (a) and Destination IP address (e). By spoofing the source IP address, attackers can deceive the target into accepting false data packets as if they originated from a trusted source. Spoofing the destination IP address allows attackers to redirect traffic intended for a specific destination to a different location.",[],0,chapter8_security_fundamentals,0.9,0.9986656957565512
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,"AAA servers usually support the protocol TACACS+ and RADIUS to communicate with enterprise resources. RADIUS (Remote Authentication Dial-In User Service) is a widely used protocol for network access control and provides centralized Authentication, Authorization, and Accounting services.",['https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/12433-32.html'],1,chapter8_security_fundamentals,0.9,0.999992773397112
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,d,,"The correct commands to meet the requirements specified by the senior network engineer are as follows: 
1. Configure the interface Fa0/1 as an access port: 'switchport mode access' 
2. Enable port security on the interface: 'switchport port-security' 
3. Define the allowed MAC address as 0200.1111.2222: 'switchport port-security mac-address 0200.1111.2222'",[],1,chapter8_security_fundamentals,0.95,0.9972491988063021
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"The correct option is 'DoS' (Denial of Service). A Denial of Service (DoS) attack aims to flood a network or server with excessive requests, rendering it incapable of responding to legitimate traffic, thus denying service to users.",[],1,chapter8_security_fundamentals,0.9,0.9999988527586581
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"The correct option is d. Trojan. A Trojan horse is a type of malware that is disguised as legitimate software. It is designed to damage, disrupt, steal, or in general, carry out actions that are malicious and unauthorized.",['https://www.cisco.com/c/en/us/products/security/what-is-malware.html'],1,chapter8_security_fundamentals,0.9,0.9999982567412194
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users
",,"b,d","b,d",,"Layer 2 switches and Layer 3 switches can be used to implement DHCP Snooping. Layer 2 switches are commonly used to enforce DHCP Snooping at the access layer, while Layer 3 switches can also support DHCP Snooping functionalities.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750x_3560x/software/release/12-2_55_se/configuration/guide/3750xscg/swdhcp82.html'],1,chapter8_security_fundamentals,0.9,0.9998421234138201
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"The correct option is 'c. Contextual awareness'. Contextual awareness in Cisco Firepower NGIPS provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility. It allows for better understanding of the context in which network traffic occurs, enabling more informed security decisions.",['https://www.cisco.com/c/en/us/products/security/firepower-ngips/index.html'],1,chapter8_security_fundamentals,0.9,0.9918880617917674
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,A brute-force attack is a trial-and-error method used to obtain information such as a user's password by systematically checking all possible combinations until the correct one is found.,['https://en.wikipedia.org/wiki/Brute-force_attack'],1,chapter8_security_fundamentals,0.9,0.999983356420506
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,The statement is TRUE. Social engineering attacks rely on manipulating people into divulging confidential information or performing actions that compromise security. These attacks exploit human psychology rather than technical vulnerabilities.,[],1,chapter8_security_fundamentals,0.95,0.9999996871837189
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"The correct option is c. Whaling. Whaling is a type of cyber attack that specifically targets high-profile employees, such as top executives like the CEO or CFO, to gain access to sensitive information or financial data of a company. It is a form of phishing attack that focuses on individuals with access to valuable company information.",[],1,chapter8_security_fundamentals,0.9,0.9999983759447187
