Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. https
b. courses
c. courses.examsdigest.com
d. examsdigest.com
e. examsdigest.com/ccna
",,c,c,,"In the given URI 'https://courses.examsdigest.com/ccna', the hostname part is 'courses.examsdigest.com'. The hostname is the part of the URI that identifies the server to which the request is being made.",[],1,chapter9_ip_acl,0.9,0.9680774031214676
155,Which of the following protocols uses the port 443?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,a,a,,The protocol that uses port 443 is HTTPS (Hypertext Transfer Protocol Secure). Port 443 is the standard port for secure web communication using SSL/TLS encryption.,['https://en.wikipedia.org/wiki/HTTPS'],1,chapter9_ip_acl,0.9,0.9999989719621284
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,b,b,,HTTP (Hypertext Transfer Protocol) uses port 80 for communication. It is the protocol used for transmitting web pages over the internet.,['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml'],1,chapter9_ip_acl,0.9,0.9999984951481323
157,Which of the following protocols uses the port 25?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,c,c,,SMTP (Simple Mail Transfer Protocol) uses port 25 for communication. It is the standard protocol for sending emails between servers.,['https://tools.ietf.org/html/rfc5321'],1,chapter9_ip_acl,0.9,0.9999983759447187
158,Which of the following protocols uses the port 22?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,d,d,,SSH (Secure Shell) protocol uses port 22 for secure communication. It provides a secure way of accessing a remote device or server.,['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml'],1,chapter9_ip_acl,0.9,0.9999994487765019
159,Which of the following port numbers the SNMP protocol uses?,"a. 20
b. 25
c. 160
d. 161
",,d,d,,The SNMP (Simple Network Management Protocol) uses port number 161. This port is reserved for SNMP traffic to communicate between the network devices and the network management system.,['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml'],1,chapter9_ip_acl,0.95,0.9999993295729247
160,Which of the following port numbers the POP3 protocol uses?,"a. 100
b. 110
c. 120
d. 130
",,b,b,,The POP3 (Post Office Protocol version 3) protocol uses port number 110. This port is specifically assigned for POP3 service.,['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml'],1,chapter9_ip_acl,0.95,0.9999942038320978
161,Which of the following port numbers the DNS protocol uses?,"a. 50
b. 51
c. 52
d. 53
",,d,d,,The DNS protocol uses port number 53 for communication. This port is reserved for DNS services.,['https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml'],1,chapter9_ip_acl,0.95,0.9999989719621284
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,d",,A standard IP ACL can be configured to match the exact source IP address (option a) and match only the packet's destination IP address (option d). Standard IP ACLs do not support matching on ranges of IP addresses or subnets with a single command.,['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],0,chapter9_ip_acl,0.9,0.9113865333070055
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. Named ACLs use ACL subcommands to define the action and matching parameters, while numbered ACLs use global commands for the same purpose.",['https://www.cisco.com/c/en/us/td/docs/ios/12_2/security/configuration/guide/fsecur_c/scfacls.html'],1,chapter9_ip_acl,0.9,0.9999955150656573
165,"Given the following fields, which of those cannot be compared on an extended IP ACL?","a. Application protocol
b. Destination IP address
c. Source IP address
d. URL
e. TOS Byte
",,d,"a,d",,"The fields that cannot be compared on an extended IP ACL are Application protocol (a) and URL (d). Extended IP ACLs can filter based on source and destination IP addresses, TOS Byte, but not on higher-layer information like application protocols or specific URLs.",[],0,chapter9_ip_acl,0.9,0.9999453766009122
166,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #1: Permit packets from 186.33.2.3
ACL command #1: ______________________","a. access-list 1 permit 186.33.2.3
b. access-list 1 deny 186.33.2.3
c. access-list 1 permit 186.33.2.0
d. access-list 1 deny 186.33.0.0
",,a,a,,The correct ACL command to permit packets from IP address 186.33.2.3 is 'access-list 1 permit 186.33.2.3'. This command allows traffic from the specific IP address 186.33.2.3.,[],1,chapter9_ip_acl,0.9,0.9999679795226665
167,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #2: Permit packets from hosts with 56.57.2 as the first three octets
ACL command #2: ______________________","a. access-list 1 permit 56.57.2.0 0.0.0.255
b. access-list 1 permit 57.57.2.0 0.0.0.255
c. access-list 1 permit 56.57.2.0 0.0.255.255
d. access-list 1 deny 56.57.2.0 0.0.0.255
",,a,a,,The correct ACL command to permit packets from hosts with 56.57.2 as the first three octets is 'access-list 1 permit 56.57.2.0 0.0.0.255'. This command matches the criteria specified.,[],1,chapter9_ip_acl,0.9,0.998999011523539
168,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #3: Permit packets from hosts with 56.57 as the first two octets
ACL command #3: ______________________","a. access-list 1 permit 56.57.0.0 0.255.255.255
b. access-list 1 permit 56.57.0.0 0.0.255.255
c. access-list 1 permit 56.58.0.0 0.0.255.255
d. access-list 1 permit 56.57.0.0 0.0.0.0
",,b,b,,The correct ACL command to permit packets from hosts with 56.57 as the first two octets is 'access-list 1 permit 56.57.0.0 0.0.255.255'. This command matches any IP address where the first two octets are 56.57.,[],1,chapter9_ip_acl,0.9,0.7842414296933045
169,"Your task is to type a one-line extended ACL that matches the following criteria. All access-list commands use the number 101 in the command.
Criteria #4: Permit packets from web client 65.5.5.5, sent to a web server in subnet 65.5.6.0/24
ACL command #4: ______________________","a. access-list 101 permit tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq 23
b. access-list 101 permit any any
c. access-list 101 permit tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq www
d. access-list 101 deny tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq www
",,c,c,,The correct ACL command to permit packets from web client 65.5.5.5 to a web server in subnet 65.5.6.0/24 on port 80 (www) is 'access-list 101 permit tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq www'. This command specifies to permit TCP traffic from the specified source IP to the destination subnet on port 80.,[],1,chapter9_ip_acl,0.9,0.9996705486310246
170,"Your task is to type a one-line extended ACL that matches the following criteria. All access-list commands use the number 101 in the command.
Criteria #5: Permit any and every IPv4 packet
ACL command #5: ______________________","a. access-list 101 permit ip any any
b. access-list 101 deny ip any any
c. access-list 101 permit ip 0.0.0.0 any
d. access-list 101 permit ip any 0.0.0.0
",,a,a,,The correct command to permit any and every IPv4 packet is 'access-list 101 permit ip any any'. This command allows all IPv4 traffic to pass through the ACL.,[],1,chapter9_ip_acl,0.9,0.9999925349918634
171,"Which of the following commands display the configuration of an IPv4 ACL, including line numbers? (Choose two answers.)","a. show running-config
b. show startup-config
c. show ip access-lists
d. show access-lists
",,"c,d","a,c",,"The 'show running-config' command displays the current running configuration of the device, including IPv4 ACLs with line numbers. The 'show ip access-lists' command specifically shows the IPv4 ACL configuration, including line numbers.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/xe-16-6/sec-acl-xe-16-6-book/sec-acl-overview.html'],0,chapter9_ip_acl,0.95,0.6276761537462259
