Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"The correct option is 'a. IP'. In the five-layer TCP/IP model, the network layer (layer 3) is where IP (Internet Protocol) operates. IP is responsible for routing packets across different networks based on IP addresses.",['https://www.cloudflare.com/learning/ddos/glossary/tcp-ip-model/'],1,google_1_basics_computer_networking,0.95,0.9999957534720165
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,A browser operates at the application layer (layer 5) of the TCP/IP model. It is responsible for interacting with software applications and presenting data to the user.,[],1,google_1_basics_computer_networking,0.9,0.9999995679800934
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The correct layer that deals with cabling and connectors in the TCP/IP model is the physical layer. This layer is responsible for the actual physical connection between devices, including specifications for cables, connectors, and hardware interfaces.",['https://www.cloudflare.com/learning/network-layer/what-is-the-physical-layer/'],1,google_1_basics_computer_networking,0.95,0.9999977799274644
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,"A router operates at the network layer of the TCP/IP five-layer model. The network layer is responsible for routing packets between networks, and routers make forwarding decisions based on network layer information such as IP addresses.",['https://www.cloudflare.com/learning/network-layer/what-is-the-network-layer/'],1,google_1_basics_computer_networking,0.95,0.9999975415208221
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,d,,Ethernet standards and some wireless technologies operate at the data link layer. The data link layer is responsible for node-to-node data transfer and provides the functional and procedural means to transfer data between network entities.,['https://www.cloudflare.com/learning/network-layer/what-is-the-data-link-layer/'],1,google_1_basics_computer_networking,0.9,0.9995480991079801
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch allows connections from many devices and inspects the contents of Ethernet protocol data. Unlike a hub that broadcasts data to all connected devices, a switch forwards data only to the intended recipient based on MAC addresses, making it more efficient and secure.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/19237-142.html'],1,google_1_basics_computer_networking,0.95,0.9982060027402931
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network. It is a network that interconnects computers within a limited area such as a home, school, or office building.",[],1,google_1_basics_computer_networking,1,0.9999995679800934
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,A router is a device that knows how to forward data between independent networks. Routers operate at the network layer (Layer 3) of the OSI model and make decisions based on IP addresses.,['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/what-is-a-router.html'],1,google_1_basics_computer_networking,0.95,0.9999995679800934
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,b,,"Option b correctly describes a server as a device that forwards data between multiple networks. Servers are specialized computers or software designed to provide functionality to other devices or programs, such as storing and sharing files, hosting websites, or managing network resources.",[],0,google_1_basics_computer_networking,0.9,0.9954917766842001
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,The correct option is d. Copper wiring is commonly used in cables for communication where voltage changes represent ones and zeros. Copper is an excellent conductor of electricity and is widely used in networking cables for its conductivity and cost-effectiveness.,['https://www.lanshack.com/Understanding-Ethernet-Cable-Pinout-Wiring-and-Color-Coding.aspx'],1,google_1_basics_computer_networking,0.95,0.9999963494876631
11,What modulation type is used for computer networks?,"a. RJ45
b. Simplex communication
c. Line coding
d. Line crimping
",,c,c,,The modulation type used for computer networks is line coding. Line coding is the process of converting digital data to digital signals. It is essential for transmitting data over network communication channels.,[],1,google_1_basics_computer_networking,0.9,0.9999973031140366
12,What is the difference between full duplex and half duplex?,"a. Half duplex occurs when hubs are in use; full duplex occurs when switches are in use.
b. Full duplex allows communications in two directions at the same time; half duplex means that only one side can communicate at a time.
c. Full duplex is a form of simplex communications.
d. Full duplex is slower than half duplex.
",,b,b,,"Full duplex allows communications in both directions simultaneously, enabling devices to send and receive data at the same time. In contrast, half duplex means that communication can occur in both directions but not simultaneously, as only one side can transmit at a time.",[],1,google_1_basics_computer_networking,0.9,0.9999989719621284
13,The ____________ consists of devices and is responsible for sending signals between devices.,"a. network layer
b. data link layer
c. physical layer
d. modulation
",,c,c,,"The correct option is c. physical layer. The physical layer of the OSI model is responsible for transmitting raw data bits over a physical medium. It deals with the physical connection between devices, including the transmission and reception of electrical, mechanical, and functional interfaces. This layer defines the hardware specifications such as cables, switches, network interface cards, etc., and how data is transmitted over the network.",['https://www.geeksforgeeks.org/physical-layer-computer-networks/'],1,google_1_basics_computer_networking,0.9,0.9994621243070224
14,What is the most common type of cabling used for connecting computing devices?,"a. Power Cable
b. Twisted Pair Cable
c. VGA Cable
d. SATA Cable
",,b,b,,"The most common type of cabling used for connecting computing devices is Twisted Pair Cable. It is widely used for Ethernet connections in local area networks (LANs) and is known for its reliability, cost-effectiveness, and ease of installation.",[],1,google_1_basics_computer_networking,0.95,0.9999993295729247
