Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. TRUE
b. FALSE
",,a,a,,"The statement is TRUE. When Access Points (APs) are placed at different geographic locations, they can be interconnected by a switched infrastructure. This interconnected network of APs is referred to as an Extended Service Set (ESS) in the 802.11 standard.",['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Mobility/emob41dg/emob41dg-wrapper/ch7Guest.html'],1,chapter10_wireless_networks,0.9,0.9999949190499081
180,A lightweight access point in which one of the following architectures participate?,"a. Light-MAC
b. Tunnel-MAC
c. Big-MAC
d. Split-MAC
",,d,d,,"A lightweight access point participates in the Split-MAC architecture. In this architecture, the lightweight access point has two main components: the Access Point (AP) and the Wireless LAN Controller (WLC). The AP handles the wireless client traffic locally, while the WLC manages the overall coordination and control functions.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-3/b_cisco_wireless_lan_controller_technical_reference/b_cisco_wireless_lan_controller_technical_reference_chapter_010010.html'],1,chapter10_wireless_networks,0.9,0.997893240040604
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Redundancy port
d. Console port
",,c,c,,The redundancy port is used to connect to a peer controller for high availability (HA) operation. This port is specifically designed for HA purposes to ensure failover and redundancy in the network.,[],1,chapter10_wireless_networks,0.9,0.9969749404410787
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. MIC
b. WIPS
c. WEP
d. EAP
",,a,a,,"The correct option is 'a. MIC'. MIC stands for Message Integrity Check, which is a wireless security tool used to protect the integrity of data in a wireless frame by ensuring that the data has not been tampered with during transmission.",['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Mobility/emob41dg/emob41dg-wrapper/ch7_WLANSec.html'],1,chapter10_wireless_networks,0.95,0.9999987335551019
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.2
b. 802.1
c. 802.12
d. 802.11
",,d,d,,Wi-Fi is based on the IEEE 802.11 standards. These standards define the operation of wireless LANs (WLANs) and are maintained by the IEEE LAN/MAN Standards Committee (IEEE 802).,['https://en.wikipedia.org/wiki/IEEE_802.11'],1,chapter10_wireless_networks,0.9,0.9999981375378344
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Wireless repeater
b. Workgroup bridge
c. Transparent bridge
d. Adaptive bridge
",,b,b,,"A workgroup bridge can be used to provide wireless connectivity to a non-wireless device. It acts as a bridge between a wired network device and a wireless network, allowing the non-wireless device to connect to the wireless network.",[],1,chapter10_wireless_networks,0.9,0.9999087389545426
185,Which controller interface type maps a WLAN to a VLAN?,"a. Management interface
b. Redundancy management
c. Virtual interface
d. Service port interface
e. Dynamic interface
",,e,c,,"The controller interface type that maps a WLAN to a VLAN is the virtual interface. Virtual interfaces on a wireless LAN controller (WLC) allow you to map multiple WLANs to different VLANs, enabling traffic separation and management.",['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/200527-VLAN-Mapping-on-WLC-Configuration-Example.html'],0,chapter10_wireless_networks,0.9,0.9983266949386003
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. SSH
b. HTTP
c. HTTPS
d. FTP
e. None of the above
",,c,c,,"The most preferred and secure way of connecting to a WLC GUI to configure a new WLAN is using HTTPS (Hypertext Transfer Protocol Secure). HTTPS encrypts the data exchanged between the client and the server, providing a secure communication channel. This encryption ensures that sensitive information, such as login credentials and configuration details, is protected from eavesdropping and tampering.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/7-4/configuration/guides/consolidated/b_cg74_CONSOLIDATED/b_cg74_CONSOLIDATED_chapter_01001010.html'],1,chapter10_wireless_networks,0.9,0.9999924157887603
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 5
b. 152
c. 251
d. 512
",,d,d,,The correct option is d. The maximum configurable number of WLANs on a controller is 512. This limit is applicable to Cisco Wireless LAN Controllers.,['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wireless_lan_controller_software_configuration_guide/b_wlc_cg_chapter_01100.html'],1,chapter10_wireless_networks,0.9,0.5280658696140385
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11
b. 802.11b
c. 802.11g
d. 802.11a
e. 802.11n
f. 802.11ac
g. 802.11ax
",,"d,e,f,g","d,f,g",,"The IEEE 802.11 Wi-Fi standards that use the 5 GHz band are 802.11a, 802.11ac, and 802.11ax. These standards operate in the 5 GHz frequency range, providing higher data rates and less interference compared to the 2.4 GHz band.",['https://www.lifewire.com/5-ghz-band-818208'],0,chapter10_wireless_networks,0.95,0.8008852168082826
189,Wi-Fi commonly uses the 2.5GHz and __________________ GHz bands.,"a. 5
b. 3
c. 1
d. 4
",,a,a,,Wi-Fi commonly uses the 2.4GHz and 5GHz bands. The 5GHz band offers less interference and more available channels compared to the 2.4GHz band.,['https://www.lifewire.com/5-ghz-wifi-818186'],1,chapter10_wireless_networks,0.95,0.9986500818602988
190,"Choose the term that best describes a Cisco wireless access point that operates in a standalone, independent manner.","a. Standalone Access point (AP)
b. Autonomous Access Point (AP)
c. Independent Access Point (AP)
d. Cisco Access Point (AP)
",,b,b,,"The term that best describes a Cisco wireless access point that operates in a standalone, independent manner is an Autonomous Access Point (AP). Autonomous access points are standalone devices that operate independently without the need for a central controller.",['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/97066-ap-autonomous-wlc.html'],1,chapter10_wireless_networks,0.9,0.9998690558739306
191,"You are creating a new WLAN with the controller GUI, which of the following parameters are necessary? (Choose two)","a. VLAN number
b. SSID
c. Interface
d. BSSID
e. IP subnet
",,"b,c","b,c",,"When creating a new WLAN with the controller GUI, the necessary parameters are SSID (Service Set Identifier) and Interface. SSID is the name of the wireless network that clients will see and connect to. The Interface parameter defines the physical or virtual interface on the controller that will be associated with the WLAN.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/7-4/configuration/guides/consolidated/b_cg74_CONSOLIDATED/b_cg74_CONSOLIDATED_chapter_01001010.html'],1,chapter10_wireless_networks,0.9,0.9993305285760612
192,Which one of the following is a wireless encryption method that is not recommended for use due to vulnerability issues?,"a. Advanced Encryption Standard (AES)
b. Wi-Fi Protected Access (WPA)
c. Wired Equivalent Privacy (WEP)
d. Extensible Authentication Protocol (EAP)
",,c,c,,"The correct option is c. Wired Equivalent Privacy (WEP) is a wireless encryption method that is not recommended for use due to significant vulnerability issues. WEP is considered weak and easily crackable, making it insecure for protecting wireless networks.",['https://www.cisco.com/c/en/us/products/collateral/wireless/aironet-1200-series/prod_qas09186a00801a91f8.html'],1,chapter10_wireless_networks,0.95,0.9999984951481323
193,Which of the following IEEE 802.11 Wi-Fi standards use the 2.4 GHz band? (Choose all that apply),"a. 802.11
b. 802.11b
c. 802.11g
d. 802.11a
e. 802.11n
f. 802.11ac
g. 802.11ax
",,"a,b,c,e,g","a,b,c,e",,"The IEEE 802.11 Wi-Fi standards that use the 2.4 GHz band are 802.11, 802.11b, 802.11g, and 802.11n. These standards operate in the 2.4 GHz frequency range, providing compatibility with older devices and better coverage at the cost of potentially slower speeds.",['https://www.lifewire.com/wifi-networking-802-11-standards-explained-816553'],0,chapter10_wireless_networks,0.9,0.9996634964555223
