Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,The correct term for POTS is Public Switched Telephone Network (PSTN). It refers to the traditional landline telephone system that carries analog voice data.,['https://en.wikipedia.org/wiki/Plain_old_telephone_service'],1,google_5_connecting_to_the_internet,0.9,0.9992744880111876
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,"A baud rate is a measurement of the number of signal elements (such as voltage, current, or phase) that are sent per second over a communication channel. It is not directly related to the number of bits or bytes being transmitted, but rather the rate of signal changes per second.",['https://www.lifewire.com/baud-4159365'],1,google_5_connecting_to_the_internet,0.9,0.9999417558982535
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"The correct system that Duke grads built and is still in use today is USENET. USENET is a worldwide distributed discussion system available on computers and was developed in 1979 by Tom Truscott and Jim Ellis, who were Duke University graduate students at the time.","['https://tools.ietf.org/html/rfc1036', 'https://www.livinginternet.com/u/ui_usenet.htm']",1,google_5_connecting_to_the_internet,0.9,0.998523009026379
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,A modem (short for modulator-demodulator) is the device used to transfer data across a dial-up connection. It modulates digital data from a computer into analog data for transmission over analog networks like telephone lines and demodulates the analog signal back into digital data at the receiving end.,['https://www.investopedia.com/terms/m/modem.asp'],1,google_5_connecting_to_the_internet,0.95,0.9999982567412194
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,c,,"Modems modulate digital data from computers into analog signals that can be transmitted over Plain Old Telephone Service (POTS) lines. This modulation involves converting the digital signals into varying electrical signals that represent the binary data, allowing it to travel over the analog POTS lines.",['https://www.techopedia.com/definition/5336/modem'],0,google_5_connecting_to_the_internet,0.9,0.8792800248145939
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1
",,c,a,,"In computer networking, T1 refers to a digital carrier facility used to transmit data. It is not related to transportation but specifically denotes the transmission aspect of data communication.",[],0,google_5_connecting_to_the_internet,0.9,0.7553250443978682
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec
",,b,b,,"A T1 line operates at a speed of 1.544 Mb/sec. It consists of 24 channels, each running at 64 Kbps, resulting in a total bandwidth of 1.544 Mbps.",['https://www.webopedia.com/definitions/t1/'],1,google_5_connecting_to_the_internet,0.9,0.9999950382530095
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"The correct statements are:
- b. Cable internet connections are broadband connections, providing high-speed internet access.
- d. Cable internet connections are shared bandwidth connections, where multiple users share the same cable line for internet access.",[],1,google_5_connecting_to_the_internet,0.9,1.0
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,d",,"The subprotocols for PPP (Point to Point Protocol) include Link Control Protocol (LCP) and Network Control Protocol (NCP). LCP is responsible for establishing, configuring, testing, and terminating the connection, while NCP is used for establishing and configuring different network layer protocols. FCS (Frame Check Sequence) is not a subprotocol of PPP, and compression is typically handled separately.",['https://www.ietf.org/rfc/rfc1661.txt'],1,google_5_connecting_to_the_internet,0.9,0.9648328359797638
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,The demarcation point for fiber technologies is typically referred to as ONT (Optical Network Terminal). ONT is a device that terminates the fiber optic line in the customer's premises and converts the optical signal into electrical signals for communication within the premises.,['https://www.fiberopticshare.com/what-is-ont.html'],1,google_5_connecting_to_the_internet,0.9,0.9999644035315693
81,What does WAN stand for?,"a. Wireless Local Area Network
b. Wireless Area Network
c. Wired Area Network
d. Wide Area Network
",,d,d,,"WAN stands for Wide Area Network. It is a type of network that covers a broad area, such as multiple buildings, cities, or even countries, by utilizing various communication technologies.",[],1,google_5_connecting_to_the_internet,1,0.9999989719621284
82,"In a WAN, what is the area between a demarcation point and the ISP's core network known as?","a. a local loop
b. a Local Area Network
c. A local link
d. An access point
",,a,a,,"In a WAN, the area between a demarcation point and the ISP's core network is known as a local loop. It is the physical link or circuit that connects the customer's premises to the service provider's network.",[],1,google_5_connecting_to_the_internet,0.9,0.5235643885290028
83,A point-to-point VPN is also known as a ______________.,"a. port forwarding VPN
b. one-to-many VPN
c. data link VPN
d. site-to-site VPN
",,d,d,,"A point-to-point VPN is commonly referred to as a site-to-site VPN. This type of VPN establishes secure communication links between multiple locations, such as branch offices, over the internet.",[],1,google_5_connecting_to_the_internet,0.9,0.9991197721280373
84,Who handles sending data from one site to another?,"a. T-carrier line
b. CTO
c. ISP
d. VPN
",,c,c,,The Internet Service Provider (ISP) handles sending data from one site to another. ISPs are companies that provide Internet access and related services to individuals and other companies.,[],1,google_5_connecting_to_the_internet,0.9,0.9998731082814353
85,How many address fields does an 802.11 header contain?,"a. 1
b. 4
c. 2
d. 3
",,b,c,,An 802.11 header contains 2 address fields. These fields are used to specify the destination and source MAC addresses in the frame.,['https://en.wikipedia.org/wiki/IEEE_802.11#802.11_frame_format'],0,google_5_connecting_to_the_internet,0.9,0.719706060236607
86,What are wireless channels?,"a. a collision domain
b. a point-to-point wireless connection
c. an example of an ad-hoc network
d. Individual, smaller sections of the overall frequency band used by a wireless network
",,d,d,,"Wireless channels refer to individual, smaller sections of the overall frequency band used by a wireless network to transmit data. These channels help in optimizing the use of the available frequency spectrum and reduce interference.",[],1,google_5_connecting_to_the_internet,0.9,0.9999036136754603
87,Which of the following frequencies do wireless networks typically operate on? Select all that apply.,"a. 2.4Ghz
b. 1.544Ghz
c. 5Ghz
d. 88Mhz
",,"a,c","a,c",,Wireless networks typically operate on frequencies in the 2.4GHz and 5GHz bands. These frequencies are commonly used for Wi-Fi networks due to their ability to provide good data rates and coverage.,['https://www.lifewire.com/2-4-ghz-and-5-ghz-wi-fi-frequencies-explained-818272'],1,google_5_connecting_to_the_internet,0.95,0.9999984951481323
