Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,QD - Goal clear?(0/1),QD - Context clear?(0/1),QD - How challenging(1-4),QD - Level learnt(1-7),SM - Description,SM - Goal understood?(0/1),SM - Context understood?(0/1),SM - Implied Context understood?(0/1),SM - Relvant facts identified?(0/1),SM - Correct facts retieved?(0/1),SM - No incorrect facts?(0/1),SM - Correct reasoning?(0/1),SM - Misunderstanding General,SM - Misunderstanding Reasons,SM - Misunderstanding General (secondary),SM - Misunderstanding Reasons (secondary),AQ - Inferrable(0-2)?,Source links work(number),Sources Types,Sources Relevant(number),Source Problems,AQ - Precise?,AQ - Explainable?,Effect - Description of effects,Effect - Conceptual error in explanaiton?(0/1),Effect - Subtopics,Effect - Error Type,Effect - Severity,Effect - Who is most effected(1-4),CD - detection student(1-3),CD - correction student(1-8),CD - detection knowledgeable(1-3),CD - correction knowledgeable(1-8),Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,b",,"In a spoofing attack, attackers commonly spoof the source IP address and the MAC address. Spoofing the source IP address can make the traffic appear to come from a trusted source, bypassing some forms of security checks. MAC address spoofing can be used to impersonate another device on the local network. ARP spoofing is related but it involves the corruption of the ARP table (not the ARP address itself), which is not one of the options provided. Spoofing the routing table or the destination IP address is not typically referred to as spoofing in the context of a spoofing attack; these would involve different types of attacks or manipulations.","['https://www.cisco.com/c/en/us/about/security-center/ip-spoofing.html', 'https://www.cisco.com/c/en/us/support/docs/security-vpn/identity-management/116137-technote-arp-00.html']",1,chapter8_security_fundamentals,0.95,0.876410130188172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,"AAA servers (Authentication, Authorization, and Accounting servers) commonly support TACACS+ (Terminal Access Controller Access-Control System Plus) and RADIUS (Remote Authentication Dial-In User Service) to communicate with enterprise resources. Both TACACS+ and RADIUS are protocols used for network access authentication and authorization. DHCP (Dynamic Host Configuration Protocol) is used for dynamically assigning IP addresses, ARP (Address Resolution Protocol) is used for resolving IP addresses to MAC (Media Access Control) addresses, and HTTP (Hypertext Transfer Protocol) is used for transferring web content.","['https://www.cisco.com/c/en/us/td/docs/net_mgmt/cisco_secure_access_control_system/5-8/ACS-ADIntegration/guide/acsad/b_ACS_AD_Integration_chapter_010.html', 'https://en.wikipedia.org/wiki/RADIUS', 'https://en.wikipedia.org/wiki/TACACS']",1,chapter8_security_fundamentals,1,0.999999687183719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222",,d,d,,"The correct sequence of commands to configure port security on a Cisco switch, for the specified requirements, is as follows: enter global configuration mode, select the correct interface, change the interface to access mode, enable port security, and finally set the specific MAC address that is allowed to access the network through that port. Option 'd' correctly follows this sequence for interface FastEthernet0/1 and sets the specified MAC address 0200.1111.2222.","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960/software/release/12-2_53_se/configuration/guide/2960scg/swtrafc.html', 'https://www.cisco.com/c/en/us/support/docs/switches/catalyst-6500-series-switches/72846-layer2-secftrs-catl3fixed.html#port_sec']",1,chapter8_security_fundamentals,1,0.999125604306905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"DoS, or Denial-of-Service attacks, are designed to make a machine or network resource unavailable to its intended users by temporarily or indefinitely disrupting services of a host connected to the Internet. This is done by overwhelming the target with a flood of traffic or sending information that triggers a crash. The other options listed do not describe this behavior. Spoofing is the act of masquerading as a valid entity through falsification of data (such as an IP address), phishing is a technique of fraudulently obtaining private information, and SQL injection is a code injection technique used to attack data-driven applications.","['https://www.cisa.gov/uscert/ncas/tips/ST04-015', 'https://en.wikipedia.org/wiki/Denial-of-service_attack']",1,chapter8_security_fundamentals,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"A Trojan, short for Trojan horse, is malicious software that is disguised as legitimate software. Users are often tricked into loading and executing it on their systems, as it appears to be harmless or useful software. Unlike viruses, Trojans do not replicate themselves but they can be just as destructive.","['https://www.cisco.com/c/en/us/about/security-center/virus-differences.html', 'https://us.norton.com/internetsecurity-malware-what-is-a-trojan.html']",1,chapter8_security_fundamentals,1,0.999972389926165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users",,"b,d","b,d",,"DHCP Snooping is a security feature that acts as a firewall between untrusted hosts and trusted DHCP servers. It is implemented on network switches to prevent malicious or erroneous DHCP traffic. Layer 2 switches can implement DHCP Snooping to filter DHCP messages on a per-port basis. Layer 3 switches, which can perform routing functions as well as switching, can also implement DHCP Snooping. Hubs, being simple repeaters, do not have the capability to implement DHCP Snooping. Routers could potentially serve as DHCP servers or relay agents, but they are not typically where DHCP Snooping is implemented. Access Points do not typically implement DHCP Snooping as they are not responsible for DHCP enforcement in a network. End users are not devices that can implement DHCP Snooping.","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/snoodhcp.html', 'https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/27470-100.html']",1,chapter8_security_fundamentals,1,0.999954674023603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"The feature of Cisco Firepower Next-Generation Intrusion Prevention System (NGIPS) that provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility is 'Contextual awareness'. This feature allows the system to gather critical data about network traffic, users, and devices, enabling it to make more informed security decisions and policies. It essentially provides the context by correlating vast amounts of data to help identify and prioritize potential threats.",['https://www.cisco.com/c/en/us/products/security/firepower-ngfw/next-generation-intrusion-prevention-system.html'],1,chapter8_security_fundamentals,0.95,0.997816675926927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,"A brute-force attack is a trial-and-error method used to obtain information such as a user password or personal identification number (PIN). In this attack, automated software is used to generate a large number of consecutive guesses to determine the value of the desired data. Brute-force attacks are known for their simplicity and reliability – they will eventually crack any code, but the time taken can be prohibitive if the password is sufficiently long and complex. This type of attack does not directly relate to making a server unavailable (which is more associated with a Denial-of-Service attack), spoofing IP addresses (which involves impersonating another device by using its IP address), or altering a routing table (which would be an attack targeting network routes, often involving routing protocols).","['https://en.wikipedia.org/wiki/Brute-force_attack', 'https://www.cisco.com/c/en/us/about/security-center/password-security.html#11']",1,chapter8_security_fundamentals,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,The statement is true. Social engineering attacks are indeed based on human interactions and involve psychological manipulation to deceive individuals into divulging confidential information or performing actions that compromise security.,"['https://www.cisa.gov/uscert/ncas/tips/ST04-014', 'https://en.wikipedia.org/wiki/Social_engineering_(security)']",1,chapter8_security_fundamentals,1,0.999999806387369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"Whaling is a specific type of phishing attack that targets high-profile individuals within an organization, such as executives or other key roles. These attacks are often more sophisticated and personalized to the target, aiming to deceive the individual into divulging confidential information or initiating a high-value transaction. While social engineering is a broader category of tactics used to manipulate individuals into breaking security procedures, and phishing is a more general term for attempts to acquire sensitive information through deception, whaling specifically refers to attacks against high-profile targets. Pharming, on the other hand, involves redirecting a website's traffic to a fake site to collect personal information or to install malware.","['https://www.cisco.com/c/en/us/products/security/email-security/what-is-whaling.html', 'https://www.phishing.org/what-is-phishing']",1,chapter8_security_fundamentals,0.95,0.999999806387369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
