Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. In MPLS (Multiprotocol Label Switching) networks, the customer edge (CE) device is typically a router located at the customer's premises. It connects to the provider edge (PE) router, which is part of the service provider's network. The CE router is responsible for communicating with the PE router to send and receive data between the customer site and the provider's MPLS network.","['https://www.cisco.com/c/en/us/td/docs/net_mgmt/ip_solution_center/5-2/mpls_vpn/user/guide/mpls52book/concepts.html', 'https://www.juniper.net/documentation/us/en/software/junos/mpls-applications/topics/topic-map/mpls-customer-edge-router.html']",1,chapter12_network_design_architecture,1,0.9999917005724405
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Full Mesh
b. Star
c. Hybrid
d. Partial Mesh
",,a,a,,"A full mesh network design is one where each node in the network has a direct link to every other node. This type of network provides the highest level of redundancy, as there is a direct path between any two nodes, but it can be expensive and complex to implement due to the large number of links required. In contrast, a star network centers around a central hub, a hybrid network combines elements of different topologies, and a partial mesh has some nodes connected directly and others indirectly.","['https://www.cisco.com/c/en/us/support/docs/network-management/network-management-concepts/200465-Network-Design-Considerations-for-a-Mesh.html', 'https://en.wikipedia.org/wiki/Mesh_networking']",1,chapter12_network_design_architecture,1,0.9999998063873687
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. TRUE
b. FALSE
",,a,a,,"With Power over Ethernet (PoE), a LAN switch can indeed act as the Power Sourcing Equipment (PSE). The PSE is a device such as a switch or a hub that provides power over the Ethernet cable to the powered device (PD) like IP phones, wireless access points, and surveillance cameras.","['https://www.cisco.com/c/en/us/support/docs/switches/catalyst-4500-series-switches/69632-poe-cat4500.html', 'https://en.wikipedia.org/wiki/Power_over_Ethernet']",1,chapter12_network_design_architecture,1,0.9999996871837189
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Access
b. Distribution
c. Core
d. Campus
",,a,a,,"In a hierarchical network design, the access layer is responsible for providing a connection point for end-user devices. The access layer switches are the ones that directly interface with devices such as computers, printers, and phones within a campus network.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-a-campus-network.html', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/116384-technote-etherchannel-00.html']",1,chapter12_network_design_architecture,1,0.9999998063873687
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Distribution
c. Core
d. Campus
",,b,b,,"In a hierarchical network design, the distribution layer serves as the aggregation point for access switches. It aggregates the data from multiple access-layer devices before it is transmitted to the core layer for routing to the final destination. The distribution layer switches also enforce policy, segment workgroups, and can mitigate network congestion.","['Cisco: Hierarchical Network Design - https://www.cisco.com/c/en/us/support/docs/network-management/network-design/20041-121.html', 'Cisco: Campus Network for High Availability Design Guide - https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-campus/campus-ha-design-guide.html']",1,chapter12_network_design_architecture,0.95,0.9999994487765019
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,c,,"In a large campus LAN architecture, the core layer (also known as the backbone layer) is responsible for aggregating the distribution switches. The core layer provides high-speed, reliable transportation of data across the network and connects to the distribution layer, which in turn connects to the access layer where end devices are connected.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/enterprise-campus-design.html', 'https://www.ciscolive.com/c/dam/r/ciscolive/us/docs/2016/pdf/BRKCRS-2031.pdf']",1,chapter12_network_design_architecture,0.95,0.9999858596579756
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using private WAN connections directly to the cloud provider
b. Using an Internet connection without VPN
c. Using an Internet connection with VPN
d. Using an intercloud exchange
",,"a,d","a,c",,"When considering WAN options for connecting to a public cloud service with a focus on security and QoS, the following options are viable: a) Using private WAN connections directly to the cloud provider ensures that the data remains private as it does not traverse the public internet. This also allows for better QoS since the connection is dedicated and can be managed end-to-end. c) Using an Internet connection with VPN also provides security by encrypting the data as it traverses the public internet, ensuring privacy. The QoS might not be as good as a private WAN connection due to the nature of the public internet, but it is still a secure option.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-sd-wan.html', 'https://www.cisco.com/c/en/us/products/security/vpn-endpoint-security-clients/what-is-vpn.html']",0,chapter12_network_design_architecture,0.95,0.9999967518919751
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. TRUE
b. FALSE
",,b,b,,"The statement is false. In a Public Cloud solution, the cloud service provider is responsible for the management, maintenance, and updating of data centers. Customers using public cloud services do not manage the underlying infrastructure. In contrast, with a Private Cloud (On-Premise) solution, the organization is responsible for managing and maintaining its own data centers.","['https://azure.microsoft.com/en-us/overview/what-is-a-public-cloud/', 'https://www.ibm.com/cloud/learn/private-cloud']",1,chapter12_network_design_architecture,1,0.9999998063873687
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses one IP subnet
b. The WAN uses 20 or more IP subnets
c. A remote site router would have one OSPF neighbor
d. A remote site router would have 20 OSPF neighbors
",,"a,d","a,c",,"In a Metro Ethernet E-LAN service, all sites appear to be on the same Ethernet network, making it possible to use a single IP subnet across the WAN. This is because an E-LAN service emulates a LAN over a wide area, allowing all connected sites to communicate as if they were on the same local network. Consequently, each remote site router would logically see only one OSPF neighbor, which is the router at the headquarters. The routers do not form OSPF adjacencies with the other remote site routers directly across the E-LAN service.","['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/WAN_and_MAN/MetroEthernet.html', 'https://www.ciscopress.com/articles/article.asp?p=680824&seqNum=2']",0,chapter12_network_design_architecture,0.9,0.9846165635019638
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Isolation
c. Virtualization
d. Segmentation
",,c,c,,"Server virtualization is the process of dividing a physical server into multiple unique and isolated virtual servers using software applications. This allows multiple operating systems to run concurrently on a single physical server, thereby improving resource utilization and flexibility.","['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/server-virtualization.html', 'https://searchservervirtualization.techtarget.com/definition/server-virtualization']",1,chapter12_network_design_architecture,1,1.0
