Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
46,What transport layer protocol does DNS normally use?,"a. TCP
b. IP
c. UDP
d. ICMP
",,c,"a,c",,"DNS (Domain Name System) uses both TCP (Transmission Control Protocol) and UDP (User Datagram Protocol) at the transport layer. By default, DNS queries are usually sent using UDP on port 53 because it is faster and the queries are typically small. However, if the response data size exceeds 512 bytes or for tasks such as zone transfers (AXFR), DNS will use TCP to ensure reliable delivery and to handle larger packets.","['https://www.rfc-editor.org/rfc/rfc5966', 'https://www.ietf.org/rfc/rfc1035.txt']",0,google_4_networking_serices,0.95,0.845459904830309
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many DNS resolutions can take place before the IP has to change.
c. How many steps there are in the resolution process.
d. How long a DNS entry is allowed to be cached.
",,d,d,,"The DNS TTL (Time to Live) determines how long a DNS entry can be cached by a DNS resolver or a client system before it must be discarded or refreshed. It does not relate to the physical distance of a DNS server (a), the number of DNS resolutions (b), or the number of steps in the resolution process (c).","['https://www.cloudflare.com/learning/dns/what-is-dns-ttl/', 'https://en.wikipedia.org/wiki/Time_to_live#DNS_records']",1,google_4_networking_serices,1,1.0
48,How many root servers are there?,"a. 16
b. 8
c. 13
d. 17
",,c,c,,"There are 13 root servers in the Domain Name System (DNS), identified by the letters A through M. These servers are a critical part of the Internet infrastructure as they are the first step in translating human-friendly domain names into IP addresses that computers use to identify each other on the network. Despite there being 13 root server addresses, there are many more physical servers, as each root server address corresponds to multiple physical servers around the world, using anycast addressing to provide redundancy and improve performance.","['https://www.iana.org/domains/root/servers', 'https://en.wikipedia.org/wiki/Root_name_server']",1,google_4_networking_serices,1,0.9999992103693117
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Easier for humans to remember website names.
b. Easy for the node to find the network ID.
c. Allows administrative changes to happen seamlessly.
d. Small routing tables.
",,"a,c","a,c",,"Domain Name System (DNS) is crucial for translating human-friendly domain names into IP addresses that computers use to identify each other on the network. The benefits of using DNS include: (a) It is much easier for humans to remember website names like 'www.example.com' rather than numerical IP addresses. (c) DNS allows administrative changes to happen seamlessly because when an IP address changes, the administrator only needs to update the DNS record, and users continue to use the same domain name without noticing any change. Option (b) is incorrect because DNS does not directly assist a node in finding its network ID; that is more related to IP addressing and subnetting. Option (d) is incorrect because DNS does not impact the size of routing tables; routing tables are used by routers to determine the best path for traffic to take through a network, and they are not directly affected by DNS.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://en.wikipedia.org/wiki/Domain_Name_System']",1,google_4_networking_serices,1,0.9986341486252147
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. IP addresses
b. DNS server
c. name resolution
d. ARP table lookup
",,c,c,,"The process of using DNS (Domain Name System) to turn a domain name into an IP address is known as name resolution. DNS is essentially the phonebook of the internet, where human-readable domain names are translated into machine-readable IP addresses.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://en.wikipedia.org/wiki/Domain_Name_System']",1,google_4_networking_serices,1,0.9999996871837189
51,An A Record contains what?,"a. An SOA
b. An IPv4 address
c. An IPv6 address
d. A CNAME
",,b,b,,An A Record (Address Record) holds a 32-bit IPv4 address that maps a domain name to an IP address. It is one of the most common types of DNS records used in DNS servers.,"['https://en.wikipedia.org/wiki/List_of_DNS_record_types', 'https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/']",1,google_4_networking_serices,1,0.9999995679800934
52,MX stands for ________.,"a. Mail exchange
b. Meta exchange
c. Micro exchange
d. Micro extreme
",,a,a,,MX stands for Mail Exchange. MX records are DNS records that are necessary for delivering email to your address. They specify the mail server responsible for accepting email messages on behalf of a domain name.,"['https://en.wikipedia.org/wiki/MX_record', 'https://www.cloudflare.com/learning/dns/dns-records/dns-mx-record/']",1,google_4_networking_serices,1,1.0
53,A fully qualified domain name can contain how many characters?,"a. 255
b. 127
c. 64
d. 63
",,a,a,,"A fully qualified domain name (FQDN) can contain up to 255 characters. This limit includes all characters and dots in the name. Individual labels (the sections of the FQDN separated by dots) can have up to 63 characters, but the full domain name, including subdomains, the domain name, and the top-level domain, can be up to 255 characters long.","['https://www.rfc-editor.org/rfc/rfc1035', 'https://en.wikipedia.org/wiki/Fully_qualified_domain_name']",1,google_4_networking_serices,1,0.9999881244990143
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Quad A record
b. CNAME
c. Cycling records
d. Round robin
",,d,d,,"Round robin DNS is a technique used to balance traffic across multiple IP addresses for the same domain name. It works by rotating the order of IP addresses in the DNS response so that different clients will connect to different IP addresses over time. This can help distribute the load evenly across several servers. It does not provide true load balancing since it does not take into account server load or availability, but it is a simple way to distribute requests.",['https://en.wikipedia.org/wiki/Round-robin_DNS'],1,google_4_networking_serices,1,0.9998098285148898
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. NS record
c. FQDN
d. SOA
",,"a,b,d","a,b,d",,"In a DNS zone file, the following records are typically included: A Record (a), which maps a domain to an IP address; NS record (b), which specifies the name servers for the domain; and SOA (d), which stands for Start of Authority and contains administrative information about the zone. FQDN (c) stands for Fully Qualified Domain Name and refers to a complete domain name that specifies its exact location in the tree hierarchy of the Domain Name System, but it is not a type of DNS record.","['https://en.wikipedia.org/wiki/Zone_file', 'https://www.iana.org/help/nameserver-requirements']",1,google_4_networking_serices,0.95,0.8954256009703991
