Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
3,How many bits are used for the header checksum in IPv4 packets? Select one choice.,"a. 8 bits
b. 16 bits
c. 32 bits
d. None of the above
",,b,b,,IPv4 headers contain a 16-bit header checksum. The checksum is used for error-checking of the header data to ensure that the packet is transmitted correctly.,['https://en.wikipedia.org/wiki/IPv4_header_checksum'],1,grad_TCP,0.99,1.0
4,What is the dotted notation of an IP address of 10000000 10000111 01000100 00000101? Select one choice.,"a. 128.135.65.5
b. 128.135.68.5
c. 128.135.65.5
d. 128.133.68.5
",,b,b,,"To convert the binary IP address to dotted decimal notation, each of the four octets (8-bit sections) of the binary number is converted to its decimal equivalent and separated by dots. The binary to decimal conversions for each octet are as follows: 10000000 is 128, 10000111 is 135, 01000100 is 68, and 00000101 is 5. Therefore, the dotted decimal notation is 128.135.68.5.","['https://en.wikipedia.org/wiki/IP_address', 'https://www.computerhope.com/jargon/d/dotted-decimal-notation.htm']",1,grad_TCP,1,0.9983255048340566
5,"Given a network address 128.100.0.0, what is its network class type? Select one choice.","a. Class A
b. Class B
c. Class C
d. None of the above
",,b,a,,"The network address 128.100.0.0 falls into Class A. Class A addresses are defined by the first bit of the first octet being '0', which gives a range of 0-127 for the first octet. Since 128 is the first number outside of this range, it might seem confusing, but the range is inclusive, meaning 0 and 127 are both valid Class A network addresses. Therefore, 128.100.0.0 is a Class A address.","['https://en.wikipedia.org/wiki/Classful_network', 'https://www.iana.org/assignments/ipv4-address-space/ipv4-address-space.xhtml']",0,grad_TCP,0.95,0.9972662732549035
6,Which of the following is provided at the IP layer? Select one choice.,"a. Connectionless
b. Best effort delivery service
c. Both of the above
d. None of the above
",,c,c,,"The Internet Protocol (IP) provides a connectionless service, meaning that each packet is treated independently, with no guarantee that all packets will follow the same route. Additionally, IP offers a best-effort delivery service, which means it does not guarantee delivery of packets and does not provide acknowledgments or retries. Both of these characteristics are fundamental aspects of the IP layer.","['https://en.wikipedia.org/wiki/Internet_Protocol', 'https://www.ietf.org/rfc/rfc791.txt']",1,grad_TCP,1,0.9999996871837189
8,What is the subnetwork number of a host with an IP address of 172.16.66.0/21? Select one choice.,"a. 172.16.48.0
b. 172.16.64.0
c. 172.16.0.0
d. 172.16.36.0
",,b,b,,"The subnetwork number, also known as the network address, can be found by applying the subnet mask to the IP address. A /21 subnet mask means that the first 21 bits are the network portion of the address. In binary, the address 172.16.66.0 is 10101100.00010000.01000010.00000000. The subnet mask /21 is 11111111.11111111.11111000.00000000. When we apply the subnet mask to the IP address, we keep the first 21 bits and set the remaining bits to 0. This results in the network address of 10101100.00010000.01000000.00000000, which translates back to 172.16.64.0. Therefore, the subnetwork number is 172.16.64.0.","['https://www.ripe.net/participate/member-support/lir-basics/ipv4/understanding-ip-addressing', 'https://en.wikipedia.org/wiki/Subnetwork']",1,grad_TCP,0.95,0.9999984951481323
9,What is the first valid host on the subnetwork that the node 172.30.190.198/24 belongs to? Select one choice.,"a. 172.30.190.0
b. 172.30.190.1
c. 172.30.190.100
d. None of the above
",,b,b,,"The node 172.30.190.198/24 is part of the subnet 172.30.190.0/24. In this subnet, the first address, 172.30.190.0, is the network address and cannot be assigned to a host. The first valid host address in any subnet is the network address plus one. Therefore, the first valid host on this subnet would be 172.30.190.1.",['https://en.wikipedia.org/wiki/IP_address#IPv4_addresses'],1,grad_TCP,1,0.999999091165773
10,"Based on 1.1.1.0/24, the IP address would be: Select one choice.","a. Class A
b. Class B
c. Class C
d. Class D
",,a,c,,"The IP address 1.1.1.0 with a subnet mask of /24 (255.255.255.0) is a Class A address by definition because it falls within the range of 1.0.0.0 to 126.255.255.255. However, because of the /24 subnet mask, it is functioning with the characteristics of a Class C network, which typically has a subnet mask of 255.255.255.0. In practice, the classful networking system has been largely superseded by classless inter-domain routing (CIDR), which allows for subnet masks of varying lengths and does not strictly adhere to the original class A, B, and C designations.","['https://en.wikipedia.org/wiki/Classful_network', 'https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing']",0,grad_TCP,0.95,0.572402450621275
12,"Using CIDR notation, a prefix 205.100.0.0 of length 22 is written as 205.100.0.0/22. What network mask does the /22 notation indicate? Select one choice.","a. 205.255.255.0
b. 255.255.252.0
c. 255.255.22.0
d. None of the above
",,b,b,,"The /22 notation in CIDR (Classless Inter-Domain Routing) indicates the number of bits used for the network portion of the address. A /22 means that the first 22 bits are used for the network address, leaving 10 bits for host addresses. In binary, this would translate to 11111111.11111111.11111100.00000000, which in decimal form is 255.255.252.0.","['https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.rfc-editor.org/rfc/rfc4632']",1,grad_TCP,1,1.0
13,"Perform CIDR aggregation on the following /24 IP addresses: 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, 128.58.27.0/24. What is the CIDR outcome? Select one choice.","a. 128.58.28.0/22
b. 128.58.24.0/22
c. 128.58.28.0/24
d. None of the above
",,b,b,,"CIDR (Classless Inter-Domain Routing) aggregation, also known as supernetting, is a method to combine multiple networks into a single, larger network. In this case, we have four consecutive /24 networks: 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, and 128.58.27.0/24. To aggregate these, we need to find a common prefix that can represent all four networks. The common prefix for these networks is 128.58.24.0, and since we are combining four /24 networks, we move the subnet mask back by two bits (because 2^2 = 4, the number of networks we are combining). Therefore, the aggregated CIDR notation is 128.58.24.0/22.","['https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.ripe.net/about-us/press-centre/understanding-ip-addressing']",1,grad_TCP,1,0.9999391335724361
14,Which protocol provides conversion from an IP address to a physical address? Select one choice.,"a. ICMP
b. IGRP
c. ARP
d. DNS
",,c,c,,"The Address Resolution Protocol (ARP) is used for mapping a network address (IP address) to a physical address like a MAC address. When a computer on an IP network wants to send data to another computer, it uses ARP to translate the recipient's IP address into its corresponding MAC address, so that the data can be correctly addressed and delivered over the local network segment.","['https://en.wikipedia.org/wiki/Address_Resolution_Protocol', 'https://www.techtarget.com/searchnetworking/definition/Address-Resolution-Protocol-ARP']",1,grad_TCP,1,0.9999998063873687
15,Which protocol is used to assign temporary IP addresses to hosts? Select one choice.,"a. ICMP
b. DHCP
c. ARP
d. None of the above
",,b,b,,"Dynamic Host Configuration Protocol (DHCP) is the protocol used to assign temporary IP addresses to hosts on a network. DHCP allows for automatic allocation of IP addresses, subnet masks, gateways, and other networking parameters.",['https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol'],1,grad_TCP,1,0.9999995679800934
