Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. TRUE
b. FALSE
",,a,a,,"An Extended Service Set (ESS) is a set of two or more Basic Service Sets (BSSs) that form a single subnetwork. Access Points (APs) in an ESS are typically connected by a distribution system, which is often an Ethernet backbone or switched infrastructure. This allows for seamless roaming within a geographic area as the infrastructure appears as a single network to the wireless client. The 802.11 standards refer to this interconnected environment as an ESS, so the statement is true.","['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/116056-technote-ess-00.html', 'https://en.wikipedia.org/wiki/Service_set_(802.11_network)']",1,chapter10_wireless_networks,0.95,0.9999949190499081
180,A lightweight access point in which one of the following architectures participate?,"a. Light-MAC
b. Tunnel-MAC
c. Big-MAC
d. Split-MAC
",,d,d,,"A lightweight access point participates in a Split-MAC architecture. In this architecture, the processing of the MAC (Media Access Control) layer is divided between the access point and the wireless LAN controller. The lightweight access point handles real-time MAC layer operations, such as beaconing and probe responses, while the controller manages non-real-time MAC layer functions, such as authentication and association. This allows for centralized management and control of multiple access points in a network.","['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-0/Enterprise_Mobility_8-0_Deployment_Guide/Enterprise_Mobility_8-0_Deployment_Guide_chapter_011.html', 'https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/70937-lap-registration.html']",1,chapter10_wireless_networks,1,0.9990404024085222
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Redundancy port
d. Console port
",,c,c,,"The redundancy port on a controller is used to connect to a peer controller for high availability (HA) operation. This port is dedicated to HA synchronization and heartbeat messages, ensuring stateful failover and seamless client transition in the event of a primary controller failure.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-5/b_high_availability_for_wlc/b_high_availability_for_wlc_chapter_010.html'],1,chapter10_wireless_networks,0.95,0.9999949190499081
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. MIC
b. WIPS
c. WEP
d. EAP
",,a,a,,"MIC, which stands for Message Integrity Check, is a security feature used to protect the integrity of data in a wireless frame. It is designed to prevent issues like bit-flipping attacks in encrypted wireless traffic. MIC adds a strong, cryptographic message integrity code to the data before it is transmitted, which the receiver can use to verify that the data has not been tampered with during transit.","['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/69340-wpa2-config.html', 'https://en.wikipedia.org/wiki/IEEE_802.11i-2004']",1,chapter10_wireless_networks,0.95,0.9999988527586581
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.2
b. 802.1
c. 802.12
d. 802.11
",,d,d,,"Wi-Fi is based on the IEEE 802.11 standards. This set of standards defines the protocols for implementing wireless local area network (WLAN) computer communication in various frequencies, including but not limited to 2.4, 5, and 60 GHz frequency bands.","['https://www.ieee.org/', 'https://en.wikipedia.org/wiki/IEEE_802.11']",1,chapter10_wireless_networks,1,1.0
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Wireless repeater
b. Workgroup bridge
c. Transparent bridge
d. Adaptive bridge
",,b,b,,"A workgroup bridge is used to provide wireless connectivity to devices that do not have wireless capabilities. It connects to the non-wireless device via a wired connection and then communicates with the wireless network, effectively bridging the gap between wired and wireless networks. Wireless repeaters are used to extend the range of a wireless network, transparent bridges are used to connect two or more network segments in a transparent manner, and adaptive bridges are capable of adapting to different network environments, but they are not specifically designed for connecting non-wireless devices to a wireless network.","['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/200046-Configuring-a-Workgroup-Bridge-WGB-on-Air.html', 'https://www.cisco.com/c/en/us/td/docs/routers/access/800/819/software/configuration/Guide/819_SCG/6wireless.html']",1,chapter10_wireless_networks,0.95,0.9999973031140366
185,Which controller interface type maps a WLAN to a VLAN?,"a. Management interface
b. Redundancy management
c. Virtual interface
d. Service port interface
e. Dynamic interface
",,e,e,,"In a Cisco Wireless LAN Controller (WLC), a dynamic interface is used to map a WLAN (Wireless LAN) to a VLAN (Virtual Local Area Network). This type of interface allows the controller to connect wireless clients to specific VLANs based on the SSID to which they are associated. The dynamic interface handles the VLAN tagging for the WLAN and is typically assigned an IP address from the VLAN it serves.","['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wlan-security/70937-vlan-tags.html', 'https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-1/WLAN_VLAN_config/b_WLAN_VLAN_config.html']",1,chapter10_wireless_networks,0.95,0.9999994487765019
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. SSH
b. HTTP
c. HTTPS
d. FTP
e. None of the above
",,c,c,,"The most secure way of connecting to a Wireless LAN Controller (WLC) Graphical User Interface (GUI) for configuration purposes is via HTTPS (Hypertext Transfer Protocol Secure). HTTPS encrypts the session, providing security and protecting sensitive information from potential eavesdropping or interception. SSH is secure for command-line management but is not used for GUI access. HTTP is not secure as it transmits data in clear text. FTP is used for file transfers and is not used for GUI access.","['https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/116580-configure-wlc-00.html', 'https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-5/b_Cisco_Wireless_LAN_Controller_Configuration_Best_Practices.html']",1,chapter10_wireless_networks,0.95,0.9999907469518097
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 5
b. 152
c. 251
d. 512
",,d,d,,"The maximum number of WLANs that can be configured on a Cisco wireless LAN controller (WLC) depends on the model of the controller. However, for many Cisco WLC models, the maximum is 512 WLANs. This high number allows for a large number of separate wireless networks to be managed by a single controller, providing flexibility and scalability for large enterprise environments.","['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-5/b_cisco_wlc_features_by_software_release_8_5.html', 'https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/213468-configure-wlan-on-wireless-lan-controlle.html']",1,chapter10_wireless_networks,0.95,0.7543762727300247
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11
b. 802.11b
c. 802.11g
d. 802.11a
e. 802.11n
f. 802.11ac
g. 802.11ax
",,"d,e,f,g","d,e,f,g",,"The IEEE 802.11 Wi-Fi standards specify various frequencies and data rates for wireless communication. Among the given options, the following use the 5 GHz band:
- 802.11a: This was one of the first Wi-Fi communication standards to use the 5 GHz band.
- 802.11n: This standard, also known as Wi-Fi 4, can operate on both 2.4 GHz and 5 GHz bands.
- 802.11ac: Also known as Wi-Fi 5, it operates exclusively on the 5 GHz band and offers higher data rates than previous standards.
- 802.11ax: Known as Wi-Fi 6, it also operates on both 2.4 GHz and 5 GHz bands and introduces several improvements over previous standards.

The other standards listed (802.11, 802.11b, and 802.11g) primarily use the 2.4 GHz band.","['https://en.wikipedia.org/wiki/IEEE_802.11', 'https://en.wikipedia.org/wiki/List_of_WLAN_channels', 'https://www.cisco.com/c/en/us/td/docs/wireless/technology/channel/deployment/guide/Channel.html']",1,chapter10_wireless_networks,0.95,0.999998659146249
