Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"In the five-layer TCP/IP model, the Internet Protocol (IP) is an example of a network layer (Layer 3) protocol. The network layer is responsible for packet forwarding including routing through intermediate routers. Ethernet is a layer 2 protocol (data link layer), while UDP and TCP are layer 4 protocols (transport layer).","['https://en.wikipedia.org/wiki/Internet_Protocol', 'https://en.wikipedia.org/wiki/Ethernet', 'https://en.wikipedia.org/wiki/Transmission_Control_Protocol', 'https://en.wikipedia.org/wiki/User_Datagram_Protocol']",1,google_1_basics_computer_networking,1,1.0
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,"In the five-layer TCP/IP model, the application layer is the topmost layer (layer 5) which provides the interface for the end-user operating application programs. A browser is an application that allows users to access and interact with websites on the internet, thus it operates at the application layer. Routers operate at the network layer (layer 3), which is responsible for path determination and logical addressing. UDP (User Datagram Protocol) is a transport layer protocol (layer 4), responsible for the exchange of messages between computing devices. An ethernet cable is a physical layer component (layer 1) used for transmitting data.","['https://www.lifewire.com/layers-of-the-osi-model-illustrated-818017', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",1,google_1_basics_computer_networking,1,0.9999995679800934
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The physical layer of the five-layer TCP/IP model is responsible for the transmission and reception of unstructured raw data between a device and a physical transmission medium. It deals with the hardware elements of networking, including cabling, connectors, repeaters, and network interface cards.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://en.wikipedia.org/wiki/Physical_layer']",1,google_1_basics_computer_networking,1,0.9999992103693117
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,A router operates on the network layer of the TCP/IP five-layer model. The network layer is responsible for determining the best path for data to travel across networks. Routers use IP addresses to forward packets to their destination networks.,"['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",1,google_1_basics_computer_networking,1,0.9999998063873687
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,"c,d",,"Ethernet standards operate primarily on two layers of the OSI model: the physical layer and the data link layer. The physical layer (Layer 1) defines the electrical and physical specifications for devices, including cable types and wireless transmission frequencies. The data link layer (Layer 2) deals with the protocol for data transfer across the physical network, including addressing and error detection and handling. Wireless technologies also operate at these layers, with the physical layer handling the radio frequency transmission and the data link layer managing access to the shared media.","['https://en.wikipedia.org/wiki/Ethernet', 'https://en.wikipedia.org/wiki/OSI_model', 'https://en.wikipedia.org/wiki/Wireless_LAN']",0,google_1_basics_computer_networking,1,0.9950673702716043
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch is a networking device that allows connections from many devices and has the ability to inspect the contents of Ethernet protocol data. Switches operate at the data link layer (Layer 2) of the OSI model and can analyze incoming data packets to determine their destination within a local area network (LAN). Unlike hubs, which simply repeat the incoming signal to all ports, switches are intelligent devices that manage the flow of data across the network more efficiently.","['https://en.wikipedia.org/wiki/Network_switch', 'https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/lan-switches-what-is-a-network-switch.html']",1,google_1_basics_computer_networking,1,0.9999957534720165
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network. It is a network that spans a relatively small area, typically a single building or a campus. It is designed to connect computers and other devices within this limited area to share resources and information.",['https://en.wikipedia.org/wiki/Local_area_network'],1,google_1_basics_computer_networking,1,1.0
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,"A router is a device that forwards data packets along networks. It is connected to at least two networks, commonly two LANs or WANs or a LAN and its ISP's network. Routers are located at gateways, the places where two or more networks connect. Routers use headers and forwarding tables to determine the best path for forwarding the packets, and they use protocols such as ICMP to communicate with each other and configure the best route between any two hosts.",['https://en.wikipedia.org/wiki/Router_(computing)'],1,google_1_basics_computer_networking,1,1.0
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,d,,"A server in the context of computer networking is a system that provides data, services, or resources to other computers, known as clients, over a network. Option 'd' describes a server's role accurately, as it is the provider of data to clients that request the data. Option 'a' describes a network switch, which operates at the data link layer and is not considered a server. Option 'b' describes a router or other similar network device that forwards data between networks, which is also not a server. Option 'c' defines a client or recipient rather than a server.","['https://en.wikipedia.org/wiki/Server_(computing)', 'https://en.wikipedia.org/wiki/Network_switch', 'https://en.wikipedia.org/wiki/Router_(computing)']",1,google_1_basics_computer_networking,1,0.8210967273214792
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,"Copper wiring is commonly used in cables that communicate through voltage changes. These changes in voltage are interpreted by the receiving device as binary data, which are ones and zeros. Copper is a conductive material that allows for electrical signals to be transmitted efficiently, making it suitable for this purpose. Fiber cables, on the other hand, use light to transmit data and do not rely on voltage changes. Aluminum and gold can also conduct electricity, but they are less common than copper for standard networking cables.","['https://en.wikipedia.org/wiki/Copper_wire_and_cable', 'https://en.wikipedia.org/wiki/Optical_fiber_cable', 'https://en.wikipedia.org/wiki/Electrical_conductor']",1,google_1_basics_computer_networking,0.95,0.999995276659155
