Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
218,Which of the following configuration management tools uses agentless architecture for managing network devices?,"a. Ansible
b. Puppet
c. Chef
d. Ansible and Puppet
e. Puppet and Chef
",,a,a,,"Ansible uses an agentless architecture for managing network devices, which means that it does not require any agents to be installed on the nodes it manages. Instead, it uses SSH for communication with the managed nodes. Puppet and Chef, on the other hand, typically require an agent to be installed on the managed nodes for configuration management tasks.","['https://www.ansible.com/overview/how-ansible-works', 'https://puppet.com/docs/puppet/latest/architecture.html', 'https://docs.chef.io/chef_overview/']",1,chapter13_network_automation,0.95,0.9999917005724405
220,CRUD is the acronym of the four primary actions performed by an application. What does CRUD stand for?,"a. Create, Read, Update, Delete
b. Create, Read, Update, Done
c. Create, Resolve, Update, Delete
d. Create, Resolve, Update, Done
",,a,a,,"CRUD stands for Create, Read, Update, Delete. These are the four basic functions of persistent storage in computer programming. 'Create' means to add new records or data, 'Read' is to retrieve or read data, 'Update' is to modify existing data, and 'Delete' is to remove data.","['https://en.wikipedia.org/wiki/Create,_read,_update_and_delete', 'https://www.codecademy.com/articles/what-is-crud']",1,chapter13_network_automation,1,1.0
221,A Layer 2 switch examines a frame’s destination MAC address and forwards that frame out of the port G0/2. That action occurs as part of which plane of the switch?,"a. Data plane
b. Management plane
c. Control Plane
d. None of the above
",,a,a,,"The action of examining a frame's destination MAC address and forwarding it out of a specific port is part of the data plane (also known as the forwarding plane) of a switch. The data plane is responsible for the actual forwarding of packets based on Layer 2 information, such as MAC addresses. The management plane is used for system configuration and management, and the control plane is where routing and signaling protocols operate to make decisions about where traffic should be sent, but not for actually forwarding the traffic.","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9500/software/release/16-9/configuration_guide/sys_mgmt/b_169_sys_mgmt_9500_cg/managing_switch_operations.html#id_11033', 'https://www.cisco.com/c/en/us/support/docs/switches/catalyst-6500-series-switches/17053-46.html']",1,chapter13_network_automation,1,1.0
223,Identify the hostname part from the given URI: https://cluster.cisco.com/dna/intent/api/v1/business/sda/fabric? ipaddress=10.1.2.3.,"a. https://
b. cluster.cisco
c. cluster.cisco.com
d. dna/intent/api/v1/business/sda/fabric
e. ?ipaddress=10.1.2.3
",,c,c,,"The hostname in a Uniform Resource Identifier (URI) is the part that identifies the domain where the resource is located. In the given URI, 'https://cluster.cisco.com/dna/intent/api/v1/business/sda/fabric?ipaddress=10.1.2.3', the hostname is 'cluster.cisco.com'. This is the domain that the URI is addressing. 'https://' is the scheme or protocol, 'dna/intent/api/v1/business/sda/fabric' is the path, and '?ipaddress=10.1.2.3' is the query string.","['https://en.wikipedia.org/wiki/Uniform_Resource_Identifier', 'https://tools.ietf.org/html/rfc3986']",1,chapter13_network_automation,1,0.9999386567915716
224,Which of the following features of Cisco DNA Center discovers the actual path the packets will take from the source to the destination based on the current forwarding tables?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,d,d,,"Path trace is a feature of Cisco DNA Center that allows you to visualize the path that packets take across the network. This tool uses the current forwarding tables to determine the actual path from source to destination, helping network administrators troubleshoot issues related to routing and connectivity.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/dna-analytics-assurance.html', 'https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/1-3-3-0/user_guide/b_cisco_dna_center_ug_1_3_3_0/b_cisco_dna_center_ug_1_3_2_0_chapter_01011.html']",1,chapter13_network_automation,0.95,0.9999977799274644
225,Which of the following features of Cisco DNA Center shows past client performance in a timeline for comparison to current behavior?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,c,c,,"Cisco DNA Center's 'Network time travel' feature allows administrators to view past network performance and client data. This retrospective analysis helps compare past client performance with current behavior to understand trends, identify issues, and troubleshoot problems more effectively. The other options, such as Encrypted traffic analysis, Device 360 and Client 360, and Path trace, offer different functionalities. Encrypted traffic analysis is used for security purposes, Device 360 and Client 360 provide detailed information on devices and clients, and Path trace is a tool for visualizing the network path taken by packets.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/dna-analytics-assurance.html', 'https://www.cisco.com/c/en/us/products/cloud-systems-management/dna-center/index.html']",1,chapter13_network_automation,0.95,0.9476715282084229
226,Which of the following features of Cisco DNA Center gives a comprehensive view of the health of the device?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,b,b,,"Cisco DNA Center's Device 360 feature provides a comprehensive view of the health of network devices. It allows network administrators to quickly view the status and key metrics of devices, including device details, health, utilization, and configuration issues. Client 360 provides similar insights for client devices connected to the network. Encrypted traffic analysis, network time travel, and path trace are other features of Cisco DNA Center but they serve different purposes. Encrypted traffic analysis helps in identifying malware in encrypted traffic, network time travel allows for historical data analysis, and path trace helps in visualizing the network path taken by packets.","['https://www.cisco.com/c/en/us/products/cloud-systems-management/dna-center/index.html', 'https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/1-3-3-0/user_guide/b_cisco_dna_center_ug_1_3_3_0/b_cisco_dna_center_ug_1_3_3_0_chapter_01000.html']",1,chapter13_network_automation,0.95,0.9999962302846054
227,Which of the following features of Cisco DNA Center enables Cisco DNA to use algorithms to recognize security threats even in encrypted traffic?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,a,a,,Encrypted Traffic Analysis (ETA) is a feature of Cisco DNA Center that allows the system to utilize passive monitoring techniques and machine learning to identify potential threats in encrypted traffic without the need for decryption. This is particularly useful for maintaining privacy while still being able to detect malware and other security threats.,"['https://www.cisco.com/c/en/us/solutions/enterprise-networks/encrypted-traffic-analytics/index.html', 'https://www.cisco.com/c/en/us/products/collateral/se/introducing-cisco-dna-center-solution-overview.html']",1,chapter13_network_automation,1,1.0
228,"Your company decides to move away from manual configuration methods, making changes by editing centralized configuration files. The issues you are facing with non-centralized configuration files are:
1) You don’t know who engineer made the changes in the configuration file.
2) You don’t know the changes in the configuration file over time.
Which tool your company will use in order to solve these issues?","a. Version Control System
b. Version Control Configuration
c. Version Control Change
d. Version Control Edit
",,a,a,,"A Version Control System (VCS) is designed to track changes to files over time. By using a VCS, you can determine who made changes to the configuration files (addressing issue 1) and you can track the history of changes made to those files over time (addressing issue 2). This is why a VCS is the appropriate tool for solving the issues of non-centralized configuration files mentioned.","['https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control', 'https://www.atlassian.com/git/tutorials/what-is-version-control']",1,chapter13_network_automation,1,0.9999995679800934
229,"One of the benefits of controller-based networks over traditional networks is that the configuration on the devices have fewer errors, and you spent less time troubleshooting the network.","a. TRUE
b. FALSE
",,a,a,,"Controller-based networks, also known as Software-Defined Networks (SDN), centralize network intelligence in one or more controller devices rather than being distributed across multiple network devices. This centralized approach simplifies network configuration and management, leading to fewer configuration errors. As a result, less time is spent on troubleshooting the network compared to traditional networks where each device may need to be configured and managed individually.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/software-defined-access/index.html', 'https://www.sdxcentral.com/networking/sdn/definitions/what-the-definition-of-software-defined-networking-sdn/']",1,chapter13_network_automation,0.9,0.9999870516788303
