Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Broadcast address
b. Multicast address
c. IP address
d. MAC address
e. Unicast address
",,"a,b","a,b",,"In Ethernet networking, a broadcast address is used to send a frame to all devices within a broadcast domain. This means that all devices on the local area network (LAN) will receive the frame. A multicast address, on the other hand, is used to send a single frame to a group of devices on the LAN that have been configured to listen for frames sent to that specific multicast address. IP addresses are used at the network layer for routing packets across different networks and are not specifically tied to the concept of broadcast or multicast at the data link layer. MAC addresses are physical hardware addresses assigned to network interfaces, and while there are multicast MAC addresses that correspond to IP multicast addresses, the term 'MAC address' by itself does not imply broadcasting or multicasting. Unicast addresses are used to send a frame to a single device on the network.","['https://en.wikipedia.org/wiki/Broadcast_address', 'https://en.wikipedia.org/wiki/Multicast_address', 'https://en.wikipedia.org/wiki/Unicast']",1,chapter1_intro_to_networking,1,0.9999993743675457
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CD
b. CSMA/CA
c. TCP/IP
d. TCP/UDP
",,a,a,,"CSMA/CD (Carrier Sense Multiple Access/Collision Detection) is the set of rules used in networks, particularly in early Ethernet technology, to determine how devices respond when they try to send data at the same time and a collision occurs. When a collision is detected, CSMA/CD dictates that the devices stop transmitting, wait for a random period of time, and then attempt to retransmit the data. This is in contrast to CSMA/CA (Carrier Sense Multiple Access/Collision Avoidance), which is used in wireless networks to prevent collisions before they happen. TCP/IP (Transmission Control Protocol/Internet Protocol) is a suite of communication protocols used to interconnect network devices on the internet. TCP/UDP (Transmission Control Protocol/User Datagram Protocol) are protocols used within the TCP/IP suite for sending bits of data — known as packets — over the network. They do not deal with collision detection or avoidance.","['https://en.wikipedia.org/wiki/Carrier-sense_multiple_access_with_collision_detection', 'https://www.techopedia.com/definition/2573/carrier-sense-multiple-access-with-collision-detection-csmacd']",1,chapter1_intro_to_networking,0.99,0.9999996871837189
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 100
b. 10
c. 1000
d. 1
",,c,c,,"The Ethernet standard 1000BASE-T defines Gigabit Ethernet over UTP cabling. The '1000' in the name indicates the transmission speed of 1000 Mbps, or 1 Gbps, and 'BASE-T' indicates that it uses baseband transmission over twisted-pair cabling.","['https://en.wikipedia.org/wiki/Gigabit_Ethernet', 'https://en.wikipedia.org/wiki/IEEE_802.3']",1,chapter1_intro_to_networking,1,0.9999983759447187
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The Preamble field in the IEEE 802.3 Ethernet frame is used to allow devices on the network to easily synchronize their receiver clocks, providing a timing reference for the start of the frame. It consists of a 7-byte sequence of alternating 1s and 0s, which helps the receiving devices to establish the timing necessary to interpret the bits that follow in the frame.","['https://www.ietf.org/rfc/rfc1042.txt', 'https://en.wikipedia.org/wiki/Ethernet_frame']",1,chapter1_intro_to_networking,0.95,0.9857954394147147
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Source
b. Destination
c. Unicast
d. Broadcast
",,b,b,,The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. This is because the host recognizes that the destination is not on the local network and therefore needs to be forwarded to a router (default gateway) to reach the different subnet.,"['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/16448-ripng.html', 'https://www.practicalnetworking.net/stand-alone/routing-basics/']",1,chapter1_intro_to_networking,1,1.0
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,a,a,,"SMTP (Simple Mail Transfer Protocol) resides in the Application layer of the TCP/IP model, which is used for sending emails. TCP (Transmission Control Protocol) is in the Transport layer, Ethernet is a technology for the Network Access layer, and IP (Internet Protocol) is in the Internet layer.","['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",1,chapter1_intro_to_networking,1,1.0
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,b,b,,"The Transport layer of the TCP/IP model is responsible for providing the Application layer with session and datagram communication services. The main protocols residing at this layer are the Transmission Control Protocol (TCP) and the User Datagram Protocol (UDP). TCP is known for being a connection-oriented protocol that ensures the reliable delivery of data. SMTP (Simple Mail Transfer Protocol) is an Application layer protocol used for email transmission. Ethernet is a technology that operates at the Data Link layer, and IP (Internet Protocol) operates at the Internet layer, which is one layer below the Transport layer in the TCP/IP model.","['https://www.ietf.org/rfc/rfc791.html', 'https://www.ietf.org/rfc/rfc793.html', 'https://tools.ietf.org/html/rfc5321']",1,chapter1_intro_to_networking,1,1.0
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,d,"b,d",,"In the Internet TCP/IP architecture, both TCP (Transmission Control Protocol) and IP (Internet Protocol) are part of the suite. TCP is a transport layer protocol that provides reliable, ordered, and error-checked delivery of a stream of bytes between applications running on hosts communicating via an IP network. IP is a network layer protocol in the TCP/IP stack that is responsible for delivering packets from the source host to the destination host based on the IP addresses in the packet headers. SMTP (Simple Mail Transfer Protocol) resides in the application layer, and Ethernet is a technology for LANs (Local Area Networks) and is not a protocol within the TCP/IP stack.","['https://www.ietf.org/rfc/rfc791.html', 'https://www.ietf.org/rfc/rfc793.html', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",0,chapter1_intro_to_networking,0.95,0.9982704357068343
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,"In the TCP/IP model, the Data Link layer and the Physical layer are often combined into a single layer. Ethernet is a technology that operates at these layers, specifically handling the physical transmission of data over a network and the framing of data for link-level handling. SMTP and TCP are both higher-level protocols that operate at the Application layer and Transport layer respectively, while IP operates at the Internet layer.","['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-smart-business-architecture/sba_ckn_index.html', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",1,chapter1_intro_to_networking,1,1.0
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. ping
b. ARP
c. DHCP
d. DNS
",,b,b,,"ARP (Address Resolution Protocol) is used by a host to find the MAC address of another host on the same local network (LAN). When PC1 wants to communicate with another device on the same network and knows the IP address but not the MAC address, it uses ARP to map the IP address to the MAC address, which is necessary for ethernet communication within the same network segment.","['https://www.cisco.com/c/en/us/support/docs/ip/address-resolution-protocol-arp/13718-5.html', 'https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/27470-100.html']",1,chapter1_intro_to_networking,1,0.9999870516788303
