Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,"The term 'POTS' stands for Plain Old Telephone Service, which is commonly referred to as the Public Switched Telephone Network (PSTN). The PSTN is the traditional circuit-switched telephone network that has been in use worldwide for many years. It is a global system that includes telephone lines, fiber optic cables, switching centers, cellular networks, as well as satellites and undersea telephone cables. The other options are not standard terms used to describe POTS.","['https://en.wikipedia.org/wiki/Plain_old_telephone_service', 'https://en.wikipedia.org/wiki/Public_switched_telephone_network']",1,google_5_connecting_to_the_internet,1,0.99999861435166
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,"A baud rate refers to the number of signal changes or symbols transmitted per second. In digital communications, if each signal change represents one bit, then the baud rate is equivalent to bits per second. However, it's important to note that baud rate is not always equal to bits per second if more than one bit is encoded in each signal change. The term 'baud rate' specifically refers to signal changes per second, not bits or bytes, and 'per minute' is not a standard measure for baud rate.","['https://en.wikipedia.org/wiki/Baud', 'https://www.britannica.com/technology/baud']",1,google_5_connecting_to_the_internet,0.95,0.9998938399653753
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"USENET, a worldwide distributed discussion system, was developed by Tom Truscott and Jim Ellis at Duke University in 1979. It is one of the oldest network communications systems that is still in use today, albeit with significantly less prominence than during its peak. USENET is a set of protocols used for generating, storing, and retrieving news 'articles' (posts) over a distributed network. It is different from the Public Switched Telephone Network (PSTN), Plain Old Telephone Service (POTS), and Digital Subscriber Line (DSL), which are telecommunications technologies.","['https://en.wikipedia.org/wiki/Usenet', 'https://en.wikipedia.org/wiki/Public_switched_telephone_network', 'https://en.wikipedia.org/wiki/Plain_old_telephone_service', 'https://en.wikipedia.org/wiki/Digital_subscriber_line']",1,google_5_connecting_to_the_internet,0.95,0.9999998063873687
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,"A modem (modulator-demodulator) is the device used to transfer data across a dial-up connection. It modulates an analog carrier signal to encode digital information for transmission and demodulates the signal to decode the transmitted information. The other options are not used for dial-up connections: ATM (Asynchronous Transfer Mode) is a network technology, Ethernet cables are used for local area networks (LANs), and USENET is a distributed discussion system, not a device.","['https://en.wikipedia.org/wiki/Modem', 'https://en.wikipedia.org/wiki/Dial-up_Internet_access', 'https://en.wikipedia.org/wiki/Asynchronous_Transfer_Mode', 'https://en.wikipedia.org/wiki/Ethernet_cable', 'https://en.wikipedia.org/wiki/Usenet']",1,google_5_connecting_to_the_internet,1,1.0
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,a,,"Modems (modulator-demodulator) convert the digital data from computers into analog signals that can be transmitted over the Public Switched Telephone Network (POTS). These analog signals are often in the form of audible tones or wavelengths that can travel through the telephone lines. Baud rates describe the speed at which data is transmitted, but it is not the form of the data itself. Modulating electrical charges are a part of the process, but this choice is less specific than audible wavelengths, which directly relate to the function of a modem. PSTN stands for Public Switched Telephone Network, which is the network used for transmitting the data, not the form of the data itself.","['https://en.wikipedia.org/wiki/Modem', 'https://www.computerhope.com/jargon/m/modem.htm']",1,google_5_connecting_to_the_internet,0.95,0.5803018382688805
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1
",,c,c,,"T1 stands for Transmission System 1, which is a standard for digital transmission in North America. T1 lines are a popular leased line option for businesses connecting to the Internet and for Internet Service Providers (ISPs) connecting to the Internet backbone. It has a data rate of 1.544 Mbps.","['https://en.wikipedia.org/wiki/T-carrier', 'https://www.techopedia.com/definition/5396/t1-carrier-t1']",1,google_5_connecting_to_the_internet,1,0.999940921522202
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec
",,b,b,,A T1 line is a specific type of fiber optic or copper line that can carry more data than traditional telephone lines. The speed of a T1 line is 1.544 megabits per second (Mb/sec).,['https://www.lifewire.com/how-fast-is-a-t1-line-3426315'],1,google_5_connecting_to_the_internet,1,1.0
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"Cable internet connections are indeed broadband connections, which means they provide high-speed internet access through various forms of high-capacity transmission media. They are not wireless, as they require a physical coaxial or fiber-optic cable to connect to the internet. Therefore, option 'a' is incorrect. They are also not dial-up connections, which use a standard phone line to connect to the internet at much lower speeds, making option 'c' incorrect. Cable internet connections typically involve shared bandwidth, where the connection bandwidth is shared among users in a particular area, which can affect the internet speed during peak usage times. This makes option 'd' correct.","['https://www.fcc.gov/consumers/guides/broadband-speed-guide', 'https://www.cable.co.uk/guides/what-is-cable-broadband/', 'https://www.xfinity.com/hub/internet/cable-vs-fiber']",1,google_5_connecting_to_the_internet,1,0.9999998063873687
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,d",,"PPP (Point-to-Point Protocol) has several subprotocols that manage different aspects of the connection. The two main subprotocols are LCP (Link Control Protocol) and NCP (Network Control Protocols). LCP is used for establishing, configuring, and testing the data-link connection. NCP is used for establishing and configuring different network-layer protocols. FCS (Frame Check Sequence) is not a subprotocol but a part of the PPP frame used for error checking. Compression can be a feature or option within PPP but is not a subprotocol itself.","['https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/25647-understanding-ppp-chap.html', 'https://tools.ietf.org/html/rfc1661']",1,google_5_connecting_to_the_internet,0.95,0.9899941156490542
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,"The demarcation point for fiber technologies in a customer's premises is typically called an Optical Network Terminal (ONT). The ONT is a device that connects to the fiber optic cable and provides the end-user with access to the services provided over the fiber network, such as internet, TV, and phone services. It serves as the interface between the fiber optic network and the customer's in-home network.","['https://en.wikipedia.org/wiki/Optical_network_terminal', 'https://www.fiberoptic.com/adt_article/What-is-an-ONT.html']",1,google_5_connecting_to_the_internet,0.95,0.9999027793262361
