Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which form of NAT enables a firewall to selectively perform translations based on the destination address? Select one choice.,"a. static NAT
b. dynamic PAT
c. static PAT
d. policy NAT
e. dynamic NAT
",,d,d,,"Policy NAT (also known as Policy-Based NAT) allows a firewall to selectively perform address translation based on the destination IP address. It provides granular control over address translations by defining policies that match specific criteria such as source and destination addresses, ports, and protocols. This allows different translation rules to be applied depending on the traffic's destination. The other NAT types mentioned (static NAT, dynamic NAT, static PAT, dynamic PAT) do not inherently provide selective translation capabilities based on the destination address.","['https://www.cisco.com/c/en/us/td/docs/security/asa/asa96/configuration/firewall/asa-96-firewall-config/nat-basics.html', 'https://www.juniper.net/documentation/us/en/software/junos/nat/topics/topic-map/security-address-translation-policy-based-nat-security-devices.html']",1,NetSec,0.95,1
2,Which form of NAT uses port addresses to distinguish between translated sessions? Select one choice.,"a. static NAT
b. policy NAT
c. dynamic PAT
d. dynamic NAT
",,c,c,,"Port Address Translation (PAT), also known as overloading, is a form of dynamic NAT that maps multiple private IP addresses to a single public IP address by using different ports. PAT allows multiple devices to share a single public IP address by using different port numbers to distinguish the traffic from each device. The router maintains a NAT table that keeps track of the private-to-public IP address and port mappings. Static NAT, policy NAT, and dynamic NAT do not use port numbers for address translation.","['https://www.cisco.com/c/en/us/support/docs/ip/network-address-translation-nat/13772-12.html', 'https://www.comptia.org/content/guides/what-is-nat']",1,NetSec,1,1
3,"In an ACL, if a traffic flow is not explicitly permitted, once it has expired testing all the user-configured control entries in the list, the result will be:","a. The traffic will be implicitly permitted.
b. The traffic will be explicitly permitted.
c. The traffic will be explicitly denied.
d. The traffic will be implicitly denied.
",,d,d,,"In an Access Control List (ACL), there is an implicit deny statement at the end of every ACL. This means that if a packet does not match any of the permit statements in the ACL, it will be denied by default. The implicit deny is the final entry in the ACL and does not need to be explicitly configured. It automatically denies all traffic that was not explicitly permitted by the preceding ACL entries. Therefore, if a traffic flow is not explicitly permitted after being tested against all the user-configured entries, it will be implicitly denied.","['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-mt/sec-data-acl-15-mt-book/sec-create-ip-apply.html']",1,NetSec,1,1
5,Which one of the following best describes the limitations of local AAA databases? Select one choice.,"a. Usernames, passwords, and credentials must be synchronized with a TACACS+/RADIUS server.
b. Scalability issues force network administrators to enter username credentials into each network device.
c. While they support accounting, they do not meet the requirements for large persistent storage.
d. Authorization policies that are created with local AAA databases cannot be synchronized and made available to all the devices across the network.
",,b,d,,"The main limitation of local AAA databases is that the authorization policies created on one device are not automatically synchronized or made available to other devices in the network. Each device maintains its own local database, so any changes or additions to the policies must be manually configured on each individual device. This can become cumbersome and error-prone in larger networks with many devices. Local AAA databases are suitable for small networks with few devices, but do not scale well to large enterprise networks. Centralized AAA servers like TACACS+ and RADIUS are preferred in those scenarios to provide consistent policy enforcement across all devices.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/configuration/15-mt/sec-usr-aaa-15-mt-book/sec-aaa-locald.html', 'https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/13838-10.html']",0,NetSec,0.95,1
6,"What benefit does a web application firewall provide, in addition to the benefits provided by a traditional load balancer? Select one choice.","a. Protects any Layer 7 applications from malware
b. Protects web applications from common vulnerabilities and DDoS attacks
c. Protects the back-end database by acting as a reverse proxy between the web server and the back-end database
d. Protects the servers behind the WAF from attacks using Layer 3 and 4 firewall rules
",,b,b,,"A web application firewall (WAF) provides additional security benefits compared to a traditional load balancer. While a load balancer primarily distributes traffic across multiple servers to improve performance and availability, a WAF is specifically designed to protect web applications from common vulnerabilities and attacks. It inspects HTTP/HTTPS traffic and can filter out malicious requests, such as SQL injection, cross-site scripting (XSS), and DDoS attacks, before they reach the web servers. This added layer of security helps to mitigate risks and protect the integrity of web applications.","['https://www.f5.com/services/resources/glossary/web-application-firewall', 'https://www.cloudflare.com/learning/ddos/glossary/web-application-firewall-waf/']",1,NetSec,0.9,1
7,What are four common algorithms that typical load balancers use to load balance the traffic? (Choose four.),"a. Round robin
b. Fewest connections
c. Least time
d. Weighted early random detection
e. Anomaly based
f. Hash
",,"a,b,c,f","a,b,c,f",,"The four common algorithms that typical load balancers use are:a. Round robin: Distributes requests to the application servers in rotation.b. Fewest connections: Directs traffic to the server with the fewest active connections. c. Least time: Directs traffic to the server with the fastest response time and least active connections.f. Hash: Uses a hash function to determine which server receives the request. The hash function can be based on source/destination IP address, port number, or URL.Weighted early random detection and anomaly-based algorithms are not typically used by load balancers for traffic distribution.","['https://avinetworks.com/glossary/load-balancing-algorithms/', 'https://www.nginx.com/resources/glossary/load-balancing/']",1,NetSec,0.95,1
8,What three elements can be configured in firewall policies to detect network-based malware? (Choose three.),"a. Commonly used protocols
b. SHA-256 hashes
c. Metadata stored that is within the files
d. Commonly used rainbow hash tables
e. Access control lists (ACLs)
",,"a,b,c","b,c,e",,"The three elements that can be configured in firewall policies to detect network-based malware are:b. SHA-256 hashes: Hashes like SHA-256 can be used to identify known malware files by comparing the hash of the file against a database of known malware hashes.c. Metadata stored within the files: File metadata like file type, size, author, etc. can be analyzed to identify suspicious or malicious files. e. Access control lists (ACLs): ACLs can be used to restrict or allow traffic based on various criteria like source/destination IP, port numbers, protocols etc. Malicious traffic patterns can be identified and blocked using well-configured ACLs.Commonly used protocols and rainbow hash tables are not directly useful for malware detection in firewall policies.","['https://www.cisco.com/c/en/us/products/collateral/security/firesight-management-center/datasheet-c78-736775.html', 'https://www.juniper.net/documentation/us/en/software/junos/security-policies/topics/topic-map/security-malware-detection.html']",0,NetSec,0.95,1
9,What is the first step in centralized syslog management? Select one choice.,"a. Receive syslog messages from syslog clients that are distributed across the network and store those messages in a flat log file.
b. Present syslog data in the form of automated reports, dashboards, and real-time query responses.
c. Move messages from the flat log file to a high-performance relational database.
d. Process low-level data in the relational database to produce higher-level information constructs.
",,a,a,,"The first step in centralized syslog management is to receive syslog messages from syslog clients distributed across the network and store those messages in a flat log file. This allows the centralized syslog server to collect all the log data from various devices in one place. The subsequent steps involve moving the data to a relational database for more efficient processing and analysis, generating higher-level information from the raw data, and finally presenting the information in the form of reports and dashboards. But the initial collection and storage of syslog messages in a flat file is the essential first step.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_cfg/configuration/15-mt/sec-usr-cfg-15-mt-book/sec-cfg-syslog-svrr.html', 'https://www.manageengine.com/products/eventlog/syslog-server.html']",1,NetSec,0.95,1
10,What must a host on an Ethernet network know about a destination to send an Ethernet frame to that destination? Select one choice.,"a. Receiving port number
b. IP address
c. MAC address
d. Window size
",,c,c,,"To send an Ethernet frame to a destination host on an Ethernet network, the sending host must know the MAC (Media Access Control) address of the destination. The MAC address uniquely identifies each device at the data link layer and is used for addressing in Ethernet networks. The IP address, receiving port number, and window size are not used for addressing at the Ethernet frame level.","['https://www.cisco.com/c/en/us/support/docs/switches/catalyst-6000-series-switches/10559-configuring-ethernet.html', 'https://www.practicalnetworking.net/series/packet-traveling/ethernet-frames/']",1,NetSec,1,1
11,On which OSI layer or layers does ARP operate? Select one choice.,"a. Between Layer 2 and Layer 3
b. At Layer 2
c. At Layer 3
d. Between Layer 1 and Layer 2
",,a,a,,"The Address Resolution Protocol (ARP) operates between Layer 2 (Data Link Layer) and Layer 3 (Network Layer) of the OSI model. ARP is used to map Layer 3 IP addresses to Layer 2 MAC addresses. When a device needs to send an IP packet to another device on the same network, it uses ARP to determine the MAC address of the destination device. The source device broadcasts an ARP request containing the IP address of the destination, and the device with that IP address responds with its MAC address. This process allows the source device to encapsulate the IP packet inside an Ethernet frame with the correct destination MAC address. Thus, ARP acts as a bridge between the Network and Data Link layers.","['https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/13718-5.html', 'https://www.practicalnetworking.net/series/arp/traditional-arp/']",1,NetSec,0.95,1
12,ARP messages are sent using which Ethertype designation in the frame header? Select one choice.,"a. 0x2100
b. 0x0800
c. 0x8100
d. 0x0806
",,d,d,,"The Ethertype field in an Ethernet frame header is used to indicate which protocol is encapsulated in the payload of the frame. The Ethertype value for ARP (Address Resolution Protocol) is 0x0806. ARP is used to resolve IP addresses to MAC addresses. When an ARP request or reply needs to be sent, it is encapsulated in an Ethernet frame with the Ethertype set to 0x0806 to indicate that the payload contains an ARP message.","['https://en.wikipedia.org/wiki/EtherType#Examples', 'https://www.iana.org/assignments/ieee-802-numbers/ieee-802-numbers.xhtml']",1,NetSec,1,1
13,Which two higher-level protocols rely on TCP/IP and are susceptible to attacks such as session hijacking? (Choose two.),"a. ARP
b. HTTP
c. UDP
d. Telnet
e. ICMP
",,"b,d","b,d",,"HTTP and Telnet are two higher-level protocols that rely on TCP/IP and are susceptible to attacks such as session hijacking. HTTP is an application layer protocol that uses TCP for reliable data transfer. If an attacker can intercept an HTTP session and steal the session cookie, they can impersonate the legitimate user, known as session hijacking. Similarly, Telnet is an application layer protocol that uses TCP and sends data (including login credentials) in clear text. An attacker who can intercept Telnet traffic can steal the session and gain unauthorized access. The other options - ARP, UDP, and ICMP - do not maintain session state and are not directly susceptible to session hijacking attacks.","['https://owasp.org/www-community/attacks/Session_hijacking_attack', 'https://www.imperva.com/learn/application-security/session-hijacking/']",1,NetSec,0.95,1
