Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. In an MPLS network, the customer edge (CE) device is typically a router located at the customer's premises. It connects to the provider edge (PE) router, which is the service provider's device. The CE router is responsible for forwarding customer traffic to the PE router, which then uses MPLS labels to transport the traffic across the service provider's network to the destination. The CE router is managed by the customer, while the PE router is managed by the service provider.","['https://en.wikipedia.org/wiki/Customer_edge_router', 'https://www.cisco.com/c/en/us/products/collateral/routers/wan-automation-engine/white_paper_c11-728587.html']",1,chapter12_network_design_architecture,0.95,1
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Full Mesh
b. Star
c. Hybrid
d. Partial Mesh
",,a,a,,"A full mesh network is a network topology in which there is a direct link between all pairs of nodes. In a full mesh topology, every node is connected to every other node in the network. This provides a high level of redundancy and fault tolerance, as there are multiple paths between any two nodes. However, full mesh networks can be complex and expensive to implement, especially as the number of nodes grows, since the number of links required increases exponentially with each additional node.","['https://en.wikipedia.org/wiki/Network_topology#Mesh', 'https://www.geeksforgeeks.org/network-topologies-full-mesh-partial-mesh-and-hybrid-mesh/']",1,chapter12_network_design_architecture,1,1
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. TRUE
b. FALSE
",,a,a,,"The statement is true. With Power over Ethernet (PoE), a LAN switch can indeed act as the Power Sourcing Equipment (PSE). PoE allows the switch to deliver both data and electrical power over the same Ethernet cable to a powered device (PD) such as an IP phone, wireless access point, or security camera. The switch, acting as the PSE, injects power onto the Ethernet cable which is then extracted by the PD. This simplifies cabling and eliminates the need for separate power supplies for each network device.","['https://en.wikipedia.org/wiki/Power_over_Ethernet', 'https://www.cisco.com/c/en/us/products/switches/what-is-power-over-ethernet.html']",1,chapter12_network_design_architecture,1,1
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Access
b. Distribution
c. Core
d. Campus
",,a,a,,"The access layer of a campus network provides the connection point for end-user devices to connect to the network. Access layer switches are typically located close to the end users and provide network access for devices such as computers, IP phones, printers, etc. The distribution and core layers are higher in the hierarchy and provide aggregation and routing between access layer switches and the rest of the network. The campus itself is not a specific role of a switch, but rather refers to the overall network within a limited geographic area like a company or university.","['https://en.wikipedia.org/wiki/Hierarchical_internetworking_model#Access_layer', 'https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/HA_campus_DG/hacampusdg.html']",1,chapter12_network_design_architecture,0.95,1
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Distribution
c. Core
d. Campus
",,b,b,,"The distribution layer of a campus network provides an aggregation point for access layer switches. Access layer switches connect end devices like computers, printers, IP phones etc. These access switches then connect into distribution layer switches which aggregate the connections. The distribution layer provides important functions like routing between VLANs, implementing access control policies, and aggregating toward the core layer. The core layer provides high-speed switching backbone for the network. So the distribution layer aggregates from access toward the core in a campus network hierarchy.",['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/HA_campus_DG/hacampusdg.html'],1,chapter12_network_design_architecture,0.95,1
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,c,,"In very large campus LANs, the core layer switches aggregate the distribution layer switches. The core layer provides a high-speed switching backbone to move traffic between distribution switches. The core layer is the top layer in the hierarchical campus network design model, sitting above the distribution and access layers. Access layer switches connect end devices, while distribution layer switches aggregate the access layer and provide routing between VLANs. But in the largest campus networks, the core layer is added above distribution to provide a high-speed backbone interconnecting the distribution layer switches.","['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/HA_campus_DG/hacampusdg.html', 'https://en.wikipedia.org/wiki/Hierarchical_internetworking_model']",1,chapter12_network_design_architecture,0.95,1
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using private WAN connections directly to the cloud provider
b. Using an Internet connection without VPN
c. Using an Internet connection with VPN
d. Using an intercloud exchange
",,"a,d","a,c",,"Using private WAN connections directly to the cloud provider (a) and using an Internet connection with VPN (c) are the two options that would best address the security and QoS concerns. Private WAN connections, often called 'direct connect' by cloud providers, establish a dedicated private link between the company network and the cloud, keeping data off the public Internet. A VPN over the Internet connection would encrypt the data, keeping it private, though QoS may be less predictable than a private WAN link. Using the Internet without VPN (b) would expose data and not meet the security requirement. An intercloud exchange (d) connects different cloud providers but doesn't directly address the company's connectivity to the cloud.","['https://docs.microsoft.com/en-us/azure/networking/networking-overview', 'https://aws.amazon.com/blogs/networking-and-content-delivery/introducing-aws-direct-connect-sitelink-dedicated-connectivity-between-direct-connect-points-of-presence/']",0,chapter12_network_design_architecture,0.9,1
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. TRUE
b. FALSE
",,b,b,,"The statement is false. In a public cloud solution, the cloud service provider is responsible for managing, maintaining, and updating the data centers. The customer is not responsible for these tasks. In contrast, in a private cloud (on-premise) solution, the organization itself is responsible for managing, maintaining, and updating its own data centers.","['https://azure.microsoft.com/en-us/overview/what-is-a-public-cloud/', 'https://www.ibm.com/cloud/learn/public-cloud']",1,chapter12_network_design_architecture,0.95,1
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses one IP subnet
b. The WAN uses 20 or more IP subnets
c. A remote site router would have one OSPF neighbor
d. A remote site router would have 20 OSPF neighbors
",,"a,d","a,c",,"With an E-LAN service, which is a Layer 2 WAN service, all the customer routers connect to the WAN as if they were connected to the same VLAN or same LAN. As a result, all routers could be in the same subnet (answer A). Each remote router would have an OSPF neighbor relationship with the HQ router, so each remote router would have one OSPF neighbor (answer C). The design would not require 20 or more subnets, because one subnet could be used (eliminating answer B). A remote router would only have an OSPF neighbor relationship with the HQ router, not with the other remote routers, so it would only have one OSPF neighbor, and not 20 (eliminating answer D).","['https://en.wikipedia.org/wiki/Metro_Ethernet', 'https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/white_paper_c11-74876.html']",0,chapter12_network_design_architecture,0.9,1
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Isolation
c. Virtualization
d. Segmentation
",,c,c,,"Server virtualization is the process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application. It allows one physical server to run multiple operating system instances simultaneously, each in its own isolated environment. This enables more efficient utilization of physical server resources and provides flexibility in deploying and managing server workloads. The other choices do not accurately describe this concept - integration refers to combining components, isolation is a byproduct of virtualization but not the process itself, and segmentation usually refers to dividing a network into smaller parts.","['https://en.wikipedia.org/wiki/Server_virtualization', 'https://www.vmware.com/topics/glossary/content/server-virtualization']",1,chapter12_network_design_architecture,0.95,1
