Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
218,Which of the following configuration management tools uses agentless architecture for managing network devices?,"a. Ansible
b. Puppet
c. Chef
d. Ansible and Puppet
e. Puppet and Chef
",,a,a,,"Ansible is the only configuration management tool among the given options that uses an agentless architecture for managing network devices. Ansible connects to the devices using SSH or remote PowerShell and does not require any agent software to be installed on the managed devices. Puppet and Chef, on the other hand, require agent software to be installed on the managed devices to facilitate communication with the central server and execute configuration changes.","['https://www.ansible.com/overview/how-ansible-works', 'https://puppet.com/docs/puppet/7/architecture.html', 'https://docs.chef.io/architecture/']",1,chapter13_network_automation,0.95,1
220,CRUD is the acronym of the four primary actions performed by an application. What does CRUD stand for?,"a. Create, Read, Update, Delete
b. Create, Read, Update, Done
c. Create, Resolve, Update, Delete
d. Create, Resolve, Update, Done
",,a,a,,"CRUD stands for Create, Read, Update, and Delete. These are the four basic functions of persistent storage and represent the standard database commands used to interact with database records. Create inserts a new record, Read retrieves a record, Update modifies an existing record, and Delete removes a record.","['https://en.wikipedia.org/wiki/Create,_read,_update_and_delete']",1,chapter13_network_automation,1,1
221,A Layer 2 switch examines a frame’s destination MAC address and forwards that frame out of the port G0/2. That action occurs as part of which plane of the switch?,"a. Data plane
b. Management plane
c. Control Plane
d. None of the above
",,a,a,,"The data plane is responsible for forwarding frames based on the destination MAC address. When a switch receives a frame, it looks up the destination MAC address in its MAC address table to determine which port to forward the frame out of. This process of examining the frame's destination MAC address and making a forwarding decision occurs in the data plane of the switch. The management plane is used for managing the switch, such as configuring VLANs or setting up access control lists, while the control plane is responsible for building the MAC address table and running protocols like Spanning Tree Protocol (STP). Therefore, the action of examining a frame's destination MAC address and forwarding it out of a specific port is part of the data plane.","['https://en.wikipedia.org/wiki/Network_switch#Layer_2', 'https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9300/software/release/16-12/configuration_guide/lyr2/b_1612_lyr2_9300_cg/configuring_ethernet_switching.html']",1,chapter13_network_automation,0.95,1
223,Identify the hostname part from the given URI: https://cluster.cisco.com/dna/intent/api/v1/business/sda/fabric? ipaddress=10.1.2.3.,"a. https://
b. cluster.cisco
c. cluster.cisco.com
d. dna/intent/api/v1/business/sda/fabric
e. ?ipaddress=10.1.2.3
",,c,c,,"The hostname part of a URI is the domain name or IP address where the resource is located. In this case, the hostname is 'cluster.cisco.com'. The 'https://' indicates the protocol used (HTTPS), while everything after the hostname is the path to the specific resource on that host, followed by a query parameter.","['https://en.wikipedia.org/wiki/Uniform_Resource_Identifier', 'https://tools.ietf.org/html/rfc3986']",1,chapter13_network_automation,1,1
224,Which of the following features of Cisco DNA Center discovers the actual path the packets will take from the source to the destination based on the current forwarding tables?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,d,d,,"Path Trace is the correct answer. Cisco DNA Center's Path Trace feature allows you to discover the actual path packets take from a source device to a destination device based on the current state of the network and forwarding tables. It provides a hop-by-hop analysis of the path, helping to identify any issues or bottlenecks along the way. Encrypted Traffic Analytics provides visibility into encrypted traffic patterns but does not trace packet paths. Device 360 and Client 360 provide detailed device and client information but do not perform path tracing. Network Time Travel allows you to view historical network data but does not trace active packet paths.","['https://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/dna-center/nb-06-dna-center-so-cte-en.html', 'https://www.cisco.com/c/en/us/td/docs/cloud-systems-management/network-automation-and-management/dna-center/2-1-2/user_guide/b_cisco_dna_center_ug_2_1_2/b_cisco_dna_center_ug_2_1_1_chapter_01001.html']",1,chapter13_network_automation,0.95,1
225,Which of the following features of Cisco DNA Center shows past client performance in a timeline for comparison to current behavior?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,c,c,,"Network time travel is a feature in Cisco DNA Center that allows viewing past client performance in a timeline for comparison to current behavior. It provides historical data and insights into client and network performance over time. Device 360 and Client 360 provide detailed current information about specific devices and clients, but do not show historical timelines. Encrypted traffic analysis examines encrypted traffic patterns but does not provide client performance history. Path trace shows the network path between source and destination but not a historical client performance timeline.",['https://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/dna-center/nb-06-dna-center-so-cte-en.html'],1,chapter13_network_automation,0.95,1
226,Which of the following features of Cisco DNA Center gives a comprehensive view of the health of the device?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,b,b,,"Device 360 and Client 360 in Cisco DNA Center provide a comprehensive view of the health of network devices and clients respectively. Device 360 displays device information, device health, and other key metrics for a selected network device. Similarly, Client 360 provides detailed information and health metrics for a selected client on the network. The other options, while being features of Cisco DNA Center, do not directly provide an overall health view of devices. Encrypted traffic analysis examines encrypted traffic for threats, network time travel allows viewing historical network state, and path trace helps visualize the path of an application or service.","['https://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/dna-center/nb-06-dna-center-so-cte-en.html', 'https://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/dna-center/solution-overview-c22-736580.html']",1,chapter13_network_automation,0.95,1
227,Which of the following features of Cisco DNA Center enables Cisco DNA to use algorithms to recognize security threats even in encrypted traffic?,"a. Encrypted traffic analysis
b. Device 360 and Client 360
c. Network time travel
d. Path trace
",,a,a,,"Encrypted traffic analysis is the correct answer. Cisco DNA Center uses advanced machine learning algorithms and network telemetry to identify malicious traffic patterns and security threats even in encrypted traffic, without the need to decrypt the data. This allows Cisco DNA to detect threats that may be hidden in encrypted communications. Device 360, Client 360, network time travel, and path trace are useful features of Cisco DNA Center but do not specifically enable threat detection in encrypted traffic.",['https://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/dna-center/nb-06-dna-center-so-cte-en.html'],1,chapter13_network_automation,0.95,1
228,"Your company decides to move away from manual configuration methods, making changes by editing centralized configuration files. The issues you are facing with non-centralized configuration files are:
1) You don’t know who engineer made the changes in the configuration file.
2) You don’t know the changes in the configuration file over time.
Which tool your company will use in order to solve these issues?","a. Version Control System
b. Version Control Configuration
c. Version Control Change
d. Version Control Edit
",,a,a,,"A Version Control System (VCS) is a tool that helps manage changes to files over time. It tracks who made the changes, when they were made, and what specifically was changed. This allows teams to collaborate on files, revert to previous versions if needed, and understand the evolution of the files. In the context of network configuration files, using a VCS would address the issues of not knowing who made changes and not having visibility into how the files changed over time. The other options (Version Control Configuration, Version Control Change, Version Control Edit) are not standard terms for such systems.",['https://en.wikipedia.org/wiki/Version_control'],1,chapter13_network_automation,0.95,1
229,"One of the benefits of controller-based networks over traditional networks is that the configuration on the devices have fewer errors, and you spent less time troubleshooting the network.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. In a controller-based network, such as those using Software Defined Networking (SDN), the control plane is decoupled from the data plane. This means that the network devices (switches, routers) are controlled by a centralized controller that manages the network configuration and policies. The controller has a global view of the network and can enforce consistent configurations across all devices. This centralized management reduces the likelihood of configuration errors that can occur when manually configuring each device individually, as is the case in traditional networks. As a result, network administrators spend less time troubleshooting misconfigurations and inconsistencies in the network.","['https://en.wikipedia.org/wiki/Software-defined_networking', 'https://www.cisco.com/c/en/us/solutions/software-defined-networking/overview.html']",1,chapter13_network_automation,0.95,1
