Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. https
b. courses
c. courses.examsdigest.com
d. examsdigest.com
e. examsdigest.com/ccna
",,c,c,,"The hostname in the given URI is courses.examsdigest.com. The hostname is the part of the URI that identifies the host or domain name of the server where the resource is located. It comes after the scheme (https://) and before the path (/ccna). In this case, the full hostname includes the subdomain 'courses' along with the second-level domain 'examsdigest' and top-level domain 'com'.","['https://en.wikipedia.org/wiki/URL#Syntax', 'https://datatracker.ietf.org/doc/html/rfc3986#section-3.2.2']",1,chapter9_ip_acl,1,1
155,Which of the following protocols uses the port 443?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,a,a,,"HTTPS (Hypertext Transfer Protocol Secure) uses port 443 by default. HTTPS is the secure version of HTTP, where the communication protocol is encrypted using SSL/TLS. It is commonly used for secure communication between web browsers and servers.","['https://en.wikipedia.org/wiki/HTTPS', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml']",1,chapter9_ip_acl,1,1
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,b,b,,"HTTP (Hypertext Transfer Protocol) uses port 80 by default. It is the protocol used for transmitting web pages and other web content over the internet. HTTPS uses port 443, SMTP uses port 25, and SSH uses port 22.",['https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers'],1,chapter9_ip_acl,1,1
157,Which of the following protocols uses the port 25?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,c,c,,"SMTP (Simple Mail Transfer Protocol) uses port 25 by default for sending email messages between email servers. HTTPS uses port 443, HTTP uses port 80, and SSH uses port 22.","['https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml']",1,chapter9_ip_acl,1,1
158,Which of the following protocols uses the port 22?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,d,d,,"SSH (Secure Shell) is a network protocol that uses port 22 by default for secure remote login and other secure network services over an unsecured network. It provides encrypted communication and strong authentication. HTTPS uses port 443, HTTP uses port 80, and SMTP uses port 25.","['https://en.wikipedia.org/wiki/Secure_Shell', 'https://www.ssh.com/academy/ssh/port']",1,chapter9_ip_acl,1,1
159,Which of the following port numbers the SNMP protocol uses?,"a. 20
b. 25
c. 160
d. 161
",,d,d,,"SNMP (Simple Network Management Protocol) uses UDP port 161 for general SNMP messages and UDP port 162 for SNMP trap messages from managed devices. The other port numbers listed are used by different protocols: port 20 is used by FTP (File Transfer Protocol) for data transfer, port 25 is used by SMTP (Simple Mail Transfer Protocol) for sending email, and port 160 is not a well-known port used by any common protocol.","['https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml']",1,chapter9_ip_acl,1,1
160,Which of the following port numbers the POP3 protocol uses?,"a. 100
b. 110
c. 120
d. 130
",,b,b,,"POP3 (Post Office Protocol version 3) is a standard mail protocol used to receive emails from a remote server to a local email client. POP3 uses TCP port 110 as its well-known port. The other port numbers listed (100, 120, 130) are not associated with the standard POP3 protocol.","['https://en.wikipedia.org/wiki/Post_Office_Protocol', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml']",1,chapter9_ip_acl,1,1
161,Which of the following port numbers the DNS protocol uses?,"a. 50
b. 51
c. 52
d. 53
",,d,d,,"The DNS protocol uses port 53 for its communication. DNS is used to translate domain names to IP addresses. When a DNS client needs to resolve a domain name to an IP address, it sends a DNS query to a DNS server using UDP port 53. The DNS server then responds back with the IP address mapped to the requested domain name, also using UDP port 53. While DNS primarily uses UDP, it can fall back to TCP port 53 for larger responses that don't fit in a single UDP datagram.","['https://en.wikipedia.org/wiki/Domain_Name_System', 'https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml']",1,chapter9_ip_acl,1,1
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,d",,"A standard IP ACL can match the exact source IP address or match only the packet's destination IP address. A standard ACL cannot match a range or subnet of addresses with a single command - that would require an extended ACL using a wildcard mask. Matching a specific range of addresses like 20.2.2.2 through 20.2.2.22 is also not possible with a standard ACL and a single command. Standard ACLs only match on the source IP address, not the destination.","['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html', 'https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-mt/sec-data-acl-15-mt-book/sec-create-ip-apply.html']",0,chapter9_ip_acl,0.95,1
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. Named ACLs use ACL subcommands to define the action (permit or deny) and matching parameters for the ACL entries, rather than global configuration commands like numbered ACLs do. With named ACLs, you first create the named ACL and then enter the ACL configuration mode where you define the specific permit and deny statements using subcommands. This provides more flexibility and readability compared to numbered ACLs.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_data_acl/configuration/15-mt/sec-data-acl-15-mt-book/sec-create-ip-al.html', 'https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html']",1,chapter9_ip_acl,0.95,1
