Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"IP (Internet Protocol) is a network layer (layer 3) protocol in the TCP/IP model. It is responsible for addressing, routing, and delivering packets between hosts across network boundaries. Ethernet operates at the data link layer (layer 2), while UDP and TCP are transport layer (layer 4) protocols.","['https://en.wikipedia.org/wiki/Internet_Protocol', 'https://www.geeksforgeeks.org/layers-of-osi-model/', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,google_1_basics_computer_networking,1,1
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,"A web browser is an example of an application layer (layer 5) protocol in the five-layer TCP/IP model. The application layer is the top-most layer where user applications like web browsers, email clients, and file transfer programs operate. Routers work at the internet layer (layer 3), UDP is a transport layer (layer 4) protocol, and Ethernet cables are part of the network access layer (layer 1).","['https://www.geeksforgeeks.org/layers-of-osi-model/', 'https://en.wikipedia.org/wiki/Internet_protocol_suite#Application_layer']",1,google_1_basics_computer_networking,0.95,1
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The physical layer of the TCP/IP model deals with the physical transmission of data over network media, including cabling, connectors, and other hardware components. It defines the electrical and physical specifications for devices and the transmission medium.","['https://www.geeksforgeeks.org/layers-of-osi-model/', 'https://www.imperva.com/learn/application-security/osi-model/']",1,google_1_basics_computer_networking,1,1
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,"A router operates at the network layer of the TCP/IP model. The network layer is responsible for addressing, packaging, and routing functions. It provides the functional and procedural means of transferring variable length data sequences from a source to a destination via one or more networks, while maintaining the quality of service requested by the transport layer.","['https://www.geeksforgeeks.org/layers-of-osi-model/', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,google_1_basics_computer_networking,0.95,1
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,d,,"Ethernet standards and wireless technologies like Wi-Fi operate at the data link layer. The data link layer is responsible for node-to-node communication within the same network segment. It handles framing, addressing, error detection, and media access control. Ethernet and Wi-Fi define protocols and standards for how data is formatted, addressed, and transmitted over their respective media at this layer.","['https://en.wikipedia.org/wiki/Data_link_layer', 'https://www.comptia.org/content/guides/what-is-a-data-link-layer']",1,google_1_basics_computer_networking,0.95,1
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch allows connections from many devices and inspects the contents of Ethernet protocol data to determine where to forward frames. A hub just blindly repeats data to all ports, a collision domain is a network segment where collisions can occur, and a cable is just the physical medium data travels over.","['https://www.cisco.com/c/en/us/products/switches/what-is-a-network-switch.html', 'https://www.geeksforgeeks.org/network-devices-hub-repeater-bridge-switch-router-gateways/']",1,google_1_basics_computer_networking,0.95,1
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network. It refers to a computer network that interconnects computers within a limited area such as a home, school, computer laboratory, office building or group of nearby buildings.","['https://www.cisco.com/c/en/us/products/switches/what-is-a-lan-local-area-network.html', 'https://www.techtarget.com/searchnetworking/definition/local-area-network-LAN']",1,google_1_basics_computer_networking,1,1
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,"A router is a network layer device that forwards data packets between computer networks. Routers perform the traffic directing functions on the Internet and within enterprise networks. Data sent through the internet, such as a web page or email, is in the form of data packets. A packet is typically forwarded from one router to another router through the networks that constitute an internetwork (e.g. the Internet) until it reaches its destination node.","['https://en.wikipedia.org/wiki/Router_(computing)', 'https://www.cisco.com/c/en/us/products/routers/what-is-a-router.html']",1,google_1_basics_computer_networking,1,1
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,d,,"A server is a device or program that provides a service or data to clients that request it. The server provides data to clients, which are the entities requesting the data. The other options describe different types of networking devices, but do not match the core definition of a server as something that provides data to requesters.","['https://www.techtarget.com/whatis/definition/server', 'https://www.cloudflare.com/learning/network-layer/what-is-a-server/']",1,google_1_basics_computer_networking,0.95,1
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,"Copper wiring is used in cables that communicate digital signals as voltage changes representing ones and zeros. Copper is an excellent conductor of electricity and is commonly used in network cables like Ethernet. The sending device encodes the binary data as specific voltage levels, which the receiving device interprets as the original ones and zeros.","['https://www.techtarget.com/searchnetworking/definition/Ethernet', 'https://www.pearsonitcertification.com/articles/article.aspx?p=1797068']",1,google_1_basics_computer_networking,0.95,1
