Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
46,What transport layer protocol does DNS normally use?,"a. TCP
b. IP
c. UDP
d. ICMP
",,c,c,,"DNS normally uses UDP (User Datagram Protocol) as its transport layer protocol. UDP provides a lightweight, connectionless service that is well-suited for the small queries and responses typical of DNS. UDP allows for faster transmission compared to TCP, as it has lower overhead and does not require establishing a connection before sending data. However, in some cases, such as when the DNS response is too large to fit in a single UDP packet (exceeding 512 bytes), DNS may fall back to using TCP for transport.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://en.wikipedia.org/wiki/Domain_Name_System#Protocol_transport']",1,google_4_networking_serices,0.95,1
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many DNS resolutions can take place before the IP has to change.
c. How many steps there are in the resolution process.
d. How long a DNS entry is allowed to be cached.
",,d,d,,"The DNS TTL (Time to Live) value determines how long a DNS resolver is allowed to cache a DNS query before it must discard it and perform a new query. It does not relate to distance, number of resolutions, or steps in the resolution process.","['https://www.cloudflare.com/learning/cdn/glossary/time-to-live-ttl/', 'https://en.wikipedia.org/wiki/Time_to_live#DNS_records']",1,google_4_networking_serices,1,1
48,How many root servers are there?,"a. 16
b. 8
c. 13
d. 17
",,c,c,,"There are 13 root name servers specified, with logical names in the form letter.root-servers.net, where letter ranges from A to M. This is an important part of the Domain Name System (DNS) infrastructure that helps resolve domain names to IP addresses on the Internet.","['https://www.iana.org/domains/root/servers', 'https://www.cloudflare.com/learning/dns/glossary/dns-root-server/']",1,google_4_networking_serices,1,1
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Easier for humans to remember website names.
b. Easy for the node to find the network ID.
c. Allows administrative changes to happen seamlessly.
d. Small routing tables.
",,"a,c","a,c",,"DNS provides two main benefits: 1) It allows using domain names that are easier for humans to remember than IP addresses. 2) It allows changes on the network, like a web server changing its IP address, to happen seamlessly for end users by just updating the DNS records. DNS does not directly help with finding network IDs or reducing routing table size.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.networkworld.com/article/3268449/what-is-dns-and-how-does-it-work.html']",1,google_4_networking_serices,0.95,1
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. IP addresses
b. DNS server
c. name resolution
d. ARP table lookup
",,c,c,,"The process of using the Domain Name System (DNS) to convert a domain name into an IP address is known as name resolution. When a user enters a domain name like www.example.com in their web browser, the computer contacts a DNS server to resolve the domain name into the corresponding IP address, which is then used to establish the connection to the web server.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.geeksforgeeks.org/domain-name-system-dns-in-application-layer/']",1,google_4_networking_serices,1,1
51,An A Record contains what?,"a. An SOA
b. An IPv4 address
c. An IPv6 address
d. A CNAME
",,b,b,,"An A record (Address record) maps a hostname to an IPv4 address. It is used by DNS to translate domain names to the IP addresses of the servers hosting the domain, allowing clients to connect to the correct server when accessing a website or other network resource by its domain name.","['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/', 'https://en.wikipedia.org/wiki/List_of_DNS_record_types#A']",1,google_4_networking_serices,1,1
52,MX stands for ________.,"a. Mail exchange
b. Meta exchange
c. Micro exchange
d. Micro extreme
",,a,a,,MX stands for 'mail exchange'. An MX record specifies the mail server responsible for accepting email messages on behalf of a domain name. It is a resource record in the Domain Name System (DNS) that maps a domain name to a list of mail exchange servers for that domain.,"['https://en.wikipedia.org/wiki/MX_record', 'https://www.cloudflare.com/learning/dns/dns-records/dns-mx-record/']",1,google_4_networking_serices,1,1
53,A fully qualified domain name can contain how many characters?,"a. 255
b. 127
c. 64
d. 63
",,a,a,,"A fully qualified domain name (FQDN) can contain a maximum of 255 characters. This includes all labels (parts separated by dots), with each label allowed to be 1 to 63 characters long. The 255 character limit is defined in RFC 1035.","['https://tools.ietf.org/html/rfc1035', 'https://en.wikipedia.org/wiki/Domain_Name_System#Domain_name_syntax']",1,google_4_networking_serices,1,1
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Quad A record
b. CNAME
c. Cycling records
d. Round robin
",,d,d,,"Round robin DNS is a technique used to balance traffic across multiple IP addresses for the same domain. It works by configuring multiple A records for a domain, each pointing to a different IP address. The DNS server then rotates through these IP addresses in a round-robin fashion for each DNS query it receives, effectively distributing the traffic across the different servers.","['https://www.cloudflare.com/learning/dns/glossary/round-robin-dns/', 'https://en.wikipedia.org/wiki/Round-robin_DNS']",1,google_4_networking_serices,0.95,1
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. NS record
c. FQDN
d. SOA
",,"a,b,d","a,b,d",,"A zone file contains several types of resource records, including:  A (Address) Record - Maps a hostname to an IP address NS (Name Server) Record - Specifies the authoritative name servers for the domain SOA (Start of Authority) Record - Specifies authoritative information about the DNS zone  A Fully Qualified Domain Name (FQDN) itself is not a specific record type within a zone file, but rather a complete domain name that uniquely identifies a host. FQDNs are used within the records of a zone file.","['https://en.wikipedia.org/wiki/Zone_file', 'https://www.cloudflare.com/learning/dns/dns-records/', 'https://www.zytrax.com/books/dns/ch8/']",1,google_4_networking_serices,0.95,1
