Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Transport layer
b. Session layer
c. Data link layer
d. Presentation layer
",,b,b,,"The Session layer (Layer 5) of the OSI model is responsible for establishing, managing, and terminating connections between devices. It sets up, coordinates, and terminates conversations, exchanges, and dialogs between the applications at each end. This layer handles authentication and authorization functions as well.",['https://www.geeksforgeeks.org/layers-of-osi-model/'],1,Computer_Networking,1,0.9999989719621284
2,Which model defines seven layers of networking protocols? Choose only one.,"a. OSI model
b. DoD model
c. TCP/IP model
d. Ethernet model
",,a,a,,"The OSI (Open Systems Interconnection) model defines seven layers of networking protocols. These layers are designed to standardize the functions of communication systems, making it easier to develop and implement networking solutions. Each layer has specific functions and interacts with adjacent layers to facilitate communication between devices.",['https://www.cloudflare.com/learning/network-layer/what-is-the-osi-model/'],1,Computer_Networking,1,0.9999851444463448
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,d,d,,"A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It acts as a barrier between a trusted internal network and untrusted external networks, such as the internet, to prevent unauthorized access while allowing legitimate communication. Firewalls are designed to enforce security policies and protect networks from various threats.","['https://www.cisco.com/c/en/us/products/security/firewalls/what-is-a-firewall.html', 'https://searchsecurity.techtarget.com/definition/firewall']",1,Computer_Networking,1,0.9999993295729247
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,A router is responsible for determining the best path for data packets to travel across multiple networks. Routers use routing tables to make decisions on where to forward packets based on the destination IP address. They analyze the header information of packets and choose the most appropriate path to reach the destination network. This functionality makes routers essential for interconnecting different networks and enabling communication between them.,['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/network-devices-explained.html'],1,Computer_Networking,1,0.9999963494876631
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,a,a,,"The network topology that consists of a single shared communication line to which all devices are connected is known as a Bus Topology. In a bus network, all devices share the same communication medium, and data is transmitted in both directions to all devices on the line. Each device has a unique address, and data is only accepted by the device it is intended for, even though it is transmitted to all devices. Therefore, option a, Bus Topology, is the correct choice.",['https://www.geeksforgeeks.org/networking-bus-topology/'],1,Computer_Networking,1,0.9999982567412194
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"The network topology that requires the least amount of cabling and is easy to set up is the Star topology. In a Star topology, all devices are connected to a central device like a switch or hub. Each device only needs one cable to connect to the central device, reducing the overall amount of cabling required. However, if the central device (like the switch or hub) fails in a Star topology, the entire network becomes inaccessible because all communication needs to pass through that central device.","['https://www.geeksforgeeks.org/network-topology-set-7/', 'https://www.webopedia.com/TERM/S/star_topology.html']",1,Computer_Networking,1,0.9997428656846962
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Repeater
",,a,a,,"A network switch is used to create logical network segments by dividing a network into smaller, manageable parts. By doing this, network congestion can be reduced as data is only sent to the specific segment where the intended recipient is located, rather than broadcasting to the entire network. Switches operate at the data link layer (Layer 2) of the OSI model and are more efficient in handling traffic compared to hubs. Routers, modems, and repeaters serve different functions in a network and do not specifically focus on creating logical network segments to reduce congestion.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/10561-3.html'],1,Computer_Networking,1,0.9999933694113825
9,The DoD model is commonly known as the:,"a. Four-layer model
b. Five-layer model
c. Six-layer model
d. Seven-layer model
",,a,a,,"The DoD (Department of Defense) networking model is often referred to as the four-layer model. It is an alternative model to the OSI (Open Systems Interconnection) seven-layer model and defines four layers: Process/Application, Host-to-Host, Internet, and Network Access. These layers are used to understand and implement networking protocols and functions within the DoD environment.",['https://www.geeksforgeeks.org/dod-department-defense-model/'],1,Computer_Networking,1,0.9999371072378327
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Network layer
b. Data link layer
c. Transport layer
d. Physical layer
",,a,a,,"The layer responsible for addressing and routing packets in the OSI model is the Network layer (Layer 3). This layer deals with logical addressing, routing, and forwarding of packets. It determines the best path for data to travel from the source to the destination across different networks. Therefore, option a is correct.",['https://www.cloudflare.com/learning/ddos/glossary/open-systems-interconnection-model-osi/'],1,Computer_Networking,1,0.9999987335551019
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,"The Presentation layer of the OSI model is responsible for encryption and decryption of data for secure communication. This layer ensures that data is in a readable format for the application layer and handles encryption and decryption, data compression, and data translation. Therefore, option a is correct.",['https://www.geeksforgeeks.org/layers-of-osi-model/'],1,Computer_Networking,1,0.9999759659438225
