Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Broadcast address
b. Multicast address
c. IP address
d. MAC address
e. Unicast address
",,"a,b","a,b",,"Broadcast and multicast addresses are used to send one frame and deliver it to multiple devices on the LAN. A broadcast address is used to send data to all devices on the LAN, while a multicast address is used to send data to a specific group of devices on the LAN. IP address and MAC address are not used for this purpose. An IP address is used for network layer addressing, and a MAC address is used for identifying a specific device on the network. Unicast address is used to send data from one device to another single device.",['https://www.geeksforgeeks.org/difference-between-unicast-broadcast-and-multicast/'],1,chapter1_intro_to_networking,1,0.9999586075696903
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CD
b. CSMA/CA
c. TCP/IP
d. TCP/UDP
",,a,a,,"The correct option is CSMA/CD. CSMA/CD stands for Carrier Sense Multiple Access with Collision Detection. It is a network protocol that helps devices share the bandwidth effectively by detecting collisions when they occur and taking appropriate actions to retransmit data. In the case of a collision, CSMA/CD helps in backing off and retransmitting data to avoid further collisions.",['https://en.wikipedia.org/wiki/Carrier_sense_multiple_access_with_collision_detection'],1,chapter1_intro_to_networking,1,0.9999982567412194
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 100
b. 10
c. 1000
d. 1
",,c,c,,"The correct option is c. The Ethernet standard 1000BASE-T defines Gigabit Ethernet over UTP cabling. The '1000' in 1000BASE-T indicates a speed of 1000 Mbps, which is equivalent to Gigabit Ethernet.",['https://en.wikipedia.org/wiki/1000BASE-T'],1,chapter1_intro_to_networking,1,0.9999947998470209
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,The Preamble field in the IEEE 802.3 Ethernet Header and Trailer allows devices on the network to easily synchronize their receiver clocks. It is used for synchronization and allows the receiver to detect the start of a frame by providing a known bit sequence before the actual data begins.,['https://en.wikipedia.org/wiki/Ethernet_frame#Preamble'],1,chapter1_intro_to_networking,1,0.9999918197754583
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Source
b. Destination
c. Unicast
d. Broadcast
",,b,b,,The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. The default gateway serves as the exit point from the local network to reach destinations outside the subnet.,['https://www.geeksforgeeks.org/difference-between-ip-address-and-default-gateway/'],1,chapter1_intro_to_networking,1,0.9999989719621284
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,a,a,,SMTP (Simple Mail Transfer Protocol) resides in the Application layer of the TCP/IP model. It is responsible for sending and receiving emails.,['https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol'],1,chapter1_intro_to_networking,0.9,0.9999946806438478
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,b,b,,"TCP (Transmission Control Protocol) resides in the Transport layer of the TCP/IP model. It provides reliable, connection-oriented communication between devices.",['https://en.wikipedia.org/wiki/Transmission_Control_Protocol'],1,chapter1_intro_to_networking,1,0.9999934886141991
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,d,"b,d",,"TCP (Transmission Control Protocol) and IP (Internet Protocol) reside in the Internet TCP/IP Architecture layer. TCP provides reliable, ordered, and error-checked delivery of data, while IP is responsible for addressing and routing packets between hosts.",['https://en.wikipedia.org/wiki/Internet_protocol_suite'],0,chapter1_intro_to_networking,1,0.9999152201703129
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,The protocol that resides in the Data Link & Physical TCP/IP Architecture layer is Ethernet. Ethernet operates at the Data Link layer (Layer 2) and Physical layer (Layer 1) of the TCP/IP model.,['https://www.cloudflare.com/learning/network-layer/what-is-ethernet/'],1,chapter1_intro_to_networking,1,0.9999984951481323
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. ping
b. ARP
c. DHCP
d. DNS
",,b,b,,The correct protocol used from PC1 to learn information from some other device on the same network is ARP (Address Resolution Protocol). ARP is used to map a known IP address to a MAC address on a local network. It is essential for communication between devices on the same network segment.,['https://en.wikipedia.org/wiki/Address_Resolution_Protocol'],1,chapter1_intro_to_networking,0.95,0.9999980183344636
14,"If the devices below were connected with UTP Ethernet cables, which pairs of devices would require a straight-through cable? (Choose two answers.)","a. Router and PC
b. Switch and PC
c. Hub and switch
d. Router and hub
",,"b,d","a,c",,"A straight-through cable is used to connect different types of devices, such as a router to a PC or a hub to a switch. In these cases, the transmit pins at one end of the cable should match the receive pins at the other end to ensure proper communication. Connecting like devices, such as switch to PC or hub to router, requires a crossover cable because the transmit and receive pins need to be swapped to establish a connection.",['https://www.computernetworkingnotes.com/ccna-study-guide/straight-through-and-cross-over-cable-differences.html'],0,chapter1_intro_to_networking,1,0.6762253701768309
15,Which of the following protocols are examples of TCP/IP data-link layer protocols? (Choose two answers.),"a. TCP
b. HTTP
c. Ethernet
d. PPP
e. SMTP
f. HTTPS
",,"c,d","c,d",,"Ethernet and PPP are examples of TCP/IP data-link layer protocols. Ethernet is a widely used protocol for local area networks, and PPP (Point-to-Point Protocol) is commonly used for establishing a direct connection between two networking nodes.","['https://en.wikipedia.org/wiki/Ethernet', 'https://en.wikipedia.org/wiki/Point-to-Point_Protocol']",1,chapter1_intro_to_networking,1,0.9998985332157724
16,Which of the following statements are functions of a routing protocol? (Choose two answers.),"a. Learning routes and putting those routes into the routing table for routes advertised to the router by its neighboring routers
b. Advertising known routes to neighboring routers
c. Learning routes for subnets directly connected to the router
d. Forwarding IP packets based on a packet’s destination IP address
",,"a,b","a,b",,"A and B are correct. Routing protocols are responsible for learning routes from neighboring routers and populating the routing table with this information (statement a). Additionally, routing protocols advertise these learned routes to neighboring routers to ensure the network is aware of all available paths (statement b).",['https://www.cisco.com/c/en/us/support/docs/ip/border-gateway-protocol-bgp/13753-25.html'],1,chapter1_intro_to_networking,1,0.9997887784918045
17,"When you open a web browser and type in the hostname www.examsdigest.com, your computer does not send an IP packet with a destination IP address www.examsdigest.com; it sends an IP packet to an IP address used by the web server for Examsdigest. TCP/IP needs a way to let a computer find the IP address used by the listed hostname. That method uses the Domain Name System (DNS).","a. TRUE
b. FALSE
",,a,a,,"The statement is TRUE. When a user types a hostname like www.examsdigest.com in a web browser, the computer needs to resolve this hostname to an IP address to communicate with the server. This resolution is done through the Domain Name System (DNS) which maps hostnames to IP addresses.",['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,chapter1_intro_to_networking,1,0.9999906277489198
18,A __________________ address is an address that enables transmission to every node in a local network.,"a. Broadcast
b. Multicast
c. Unicast
d. MAC
",,a,a,,A broadcast address is used to transmit data packets to all possible destinations on a network segment. It allows communication with all devices on the local network simultaneously.,['https://en.wikipedia.org/wiki/Broadcast_address'],1,chapter1_intro_to_networking,1,0.9999989719621284
19,TCP and ______________ are the two most commonly used TCP/IP transport layer protocols.,"a. UDP
b. HTTP
c. DNS
d. SMTP
",,a,"a,d",,"The correct answers are UDP (User Datagram Protocol) and SMTP (Simple Mail Transfer Protocol). UDP is a connectionless protocol that operates at the transport layer and is often used for tasks where speed is more critical than reliability. SMTP is a protocol used for sending email between servers, typically over the Internet. While HTTP and DNS are crucial protocols in networking, they operate at the application layer, not the transport layer like TCP, UDP, and SMTP.","['https://en.wikipedia.org/wiki/User_Datagram_Protocol', 'https://tools.ietf.org/html/rfc5321']",0,chapter1_intro_to_networking,0.9,0.9996088901783945
