Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. https
b. courses
c. courses.examsdigest.com
d. examsdigest.com
e. examsdigest.com/ccna
",,c,c,,"The hostname in a URI is the part that identifies the domain or subdomain where the resource is located. In this case, 'courses.examsdigest.com' is the hostname as it includes the subdomain 'courses' and the domain 'examsdigest.com'.",['https://en.wikipedia.org/wiki/Uniform_Resource_Identifier'],1,chapter9_ip_acl,1,0.9993829436176422
155,Which of the following protocols uses the port 443?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,a,a,,"HTTPS (Hypertext Transfer Protocol Secure) uses port 443 for secure communication. It is the secure version of HTTP, providing encrypted communication over a computer network.",['https://en.wikipedia.org/wiki/HTTPS'],1,chapter9_ip_acl,1,0.999996945503965
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,b,b,,"HTTP (Hypertext Transfer Protocol) uses port 80 for communication. It is the protocol used for transferring hypertext messages on the internet, defining how messages are formatted and transmitted.",['https://tools.ietf.org/html/rfc2616'],1,chapter9_ip_acl,0.9,0.9999982567412194
157,Which of the following protocols uses the port 25?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,c,c,,SMTP (Simple Mail Transfer Protocol) uses port 25 for communication. It is the standard protocol for sending emails over the internet.,['https://tools.ietf.org/html/rfc5321'],1,chapter9_ip_acl,1,0.9999964686909351
158,Which of the following protocols uses the port 22?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,d,d,,"SSH (Secure Shell) uses port 22 for secure remote access to devices. It provides encrypted communication sessions over a network and is widely used for secure command-line, file transfer, and tunneling services.",['https://en.wikipedia.org/wiki/Secure_Shell'],1,chapter9_ip_acl,1,0.9999994487765019
159,Which of the following port numbers the SNMP protocol uses?,"a. 20
b. 25
c. 160
d. 161
",,d,d,,The SNMP protocol uses port number 161 for communication. This port is reserved for SNMP traffic to manage devices on a network.,['https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol'],1,chapter9_ip_acl,1,0.9999976607241361
160,Which of the following port numbers the POP3 protocol uses?,"a. 100
b. 110
c. 120
d. 130
",,b,b,,The correct port number for the POP3 protocol is 110. POP3 (Post Office Protocol version 3) is used for receiving emails from a remote server to a local email client. It operates over TCP port 110.,['https://tools.ietf.org/html/rfc1939'],1,chapter9_ip_acl,1,0.9999931310055916
161,Which of the following port numbers the DNS protocol uses?,"a. 50
b. 51
c. 52
d. 53
",,d,d,,DNS (Domain Name System) protocol uses port number 53 for both TCP and UDP communications. Port 53 is the well-known port assigned for DNS services.,['https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers'],1,chapter9_ip_acl,1,0.9999993295729247
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,b",,A standard IP ACL can be configured to match the exact source IP address (option a) and can also match all IP addresses in a subnet with one access-list command without matching other IP addresses (option b). This allows filtering based on specific source IP addresses or entire subnets.,['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],1,chapter9_ip_acl,1,0.5223997814722458
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"The statement is TRUE. Named ACLs use ACL subcommands to define the action and matching parameters, unlike numbered ACLs that use global commands. This makes named ACLs more flexible and easier to manage as the rules are applied directly within the ACL configuration.",['https://www.cisco.com/c/en/us/td/docs/ios/12_2/security/configuration/guide/fsecur_c/scfacls.html'],1,chapter9_ip_acl,1,0.9999938462231346
