Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
46,What transport layer protocol does DNS normally use?,"a. TCP
b. IP
c. UDP
d. ICMP
",,c,c,,DNS (Domain Name System) normally uses UDP (User Datagram Protocol) as its transport layer protocol. UDP is preferred for DNS due to its lower overhead and faster transmission compared to TCP.,['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,google_4_networking_serices,1,0.9999815683978641
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many DNS resolutions can take place before the IP has to change.
c. How many steps there are in the resolution process.
d. How long a DNS entry is allowed to be cached.
",,d,d,,A DNS TTL (Time to Live) determines how long a DNS entry is allowed to be cached before it needs to be re-fetched from the authoritative DNS server.,['https://www.cloudflare.com/learning/dns/dns-records/dns-ttl/'],1,google_4_networking_serices,1,0.9999998063873687
48,How many root servers are there?,"a. 16
b. 8
c. 13
d. 17
",,c,c,,"There are a total of 13 root DNS servers worldwide, labeled A through M. These servers are a crucial part of the internet's infrastructure.",['https://www.iana.org/domains/root/servers'],1,google_4_networking_serices,1,0.9993441336344336
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Easier for humans to remember website names.
b. Easy for the node to find the network ID.
c. Allows administrative changes to happen seamlessly.
d. Small routing tables.
",,"a,c","a,c",,a. DNS provides human-readable domain names that are easier to remember than IP addresses. c. DNS allows for seamless administrative changes by updating the DNS records without affecting end-users.,"['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.cloudflare.com/learning/dns/what-is-dns/']",1,google_4_networking_serices,1,0.9999974671119577
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. IP addresses
b. DNS server
c. name resolution
d. ARP table lookup
",,c,c,,The process of using DNS to translate domain names into IP addresses is called name resolution. It involves querying DNS servers to obtain the corresponding IP address for a given domain name.,['https://www.cloudflare.com/learning/dns/glossary/dns-resolution/'],1,google_4_networking_serices,1,0.9999987335551019
51,An A Record contains what?,"a. An SOA
b. An IPv4 address
c. An IPv6 address
d. A CNAME
",,b,b,,An A Record contains an IPv4 address. A Records map a domain name to the corresponding IPv4 address.,['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/'],1,google_4_networking_serices,1,0.9999982567412194
52,MX stands for ________.,"a. Mail exchange
b. Meta exchange
c. Micro exchange
d. Micro extreme
",,a,a,,MX stands for Mail exchange. It is a type of DNS record that specifies the mail server responsible for receiving email on behalf of a domain.,['https://en.wikipedia.org/wiki/MX_record'],1,google_4_networking_serices,1,0.9999962302846054
53,A fully qualified domain name can contain how many characters?,"a. 255
b. 127
c. 64
d. 63
",,a,a,,"A fully qualified domain name (FQDN) can contain up to 255 characters in total, including all the labels and the dots used for separation.",['https://www.ietf.org/rfc/rfc1035.txt'],1,google_4_networking_serices,1,0.9999739395305799
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Quad A record
b. CNAME
c. Cycling records
d. Round robin
",,d,d,,The technique used to balance traffic across multiple IPs for the same domain is called Round Robin. It works by cycling through a list of IP addresses associated with a domain in a sequential order to distribute traffic evenly.,['https://www.cloudflare.com/learning/dns/glossary/what-is-round-robin-dns/'],1,google_4_networking_serices,1,0.9999310282486606
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. NS record
c. FQDN
d. SOA
",,"a,b,d","a,b,d",,"A Zone File typically contains the following records: A Record (Address Record) which maps a domain name to an IP address, NS Record (Name Server Record) which specifies the authoritative name servers for the domain, and SOA (Start of Authority) Record which indicates the authoritative server for the zone and related parameters.","['https://www.cloudflare.com/learning/dns/dns-records/what-is-a-zone-file/', 'https://www.digitalocean.com/community/tutorials/understanding-soa-records-and-zone-files']",1,google_4_networking_serices,1,0.9999959174694336
56,Which of the following need to be configured for a computer to operate on a modern network? Check all that apply.,"a. A MAC address
b. An IP address
c. A TCP port
d. A name server
",,"b,d","a,b,d",,"To operate on a modern network, a computer needs the following configurations: 
 a. A MAC address (Media Access Control address) is essential for identifying devices on the physical network. 
 b. An IP address (Internet Protocol address) is necessary for network communication and routing. 
 d. A name server (DNS server) is required to translate domain names to IP addresses for proper network communication.","['https://www.cloudflare.com/learning/dns/glossary/what-is-a-nameserver/', 'https://www.homenethowto.com/basics/mac-address/', 'https://www.cloudflare.com/learning/network-layer/what-is-an-ip-address/']",0,google_4_networking_serices,1,0.7134634938530637
57,"When using Fixed Allocation DHCP, what is used to determine a computer's IP?","a. A MAC address
b. A subnet mask
c. An A Record
d. Location
",,a,a,,"In Fixed Allocation DHCP, the IP address is assigned to a specific device based on its MAC address. The DHCP server keeps a record of MAC addresses and their corresponding IP addresses to ensure that the same IP is always assigned to the same device.",['https://www.cloudflare.com/learning/network-layer/dhcp/'],1,google_4_networking_serices,1,0.9999385375988907
58,"The process by which a client, configured to use DHCP, attempts to get network configuration information is known as _________________.","a. DHCP Request
b. DHCP Offer
c. DHCP Acknowledgement
d. DHCP Discovery
",,d,d,,"The process by which a client configured to use DHCP attempts to get network configuration information is known as DHCP Discovery. In this step, the client broadcasts a DHCP Discover message to locate available DHCP servers on the network.",['https://www.cloudflare.com/learning/network-layer/what-is-dhcp/'],1,google_4_networking_serices,1,0.9999846676395419
59,Which of the following are ways a DHCP can operate? Select all that apply.,"a. CIDR
b. ARP
c. Fixed allocation
d. Dynamic allocation
",,"c,d","c,d",,"DHCP can operate in two main ways: Fixed allocation, where specific IP addresses are permanently assigned to specific clients, and Dynamic allocation, where IP addresses are leased to clients for a specific period.",['https://www.cloudflare.com/learning/network-layer/what-is-dhcp/'],1,google_4_networking_serices,1,0.9998551557616397
60,DHCP is a protocol of which layer?,"a. Transport layer
b. Network Layer
c. Application layer
d. Physical layer
",,c,c,,DHCP (Dynamic Host Configuration Protocol) operates at the application layer of the TCP/IP protocol stack. It is used to dynamically assign IP addresses to devices on a network.,"['https://www.geeksforgeeks.org/dynamic-host-configuration-protocol-dhcp/', 'https://www.cloudflare.com/learning/network-layer/what-is-dhcp/']",1,google_4_networking_serices,1,0.9999708403221517
