Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
90,The protocol used to communicate network errors is known as __________.,"a. ICMP
b. Traceroute
c. TCP
d. UDP
",,a,a,,"The protocol used to communicate network errors is ICMP (Internet Control Message Protocol). ICMP is used by network devices, like routers, to send error messages and operational information indicating, for example, that a requested service is not available or that a host or router could not be reached.",['https://www.cloudflare.com/learning/ddos/glossary/internet-control-message-protocol-icmp/'],1,google_6_troubleshooting_and_future_networking,1,0.999977753956447
91,The ping utility sends what message type?,"a. Echo Request
b. Echo Reply
c. Destination Network Unknown
d. Destination Network Unreachable
",,a,a,,The ping utility sends an Echo Request message to the destination host. This message is used to check the reachability of a host on an IP network.,"['https://en.wikipedia.org/wiki/Ping_(networking_utility)', 'https://www.geeksforgeeks.org/ping-command-in-linux-with-examples/']",1,google_6_troubleshooting_and_future_networking,1,0.999929955493231
92,What is one of the tools you can use to verify connectivity to a specific port on Windows OS?,"a. nc (netcat)
b. Ping
c. Test-NetConnection
d. Tracert
",,c,c,,One of the tools you can use to verify connectivity to a specific port on Windows OS is Test-NetConnection. This cmdlet in PowerShell allows you to verify connectivity to a specific port on a remote host.,['https://docs.microsoft.com/en-us/powershell/module/nettcpip/test-netconnection'],1,google_6_troubleshooting_and_future_networking,1,0.9961155683986769
93,Traceroute uses UDP packets on which of the following operating systems? Select all that apply.,"a. Mac Os
b. Windows 10
c. Windows 7
d. Linux
",,"a,d",d,,"Traceroute typically uses ICMP (Internet Control Message Protocol) packets, not UDP, to trace the route. On Linux systems, the traceroute command commonly uses ICMP. While it is possible to use UDP for traceroute on some systems, the traditional and most widely used method is ICMP, especially on Linux.",['https://linux.die.net/man/8/traceroute'],0,google_6_troubleshooting_and_future_networking,0.95,0.9999931310055916
94,"During a traceroute, which action does a router perform to the value in the Time To Live (TTL) field?","a. Multiplication
b. Division
c. Subtraction
d. Addition
",,c,c,,"During a traceroute, a router decrements the Time To Live (TTL) field in the IP header by 1. This decrementing process is a form of subtraction. By decrementing the TTL value, routers along the path can limit the lifetime of packets and prevent them from circulating indefinitely in the network.",['https://www.cloudflare.com/learning/network-layer/what-is-ttl/'],1,google_6_troubleshooting_and_future_networking,0.95,0.9999756083404814
95,One of Level 3's public DNS servers is ____________.,"a. 4.2.2.3
b. 8.8.8.8
c. 127.0.0.1
d. 192.168.1.1
",,a,a,,"One of Level 3's public DNS servers is 4.2.2.3. This DNS server is commonly used and provided by Level 3 Communications, which is now CenturyLink.",['https://www.lifewire.com/free-and-public-dns-servers-2626062'],1,google_6_troubleshooting_and_future_networking,1,0.9999183936139823
96,A DNS resolver tool available on all major desktop operating systems is __________.,"a. Nslookup
b. Host
c. Tracert
d. Ping
",,a,a,,The DNS resolver tool available on all major desktop operating systems is Nslookup. It is a command-line tool that queries DNS servers to obtain domain name or IP address mapping information.,['https://en.wikipedia.org/wiki/Nslookup'],1,google_6_troubleshooting_and_future_networking,1,0.9999909853566321
97,Which top-level organization manages the global DNS (Domain Name System)?,"a. RFC
b. IANA
c. ICANN
d. Google
",,c,c,,"The Internet Corporation for Assigned Names and Numbers (ICANN) is the top-level organization responsible for managing the global DNS (Domain Name System), overseeing the assignment of domain names and IP addresses.",['https://www.icann.org/'],1,google_6_troubleshooting_and_future_networking,1,0.9999769195503577
98,Which of the following commands displays the current network configuration information?,"a. Winver
b. Pathping
c. Net user
d. Ipconfig
",,d,d,,"The 'ipconfig' command is used in Windows to display the current network configuration information, including IP address, subnet mask, and default gateway.",['https://www.geeksforgeeks.org/ipconfig-windows-command-line-tool/'],1,google_6_troubleshooting_and_future_networking,1,0.9999852636485811
99,An organization responsible for assigning individual domain names to other organizations or individuals is known as a(n) ______.,"a. DNS registrar
b. Autonomous system
c. Internet authority
d. Government
",,a,a,,The organization responsible for assigning individual domain names to other organizations or individuals is known as a DNS registrar. DNS registrars manage domain name registration on behalf of domain owners.,['https://www.cloudflare.com/learning/dns/glossary/dns-registrar/'],1,google_6_troubleshooting_and_future_networking,1,0.9999897933310884
