Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
3,How many bits are used for the header checksum in IPv4 packets? Select one choice.,"a. 8 bits
b. 16 bits
c. 32 bits
d. None of the above
",,b,b,,"In IPv4 packets, the header checksum field is 16 bits long. This field is used for error-checking purposes to ensure the integrity of the header information during transmission.",['https://www.geeksforgeeks.org/ipv4-header-checksum/'],1,grad_TCP,1,0.9998906218122302
5,"Given a network address 128.100.0.0, what is its network class type? Select one choice.","a. Class A
b. Class B
c. Class C
d. None of the above
",,b,a,,"The network address 128.100.0.0 falls within the range of Class B addresses, which are identified by the first octet having a value between 128 and 191 inclusive. Therefore, the network class type for the given address is Class B.",['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html'],0,grad_TCP,1,0.9255016908609699
6,Which of the following is provided at the IP layer? Select one choice.,"a. Connectionless
b. Best effort delivery service
c. Both of the above
d. None of the above
",,c,c,,"Both connectionless and best effort delivery service are provided at the IP layer. IP (Internet Protocol) operates as a connectionless protocol where each packet is treated independently and may take different paths to reach the destination. Additionally, IP provides best effort delivery service, meaning it does not guarantee delivery, packet sequencing, or duplicate checking.",['https://www.geeksforgeeks.org/network-layer-osi-tcpip-model/'],1,grad_TCP,1,0.9997398900344643
8,What is the subnetwork number of a host with an IP address of 172.16.66.0/21? Select one choice.,"a. 172.16.48.0
b. 172.16.64.0
c. 172.16.0.0
d. 172.16.36.0
",,b,b,,"To find the subnetwork number, you need to look at the given IP address along with its subnet mask. The IP address 172.16.66.0 with a /21 subnet mask means the first 21 bits are network bits and the remaining 11 bits are host bits. When you calculate the network address, you need to consider the network bits only. In this case, the network bits are 172.16.64.0, which corresponds to option b.",['https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/27470-100.html'],1,grad_TCP,1,0.9999994487765019
9,What is the first valid host on the subnetwork that the node 172.30.190.198/24 belongs to? Select one choice.,"a. 172.30.190.0
b. 172.30.190.1
c. 172.30.190.100
d. None of the above
",,b,b,,"To find the first valid host on a subnetwork, you need to determine the network address first. The IP address 172.30.190.198/24 belongs to the network 172.30.190.0 with a subnet mask of 255.255.255.0 (representing /24). In this network, the first IP address is reserved for the network address itself, and the second IP address is typically assigned to the first host. Therefore, the first valid host on this subnetwork is 172.30.190.1, which corresponds to option b.",['https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/27470-100.html'],1,grad_TCP,1,0.9972029590285928
10,"Based on 1.1.1.0/24, the IP address would be: Select one choice.","a. Class A
b. Class B
c. Class C
d. Class D
",,a,c,,"The given IP address 1.1.1.0 falls within the range of Class C addresses. In Class C, the first octet ranges from 192 to 223, making 1.1.1.0 a Class C address.",['https://www.computernetworkingnotes.com/ccna-study-guide/class-c-network-addressing.html'],0,grad_TCP,1,0.9489000284693008
12,"Using CIDR notation, a prefix 205.100.0.0 of length 22 is written as 205.100.0.0/22. What network mask does the /22 notation indicate? Select one choice.","a. 205.255.255.0
b. 255.255.252.0
c. 255.255.22.0
d. None of the above
",,b,b,,"In CIDR notation, the number after the slash (/) represents the number of bits that are turned on in the subnet mask. To find the subnet mask, you need to convert the /22 to binary, which gives you 22 bits turned on (1s) and the rest off (0s). The subnet mask would be 255.255.252.0 as the first 22 bits are turned on, which corresponds to 255.255.252.0.",['https://www.cloudflare.com/learning/network-layer/what-is-cidr/'],1,grad_TCP,1,0.9999428286693428
13,"Perform CIDR aggregation on the following /24 IP addresses: 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, 128.58.27.0/24. What is the CIDR outcome? Select one choice.","a. 128.58.28.0/22
b. 128.58.24.0/22
c. 128.58.28.0/24
d. None of the above
",,b,a,,"To perform CIDR aggregation, we look for the common prefix among the given IP addresses. In this case, the common prefix among 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, and 128.58.27.0/24 is '128.58.24.0/22'. By aggregating these IP addresses, we can represent them as a single CIDR block 128.58.24.0/22.",['https://www.cisco.com/c/en/us/support/docs/ip/border-gateway-protocol-bgp/13753-25.html'],0,grad_TCP,1,0.9912123818178675
14,Which protocol provides conversion from an IP address to a physical address? Select one choice.,"a. ICMP
b. IGRP
c. ARP
d. DNS
",,c,c,,The Address Resolution Protocol (ARP) is the protocol responsible for mapping an IP address to a physical MAC address. It is used to find the hardware address of a host on a local network when only its network layer address is known.,"['https://www.geeksforgeeks.org/address-resolution-protocol-arp/', 'https://www.cloudflare.com/learning/ddos/glossary/address-resolution-protocol-arp/']",1,grad_TCP,1,0.9999978991308068
15,Which protocol is used to assign temporary IP addresses to hosts? Select one choice.,"a. ICMP
b. DHCP
c. ARP
d. None of the above
",,b,b,,The protocol used to assign temporary IP addresses to hosts is DHCP (Dynamic Host Configuration Protocol). DHCP allows hosts to request and obtain an IP address dynamically from a pool of IP addresses configured on a DHCP server. This dynamic assignment helps in efficient management of IP addresses within a network.,['https://www.geeksforgeeks.org/computer-network-dhcp-dynamic-host-configuration-protocol/'],1,grad_TCP,1,0.9999974223173222
