Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Transport layer
b. Session layer
c. Data link layer
d. Presentation layer
",,b,b,,"The Session layer, which is Layer 5 of the OSI model, is responsible for establishing, managing, and terminating connections between applications on different devices. It provides the control structure for communication between applications, including the establishment, maintenance, and termination of sessions. Therefore, option b is correct.",['https://www.ibm.com/docs/en/networkmanager/4.2.0?topic=concepts-session-layer-osi-model'],1,Computer_Networking,1,0.9999380608083109
2,Which model defines seven layers of networking protocols? Choose only one.,"a. OSI model
b. DoD model
c. TCP/IP model
d. Ethernet model
",,a,a,,"The OSI (Open Systems Interconnection) model defines a networking framework to implement protocols in seven layers. This model was developed by the International Organization for Standardization (ISO). It includes the Application, Presentation, Session, Transport, Network, Data Link, and Physical layers. The DoD (Department of Defense) model, also known as the TCP/IP model, consists of four layers, and the Ethernet model refers to a family of computer networking technologies for local area networks, which is not defined in layers like the OSI model. Therefore, option a is correct.","['https://www.lifewire.com/osi-model-816290', 'https://www.webopedia.com/definitions/osi-model/']",1,Computer_Networking,1,0.9996308859893444
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,d,d,,"A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on an organization's previously established security policies. At its most basic, a firewall is essentially the barrier that sits between a private internal network and the public Internet. The primary purpose of a firewall is to control the flow of traffic and to protect the network from unauthorized access and other security threats. Therefore, option d is correct.",['https://www.cisco.com/c/en/us/products/security/firewalls/what-is-a-firewall.html'],1,Computer_Networking,1,0.9999213734712276
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"A router is the device responsible for determining the best path for data packets to travel across multiple networks. Routers are designed to connect multiple networks together and manage traffic between them by using routing tables and protocols to find the most efficient path for data transmission. Network switches operate within a single network to connect devices and manage traffic within that network. Modems are used to modulate and demodulate signals for communication over telephone lines and do not determine packet paths. Bridges are used to connect two separate networks at the data link layer but do not determine the best path across multiple networks. Therefore, option b is correct.","['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/routing-switching.html', 'https://www.lifewire.com/what-is-a-router-2618162']",1,Computer_Networking,1,0.999856064459714
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,a,a,,"A bus topology consists of a single communication line, often referred to as a backbone, to which all devices are directly connected. This topology uses a broadcast channel where each connected device has the capability to listen to the line (bus) and can 'see' all data transmitted. No device has exclusive access to the bus; rather, all devices share it. The other topologies mentioned have different structures: a star topology has all devices connected to a central hub, a ring topology connects devices in a circular fashion, and a mesh topology involves devices connected with many redundant interconnections. Therefore, option a is correct.","['https://www.computerhope.com/jargon/b/bustopol.htm', 'https://www.geeksforgeeks.org/bus-topology-computer-network/']",1,Computer_Networking,1,0.9997004519934655
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"The star topology requires the least amount of cabling because each node is connected to a central device (like a switch or hub) with just one cable. It is also easy to set up because adding or removing nodes involves working with only the connection between that node and the central device. However, if the central device fails, the entire network becomes inaccessible because all nodes depend on it for communication. Therefore, option b is correct.",['https://www.computerhope.com/jargon/s/star-topo.htm'],1,Computer_Networking,1,0.9999603507610518
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Repeater
",,a,a,,"A network switch is used to create logical network segments, often referred to as VLANs (Virtual Local Area Networks), which can improve network performance by reducing congestion. By segmenting the network, switches can reduce the amount of broadcast traffic on a single network segment, thus reducing congestion and improving overall network efficiency. Routers, modems, and repeaters do not segment a network into different logical networks; routers route traffic between different networks, modems modulate and demodulate signals for communication over telephone lines, and repeaters simply regenerate and amplify signals to extend the reach of a network signal. Therefore, the correct answer is a network switch.","['https://www.cisco.com/c/en/us/support/docs/lan-switching/vlan/10558-21.html', 'https://www.networkworld.com/article/2279738/what-is-a-network-switch-as-compared-to-a-router.html']",1,Computer_Networking,1,0.9997054570662895
9,The DoD model is commonly known as the:,"a. Four-layer model
b. Five-layer model
c. Six-layer model
d. Seven-layer model
",,a,a,,"The Department of Defense (DoD) model, also known as the TCP/IP model, is commonly known as the Four-layer model. It consists of the following layers: Process/Application Layer, Host-to-Host/Transport Layer, Internet Layer, and Network Access/Link Layer. Therefore, option a is correct.","['https://www.omnisecu.com/tcpip/tcpip-model.php', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",1,Computer_Networking,1,0.9992249766858344
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Network layer
b. Data link layer
c. Transport layer
d. Physical layer
",,a,a,,"The Network layer, which is Layer 3 of the OSI model, is responsible for addressing, routing, and the logical delivery of packets across the network. It handles the routing of packets through intermediate routers and is concerned with logical addressing, which enables any host on the network to be identified. The Internet Protocol (IP) is a primary protocol that operates at this layer. Therefore, option a is correct.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-the-osi-model.html', 'https://www.ibm.com/cloud/learn/osi-model']",1,Computer_Networking,1,0.9999461661890916
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,"The Presentation layer of the OSI model, which is layer 6, is responsible for the translation, encryption, and compression of data. When it comes to secure communication, the Presentation layer is the one that provides the encryption and decryption services necessary to maintain privacy and integrity of the data being transmitted. Therefore, option a is correct.",['https://www.techtarget.com/searchnetworking/definition/Presentation-Layer'],1,Computer_Networking,1,1.0
12,Which device can be used to connect two or more network segments together and extend the reach of a network? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,d,d,,"A bridge is used to connect two or more network segments, making them act as a single network. It operates at the data link layer (Layer 2) of the OSI model and can extend the reach of a network by filtering, forwarding, or flooding the traffic based on the MAC addresses. While switches and routers can also connect network segments, they serve different purposes and operate at different layers; switches at Layer 2 to connect devices in the same network and routers at Layer 3 to route traffic between different networks. Modems modulate and demodulate signals for communication over telephone lines and are not primarily used to connect network segments. Therefore, the best answer is d, bridge.","['https://www.computerhope.com/jargon/b/bridge.htm', 'https://www.techopedia.com/definition/2339/bridge-networking']",1,Computer_Networking,0.95,0.9998955086436021
13,Which device can perform Network Address Translation (NAT) to allow multiple devices on a private network to share a single public IP address? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Bridge
",,b,b,,"Network Address Translation (NAT) is a process used by routers to translate private IP addresses to a public IP address and vice versa. This allows multiple devices on a private network to share a single public IP address when accessing the internet. While modems can connect to the internet and switches can connect multiple devices on a network, they do not typically perform NAT. Bridges are used to segment networks and do not handle IP addressing. Therefore, the correct answer is b, the router.","['https://www.cisco.com/c/en/us/support/docs/ip/network-address-translation-nat/4606-8.html', 'https://en.wikipedia.org/wiki/Network_address_translation']",1,Computer_Networking,1,0.9999037328639782
14,"Which network topology provides redundant connections between devices, ensuring multiple paths for data transmission? Choose only one.","a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,d,d,,"Mesh topology is a network topology in which each device is connected to every other device on the network. This creates multiple pathways for data to travel from one device to another, providing redundancy. If one path fails, data can be rerouted through another path, enhancing the network's fault tolerance. Therefore, option d is correct.","['https://www.computerhope.com/jargon/m/meshtopo.htm', 'https://en.wikipedia.org/wiki/Network_topology#Mesh']",1,Computer_Networking,1,0.9999841908319662
15,Which network topology uses a central device that connects all devices in a star-like fashion? Choose only one.,"a. Bus topology
b. Star topology
c. Ring topology
d. Mesh topology
",,b,b,,"A star topology is a network topology where each device on the network is connected to a central device, such as a hub, switch, or router. This central device acts as a signal repeater. The star topology is so named because the diagram of the network resembles a star with nodes radiating out from the central node. The central device in a star topology manages and controls all traffic in the network. Therefore, option b is correct.","['https://www.computerhope.com/jargon/s/star-topo.htm', 'https://www.geeksforgeeks.org/star-topology-in-computer-networks/']",1,Computer_Networking,1,0.9999477157538689
16,Which device is primarily used to connect multiple devices within a local area network (LAN)? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Hub
",,a,a,,"A network switch is the device primarily used to connect multiple devices within a local area network (LAN). It operates at the data link layer (Layer 2) of the OSI model and is used to receive, process, and forward data to the destination device within the LAN. Routers (option b) are used to connect multiple networks together and route traffic between them. Modems (option c) modulate and demodulate signals for communication over telephone lines and are not primarily used to connect multiple devices in a LAN. Hubs (option d) are older devices that were used like switches but are less efficient because they broadcast data to all ports rather than directing it to the specific destination. Therefore, the correct answer is option a.","['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/network-switch-vs-router.html', 'https://www.geeksforgeeks.org/difference-between-hub-and-switch/']",1,Computer_Networking,1,0.9999008722634788
17,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Presentation layer
b. Session layer
c. Application layer
d. Physical layer
",,a,a,,"The Presentation layer of the OSI model is responsible for the translation, encryption, and compression of data. When it comes to secure communication, this layer is where data encryption and decryption occur, ensuring that the information sent over the network is unreadable to unauthorized parties. Therefore, option a is correct.","['https://www.cloudflare.com/learning/ddos/glossary/open-systems-interconnection-model-osi/', 'https://www.ibm.com/docs/en/aix/7.2?topic=protocols-presentation-layer']",1,Computer_Networking,0.99,0.9998304433663511
18,Which device operates at Layer 2 of the OSI model and uses MAC addresses to forward network traffic? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Firewall
",,a,a,,"A network switch operates at Layer 2 of the OSI model, which is the Data Link layer. It uses MAC (Media Access Control) addresses to forward network traffic to the appropriate devices within the same network segment. Routers operate at Layer 3 (Network layer) and use IP addresses to route traffic between different networks. Modems and firewalls can operate at various layers but are not specifically tied to using MAC addresses for forwarding traffic like a switch does. Therefore, option a is correct.","['https://www.cisco.com/c/en/us/support/docs/smb/switches/cisco-200-series-smart-switches/smb5044-layer-2-and-layer-3-switching.html', 'https://www.techopedia.com/definition/26057/network-switch']",1,Computer_Networking,1,0.9999756083404814
19,Which device provides wireless network connectivity within a local area network (LAN)? Choose only one.,"a. Network switch
b. Router
c. Modem
d. Wireless access point
",,d,d,,"A wireless access point (WAP or AP) is a networking hardware device that allows other Wi-Fi devices to connect to a wired network. It acts as a central transmitter and receiver of wireless radio signals. Mainly used in homes, businesses, and public networks, it provides wireless network connectivity within a local area network (LAN). While a router can also provide wireless connectivity, the question specifically asks for the device that provides wireless network connectivity within a LAN, which is directly the function of a wireless access point.","['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/wireless-access-point-vs-router.html', 'https://en.wikipedia.org/wiki/Wireless_access_point']",1,Computer_Networking,0.95,0.9998681023692575
20,Which network protocol is used for remote login and command execution on network devices? Choose only one.,"a. DHCP
b. DNS
c. FTP
d. Telnet
",,d,d,,"Telnet is the network protocol used for remote login and command execution on network devices. It allows a user on one computer to log into another computer that is part of the same network, and it is often used for managing network devices such as routers and switches. DHCP is used for dynamic IP address allocation to devices on a network. DNS is used for translating domain names to IP addresses. FTP is used for transferring files between systems on a network. Therefore, option d is correct.","['https://www.ibm.com/docs/en/zos/2.3.0?topic=protocols-telnet-protocol', 'https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.techtarget.com/searchnetworking/definition/DHCP', 'https://www.techtarget.com/searchnetworking/definition/FTP']",1,Computer_Networking,1,0.9999130299021183
21,Which network protocol is responsible for error reporting and diagnostics in IP networks? Choose only one.,"a. ARP
b. DHCP
c. ICMP
d. NAT
",,c,c,,"ICMP, or Internet Control Message Protocol, is used by network devices, like routers, to send error messages and operational information indicating success or failure when communicating with another IP address, for instance, an unreachable network, a lost packet, or to relay query messages. It is not used to transfer data but is instead used for diagnostics and generating error reports. Therefore, option c is correct.",['https://www.cloudflare.com/learning/ddos/glossary/internet-control-message-protocol-icmp/'],1,Computer_Networking,1,0.9999146986083706
23,Which network protocol is used for time synchronization in a network? Choose only one.,"a. ARP
b. DHCP
c. NTP
d. NAT
",,c,c,,"The Network Time Protocol (NTP) is used for time synchronization between computers on a network. NTP is designed to synchronize the clocks of computers over a network to a common time reference. Therefore, option c is the correct answer.","['https://www.ntp.org/', 'https://en.wikipedia.org/wiki/Network_Time_Protocol']",1,Computer_Networking,1,0.9998720355781452
25,What is the maximum number of IP addresses that can be assigned in a /26 subnet? Choose only one.,"a. 30
b. 62
c. 126
d. 254
",,b,b,,"A /26 subnet has a subnet mask of 255.255.255.192, which means that 26 bits are used for the network part and the remaining 6 bits are used for the host part. 2^6 equals 64 possible addresses. However, similar to the Class C network, 2 addresses are reserved: one for the network address and one for the broadcast address. Therefore, the maximum number of usable IP addresses is 64 - 2 = 62. Hence, option b is correct.","['https://www.calculator.net/ip-subnet-calculator.html', 'https://en.wikipedia.org/wiki/Subnetwork']",1,Computer_Networking,1,0.9993288966906271
26,What is the purpose of the subnet mask in TCP/IP networking? Choose only one.,"a. To identify the network address
b. To identify the broadcast address
c. To determine the number of available hosts
d. To define the range of assignable IP addresses
",,a,a,,"The subnet mask in TCP/IP networking is used to determine what portion of an IP address is the network address and what portion is the host address. By applying the subnet mask to an IP address through a bitwise AND operation, the network address can be isolated from the host address. The subnet mask itself does not directly identify the broadcast address, determine the number of available hosts, nor define the range of assignable IP addresses, although it is related to these concepts as it helps in determining the network's structure. Therefore, option a is correct.","['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://www.techtarget.com/searchnetworking/definition/subnet-mask']",1,Computer_Networking,0.95,0.8699492868582681
27,How many bits are used to represent an IPv6 address? Choose only one.,"a. 32 bits
b. 64 bits
c. 128 bits
d. 256 bits
",,c,c,,"IPv6 addresses are 128 bits in length, divided into eight groups of 16 bits each. This allows for a significantly larger number of unique IP addresses compared to IPv4, which uses 32-bit addresses. Therefore, the correct answer is option c.",['https://en.wikipedia.org/wiki/IPv6'],1,Computer_Networking,1,0.9999764427474764
28,"Which transport protocol is commonly used for web browsing, file transfer, and email communication?","a. TCP
b. UDP
",,a,a,,"TCP, or Transmission Control Protocol, is the transport protocol commonly used for web browsing (HTTP/HTTPS), file transfer (FTP), and email communication (SMTP, POP3, IMAP). TCP is a connection-oriented protocol that ensures reliable data transmission between sender and receiver, which is crucial for these types of applications. UDP, or User Datagram Protocol, is less commonly used for these purposes because it is a connectionless protocol and does not guarantee delivery, order, or error checking. Therefore, for web browsing, file transfer, and email communication, TCP is the preferred protocol.","['https://www.cloudflare.com/learning/ddos/glossary/tcp-ip/', 'https://www.cloudflare.com/learning/ddos/glossary/user-datagram-protocol-udp/']",1,Computer_Networking,1,0.9994136576658903
29,Which transport protocol is commonly used for streaming media and real-time communication?,"a. TCP
b. UDP
",,b,b,,"UDP (User Datagram Protocol) is commonly used for streaming media and real-time communication because it allows for faster transmission of data by not requiring a handshake protocol like TCP (Transmission Control Protocol) does. UDP does not guarantee delivery, order, or error checking, which is acceptable for applications like streaming where occasional packet loss is preferable to the delay that would be caused by waiting for retransmission. Therefore, for applications that require timely delivery of data, such as streaming media, online games, and VoIP, UDP is often the preferred choice.","['https://www.cloudflare.com/learning/ddos/glossary/user-datagram-protocol-udp/', 'https://www.lifewire.com/user-datagram-protocol-817976']",1,Computer_Networking,1,0.9999447358231209
