Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,b",,"In a spoofing attack, the most commonly spoofed parameters are the source IP address and the MAC address. Attackers often spoof source IP addresses to make their network traffic appear as though it is coming from a trusted, legitimate source, thereby bypassing IP-based security measures. MAC address spoofing can be used to impersonate another device on the local network, allowing the attacker to intercept, modify, or block communications between devices. The ARP address is not a correct term; it is likely a confusion with the ARP table or ARP cache, which can be poisoned but is not directly spoofed. Spoofing a routing table or destination IP address is not typically referred to as spoofing; instead, it involves altering routing information or redirecting traffic, which could be part of a route manipulation or a man-in-the-middle attack, respectively. The ARP table can be poisoned in an ARP spoofing attack, but the table itself is not spoofed; rather, it is the ARP messages that are spoofed to poison the table.","['https://en.wikipedia.org/wiki/IP_address_spoofing', 'https://en.wikipedia.org/wiki/MAC_spoofing', 'https://en.wikipedia.org/wiki/ARP_spoofing']",1,chapter8_security_fundamentals,0.95,0.9618285478004536
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,"AAA servers, which stand for Authentication, Authorization, and Accounting, commonly support the protocol TACACS+ (Terminal Access Controller Access-Control System Plus) and RADIUS (Remote Authentication Dial-In User Service) to communicate with enterprise resources. Both TACACS+ and RADIUS are protocols used for network access authentication and accounting, but they are different in terms of how they encrypt data and their flexibility in carrying authentication data. DHCP (Dynamic Host Configuration Protocol) is used for dynamically distributing network configuration parameters, such as IP addresses. ARP (Address Resolution Protocol) is used for mapping IP network addresses to the hardware addresses used by a data link protocol. HTTP (Hypertext Transfer Protocol) is used for transmitting hypermedia documents, such as HTML. It is not directly used for AAA purposes.","['https://en.wikipedia.org/wiki/TACACS', 'https://en.wikipedia.org/wiki/RADIUS', 'https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol', 'https://en.wikipedia.org/wiki/Address_Resolution_Protocol', 'https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol']",1,chapter8_security_fundamentals,1,0.9999366304579342
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,d,,"Option D is the correct answer. The commands listed in option D correctly follow the requirements given. First, you enter global configuration mode with 'configure terminal'. Then you select the correct interface with 'interface FastEthernet0/1'. Next, you set the interface to access mode with 'switchport mode access'. After that, you enable port security with 'switchport port-security'. Finally, you specify the allowed MAC address with 'switchport port-security macaddress 0200.1111.2222'. Option A incorrectly references FastEthernet0/2 instead of FastEthernet0/1. Option B is missing the command to specify the MAC address. Option C specifies an incorrect MAC address.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750/software/release/12-2_55_se/configuration/guide/scg3750/swtrafc.html#wp1038546'],1,chapter8_security_fundamentals,1,0.9999480733442354
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"C is the correct answer. DoS, or Denial of Service attacks, are designed to make a machine or network resource unavailable to its intended users by overwhelming the services of a host connected to the internet. This is typically done through the inundation of the target with superfluous requests in an attempt to overload systems and prevent some or all legitimate requests from being fulfilled. Spoofing (a) is a technique used to gain unauthorized access to computers, wherein the intruder sends messages to a computer with an IP address indicating that the message is coming from a trusted host. Phishing (b) is a method of trying to gather personal information using deceptive e-mails and websites. SQL injection (d) is a code injection technique used to attack data-driven applications, in which malicious SQL statements are inserted into an entry field for execution.","['https://en.wikipedia.org/wiki/Denial-of-service_attack', 'https://en.wikipedia.org/wiki/IP_address_spoofing', 'https://en.wikipedia.org/wiki/Phishing', 'https://en.wikipedia.org/wiki/SQL_injection']",1,chapter8_security_fundamentals,1,0.9999851444463448
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"D is the correct answer. A Trojan, or Trojan horse, is a type of malicious software that disguises itself as legitimate software. Users are tricked into loading and executing Trojans on their systems. Once activated, Trojans can enable cyber-criminals to spy on you, steal your sensitive data, and gain backdoor access to your system. Unlike viruses and worms, Trojans do not self-replicate by infecting other files nor do they self-propagate.",['https://www.kaspersky.com/resource-center/threats/trojans'],1,chapter8_security_fundamentals,0.95,0.9999750123381969
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users
",,"b,d","b,d",,DHCP Snooping is a security feature that can be implemented on network switches to protect against rogue DHCP servers by filtering untrusted DHCP messages and building a table of valid IP address/MAC address bindings. Layer 2 switches (b) and Layer 3 switches (d) can support DHCP Snooping. Hubs (a) do not have the intelligence to implement DHCP Snooping as they are not managed devices. Routers (c) can act as DHCP servers but are not typically where DHCP Snooping is implemented. Access Points (e) can provide network access but are not the usual place for DHCP Snooping. End users (f) are not devices that implement DHCP Snooping.,"['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/snoodhcp.html', 'https://en.wikipedia.org/wiki/DHCP_snooping']",1,chapter8_security_fundamentals,0.95,0.9996982252701566
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"C is the correct answer. Contextual awareness is the feature within Cisco Firepower Next-Generation Intrusion Prevention System (NGIPS) that provides insights into users, applications, devices, threats, and vulnerabilities in the network. This feature allows the system to collect a wealth of data from the network, which is then used to make more informed decisions about security policies and threat detection. Granular application visibility and control (option B) is related but is more about managing and controlling application use rather than providing insights. Security automation (option A) and superior effectiveness (option D) are broader terms related to the overall functionality of the system, but they do not specifically provide insights into users, applications, devices, threats, and vulnerabilities.","['https://www.cisco.com/c/en/us/products/security/firepower-ngips/index.html', 'https://www.cisco.com/c/dam/en/us/products/collateral/security/ngips/solution-overview-c22-736842.pdf']",1,chapter8_security_fundamentals,0.95,0.9994764138191089
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,"A brute-force attack is a trial-and-error method used to obtain information such as a user password or personal identification number (PIN). In this attack, automated software is used to generate a large number of consecutive guesses to gain unauthorized access to a system. The other options listed (making a server unavailable, spoofing IP addresses, and altering a routing table) are not typically achieved through brute-force attacks but rather through other types of attacks such as DoS/DDoS attacks, IP spoofing, and routing attacks respectively.",['https://en.wikipedia.org/wiki/Brute-force_attack'],1,chapter8_security_fundamentals,0.95,0.9998964621704111
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,"Social engineering attacks indeed rely on human interactions and exploit psychological manipulation. Attackers deceive individuals into breaking normal security procedures, often by impersonating others or creating a sense of urgency, to gain sensitive information or access to systems.","['https://www.cisa.gov/uscert/ncas/tips/ST04-014', 'https://en.wikipedia.org/wiki/Social_engineering_(security)']",1,chapter8_security_fundamentals,1,0.9998995611443197
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"C is the correct answer. Whaling is a specific type of phishing attack that targets high-profile individuals such as the CEO or CFO of a company. The term 'whaling' is used because it refers to the 'big fish' targets, implying that these individuals have a higher level of access or more valuable information than the average employee. While social engineering is a broader category of manipulative tactics that can include whaling, and phishing is a technique that often involves sending fraudulent emails to trick individuals into revealing sensitive information, whaling is the term that specifically refers to attacks against high-profile individuals.","['https://www.cisco.com/c/en/us/products/security/what-is-phishing.html', 'https://us.norton.com/internetsecurity-emerging-threats-whaling-cyber-security.html']",1,chapter8_security_fundamentals,0.95,0.9999694099178861
