Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"IP (Internet Protocol) is a network layer (layer 3) protocol in both the five-layer TCP/IP model and the seven-layer OSI model. It is responsible for logical addressing and routing of packets across networks. Ethernet is a data link layer (layer 2) protocol, while UDP (User Datagram Protocol) and TCP (Transmission Control Protocol) are transport layer (layer 4) protocols.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://www.techtarget.com/searchnetworking/definition/IP-address-Internet-Protocol-address']",1,google_1_basics_computer_networking,1,0.9999920581810364
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,"In the five-layer TCP/IP model, the application layer is the topmost layer (layer 5) and is where end-user software operates. A browser is an example of an application layer program because it enables users to interact with the World Wide Web, which is an application layer service.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://developer.mozilla.org/en-US/docs/Web/HTTP/Browser_detection_using_the_user_agent']",1,google_1_basics_computer_networking,1,0.9998123313119718
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The physical layer of the five-layer TCP/IP model (equivalent to Layer 1 of the OSI model) deals with the physical aspects of network communication, which includes cabling, connectors, and the electrical signals that traverse the physical medium.","['https://www.techtarget.com/searchnetworking/definition/physical-layer', 'https://en.wikipedia.org/wiki/Physical_layer']",1,google_1_basics_computer_networking,1,0.9999371072378327
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,A router operates on the network layer of the TCP/IP model. This layer is responsible for determining the best path to route packets from the source to the destination across multiple networks.,"['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html']",1,google_1_basics_computer_networking,1,0.9999957534720165
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,d,,Ethernet standards and some wireless technologies operate at the Data Link layer of the OSI model. The Data Link layer is responsible for node-to-node data transfer and for detecting and possibly correcting errors that may occur in the Physical layer.,"['https://en.wikipedia.org/wiki/Data_link_layer', 'https://www.techopedia.com/definition/26094/data-link-layer']",1,google_1_basics_computer_networking,1,0.9999865748701179
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch allows connections from many devices and has the capability to inspect the contents of Ethernet frames to determine the destination of the packets, which allows it to direct the traffic appropriately to the correct port.","['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/ethernet-switches.html', 'https://www.networkworld.com/article/2287045/understanding-switches.html']",1,google_1_basics_computer_networking,0.95,0.9999428286693428
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network. It is a network that connects computers and other devices in a relatively small area, typically a single building or a group of buildings.",['https://en.wikipedia.org/wiki/Local_area_network'],1,google_1_basics_computer_networking,1,0.9999957534720165
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,A router is a device that forwards data packets along networks. It is connected to at least two networks and determines the best path for data packets to travel across networks. It operates at the network layer (Layer 3) of the OSI model.,"['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/what-is-a-router.html', 'https://en.wikipedia.org/wiki/Router_(computing)']",1,google_1_basics_computer_networking,1,0.9999431862619615
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,d,,"In the context of computer networks, a server is a system that provides data or services to other computers or clients that request it. Therefore, the correct option is 'Something providing data to something requesting the data'.",['https://en.wikipedia.org/wiki/Server_(computing)'],1,google_1_basics_computer_networking,1,0.9999491461231023
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,"Copper cables use electrical signals to transmit data, which involve voltage changes that are interpreted as binary ones and zeros by the receiving device. This is the principle behind the operation of traditional Ethernet cables, such as twisted pair cabling.","['https://www.electronics-notes.com/articles/connectivity/ethernet-ieee-802-3/copper-cable-types.php', 'https://en.wikipedia.org/wiki/Copper_wire_and_cable']",1,google_1_basics_computer_networking,0.95,0.9999640459343629
