Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
46,What transport layer protocol does DNS normally use?,"a. TCP
b. IP
c. UDP
d. ICMP
",,c,c,,"DNS normally uses the User Datagram Protocol (UDP) for transporting queries and responses between DNS clients and servers. UDP is the preferred protocol because it is faster than TCP, as it does not require establishing a connection before sending data. However, DNS can also use TCP for zone transfers and for queries that exceed the UDP size limit.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://en.wikipedia.org/wiki/Domain_Name_System']",1,google_4_networking_serices,0.95,0.9999905085465441
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many DNS resolutions can take place before the IP has to change.
c. How many steps there are in the resolution process.
d. How long a DNS entry is allowed to be cached.
",,d,d,,"The DNS TTL (Time To Live) determines how long a DNS entry can be cached by a DNS resolver or a client's system before it must be discarded or refreshed. It is not related to the physical distance, the number of resolutions, or the steps in the resolution process.","['https://www.cloudflare.com/learning/dns/dns-records/dns-ttl/', 'https://en.wikipedia.org/wiki/Time_to_live#DNS_records']",1,google_4_networking_serices,1,0.9998915753383786
48,How many root servers are there?,"a. 16
b. 8
c. 13
d. 17
",,c,c,,"There are 13 root servers in the Domain Name System (DNS), identified by the letters A through M. These servers are strategically placed around the world and are operated by various organizations.","['https://www.iana.org/domains/root/servers', 'https://en.wikipedia.org/wiki/Root_name_server']",1,google_4_networking_serices,1,0.9999484309397297
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Easier for humans to remember website names.
b. Easy for the node to find the network ID.
c. Allows administrative changes to happen seamlessly.
d. Small routing tables.
",,"a,c","a,c",,"Domain Name Resolution (DNS) translates human-readable domain names into IP addresses, which are easier for humans to remember than numerical IP addresses. Additionally, it allows administrative changes such as changing the IP address of a server to happen seamlessly from the user's perspective, as the domain name remains the same even if the underlying IP changes. DNS does not directly affect the size of routing tables or help a node find the network ID, which is related to IP addressing and subnetting.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.icann.org/resources/pages/benefits-2012-02-25-en']",1,google_4_networking_serices,0.95,0.9984735680840818
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. IP addresses
b. DNS server
c. name resolution
d. ARP table lookup
",,c,c,,The process of converting domain names into IP addresses is known as name resolution. This is the primary function of the Domain Name System (DNS).,"['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://en.wikipedia.org/wiki/Domain_Name_System']",1,google_4_networking_serices,1,0.9999928926002577
51,An A Record contains what?,"a. An SOA
b. An IPv4 address
c. An IPv6 address
d. A CNAME
",,b,b,,"An A Record, or Address Record, in the Domain Name System (DNS) maps a domain name to an IPv4 address, allowing users to access websites using human-readable names instead of IP addresses.","['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/', 'https://en.wikipedia.org/wiki/List_of_DNS_record_types']",1,google_4_networking_serices,1,0.9999706019221319
52,MX stands for ________.,"a. Mail exchange
b. Meta exchange
c. Micro exchange
d. Micro extreme
",,a,a,,MX stands for Mail Exchange. MX records are DNS records that are necessary for delivering email to your address. They specify the mail server responsible for accepting email messages on behalf of a domain name.,['https://en.wikipedia.org/wiki/MX_record'],1,google_4_networking_serices,1,0.9999824028078323
53,A fully qualified domain name can contain how many characters?,"a. 255
b. 127
c. 64
d. 63
",,a,a,,"A fully qualified domain name (FQDN) can contain up to 255 characters, including the dots that separate the domain levels. This limit is defined by the specifications for DNS (Domain Name System).",['https://www.rfc-editor.org/rfc/rfc1035'],1,google_4_networking_serices,1,0.9999978991308068
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Quad A record
b. CNAME
c. Cycling records
d. Round robin
",,d,d,,"Round robin is a technique used in DNS to balance the load across multiple servers (IP addresses) for the same domain. When a DNS server has multiple IP addresses for a single domain name, it can rotate the order in which it provides those addresses to spread the traffic evenly across the servers.","['https://www.cloudflare.com/learning/dns/glossary/round-robin-dns/', 'https://en.wikipedia.org/wiki/Round-robin_DNS']",1,google_4_networking_serices,1,0.9999686947220204
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. NS record
c. FQDN
d. SOA
",,"a,b,d","a,b,d",,"A Zone File is used by DNS servers to resolve domain names to IP addresses. It typically contains A records (mapping hostnames to IPv4 addresses), NS records (name server records, indicating the servers that have authority for the domain), and an SOA record (Start of Authority, which provides information about the domain and the corresponding DNS zone). FQDN (Fully Qualified Domain Name) is a complete domain name for a specific computer, or host, on the Internet, but it is not a part of the Zone File itself; rather, it is represented within the Zone File by A records and other types of records.","['https://en.wikipedia.org/wiki/Zone_file', 'https://www.cloudflare.com/learning/dns/dns-records/dns-zone-file/']",1,google_4_networking_serices,0.95,0.8506317668665226
