Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
91,Which of the following have examples of parallel composition? Select all that apply.,"a. Perform load balancing on any traffic that arrives from prefix 130.207.0.0/16 or is destined to port 80.
b. Perform MAC learning on all traffic that is not blocked by a firewall rule.
c. Count all port 80 traffic.
d. Block all traffic whose source IP address is contained in a list of blocked IP addresses.
e. Load balance traffic across multiple destination IP addresses and perform routing to the resulting destination IP addresses.
",,"a,c,d","a,e",,a. Performing load balancing on traffic from a specific prefix or destined to a specific port involves parallel composition as the load balancing operation can be done independently for each condition mentioned in parallel. This is an example of parallel composition. e. Load balancing traffic across multiple destination IP addresses and performing routing to these destinations is another example of parallel composition where the load balancing and routing tasks can be done concurrently for different IP addresses. This scenario demonstrates parallel composition.,[],0,12_programming_SDNs,0.9,0.9224378228902103
92,Which of the following is the appropriate Pyretic rule for matching traffic that sends packets from either 10.0.0.1 or 10.0.0.2 to IP address 1.2.3.4?,"a. (match(srcip=10.0.0.1) >> match(srcip=10.0.0.2)) + mod(dstip=1.2.3.4)
b. (match(srcip=10.0.0.1) + match(srcip=10.0.0.2)) + mod(dstip=1.2.3.4)
c. (match(srcip=10.0.0.1) + match(srcip=10.0.0.2)) >> mod(dstip=1.2.3.4)
d. (match(srcip=10.0.0.1) >> (match(srcip=10.0.0.2) >> mod(dstip=1.2.3.4))
e. (match(srcip=10.0.0.1) >> match(srcip=10.0.0.2)) >> mod(dstip=1.2.3.4)
",,c,c,,The appropriate Pyretic rule for matching traffic that sends packets from either 10.0.0.1 or 10.0.0.2 to IP address 1.2.3.4 is to use 'match' for both source IP addresses and then use '>>' to apply the modification of the destination IP address. Option c achieves this by matching both source IP addresses and then modifying the destination IP address.,['https://github.com/frenetic-lang/pyretic/wiki/Tutorial#querying-and-modifying-packet-headers'],1,12_programming_SDNs,1,0.9999578475844381
93,Which of the following is the appropiate Pyretic rule for sending traffic from source IP address 10.0.0.1 to destination IP address 10.1.2.3 and traffic from source IP address 10.0.0.2 to destination IP address 10.2.3.4?,"a. (match(srcip=10.0.0.1) + mod(dstip=10.1.2.3)) + (match(srcip=10.0.0.2)  + mod(dstip=10.2.3.4))
b. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) + (match(srcip=10.0.0.2) >> mod(dstip=10.2.3.4))
c. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) >> (match(srcip=10.0.0.2) >>mod(dstip=10.2.3.4))
d. (match(srcip=10.0.0.1) + mod(dstip=10.1.2.3)) >> (match(srcip=10.0.0.2) + mod(dstip=10.2.3.4))
e. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) & (match(srcip=10.0.0.2)  >> mod(dstip=10.2.3.4))
",,b,a,,The appropriate Pyretic rule for sending traffic from source IP address 10.0.0.1 to destination IP address 10.1.2.3 and traffic from source IP address 10.0.0.2 to destination IP address 10.2.3.4 should be a combination of match and mod actions for each pair of IP addresses. Option 'a' correctly combines the match and mod actions for both pairs of IP addresses.,[],0,12_programming_SDNs,1,0.5558941947792383
21,Please select all of the valid IP addresses. Check all that apply.,"a. 257.70.312.49
b. 123.456.123.456
c. 192.168.1.1
d. 8.8.8.8
",,"c,d","c,d",,"Option c (192.168.1.1) and option d (8.8.8.8) are valid IP addresses. They both consist of four octets separated by periods, with each octet ranging from 0 to 255, which is the standard format for IPv4 addresses.",['https://www.cloudflare.com/learning/ddos/glossary/ip-address/'],1,google_2_networking_layer,1,0.9999994935711483
27,Which of the following is a correct form of CIDR notation?,"a. 192.168.1.0 + 255.255.255.0
b. 192.168.1.0:24
c. 192.168.1.0/24
d. 192.168.1.0\24
",,c,c,,"The correct form of CIDR (Classless Inter-Domain Routing) notation combines an IP address with a prefix length indicated by '/'. For example, 192.168.1.0/24 represents the IP address 192.168.1.0 with a subnet mask of 255.255.255.0.",['https://www.cloudflare.com/learning/ddos/glossary/classless-interdomain-routing-cidr/'],1,google_2_networking_layer,1,0.9999827604126034
29,"Consider the following scenario: Your IP address is 192.168.8.34, and your subnet mask is 255.255.0.0. What part of the subnet mask represents the subnet ID?","a. 255.255.0.1
b. The last two octets of the subnet mask, 0.0
c. The first two octets of the subnet mask, 255.255
d. 192.168.0.254
",,c,c,,"In this scenario, the subnet mask 255.255.0.0 has the first two octets (255.255) representing the subnet ID. The subnet ID is used to identify the specific subnet within the larger network.",['https://www.techopedia.com/definition/5332/subnet-id'],1,google_2_networking_layer,1,0.9993635366287932
35,Which of the following are non-routable IP addresses? (Select all that apply),"a. 9.0.0.0
b. 172.16.0.0/12
c. 10.0.0.0/8
d. 192.168.0.0/16
",,"b,c,d","b,c,d",,"The non-routable IP address ranges are reserved for private networks and are not routable on the public internet. These ranges are: b. 172.16.0.0/12, c. 10.0.0.0/8, and d. 192.168.0.0/16.","['https://www.arin.net/knowledge/address_filters.html', 'https://www.cloudflare.com/learning/network-layer/what-is-a-private-ip/']",1,google_2_networking_layer,1,0.9998064581720365
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,b,,"Option b is the correct choice. To configure port security on interface FastEthernet0/1 on SW-examsD to accept frames only from the MAC 0200.1111.2222, the correct sequence of commands should be used as shown in option b.",[],0,chapter8_security_fundamentals,1,0.5246628044379296
64,Given the following IP address - 20.54.23.3 and subnet mask - 255.255.255.0 choose the subnet ID and the broadcast address from that particular IP.,"a. Subnet ID: 20.54.23.0
Broadcast Address: 20.54.23.255
b. Subnet ID: 20.54.0.0
Broadcast Address: 20.54.0.255
c. Subnet ID: 20.54.0.0
Broadcast Address: 20.54.255.255
d. Subnet ID: 20.54.23.1
Broadcast Address: 20.54.23.255
",,a,a,,"The correct Subnet ID and Broadcast Address are Subnet ID: 20.54.23.0 and Broadcast Address: 20.54.23.255. When performing a bitwise AND operation between the IP address and the subnet mask, we get the network address (Subnet ID). The broadcast address is the last address in the subnet, which is obtained by setting all host bits to 1 in the subnet. In this case, with a subnet mask of 255.255.255.0, the last octet of the IP address (host bits) will all be 1 in the broadcast address.",['https://www.lifewire.com/network-broadcast-address-817376'],1,chapter4_advanced_ipv4_addressing,1,0.9999975415208221
65,The converted binary mask 11111111.11111111.11000000.00000000 to decimal is _______________.,"a. 255.255.192.0
b. 255.255.64.0
c. 255.192.0.0
d. 255.255.255.192
",,a,a,,"The converted binary mask 11111111.11111111.11000000.00000000 translates to 255.255.192.0 in decimal format. Each group of eight 1s in binary translates to 255 in decimal. Therefore, 11111111 is 255, and 11000000 is 192. The zeros in the binary mask represent 0 in decimal.",[],1,chapter4_advanced_ipv4_addressing,1,0.999988005296937
66,The converted binary mask 11111111.11100000.00000000.00000000 to decimal is _______________.,"a. 255.255.255.224
b. 255.255.224.0
c. 255.224.0.0
d. 255.64.0.0
",,c,a,,"The binary mask 11111111.11100000.00000000.00000000 in decimal is equivalent to 255.255.224.0. Each group of eight 1s in binary translates to 255 in decimal, and each group of eight 0s in binary translates to 0 in decimal.",[],0,chapter4_advanced_ipv4_addressing,1,0.9999851444463448
67,The converted binary mask 11111110.00000000.00000000.00000000 to decimal is _______________.,"a. 255.255.255.254
b. 254.0.0.0
c. 255.254.0.0
d. 255.255.254.0
",,b,a,,"The converted binary mask 11111110.00000000.00000000.00000000 to decimal is 255.255.255.254. In binary form, each octet represents 8 bits. The first octet is 11111110 which translates to 255 in decimal. The rest of the octets are all zeros, representing 0 in decimal, except for the last octet which is 00000010, translating to 2 in decimal. Therefore, the decimal representation is 255.255.255.254.",[],0,chapter4_advanced_ipv4_addressing,1,0.9999974223173222
