Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
91,Which of the following have examples of parallel composition? Select all that apply.,"a. Perform load balancing on any traffic that arrives from prefix 130.207.0.0/16 or is destined to port 80.
b. Perform MAC learning on all traffic that is not blocked by a firewall rule.
c. Count all port 80 traffic.
d. Block all traffic whose source IP address is contained in a list of blocked IP addresses.
e. Load balance traffic across multiple destination IP addresses and perform routing to the resulting destination IP addresses.
",,"a,c,d","a,e",,"Parallel composition in networking, particularly in the context of Software Defined Networking (SDN), refers to the ability to apply multiple network policies or functions simultaneously to network traffic. It implies that these policies can work in tandem without interference. 
a. This option involves applying two different policies (load balancing and filtering based on source prefix or destination port) simultaneously to the traffic, which is an example of parallel composition.
b. MAC learning is a single process that is conditioned by whether the traffic is blocked by the firewall rule or not. This is more of a sequential operation than a parallel composition.
c. Counting traffic is a single action applied to port 80 traffic, which does not imply parallel composition with another policy or action.
d. Blocking traffic from certain IP addresses is a single policy action and does not inherently involve parallel composition with another policy.
e. This option describes applying load balancing and then routing the traffic to the chosen destination IP address. The two policies are applied in parallel to the traffic, which is an example of parallel composition.
Therefore, the correct answers are options a and e, which describe scenarios where multiple network functions are applied to traffic in parallel.","['https://www.sciencedirect.com/topics/computer-science/parallel-composition', 'https://www.ietf.org/archive/id/draft-irtf-sdnrg-layer-terminology-01.txt']",0,12_programming_SDNs,0.95,0.6237178941785427
92,Which of the following is the appropriate Pyretic rule for matching traffic that sends packets from either 10.0.0.1 or 10.0.0.2 to IP address 1.2.3.4?,"a. (match(srcip=10.0.0.1) >> match(srcip=10.0.0.2)) + mod(dstip=1.2.3.4)
b. (match(srcip=10.0.0.1) + match(srcip=10.0.0.2)) + mod(dstip=1.2.3.4)
c. (match(srcip=10.0.0.1) + match(srcip=10.0.0.2)) >> mod(dstip=1.2.3.4)
d. (match(srcip=10.0.0.1) >> (match(srcip=10.0.0.2) >> mod(dstip=1.2.3.4))
e. (match(srcip=10.0.0.1) >> match(srcip=10.0.0.2)) >> mod(dstip=1.2.3.4)
",,c,c,,"In Pyretic, the '+' operator is used to express a logical OR between two match conditions, and the '>>' operator is used to express a sequence of actions. In this case, we want to match packets coming from either 10.0.0.1 or 10.0.0.2, which requires the OR logic, and then modify the destination IP to 1.2.3.4. The correct syntax for this operation is to use '+' to combine the two match conditions and then '>>' to apply the modification action. Therefore, the correct answer is option c.","['https://frenetic-lang.org/pyretic/', 'https://github.com/frenetic-lang/pyretic']",1,12_programming_SDNs,0.95,0.9839366274517841
93,Which of the following is the appropiate Pyretic rule for sending traffic from source IP address 10.0.0.1 to destination IP address 10.1.2.3 and traffic from source IP address 10.0.0.2 to destination IP address 10.2.3.4?,"a. (match(srcip=10.0.0.1) + mod(dstip=10.1.2.3)) + (match(srcip=10.0.0.2)  + mod(dstip=10.2.3.4))
b. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) + (match(srcip=10.0.0.2) >> mod(dstip=10.2.3.4))
c. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) >> (match(srcip=10.0.0.2) >>mod(dstip=10.2.3.4))
d. (match(srcip=10.0.0.1) + mod(dstip=10.1.2.3)) >> (match(srcip=10.0.0.2) + mod(dstip=10.2.3.4))
e. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) & (match(srcip=10.0.0.2)  >> mod(dstip=10.2.3.4))
",,b,b,,"In Pyretic, the '+' operator is used to represent the logical OR operation, and the '>>' operator is used to represent the sequencing of packet processing functions. To specify a rule that sends traffic from a particular source IP to a particular destination IP, you would use the 'match' function to specify the source IP and then sequence ('>>') that with the 'mod' function to modify the destination IP. Therefore, the correct expression for the rule would be to use 'match' and '>>' for both sets of source and destination IPs, and then combine these two rules using the '+' operator, which represents the union of both rules. Option 'b' correctly uses this syntax and semantics.","['https://frenetic-lang.github.io/pyretic/', 'https://www.cs.cornell.edu/~jnfoster/papers/frenetic.pdf']",1,12_programming_SDNs,0.95,0.997618391141313
21,Please select all of the valid IP addresses. Check all that apply.,"a. 257.70.312.49
b. 123.456.123.456
c. 192.168.1.1
d. 8.8.8.8
",,"c,d","c,d",,"Valid IP addresses consist of four octets, each ranging from 0 to 255. Option 'a' has an octet with a value of 257 and another with 312, which are both out of the valid range. Option 'b' has two octets out of range: 456. Options 'c' and 'd' both have octets within the valid range of 0 to 255.",['https://en.wikipedia.org/wiki/IP_address'],1,google_2_networking_layer,1,0.9999998063873687
27,Which of the following is a correct form of CIDR notation?,"a. 192.168.1.0 + 255.255.255.0
b. 192.168.1.0:24
c. 192.168.1.0/24
d. 192.168.1.0\24
",,c,c,,"CIDR (Classless Inter-Domain Routing) notation is a compact representation of an IP address and its associated network mask. CIDR notation uses a slash '/' followed by a number to specify the number of leading bits in the network mask. For example, '192.168.1.0/24' represents the IP address 192.168.1.0 with a subnet mask where the first 24 bits are the network part.","['https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing', 'https://www.rfc-editor.org/rfc/rfc4632']",1,google_2_networking_layer,1,0.9999872900832717
29,"Consider the following scenario: Your IP address is 192.168.8.34, and your subnet mask is 255.255.0.0. What part of the subnet mask represents the subnet ID?","a. 255.255.0.1
b. The last two octets of the subnet mask, 0.0
c. The first two octets of the subnet mask, 255.255
d. 192.168.0.254
",,c,c,,"In a subnet mask, the part that represents the subnet ID is the portion of the mask with all the bits set to 1. In the given subnet mask 255.255.0.0, the first two octets (255.255) are the ones with all bits set to 1, which represent the subnet ID.","['https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://www.techopedia.com/definition/2745/subnet-mask']",1,google_2_networking_layer,1,0.9999882437011058
35,Which of the following are non-routable IP addresses? (Select all that apply),"a. 9.0.0.0
b. 172.16.0.0/12
c. 10.0.0.0/8
d. 192.168.0.0/16
",,"b,c,d","b,c,d",,"Non-routable IP addresses, also known as private IP addresses, are defined by the Internet Assigned Numbers Authority (IANA) and are not intended to be used on the public internet. They are typically used within private networks. The ranges for non-routable (private) IP addresses are 10.0.0.0/8, 172.16.0.0/12, and 192.168.0.0/16. The address 9.0.0.0 is not part of these designated private address ranges and is a public IP address.",['https://www.rfc-editor.org/rfc/rfc1918'],1,google_2_networking_layer,1,0.9999983015357424
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,d,,"Option D is the correct answer. The commands listed in option D correctly follow the requirements given. First, you enter global configuration mode with 'configure terminal'. Then you select the correct interface with 'interface FastEthernet0/1'. Next, you set the interface to access mode with 'switchport mode access'. After that, you enable port security with 'switchport port-security'. Finally, you specify the allowed MAC address with 'switchport port-security macaddress 0200.1111.2222'. Option A incorrectly references FastEthernet0/2 instead of FastEthernet0/1. Option B is missing the command to specify the MAC address. Option C specifies an incorrect MAC address.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750/software/release/12-2_55_se/configuration/guide/scg3750/swtrafc.html#wp1038546'],1,chapter8_security_fundamentals,1,0.9999480733442354
41,Which of the following addresses are not valid Class A network IDs? (Choose all that apply),"a. 1.0.0.0
b. 5.0.0.0
c. 140.0.0.0
d. 127.0.0.0
e. 9.0.0.0
f. 195.0.0.0
",,"c,d,f","c,d,f",,"Class A network addresses range from 1.0.0.0 to 126.0.0.0. Therefore, 140.0.0.0 (c) and 195.0.0.0 (f) are not valid Class A network IDs as they fall outside of this range. The address 127.0.0.0 (d) is also not a valid Class A network ID because it is reserved for loopback addresses. Addresses 1.0.0.0 (a), 5.0.0.0 (b), and 9.0.0.0 (e) are within the Class A range and are therefore valid Class A network IDs.",['https://en.wikipedia.org/wiki/Classful_network'],1,chapter3_ipv4_addressing,1,0.9999821347902547
43,Which of the following addresses are valid Class C network IDs? (Choose two answers),"a. 195.0.0.0
b. 22.22.3.0
c. 222.0.0.0
d. 191.255.255.0
e. 127.0.0.0
",,"a,c","a,d",,"Class C IP addresses range from 192.0.0.0 to 223.255.255.255, where the first three octets (by default) represent the network portion of the IP address, and the last octet represents the host portion. Address 195.0.0.0 falls within the Class C range. Address 191.255.255.0, while it might seem to be Class B due to its first octet, is actually a valid Class C network ID as well, because it's the last network of the Class B range, and the last octet is set to zero, which is typically reserved for the network ID. Choices b and c are Class A addresses, and choice e is a loopback address, not a Class C network ID.",['https://en.wikipedia.org/wiki/Classful_network'],0,chapter3_ipv4_addressing,0.95,0.8097002404939464
46,Which of the following IPv4 addresses has a subnet mask 255.255.0.0?,"a. 188.187.186.185
b. 204.203.202.201
c. 55.44.22.11
d. 10.0.0.56
",,a,d,,"The subnet mask 255.255.0.0 is a default Class B subnet mask. Class B addresses range from 128.0.0.0 to 191.255.255.255. However, the address 10.0.0.56 is part of the Class A private IP address space and, by default, would have a subnet mask of 255.0.0.0. But since private IP addresses can use subnet masks as required by the network design, it is possible to use a 255.255.0.0 subnet mask with a 10.0.0.0 network. The other addresses listed are either Class A or Class C public IP addresses, which have default subnet masks of 255.0.0.0 and 255.255.255.0, respectively, and they do not fit the 255.255.0.0 subnet mask.","['https://en.wikipedia.org/wiki/Subnetwork', 'https://en.wikipedia.org/wiki/Private_network']",0,chapter3_ipv4_addressing,0.9,0.9999796611748367
47,Which of the following IPv4 addresses has a subnet mask 255.255.255.0?,"a. 188.187.186.185
b. 204.203.202.201
c. 55.44.22.11
d. 10.0.0.56
",,b,d,,"All the given IPv4 addresses could potentially have a subnet mask of 255.255.255.0, as the subnet mask is not inherent to the IP address itself but is assigned during network configuration. The subnet mask 255.255.255.0 corresponds to a /24 prefix length, which means that the first 24 bits of the IP address are used for network identification and the remaining 8 bits are used for host identification. This subnet mask is commonly used for class C networks, but due to classless inter-domain routing (CIDR), it can be used with any IP address. The question does not provide enough context to determine which specific IP address is associated with the given subnet mask. Therefore, without additional context, any of the IP addresses could be correct.","['https://en.wikipedia.org/wiki/Subnetwork', 'https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing']",0,chapter3_ipv4_addressing,0.5,0.9999958726752174
49,Which of the following IPv4 addresses has a subnet mask 255.0.0.0? (Choose all that apply),"a. 188.187.186.185
b. 204.203.202.201
c. 55.44.22.11
d. 10.0.0.56
e. 100.24.5.56
f. 192.168.178.6
",,"c,d,e","c,d",,"The subnet mask 255.0.0.0 corresponds to a Class A address, which has a range of 0.0.0.0 to 127.255.255.255. In this range, the first octet defines the network portion, and the remaining three octets are used for host addresses. Option c (55.44.22.11) and option d (10.0.0.56) fall within the Class A range, hence they can have a subnet mask of 255.0.0.0. Options a, b, e, and f are either Class B or Class C addresses, which have default subnet masks of 255.255.0.0 and 255.255.255.0, respectively.",['https://en.wikipedia.org/wiki/Classful_network'],0,chapter3_ipv4_addressing,1,0.9824783843262402
50,Which of the following ranges is a valid class B network numbers?,"a. 128.0.0.0 - 191.255.0.0
b. 1.0.0.0 - 126.0.0.0
c. 192.0.0.0 - 223.255.255.0
d. 224.0.0.0 - 254.255.255.0
",,a,a,,"A is the correct answer. Class B network numbers range from 128.0.0.0 to 191.255.255.0. This range is defined by the first two bits of the first octet being '10', and the remaining bits can be assigned to network and host addresses. Option B represents Class A network numbers (1.0.0.0 to 126.0.0.0), option C represents Class C network numbers (192.0.0.0 to 223.255.255.0), and option D represents Class D and Class E addresses which are used for multicast and experimental purposes, respectively.",['https://en.wikipedia.org/wiki/Classful_network'],1,chapter3_ipv4_addressing,1,0.9999641651360841
51,Which of the following ranges is a valid class C network numbers?,"a. 128.0.0.0 - 191.255.0.0
b. 1.0.0.0 - 126.0.0.0
c. 192.0.0.0 - 223.255.255.0
d. 224.0.0.0 - 254.255.255.0
",,c,c,,"C is the correct answer. Class C network numbers range from 192.0.0.0 to 223.255.255.255. This range is defined by the first three bits of the address being set to 110, and the next 21 bits are assigned to the network, with the remaining 8 bits for host addresses. Option A is the range for Class B networks, Option B is for Class A, and Option D is for Class D and E, which are used for multicast and experimental purposes, respectively.",['https://en.wikipedia.org/wiki/Classful_network'],1,chapter3_ipv4_addressing,1,0.9998241266575298
52,Which of the following is the default mask of the IP 10.2.0.0?,"a. 255.0.0.0
b. 255.255.0.0
c. 255.255.255.0
d. 255.255.255.255
",,a,a,,"The correct answer is A. The IP address 10.2.0.0 is a Class A address, and the default subnet mask for a Class A address is 255.0.0.0. Class A addresses range from 1.0.0.0 to 126.255.255.255, and they all use the default subnet mask of 255.0.0.0 unless subnetting is applied.",['https://en.wikipedia.org/wiki/Classful_network'],1,chapter3_ipv4_addressing,1,0.9999769195503577
