Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. FALSE
b. TRUE
",,b,b,,"The statement is true. When access points (APs) are placed at different geographic locations, they can be interconnected by a switched infrastructure to form an extended service set (ESS). An ESS is a set of one or more interconnected basic service sets (BSSs) and integrated local area networks (LANs) that appear as a single BSS to the logical link control layer at any station associated with one of those BSSs. This allows users to roam between APs while maintaining seamless connectivity.","['IEEE 802.11-2016 - IEEE Standard for Information technology—Telecommunications and information exchange between systems Local and metropolitan area networks—Specific requirements - Part 11: Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications', 'CWNA Certified Wireless Network Administrator Study Guide by David D. Coleman and David A. Westcott']",1,chapter10_wireless_networks,0.95,1,1.0
180,A lightweight access point in which one of the following architectures participate?,"a. Tunnel-MAC
b. Split-MAC
c. Big-MAC
d. Light-MAC
",,b,b,,"In a lightweight access point architecture, the Split-MAC design is used. In this model, some MAC layer functions are handled by the access point, while others are processed by a central wireless LAN controller (WLC). This allows for centralized management and control of the wireless network.","['CCNA Wireless 200-355 Official Cert Guide, Chapter 3: Understanding a Basic Cisco Wireless LAN Architecture', 'Cisco Press: Deploying Cisco Wireless LAN Controllers, Chapter 1: Cisco Unified Wireless Network Architecture Overview']",1,chapter10_wireless_networks,0.95,1,1.0
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Console port
d. Redundancy port
",,d,d,,"The redundancy port on a wireless LAN controller is used to connect to a peer controller for high availability (HA) operation. This dedicated port allows the active and standby controllers to synchronize their configurations and maintain a heartbeat. The other ports have different purposes: the service port is for out-of-band management, the distribution system port connects to the wired network, and the console port is for local CLI access.","['Cisco Wireless LAN Controller Configuration Guide, Release 8.10 - High Availability chapter', 'CCNP and CCIE Enterprise Core ENCOR 350-401 Official Cert Guide, Chapter 15: High Availability']",1,chapter10_wireless_networks,0.95,1,1.0
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. EAP
b. MIC
c. WEP
d. WIPS
",,b,b,,"MIC (Message Integrity Check) is a wireless security tool used to protect the integrity of data in a wireless frame. It is a hash function that creates a checksum or hash value based on the contents of the frame. The receiving device recalculates the MIC and compares it with the one included in the frame. If they match, it confirms the frame has not been altered in transit, thus ensuring data integrity.","['CCNA 200-301 Official Cert Guide, Volume 2, by Wendell Odom', 'https://www.cisco.com/c/en/us/support/docs/wireless-mobility/wireless-lan-wlan/68005-wlan-security.html']",1,chapter10_wireless_networks,0.95,1,1.0
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.12
b. 802.11
c. 802.1
d. 802.2
",,b,b,,"Wi-Fi is based on the IEEE 802.11 standards. The 802.11 standards define the protocols and specifications for wireless local area networks (WLANs) operating in the 2.4 GHz, 5 GHz, and 6 GHz frequency bands. The other options listed (802.12, 802.1, and 802.2) are not related to Wi-Fi standards.","['IEEE 802.11 Wireless Local Area Networks: https://www.ieee802.org/11/', 'Wi-Fi Alliance: https://www.wi-fi.org/discover-wi-fi/wi-fi-standards', 'Cisco Networking Academy: CCNA 200-301 Official Cert Guide, Chapter 26: Fundamentals of Wireless Networks']",1,chapter10_wireless_networks,1.0,1,1.0
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Transparent bridge
b. Workgroup bridge
c. Wireless repeater
d. Adaptive bridge
",,b,b,,"A workgroup bridge can be used to provide wireless connectivity to a non-wireless device. It acts as a client to a wireless access point and provides Ethernet ports to connect wired devices, enabling them to join the wireless network.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'https://www.cisco.com/c/en/us/products/collateral/wireless/aironet-1200-access-point/prod_brochure09186a00801f7d0b.html']",1,chapter10_wireless_networks,0.95,1,1.0
185,Which controller interface type maps a WLAN to a VLAN?,"a. Virtual interface
b. Redundancy management
c. Management interface
d. Service port interface
e. Dynamic interface
",,e,e,,"A dynamic interface on a wireless LAN controller maps a WLAN to a VLAN. It is used to route traffic between VLANs and WLANs. Each dynamic interface is mapped to a VLAN ID, and WLANs are mapped to the dynamic interface. This enables client traffic from different WLANs to be kept separate.","['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-5/config-guide/b_cg85/wlan_interfaces.html', 'https://www.cisco.com/c/en/us/support/docs/wireless/4100-series-wireless-lan-controllers/69719-wlc-dynamic-interface.html']",1,chapter10_wireless_networks,0.95,1,1.0
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. FTP
b. SSH
c. HTTP
d. None of the above
e. HTTPS
",,e,e,,"HTTPS (Hypertext Transfer Protocol Secure) is the most preferred and secure way to connect to a Wireless LAN Controller (WLC) GUI for configuring a new WLAN. HTTPS uses SSL/TLS encryption to secure the communication between the client and the server, protecting sensitive information such as login credentials and configuration data. FTP and HTTP are insecure protocols that transmit data in plain text, making them vulnerable to interception and tampering. SSH is a secure protocol but is typically used for command-line access rather than GUI configuration.","['Cisco Wireless LAN Controller Configuration Guide, Release 8.10 - Configuring Security Solutions: https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/security_solutions.html', 'Cisco Wireless LAN Controller Configuration Best Practices: https://www.cisco.com/c/en/us/support/docs/wireless/4400-series-wireless-lan-controllers/107369-wlc-config-best-practice.html']",1,chapter10_wireless_networks,0.95,1,1.0
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 251
b. 5
c. 512
d. 152
",,c,c,,The maximum configurable number of WLANs on a Cisco wireless LAN controller is 512. This allows for a large number of separate wireless networks to be configured and managed through a single controller device.,"['Cisco Wireless LAN Controller Configuration Guide, Release 8.10 - https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wlan_parameters.html', 'CCNA Wireless 200-355 Official Cert Guide, Chapter 6: Understanding Cisco Wireless LAN Controllers - https://www.ciscopress.com/store/ccna-wireless-200-355-official-cert-guide-9781587144578']",1,chapter10_wireless_networks,0.95,1,1.0
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11ax
b. 802.11ac
c. 802.11n
d. 802.11a
e. 802.11g
f. 802.11b
g. 802.11
",,"a,b,c,d","a,b,c,d",,"The IEEE 802.11 Wi-Fi standards that use the 5 GHz band are:a. 802.11ax (Wi-Fi 6): Operates in both 2.4 GHz and 5 GHz bands.b. 802.11ac (Wi-Fi 5): Operates exclusively in the 5 GHz band.c. 802.11n: Operates in both 2.4 GHz and 5 GHz bands.d. 802.11a: The first Wi-Fi standard to use the 5 GHz band.The other standards listed (802.11g, 802.11b, and the original 802.11) only operate in the 2.4 GHz band.","['IEEE 802.11 Wireless Local Area Networks: The Working Group for WLAN Standards. (n.d.). Retrieved from https://www.ieee802.org/11/', 'Wi-Fi Alliance. (n.d.). Wi-Fi Generations. Retrieved from https://www.wi-fi.org/discover-wi-fi/wi-fi-generations']",1,chapter10_wireless_networks,0.95,1,1.0
