Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. FALSE
b. TRUE
",,b,b,,"The statement is true. In an MPLS network, the customer edge (CE) device, which is typically a router, is located at the customer's premises. The CE router connects to the provider edge (PE) router, which is the entry point into the service provider's MPLS network. The CE router is responsible for forwarding customer traffic to the PE router, which then uses MPLS labels to transport the traffic across the provider's network to the destination.","['MPLS Fundamentals by Luc De Ghein, Cisco Press', 'RFC 4364 - BGP/MPLS IP Virtual Private Networks (VPNs)', 'Cisco Documentation: MPLS VPN Technology Overview']",1,chapter12_network_design_architecture,0.95,1,1.0
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Partial Mesh
b. Hybrid
c. Full Mesh
d. Star
",,c,c,,"A full mesh network topology is one where each node (device) is connected directly to every other node in the network. In a full mesh topology, there is a dedicated link between each pair of nodes, providing maximum redundancy and reliability. This differs from a partial mesh where only some nodes are interconnected, a hybrid combining different topologies, or a star topology where nodes connect to a central hub.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 1: Introduction to TCP/IP Networking', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/8949-full-partial-mesh.html']",1,chapter12_network_design_architecture,0.95,1,1.0
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. FALSE
b. TRUE
",,b,b,,"With Power over Ethernet (PoE), a LAN switch can indeed act as the Power Sourcing Equipment (PSE). The PSE is responsible for providing power over the Ethernet cable to the powered device (PD). PoE-capable switches can detect if a connected device is PoE-compatible and supply the necessary power over the same Ethernet cable used for data transmission, eliminating the need for a separate power cable.","['Cisco Networking Academy: Introduction to Networks v7.0 (ITN)', 'IEEE 802.3af and 802.3at standards for Power over Ethernet (PoE)']",1,chapter12_network_design_architecture,0.95,1,1.0
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Core
b. Campus
c. Access
d. Distribution
",,c,c,,"The access layer of campus switches provides a connection point for end-user devices to connect to the network. Access switches are typically located close to end users and provide network access for devices such as computers, IP phones, printers, and more. The other roles mentioned - core, campus, and distribution - operate at higher layers of the hierarchical network model and do not directly connect end-user devices.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 3: Fundamentals of LANs and Ethernet - Campus LAN Architecture', 'Cisco Press: Hierarchical Network Design Overview - https://www.ciscopress.com/articles/article.asp?p=2202410&seqNum=4']",1,chapter12_network_design_architecture,0.95,1,1.0
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Core
c. Distribution
d. Campus
",,c,c,,"In a hierarchical campus network design, the distribution layer switches provide an aggregation point for the access layer switches. The distribution layer aggregates the traffic from multiple access switches before it reaches the core layer. The distribution layer also provides important functions like routing, quality of service, and access control policies.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 3: Fundamentals of LANs and Ethernet LANs', 'https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/HA_campus_DG/hacampusdg.html']",1,chapter12_network_design_architecture,0.95,1,1.0
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,c,,"In very large campus LANs, the core layer switches aggregate the distribution layer switches. The core layer provides high-speed switching and scalability, acting as the backbone of the network to efficiently transfer data between distribution layer devices.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 3: Fundamentals of LANs and Ethernet', 'Cisco Press: Campus Network Architecture - https://www.ciscopress.com/articles/article.asp?p=2202410&seqNum=4']",1,chapter12_network_design_architecture,0.95,1,1.0
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using an intercloud exchange
b. Using an Internet connection without VPN
c. Using private WAN connections directly to the cloud provider
d. Using an Internet connection with VPN
",,"a,c","c,d",,"To maintain data privacy and provide good QoS when connecting to a public cloud service, the two best options are:c) Using private WAN connections directly to the cloud provider. This provides a dedicated, secure link without traversing the public Internet. d) Using an Internet connection with a VPN. The VPN encrypts the data to keep it private as it crosses the Internet.Using an intercloud exchange (a) could be secure but may not provide the desired QoS. Using the Internet without a VPN (b) would not keep the data private.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 14: WAN Architecture', 'https://www.cisco.com/c/en/us/products/collateral/security/cloud-access-security/white-paper-c11-743434.html']",0,chapter12_network_design_architecture,0.95,1,0.0
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. FALSE
b. TRUE
",,a,a,,"The statement is false. In a public cloud solution, the cloud service provider is responsible for managing, maintaining, and updating the data centers. This is one of the key advantages of using public cloud services - the provider takes care of the underlying infrastructure, allowing the customer to focus on their applications and services. In contrast, with a private cloud (on-premise) solution, the organization is responsible for managing and maintaining their own data centers.","['https://azure.microsoft.com/en-us/overview/what-is-a-public-cloud/', 'https://aws.amazon.com/what-is-cloud-computing/', 'https://www.ibm.com/cloud/learn/public-cloud']",1,chapter12_network_design_architecture,0.95,1,1.0
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses 20 or more IP subnets
b. A remote site router would have 20 OSPF neighbors
c. A remote site router would have one OSPF neighbor
d. The WAN uses one IP subnet
",,"b,d","c,d",,"With an Ethernet LAN (E-LAN) service, all sites are connected to a single Layer 2 network, essentially extending the company's LAN across the WAN. This means that from a Layer 3 perspective, all routers are on the same IP subnet (choice d). Each remote site router would have a single OSPF neighbor relationship with the service provider's router, not with the other remote site routers (choice c). The remote site routers do not establish OSPF neighbor relationships with each other directly.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Chapter 21: Fundamentals of IP Version 4 Addressing and Routing', 'Metro Ethernet Forum (MEF) E-LAN Service Definition']",0,chapter12_network_design_architecture,0.95,1,0.0
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Segmentation
c. Isolation
d. Virtualization
",,d,d,,"Server virtualization is the process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application. It allows running multiple operating systems on a single physical server, enabling better utilization of hardware resources.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom, Chapter 15: Virtualization Protocols', 'https://www.vmware.com/topics/glossary/content/server-virtualization', 'https://www.redhat.com/en/topics/virtualization/what-is-server-virtualization']",1,chapter12_network_design_architecture,0.95,1,1.0
