Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Multicast address
b. Broadcast address
c. Unicast address
d. IP address
e. MAC address
",,"a,b","a,b",,"Multicast and broadcast addresses are the two types of Ethernet addresses that can send a single frame to be delivered to multiple devices on a LAN. A multicast address allows a frame to be sent to a specific group of devices, while a broadcast address sends the frame to all devices on the LAN. Unicast addresses are used for sending a frame to a single specific device. IP address refers to the network layer addressing, not the Ethernet (data link layer) addressing. MAC address is a general term for the Ethernet address, which includes unicast, multicast, and broadcast addresses.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Cisco Press', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html', 'https://www.ciscopress.com/articles/article.asp?p=2832407&seqNum=6']",1,chapter1_intro_to_networking,0.95,1,1.0
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CA
b. TCP/UDP
c. TCP/IP
d. CSMA/CD
",,d,d,,"CSMA/CD, which stands for Carrier Sense Multiple Access with Collision Detection, is a set of rules determining how network devices respond when two devices send data at the same time, resulting in a collision. When a collision is detected, both devices stop transmitting, wait for a random time interval, and then retry to send the data again.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/5234-csma-cd.html']",1,chapter1_intro_to_networking,0.95,1,1.0
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 1
b. 10
c. 100
d. 1000
",,d,d,,The Ethernet standard that defines Gigabit Ethernet over UTP cabling is 1000BASE-T. The '1000' in 1000BASE-T refers to the data transmission rate of 1000 Mbps or 1 Gbps. This standard uses Category 5 UTP or better cabling and 8P8C (RJ45) connectors.,"['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'IEEE 802.3ab-1999 standard', 'https://en.wikipedia.org/wiki/Gigabit_Ethernet']",1,chapter1_intro_to_networking,0.95,1,1.0
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The Preamble field in the IEEE 802.3 Ethernet frame allows devices to synchronize their receiver clocks. It consists of a 56-bit pattern of alternating 1s and 0s that enables the receiving devices to synchronize their receive clocks with the transmitter's clock, ensuring proper frame reception.","['IEEE 802.3-2018 - IEEE Standard for Ethernet', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom']",1,chapter1_intro_to_networking,0.95,1,1.0
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Destination
b. Unicast
c. Broadcast
d. Source
",,a,a,,"The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. When a host needs to communicate with another device on a different network, it forwards the packets to its default gateway, which then routes the packets to the appropriate network to reach the destination IP address.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Chapter 16: IP Routing Essentials)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Chapter 4: The Network Layer)']",1,chapter1_intro_to_networking,0.95,1,1.0
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. Ethernet
c. TCP
d. IP
",,a,a,,"SMTP (Simple Mail Transfer Protocol) is an application layer protocol in the TCP/IP model. It is used for sending and receiving email messages between servers. Ethernet is a data link layer protocol, while TCP (Transmission Control Protocol) and IP (Internet Protocol) are transport layer and network layer protocols, respectively.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,chapter1_intro_to_networking,0.95,1,1.0
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. TCP
b. IP
c. Ethernet
d. SMTP
",,a,a,,"TCP (Transmission Control Protocol) resides in the Transport layer of the TCP/IP architecture. The Transport layer is responsible for providing end-to-end communication services for applications, including flow control, multiplexing, and reliability. TCP is a connection-oriented protocol that ensures reliable data delivery between the source and destination hosts.","['Kurose, J., & Ross, K. (2017). Computer Networking: A Top-Down Approach (7th Edition). Pearson.', 'Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer Networks (5th Edition). Pearson.']",1,chapter1_intro_to_networking,0.95,1,1.0
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. IP
b. Ethernet
c. TCP
d. SMTP
",,a,a,,"The Internet layer of the TCP/IP architecture is responsible for addressing, packaging, and routing functions. The primary protocol that resides in this layer is the Internet Protocol (IP). IP provides the logical addressing system and determines the path a packet must take based on the IP address. Ethernet operates at the lower link layer, while TCP and SMTP are higher-layer protocols that rely on IP.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom', 'TCP/IP Illustrated, Volume 1: The Protocols by Kevin Fall, W. Richard Stevens']",1,chapter1_intro_to_networking,0.95,1,1.0
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,"Ethernet resides in the Data Link and Physical layers of the TCP/IP architecture. SMTP (Simple Mail Transfer Protocol) is an application layer protocol, TCP (Transmission Control Protocol) is a transport layer protocol, and IP (Internet Protocol) is a network layer protocol.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13769-5.html']",1,chapter1_intro_to_networking,0.95,1,1.0
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. DNS
b. ARP
c. DHCP
d. ping
",,b,b,,"ARP (Address Resolution Protocol) is used by a device to learn the MAC address associated with an IP address on the same network. When a device needs to communicate with another device on the local network, it checks its ARP cache for the MAC address corresponding to the IP. If not found, it broadcasts an ARP request to all devices on the network asking 'Who has this IP address?'. The device with that IP responds with its MAC address, allowing communication to proceed.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 12: Analyzing Ethernet LAN Switching', 'https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/13718-5.html']",1,chapter1_intro_to_networking,0.95,1,1.0
