Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Routing table
b. MAC address
c. Source IP address
d. ARP address
e. ARP table
f. Destination IP address
",,"b,c","b,c",,"In a spoofing attack, the attacker typically falsifies or 'spoofs' the source MAC address and/or source IP address. By spoofing these identifiers, the attacker can impersonate another device on the network to launch various attacks or gain unauthorized access. The other choices like routing table, ARP address, ARP table, and destination IP address are not commonly spoofed parameters in these types of attacks.","['CCNA 200-301 Official Cert Guide, Volume 2, by Wendell Odom', 'https://www.cisco.com/c/en/us/products/security/what-is-cybersecurity.html', 'https://www.imperva.com/learn/application-security/spoofing-attack/']",1,chapter8_security_fundamentals,0.95,1,1.0
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. HTTP
b. DHCP
c. RADIUS
d. ARP
",,c,c,,"AAA servers typically support the RADIUS (Remote Authentication Dial-In User Service) protocol in addition to TACACS+ for communicating with enterprise resources. RADIUS is a widely used protocol for centralized authentication, authorization, and accounting management.","['CCNA 200-301 Official Cert Guide, Volume 2, by Wendell Odom', 'RFC 2865: Remote Authentication Dial In User Service (RADIUS)', 'Cisco Press: AAA and RADIUS Configuration Guide']",1,chapter8_security_fundamentals,0.95,1,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,c,c,,The correct set of commands to configure port security on interface FastEthernet0/1 of SW-examsD to allow only MAC address 0200.1111.2222 is:1. Enter global configuration mode with 'configure terminal'2. Select the correct interface FastEthernet0/1 with 'interface FastEthernet0/1' 3. Set the switchport mode to access with 'switchport mode access'4. Enable port security on the interface with 'switchport port-security'5. Define the allowed MAC address with 'switchport port-security mac-address 0200.1111.2222'Choice c has all of these commands in the correct order targeting the correct interface fa0/1 and specifying the MAC address provided in the question.,"['Cisco Networking Academy - CCNA Routing and Switching: LAN Switching and Wireless', 'Cisco IOS Security Configuration Guide, Release 12.2 - Configuring Port Security']",1,chapter8_security_fundamentals,0.95,1,1.0
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Phishing
b. DoS
c. Spoofing
d. SQL injection
",,b,b,,"DoS (Denial-of-Service) attacks are designed to overwhelm a targeted system or network with a flood of traffic, requests, or messages, making it unavailable to legitimate users or unable to provide its intended service. The attack consumes the target's resources, such as bandwidth, memory, or processing power, preventing it from responding to genuine traffic. Phishing, spoofing, and SQL injection are different types of attacks not directly related to overwhelming systems with traffic to cause denial-of-service.","['CCNA 200-301 Official Cert Guide, Wendell Odom, Cisco Press, 2020', 'https://www.cisco.com/c/en/us/products/security/what-is-a-ddos-attack.html', 'https://www.imperva.com/learn/ddos/denial-of-service/']",1,chapter8_security_fundamentals,0.95,1,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Trojan
b. Virus
c. Spyware
d. Worm
",,a,a,,"A Trojan, short for Trojan horse, is a type of malicious software (malware) that disguises itself as legitimate software. It tricks users into installing it on their systems, and once activated, it can allow unauthorized access, steal data, or perform other harmful activities. Trojans are named after the wooden horse from Greek mythology used to infiltrate the city of Troy. Unlike viruses and worms, Trojans do not typically self-replicate.","['https://www.cisco.com/c/en/us/products/security/advanced-malware-protection/what-is-malware.html', 'https://www.malwarebytes.com/trojan/']",1,chapter8_security_fundamentals,0.95,1,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. End users
b. Layer 3 switches
c. Hub
d. Access Points
e. Routers
f. Layer 2 switches
",,"b,f","e,f",,"DHCP snooping can be implemented on routers and Layer 2 switches. Routers can act as DHCP relay agents and perform DHCP snooping to filter and validate DHCP messages. Layer 2 switches can enable DHCP snooping on a per-VLAN basis to build and maintain a DHCP snooping binding database, which is used to filter and validate DHCP messages and prevent unauthorized DHCP servers. End users, hubs, access points, and Layer 3 switches are not directly involved in implementing DHCP snooping.","['Cisco Press CCNA 200-301 Official Cert Guide, Chapter 11: Security Architectures', 'Cisco Networking Academy: Introduction to Networks v7.0, Module 7: Address Resolution']",0,chapter8_security_fundamentals,0.95,1,0.3333333333333333
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Superior effectiveness
c. Granular application visibility and control
d. Contextual awareness
",,d,d,,"Contextual awareness provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility. It allows the Cisco Firepower NGIPS to understand the context of network traffic, including user identity, device type, application, and potential threats, enabling more granular and effective security policies.","['Cisco Firepower Next-Generation IPS (NGIPS) Data Sheet: https://www.cisco.com/c/en/us/products/collateral/security/firepower-ngips/datasheet-c78-736775.html', 'Cisco Firepower NGIPS Features and Capabilities: https://www.cisco.com/c/en/us/products/security/firepower-ngips/features.html']",1,chapter8_security_fundamentals,0.95,1,1.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Spoof every possible IP address
c. Alter a routing table
d. Make a server unavailable
",,a,a,,"A brute-force attack is a method of guessing a user's password by systematically trying every possible combination of letters, numbers, and symbols until the correct password is found. It does not involve spoofing IP addresses, altering routing tables, or making servers unavailable, which are separate types of attacks.","['CISSP All-in-One Exam Guide, 8th Edition by Shon Harris and Fernando Maymi', 'CompTIA Security+ SY0-601 Cert Guide by Omar Santos and Mike Chapple']",1,chapter8_security_fundamentals,0.95,1,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. FALSE
b. TRUE
",,b,b,,The statement is true. Social engineering attacks exploit human psychology and interactions to manipulate individuals into divulging sensitive information or making security mistakes. These attacks rely on tricking people rather than targeting technical vulnerabilities in systems.,"['NIST Special Publication 800-63B Digital Identity Guidelines: Authentication and Lifecycle Management', 'SANS Institute: Social Engineering Attacks: Common Techniques & How to Prevent an Attack', 'Cisco Networking Academy: Introduction to Cybersecurity']",1,chapter8_security_fundamentals,0.95,1,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Whaling
b. Pharming
c. Phishing
d. Social engineering
",,a,a,,"Whaling is a type of phishing attack that specifically targets high-profile employees, such as CEOs, CFOs, or other executives, in order to steal sensitive information from a company. The attacker crafts a highly customized email or message, often appearing to come from a trusted source, to trick the executive into revealing confidential data or transferring funds.","['CISCO Press: CCNA Cyber Ops SECFND 210-250 Official Cert Guide', 'https://www.cisco.com/c/en/us/products/security/email-security/what-is-phishing.html', 'https://www.cisco.com/c/en/us/products/security/what-is-cybersecurity.html']",1,chapter8_security_fundamentals,0.95,1,1.0
147,Which of the following human security vulnerabilities attacks is the attempt to obtain sensitive information such as passwords and credit card details by disguising oneself as a trustworthy entity?,"a. Phishing
b. Whaling
c. Social engineering
d. Pharming
",,a,a,,Phishing is the correct answer. Phishing is a type of social engineering attack where an attacker attempts to trick individuals into revealing sensitive information like passwords or credit card details by disguising themselves as a trustworthy entity in electronic communication. This is often done through emails or fake websites that appear legitimate.,"['CISCO Networking Academy - Introduction to Cybersecurity course', 'NIST Special Publication 800-53 Rev. 5 - Security and Privacy Controls for Information Systems and Organizations', 'SANS Institute - Phishing: Attack and Defense Strategies']",1,chapter8_security_fundamentals,0.95,1,1.0
149,Which of the following security features rejects invalid and malicious ARP packets and prevents a class of man-in-the-middle attacks?,"a. Packet secure
b. ARP protect
c. DAI
d. DoS
",,c,c,,Dynamic ARP Inspection (DAI) is a security feature that validates ARP packets in a network and discards invalid and malicious ARP packets. It relies on a trusted database (either manually configured or built through DHCP snooping) to verify the IP-to-MAC address bindings of incoming ARP packets. This helps prevent certain man-in-the-middle attacks where an attacker sends forged ARP responses to intercept traffic. The other options listed are not actual Cisco security features related to ARP security.,"['Cisco Networking Academy - CCNA Security course material', 'Cisco official documentation on Dynamic ARP Inspection: https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/dynarp.html']",1,chapter8_security_fundamentals,0.95,1,1.0
150,"In a reflection attack, the source IP address in the attack packets is spoofed so that it contains the address of the victim.","a. TRUE
b. FALSE
",,a,a,,"In a reflection attack, the attacker spoofs the source IP address of the packets they send to make it appear as if the packets are coming from the victim's IP address. The responses are then sent back to the victim, overwhelming their system. Therefore, the statement is true.","['CISCO Press: CCNA 200-301 Official Cert Guide, Volume 2', 'CISCO Networking Academy: Introduction to Cybersecurity']",1,chapter8_security_fundamentals,0.95,1,1.0
151,"Type the command that needs to be configured on a switch to automatically recover from the err-disabled state, when caused by port security.","a. recovery cause psecure-violation
b. errdisable recovery psecure-violation
c. errdisable recovery
d. errdisable recovery cause psecure-violation
",,d,d,,"To automatically recover from the err-disabled state caused by port security violations, the correct command is 'errdisable recovery cause psecure-violation'. This command enables the switch to automatically re-enable the port after a specified timeout interval when it has been error-disabled due to port security violations.","['Cisco IOS Security Command Reference: https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/security/a1/sec-a1-cr-book/sec-cr-e1.html#wp3935110220', 'Cisco IOS Interface and Hardware Component Command Reference: https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-cr-book/ir-e1.html#wp2590372223']",1,chapter8_security_fundamentals,0.95,1,1.0
152,A next-generation firewall sits at the edge of a company’s connection to the Internet. A network engineer has been configured to prevent Telnet clients residing on the Internet from accessing Telnet servers inside the company. Which of the following might a next-generation firewall use that a traditional firewall would not?,"a. Match message application data
b. Match message source TCP ports lower than 5400
c. Match message destination well-known port 23
d. Match message IP protocol 23
",,a,a,,"A next-generation firewall can inspect the application layer data to identify the specific application, in this case Telnet. It can then block Telnet traffic based on the application itself, rather than just port numbers or IP protocols like a traditional firewall would. While matching the well-known Telnet port 23 could work (choice c), a next-gen firewall's ability to match the actual application data (choice a) is what distinguishes it from a traditional firewall for this scenario.","['https://www.cisco.com/c/en/us/products/security/firewalls/what-is-a-next-generation-firewall.html', 'https://www.paloaltonetworks.com/cyberpedia/what-is-a-next-generation-firewall-ngfw']",1,chapter8_security_fundamentals,0.95,1,1.0
153,"Your PC connects to a LAN and uses DHCP to lease an IP address for the first time. Of the usual four DHCP messages that flow between the PC (DHCP client) and the DHCP server, which ones do the server send? (Choose two answers)","a. Discover
b. Offer
c. Acknowledgment
d. Request
",,"b,c","b,c",,"In the DHCP process, the DHCP server sends two of the four messages: DHCP Offer and DHCP Acknowledgment. The DHCP Discover and DHCP Request messages are sent by the DHCP client (in this case, the PC). The process works as follows: 1) The client broadcasts a DHCP Discover message to locate available DHCP servers. 2) The server responds with a DHCP Offer message, which includes an available IP address. 3) The client then sends a DHCP Request message to accept the offered IP address. 4) Finally, the server sends a DHCP Acknowledgment to confirm the IP address lease and provide additional configuration information.","['CCNA 200-301 Official Cert Guide, Volume 1, Chapter 17: Understanding DHCP (ISBN: 978-1-58714-714-2)', 'RFC 2131 - Dynamic Host Configuration Protocol: https://tools.ietf.org/html/rfc2131']",1,chapter8_security_fundamentals,0.95,1,1.0
