Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. examsdigest.com/ccna
b. courses
c. courses.examsdigest.com
d. https
e. examsdigest.com
",,c,c,,The hostname in the given URI is courses.examsdigest.com. The hostname is the part of the URI that identifies the host or domain name of the network location. It comes after the scheme (https in this case) and before the path (/ccna).,"['CCNA 200-301 Official Cert Guide, Volume 1, Wendell Odom, Chapter 28: Fundamentals of IP Version 6', 'RFC 3986: Uniform Resource Identifier (URI): Generic Syntax, Section 3.2.2. Host']",1,chapter9_ip_acl,0.95,1,1.0
155,Which of the following protocols uses the port 443?,"a. SMTP
b. HTTPS
c. SSH
d. HTTP
",,b,b,,"HTTPS (Hypertext Transfer Protocol Secure) uses port 443 by default. It is the secure version of HTTP, which uses port 80. HTTPS encrypts the data transmitted between the client and server using SSL/TLS protocols, ensuring secure communication over the internet.","['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'Cisco Networking Academy: Introduction to Networks v7.0 - Chapter 9: Transport Layer']",1,chapter9_ip_acl,0.99,1,1.0
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. SMTP
c. HTTP
d. SSH
",,c,c,,"HTTP (Hypertext Transfer Protocol) uses port 80 by default. It is the protocol used for transmitting web pages and other web content over the Internet. The other protocols listed use different default ports: HTTPS uses port 443, SMTP uses port 25, and SSH uses port 22.","['IANA Service Name and Transport Protocol Port Number Registry (https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml)', 'RFC 2616 - Hypertext Transfer Protocol -- HTTP/1.1 (https://tools.ietf.org/html/rfc2616)']",1,chapter9_ip_acl,0.99,1,1.0
157,Which of the following protocols uses the port 25?,"a. SSH
b. HTTPS
c. SMTP
d. HTTP
",,c,c,,"SMTP (Simple Mail Transfer Protocol) is the protocol used for sending email messages between servers. It uses port 25 by default. SSH uses port 22, HTTPS uses port 443, and HTTP uses port 80.","['IANA Service Name and Transport Protocol Port Number Registry (https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml)', 'RFC 821 - Simple Mail Transfer Protocol (https://tools.ietf.org/html/rfc821)']",1,chapter9_ip_acl,0.95,1,1.0
158,Which of the following protocols uses the port 22?,"a. SMTP
b. HTTPS
c. HTTP
d. SSH
",,d,d,,"SSH (Secure Shell) is a network protocol that uses port 22 by default for secure remote login and other secure network services over an unsecured network. SMTP uses port 25, HTTP uses port 80, and HTTPS uses port 443.","['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'SSH.com: https://www.ssh.com/academy/ssh/port']",1,chapter9_ip_acl,0.99,1,1.0
159,Which of the following port numbers the SNMP protocol uses?,"a. 25
b. 160
c. 20
d. 161
",,d,d,,"The Simple Network Management Protocol (SNMP) uses UDP port 161 for sending and receiving requests between managers and agents. Port 161 is the standard port reserved for SNMP. The other port numbers listed are used for different protocols - port 25 for SMTP, port 20 for FTP data transfer, and port 160 is not a well-known port.","['IETF RFC 1157: A Simple Network Management Protocol (SNMP)', 'IANA Service Name and Transport Protocol Port Number Registry']",1,chapter9_ip_acl,0.95,1,1.0
160,Which of the following port numbers the POP3 protocol uses?,"a. 110
b. 130
c. 100
d. 120
",,a,a,,The POP3 (Post Office Protocol version 3) protocol uses port number 110 for non-encrypted communication. POP3 is an application-layer protocol used by email clients to retrieve email messages from a remote server over a TCP/IP connection.,"['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'RFC 1939 - Post Office Protocol - Version 3: https://tools.ietf.org/html/rfc1939']",1,chapter9_ip_acl,0.98,1,1.0
161,Which of the following port numbers the DNS protocol uses?,"a. 51
b. 52
c. 53
d. 50
",,c,c,,The Domain Name System (DNS) protocol uses port 53 for its communication. DNS is used to translate domain names to IP addresses. Port 53 is reserved for both TCP and UDP traffic for DNS queries and responses between DNS clients and servers.,"['IANA Service Name and Transport Protocol Port Number Registry: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml', 'RFC 1035 - Domain Names - Implementation and Specification: https://tools.ietf.org/html/rfc1035']",1,chapter9_ip_acl,1.0,1,1.0
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match only the packet’s destination IP address
b. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
c. Match the exact source IP address
d. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
",,"c,d","c,d",,"A standard IP access control list (ACL) can match the exact source IP address of a packet using a single access-list command. It can also match all IP addresses in a subnet using a wildcard mask without matching other IP addresses outside that subnet. However, a standard ACL cannot match a packet's destination IP address or a specific range of IP addresses like 20.2.2.2 through 20.2.2.22 with a single command.","['CCNA 200-301 Official Cert Guide, Volume 2, Chapter 16: IP Access Control Lists', 'Cisco IOS Security Configuration Guide, Release 12.4: Configuring IP Access Lists']",1,chapter9_ip_acl,0.95,1,1.0
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"The statement is true. Named ACLs use ACL subcommands within the named ACL configuration mode to define the action (permit or deny) and the matching parameters for the ACL entries. In contrast, numbered ACLs use global configuration commands to define the action and matching parameters directly under the global configuration mode.","['Cisco Press CCNA 200-301 Official Cert Guide, Chapter 16: Access Control Lists (ACLs)', 'Cisco Documentation: Configure IP Access Control Lists (https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html)']",1,chapter9_ip_acl,0.95,1,1.0
